# Data extracted from SKA-TEL-SKO-0000422 Rev 03.
# This revision corresponds to ECP-170049.
#
# Columns:
#
#   1) Station label
#   2) Longitude (degrees)
#   3) Latitude (degrees)
#
# Note the first entry is the position of the centre of the array.
# There is no station at this position.
#
C167	116.7661431	-26.82772179
C168	116.7606019	-26.82358528
C169	116.7682525	-26.8260924
C170	116.7604633	-26.82318797
C171	116.7664429	-26.82796436
C172	116.7660165	-26.82819704
C173	116.7645728	-26.82905447
C174	116.7675314	-26.8272293
C175	116.7624586	-26.82102651
C176	116.7608847	-26.82265242
C177	116.7632865	-26.82846085
C178	116.7607345	-26.8248991
C179	116.7644769	-26.82087515
C180	116.7681699	-26.82333822
C181	116.7682301	-26.82405862
C182	116.7609424	-26.82325877
C183	116.7670937	-26.8211167
C184	116.7620155	-26.82838396
C185	116.7615141	-26.82714452
C186	116.7606783	-26.8240858
C187	116.7683888	-26.82562745
C188	116.7687784	-26.82469982
C189	116.7685574	-26.82320781
C190	116.7690802	-26.82405775
C191	116.7649354	-26.82816363
C192	116.7610519	-26.82753365
C193	116.7636056	-26.82064889
C194	116.7619803	-26.82774132
C195	116.766841	-26.82140473
C196	116.7674363	-26.82199447
C197	116.7645558	-26.82803094
C198	116.7687968	-26.82531354
C199	116.7605767	-26.8222711
C200	116.7673223	-26.82536054
C201	116.7632579	-26.82895034
C202	116.7636043	-26.82802598
C203	116.7597497	-26.82468815
C204	116.7654148	-26.82888176
C205	116.7603687	-26.82456628
C206	116.7655075	-26.82811287
C207	116.7661761	-26.82039503
C208	116.7657018	-26.82024789
C209	116.766237	-26.82094143
C210	116.7658355	-26.82114907
C211	116.7658448	-26.82066269
C212	116.7665811	-26.82070712
C213	116.7594637	-26.82551953
C214	116.760274	-26.82553978
C215	116.7595995	-26.82505079
C216	116.7594015	-26.82601535
C217	116.7590858	-26.82572952
C218	116.7599512	-26.82528522
C219	116.7681085	-26.82825993
C220	116.7676949	-26.82807375
C221	116.7677415	-26.82757413
C222	116.7673268	-26.82826665
C223	116.7680177	-26.82785017
C224	116.7672243	-26.82788292
E1-1	116.7625261	-26.81952776
E1-2	116.76214	-26.81922881
E1-3	116.7624951	-26.81905514
E1-4	116.7618026	-26.81901179
E1-5	116.7627876	-26.81875596
E1-6	116.7621226	-26.81844456
E2-1	116.7566003	-26.82053684
E2-2	116.7560973	-26.82018844
E2-3	116.7573922	-26.82004696
E2-4	116.7567192	-26.82003458
E2-5	116.756218	-26.81971943
E2-6	116.7570381	-26.8196713
E3-1	116.7514223	-26.82589134
E3-2	116.7518352	-26.82586032
E3-3	116.7508835	-26.82549643
E3-4	116.7517473	-26.82542676
E3-5	116.7513282	-26.8253937
E3-6	116.7514347	-26.82501364
E4-1	116.7502748	-26.83568632
E4-2	116.7507354	-26.83559327
E4-3	116.7507847	-26.83516747
E4-4	116.7512427	-26.83508705
E4-5	116.7501241	-26.83498443
E4-6	116.7504918	-26.83456517
N1-1	116.7595356	-26.82962242
N1-2	116.7601634	-26.82958853
N1-3	116.7605723	-26.82951217
N1-4	116.7599187	-26.82929855
N1-5	116.7603288	-26.82919347
N1-6	116.7596437	-26.82883354
N2-1	116.7641701	-26.83344736
N2-2	116.763277	-26.83344256
N2-3	116.7636782	-26.83328188
N2-4	116.7632762	-26.83307677
N2-5	116.7641625	-26.83292457
N2-6	116.7636377	-26.83279788
N3-1	116.7720754	-26.83480946
N3-2	116.7716231	-26.83480486
N3-3	116.7711255	-26.83460356
N3-4	116.7718038	-26.83447496
N3-5	116.7712286	-26.83416072
N3-6	116.771844	-26.83395206
N4-1	116.781446	-26.83086504
N4-2	116.7812862	-26.83051562
N4-3	116.7816837	-26.83043171
N4-4	116.7809077	-26.83014305
N4-5	116.781665	-26.83002671
N4-6	116.7812162	-26.82970967
S1-1	116.7712081	-26.82635554
S1-2	116.7707807	-26.82608862
S1-3	116.7703495	-26.82601759
S1-4	116.7711987	-26.82599425
S1-5	116.7709057	-26.82555559
S1-6	116.771346	-26.82547128
S2-1	116.7731736	-26.82149082
S2-2	116.7724781	-26.82134622
S2-3	116.7728668	-26.82119927
S2-4	116.7722088	-26.82092698
S2-5	116.7732602	-26.82083391
S2-6	116.7729181	-26.82051935
S3-1	116.77076	-26.81477548
S3-2	116.7703685	-26.81432947
S3-3	116.7697476	-26.81424456
S3-4	116.7709254	-26.814188
S3-5	116.7699664	-26.81388139
S3-6	116.7704816	-26.81377524
S4-1	116.7614959	-26.80923605
S4-2	116.7608951	-26.80915608
S4-3	116.7618391	-26.8089547
S4-4	116.7612917	-26.80875042
S4-5	116.7615203	-26.80841398
S4-6	116.7608759	-26.8083982
E5-1	116.7587332	-26.84401939
E5-2	116.759376	-26.8436945
E5-3	116.7586957	-26.84362852
E5-4	116.7582087	-26.84349207
E5-5	116.7590992	-26.8432515
E5-6	116.7587641	-26.84290085
E6-1	116.7717757	-26.84982055
E6-2	116.7722389	-26.8496678
E6-3	116.7716965	-26.8492485
E6-4	116.7723869	-26.84913478
E6-5	116.7712392	-26.84905221
E6-6	116.7721156	-26.84880062
E7-1	116.7906546	-26.84871873
E7-2	116.7910643	-26.84858159
E7-3	116.7902597	-26.84850524
E7-4	116.7914326	-26.84840339
E7-5	116.7906374	-26.84802562
E7-6	116.7910356	-26.84784293
E8-1	116.8116834	-26.8363875
E8-2	116.8122839	-26.83617762
E8-3	116.8111791	-26.83610053
E8-4	116.8121056	-26.83573724
E8-5	116.8116868	-26.8357064
E8-6	116.8111292	-26.83563369
E9-1	116.8260794	-26.81029044
E9-2	116.8265037	-26.80997174
E9-3	116.8260445	-26.80978806
E9-4	116.8268659	-26.8095599
E9-5	116.8264983	-26.80940216
E9-6	116.8259655	-26.80940069
S5-1	116.7491197	-26.81159811
S5-2	116.7490368	-26.81110948
S5-3	116.7497598	-26.81089879
S5-4	116.7485873	-26.81085966
S5-5	116.7493085	-26.81079441
S5-6	116.7488285	-26.81053563
S6-1	116.73692	-26.81854892
S6-2	116.7375122	-26.81853796
S6-3	116.7372221	-26.81827563
S6-4	116.7377136	-26.81797591
S6-5	116.7367364	-26.81794295
S6-6	116.7372712	-26.81776037
S7-1	116.7286679	-26.83380303
S7-2	116.7281283	-26.83349757
S7-3	116.729078	-26.83343106
S7-4	116.7286717	-26.83319401
S7-5	116.7289506	-26.83288224
S7-6	116.7281976	-26.83282001
S8-1	116.7296391	-26.85615287
S8-2	116.730078	-26.85612864
S8-3	116.7304761	-26.8557565
S8-4	116.7301177	-26.85558085
S8-5	116.7296813	-26.8554553
S8-6	116.7300235	-26.85510865
S9-1	116.7478854	-26.8808053
S9-2	116.7473328	-26.88062234
S9-3	116.7478724	-26.88035103
S9-4	116.7472298	-26.88021481
S9-5	116.748383	-26.87997965
S9-6	116.7474901	-26.87988287
N5-1	116.7850701	-26.82021175
N5-2	116.7855589	-26.82011614
N5-3	116.7848147	-26.81985677
N5-4	116.7852719	-26.81969989
N5-5	116.7858608	-26.81948934
N5-6	116.7852128	-26.81933239
N6-1	116.7843139	-26.80709908
N6-2	116.7849618	-26.80707374
N6-3	116.7845245	-26.80678071
N6-4	116.7840824	-26.80675186
N6-5	116.7849826	-26.8067082
N6-6	116.7846095	-26.80630588
N7-1	116.7739576	-26.79285816
N7-2	116.7735055	-26.79272863
N7-3	116.77435	-26.79272657
N7-4	116.7746589	-26.79247024
N7-5	116.7742302	-26.7923251
N7-6	116.7738206	-26.79219491
N8-1	116.751504	-26.78292392
N8-2	116.7523517	-26.78266863
N8-3	116.7512876	-26.7826094
N8-4	116.7517838	-26.78244879
N8-5	116.7513973	-26.78223124
N8-6	116.7521219	-26.78209762
N9-1	116.7193762	-26.78456979
N9-2	116.7196822	-26.7842639
N9-3	116.7187744	-26.78420328
N9-4	116.719252	-26.78408796
N9-5	116.7195239	-26.78371643
N9-6	116.7188988	-26.78368162
E10-1	116.8347251	-26.86183361
E10-2	116.8342804	-26.86164365
E10-3	116.8353822	-26.86159443
E10-4	116.8347547	-26.86125446
E10-5	116.8344166	-26.86090372
E10-6	116.8352498	-26.86085453
E11-1	116.8641741	-26.85884989
E11-2	116.8635502	-26.85875772
E11-3	116.8638135	-26.85834267
E11-4	116.8646915	-26.85828286
E11-5	116.8635763	-26.85801337
E11-6	116.8643413	-26.85791961
E12-1	116.8672677	-26.90685382
E12-2	116.8667769	-26.90653487
E12-3	116.8661293	-26.90646317
E12-4	116.8671778	-26.90627143
E12-5	116.8667406	-26.90609081
E12-6	116.8662763	-26.90607502
E13-1	116.9401651	-26.83066265
E13-2	116.939229	-26.83063172
E13-3	116.9397344	-26.83052067
E13-4	116.9392539	-26.83022292
E13-5	116.9400031	-26.83018033
E13-6	116.9396576	-26.82996061
E14-1	116.9922351	-26.79910149
E14-2	116.9916118	-26.79869053
E14-3	116.9920247	-26.79865731
E14-4	116.992697	-26.79850662
E14-5	116.9918772	-26.79817229
E14-6	116.992574	-26.79815854
E15-1	117.0158826	-26.69737411
E15-2	117.0155745	-26.69710696
E15-3	117.0163344	-26.69690659
E15-4	117.0155941	-26.69669957
E15-5	117.0160366	-26.69663863
E15-6	117.015097	-26.69663301
E16-1	117.1008229	-26.69060145
E16-2	117.1003201	-26.69042059
E16-3	117.1015198	-26.69032867
E16-4	117.1005562	-26.69006225
E16-5	117.1009992	-26.68995218
E16-6	117.1005665	-26.68968323
S10-1	116.6934539	-26.86371635
S10-2	116.6936577	-26.86334071
S10-3	116.6941076	-26.86330526
S10-4	116.6932834	-26.86313582
S10-5	116.6937212	-26.86282395
S10-6	116.6931586	-26.8627504
S11-1	116.6668417	-26.89938694
S11-2	116.6672736	-26.89936111
S11-3	116.6674997	-26.89901461
S11-4	116.6661623	-26.89899702
S11-5	116.6667345	-26.89884808
S11-6	116.6667135	-26.89847171
S12-1	116.6218641	-26.86556325
S12-2	116.6212672	-26.86540474
S12-3	116.6208315	-26.86525589
S12-4	116.621577	-26.86514205
S12-5	116.6213033	-26.86477991
S12-6	116.6217451	-26.86464267
S13-1	116.6546503	-26.94986543
S13-2	116.6542507	-26.94979962
