,01c [bldta] [otf],01s [bldta] [otf],02A [bldta] [otf],02B [bldta] [otf],13c [bldta] [otf],13s [Bmax=40000] [bldta] [otf],14c [bldta] [otf],14s [bldta] [otf],15c [bldta] [otf],15s [Bmax=13000] [bldta] [otf],22 [bldta] [otf],27 [bldta] [otf],33 [bldta] [otf],37a [bldta] [otf],37b [bldta] [otf],37c [bldta] [otf],38a [bldta] [otf],38b [bldta] [otf],max_Band5_MID_continuum [bldta] [otf],max_Band5_MID_spectral [bldta] [otf],max_LOW_continuum [bldta] [otf],max_LOW_spectral [bldta] [otf],max_MID_continuum [bldta] [otf],max_MID_spectral [bldta] [otf]
Delta W earth7 [lambda],33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,317.21192497715253,317.21192497715253,490.29424779946294,495.74196166390146,521.4947908412469,522.1568999506912,4011.4983910865153,441.2648230195167,441.2648230195167,463.0556784772706,463.0556784772706,441.2648230195167,3146.0547567132207,3146.0547567132207,3835.99533647648,3835.99533647648,36.608637169026565,36.608637169026565,193.05336007103855,193.05336007103855
Delta W earth8 [lambda],,,,,456.78517196709964,456.78517196709964,706.0237168312267,713.8684247960181,750.9524988113956,751.9059359289954,5776.557683164582,635.421345148104,635.421345148104,666.8001770072697,666.8001770072697,635.421345148104,4530.318849667038,4530.318849667038,5523.833284526131,5523.833284526131,,,277.99683850229553,277.99683850229553
Delta W earth9 [lambda],,,,,682.358096395297,682.358096395297,1054.6774041552892,1066.396041979237,1121.7932389651712,1123.2175092272646,8629.178761270548,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,949.2096637397603,6767.513343329773,6767.513343329773,8251.652190464962,8251.652190464962,,,415.2792278861451,415.2792278861451
Delta W earth10 [lambda],,,,,953.0456057091338,953.0456057091338,1473.0618289441643,1489.4291825990995,1566.8021271497018,1568.7913971851879,12052.324054997707,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1325.7556460497478,9452.146735725055,9452.146735725055,11525.034877591559,11525.034877591559,,,580.0180951467647,580.0180951467647
Delta W earth11 [lambda],,,,,1268.8476999086101,1268.8476999086101,1961.1769911978517,1982.9678466556059,2085.9791633649875,2088.627599802765,16045.993564346061,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1765.0592920780668,12584.219026852883,12584.219026852883,15343.98134590592,15343.98134590592,,,772.2134402841542,772.2134402841542
Delta W snapshot0 [lambda],1.7204333363285287,3.972699486085131,1.7248324995034219,1.7248324995034219,64.37237669449567,244.1460126157507,131.06216778861685,220.8794899072713,144.36224594985666,217.5090211085103,4013.7645790294596,109.58080077509256,109.58080077509256,119.48907838157804,119.48907838157804,109.60706759819902,2673.06257972544,2673.06257972544,3689.1451965081774,6253.382581191983,1.9822899997291077,3.2473023963859564,39.09809492471678,49.13558512324827
Delta W snapshot1 [lambda],2.492872793455623,5.756360479837639,2.499247091117203,2.499247091117203,96.5585650417435,366.21901892362604,196.59325168292526,331.319234860907,216.543368924785,326.26353166276544,6020.64686854419,164.37120116263884,164.37120116263884,179.23361757236705,179.23361757236705,164.41060139729854,4009.5938695881605,4009.5938695881605,5533.717794762266,9380.073871787974,2.8722977547095234,4.705274900885773,58.64714238707517,73.70337768487241
Delta W snapshot2 [lambda],3.651531979146265,8.4318519704664,3.6608689785378754,3.6608689785378754,128.74475338899134,488.2920252315014,262.1243355772337,441.7589798145426,288.7244918997133,435.0180422170206,8027.529158058919,219.1616015501851,219.1616015501851,238.97815676315608,238.97815676315608,219.21413519639805,5346.12515945088,5346.12515945088,7378.290393016355,12506.765162383967,4.207309387180147,6.892233657635499,78.19618984943357,98.27117024649654
Delta W snapshot3 [lambda],5.301743546645058,12.242400457119485,5.315300151530954,5.315300151530954,193.117130083487,732.4380378472521,393.1865033658505,662.638469721814,433.08673784957,565.5234548821268,12041.29373708838,328.7424023252777,328.7424023252777,358.4672351447341,358.4672351447341,328.82120279459707,8019.187739176321,8019.187739176321,11067.435589524532,18760.147743575948,6.108689591001944,10.006993099066927,117.29428477415034,147.40675536974481
Delta W snapshot4 [lambda],7.759505455685813,17.9176854372411,7.779346579392985,7.779346579392985,321.8618834724784,1220.7300630787533,655.3108389430841,1104.3974495363566,721.8112297492833,1087.5451055425515,20068.8228951473,547.9040038754628,547.9040038754628,597.4453919078902,597.4453919078902,548.0353379909951,13365.312898627202,13365.312898627202,18445.725982540887,31266.912905959914,8.940532447757812,14.645996522475436,195.4904746235839,245.67792561624134
Delta W snapshot5 [lambda],11.305704781587474,26.106310908559433,11.334613568165345,11.334613568165345,450.6066368614697,1709.0220883102547,917.4351745203179,1546.1564293508993,1010.5357216489966,1522.563147759572,28096.352053206218,767.065605425648,767.065605425648,836.4235486710462,836.4235486710462,767.2494731873932,18711.43805807808,18711.43805807808,25824.01637555724,43773.67806834388,13.026477141076994,21.33941574767914,273.68666447301746,343.94909586273786
Delta W snapshot6 [lambda],16.502115674987927,38.10548486653085,16.544311729930783,16.544311729930783,708.0961436394524,1953.1681009260055,1441.6838456747853,2429.6743889799845,1587.9847054484233,2392.5992321936133,44151.410369324054,1205.3888085260182,1205.3888085260182,1314.3798621973583,1314.3798621973583,1205.6777435801891,29403.688376979844,29403.688376979844,40580.59716158995,68787.20839311181,19.01380203821797,31.147594414314277,430.0790441718846,540.4914363557309
Delta W snapshot7 [lambda],28.088707531894347,64.86039977281847,28.160530604137502,28.160530604137502,965.5856504174351,3662.1901892362603,1965.9325168292526,3313.19234860907,2165.43368924785,3262.6353166276544,60206.46868544189,1643.7120116263884,1643.7120116263884,1792.3361757236705,1792.3361757236705,1644.1060139729852,40095.9386958816,40095.9386958816,55337.17794762266,93800.73871787975,32.36391836292421,53.01718198181153,586.4714238707518,737.0337768487241
Delta W snapshot8 [lambda],,,,,1158.702780500922,4394.628227083513,2359.119020195103,3975.8308183308836,2598.52042709742,3915.1623799531853,72247.76242253027,1972.454413951666,1972.454413951666,2150.8034108684046,2150.8034108684046,1972.9272167675824,48115.12643505793,48115.12643505793,66404.61353714719,112560.8864614557,,,703.7657086449021,884.4405322184688
Delta W snapshot9 [lambda],,,,,1416.1922872789048,5371.212277546515,2883.3676913495706,4859.348777959969,3175.9694108968465,4785.1984643872265,88302.82073864811,2410.7776170520365,2410.7776170520365,2628.7597243947166,2628.7597243947166,2411.3554871603783,58807.37675395969,58807.37675395969,81161.1943231799,137574.41678622362,,,860.1580883437692,1080.9828727114618
Delta W snapshot10 [lambda],,,,,1673.6817940568874,6347.796328009517,3407.6163625040376,5742.8667375890545,3753.418394696273,5655.234548821268,104357.87905476594,2849.1008201524064,2849.1008201524064,3106.716037921029,3106.716037921029,2849.7837575531744,69499.62707286145,69499.62707286145,95917.77510921261,162587.94711099155,,,1016.5504680426363,1277.525213204455
Delta W snapshot11 [lambda],,,,,1931.1713008348702,7324.3803784725205,3931.865033658505,6626.38469721814,4330.8673784957,6525.270633255309,120412.93737088378,3287.424023252777,3287.424023252777,3584.672351447341,3584.672351447341,3288.2120279459705,80191.8773917632,80191.8773917632,110674.35589524532,187601.4774357595,,,1172.9428477415036,1474.0675536974481
Delta W max0 [lambda],1.7204333363285287,3.972699486085131,1.7248324995034219,1.7248324995034219,64.37237669449567,244.1460126157507,131.06216778861685,220.8794899072713,144.36224594985666,217.5090211085103,4013.7645790294596,109.58080077509256,109.58080077509256,119.48907838157804,119.48907838157804,109.60706759819902,2673.06257972544,2673.06257972544,3689.1451965081774,6253.382581191983,1.9822899997291077,3.2473023963859564,39.09809492471678,49.13558512324827
Delta W max1 [lambda],2.492872793455623,5.756360479837639,2.499247091117203,2.499247091117203,96.5585650417435,366.21901892362604,196.59325168292526,331.319234860907,216.543368924785,326.26353166276544,6020.64686854419,164.37120116263884,164.37120116263884,179.23361757236705,179.23361757236705,164.41060139729854,4009.5938695881605,4009.5938695881605,5533.717794762266,9380.073871787974,2.8722977547095234,4.705274900885773,58.64714238707517,73.70337768487241
Delta W max2 [lambda],3.651531979146265,8.4318519704664,3.6608689785378754,3.6608689785378754,128.74475338899134,488.2920252315014,262.1243355772337,441.7589798145426,288.7244918997133,435.0180422170206,8027.529158058919,219.1616015501851,219.1616015501851,238.97815676315608,238.97815676315608,219.21413519639805,5346.12515945088,5346.12515945088,7378.290393016355,12506.765162383967,4.207309387180147,6.892233657635499,78.19618984943357,98.27117024649654
Delta W max3 [lambda],5.301743546645058,12.242400457119485,5.315300151530954,5.315300151530954,193.117130083487,732.4380378472521,393.1865033658505,662.638469721814,433.08673784957,565.5234548821268,12041.29373708838,328.7424023252777,328.7424023252777,358.4672351447341,358.4672351447341,328.82120279459707,8019.187739176321,8019.187739176321,11067.435589524532,18760.147743575948,6.108689591001944,10.006993099066927,117.29428477415034,147.40675536974481
Delta W max4 [lambda],7.759505455685813,17.9176854372411,7.779346579392985,7.779346579392985,321.8618834724784,1220.7300630787533,655.3108389430841,1104.3974495363566,721.8112297492833,1087.5451055425515,20068.8228951473,547.9040038754628,547.9040038754628,597.4453919078902,597.4453919078902,548.0353379909951,13365.312898627202,13365.312898627202,18445.725982540887,31266.912905959914,8.940532447757812,14.645996522475436,195.4904746235839,245.67792561624134
Delta W max5 [lambda],11.305704781587474,26.106310908559433,11.334613568165345,11.334613568165345,450.6066368614697,1709.0220883102547,917.4351745203179,1546.1564293508993,1010.5357216489966,1522.563147759572,28096.352053206218,767.065605425648,767.065605425648,836.4235486710462,836.4235486710462,767.2494731873932,18711.43805807808,18711.43805807808,25824.01637555724,43773.67806834388,13.026477141076994,21.33941574767914,273.68666447301746,343.94909586273786
Delta W max6 [lambda],16.502115674987927,38.10548486653085,16.544311729930783,16.544311729930783,708.0961436394524,1953.1681009260055,1441.6838456747853,2429.6743889799845,1587.9847054484233,2392.5992321936133,44151.410369324054,1205.3888085260182,1205.3888085260182,1314.3798621973583,1314.3798621973583,1205.6777435801891,29403.688376979844,29403.688376979844,40580.59716158995,68787.20839311181,19.01380203821797,31.147594414314277,430.0790441718846,540.4914363557309
Delta W max7 [lambda],33.47075398311001,64.86039977281847,33.47075398311001,33.47075398311001,965.5856504174351,3662.1901892362603,1965.9325168292526,3313.19234860907,2165.43368924785,3262.6353166276544,60206.46868544189,1643.7120116263884,1643.7120116263884,1792.3361757236705,1792.3361757236705,1644.1060139729852,40095.9386958816,40095.9386958816,55337.17794762266,93800.73871787975,36.608637169026565,53.01718198181153,586.4714238707518,737.0337768487241
Delta W max8 [lambda],,,,,1158.702780500922,4394.628227083513,2359.119020195103,3975.8308183308836,2598.52042709742,3915.1623799531853,72247.76242253027,1972.454413951666,1972.454413951666,2150.8034108684046,2150.8034108684046,1972.9272167675824,48115.12643505793,48115.12643505793,66404.61353714719,112560.8864614557,,,703.7657086449021,884.4405322184688
Delta W max9 [lambda],,,,,1416.1922872789048,5371.212277546515,2883.3676913495706,4859.348777959969,3175.9694108968465,4785.1984643872265,88302.82073864811,2410.7776170520365,2410.7776170520365,2628.7597243947166,2628.7597243947166,2411.3554871603783,58807.37675395969,58807.37675395969,81161.1943231799,137574.41678622362,,,860.1580883437692,1080.9828727114618
Delta W max10 [lambda],,,,,1673.6817940568874,6347.796328009517,3407.6163625040376,5742.8667375890545,3753.418394696273,5655.234548821268,104357.87905476594,2849.1008201524064,2849.1008201524064,3106.716037921029,3106.716037921029,2849.7837575531744,69499.62707286145,69499.62707286145,95917.77510921261,162587.94711099155,,,1016.5504680426363,1277.525213204455
Delta W max11 [lambda],,,,,1931.1713008348702,7324.3803784725205,3931.865033658505,6626.38469721814,4330.8673784957,6525.270633255309,120412.93737088378,3287.424023252777,3287.424023252777,3584.672351447341,3584.672351447341,3288.2120279459705,80191.8773917632,80191.8773917632,110674.35589524532,187601.4774357595,,,1172.9428477415036,1474.0675536974481
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [pixels],4.779695229802639,3.7042896688809193,4.788892244874103,4.788892244874103,7.969147494089946,8.974061771352043,7.273577271061737,3.9087697639596155,6.912568453238466,3.397681258066168,3.9144364988080924,7.335786230248415,7.335786230248415,7.633254255556857,7.633254255556857,7.337111400372267,4.294674807070896,4.294674807070896,4.077153401555795,2.504633227037234,4.64904510390994,2.7831905398614056,12.388848457884077,6.0655170536709555
W kernel support pred1 [pixels],6.319503634251327,4.896804388574429,6.331672469105407,6.331672469105407,10.820051421278297,12.186156624169689,9.874660958731619,5.303692133792217,9.38405420066457,4.609772392232329,5.3113866302393555,9.959206502603866,9.959206502603866,10.363499859928805,10.363499859928805,9.961007498454538,5.827717402541866,5.827717402541866,5.53233504178753,3.397527570143401,6.146639764489855,3.6785799466009483,16.830500110512826,8.233092100319762
W kernel support pred2 [pixels],8.425905719989444,6.527602443349588,8.442145385087883,8.442145385087883,13.445062503621964,15.144352437354497,12.269288968267738,6.586847473098801,11.659189776186718,5.724585427125196,6.596409255962744,12.374430932136523,12.374430932136523,12.877233451166761,12.877233451166761,12.376670688722163,7.23807297587893,7.23807297587893,6.870982802317837,4.218538438698086,8.195218886581854,4.902683054576718,20.923704282358642,10.228076280147716
W kernel support pred3 [pixels],11.163046869066276,8.645918172633039,11.184584863534662,11.184584863534662,18.26766760191253,20.58045336304862,16.66783660019336,8.941440186963511,15.837841872641201,6.9755443841491145,8.954432946233842,16.81088452455618,16.81088452455618,17.49499870552756,17.49499870552756,16.813931793995494,9.826409148017566,9.826409148017566,9.327542542093324,5.724326176584753,10.857104305354765,6.492152551793749,28.451471032230312,13.891318837501062
W kernel support pred4 [pixels],14.883834068163521,11.52417891638401,14.912588340432887,14.912588340432887,26.898449695418897,30.313110565124045,24.537408923809718,13.147367201149377,23.312829220087156,11.422361822996159,13.166501499628904,24.748485938419854,24.748485938419854,25.758036224381893,25.758036224381893,24.752982466792812,14.450812014497608,14.450812014497608,13.716006188231509,8.411856942182366,14.47539856735237,8.650911094309803,41.94589366395769,20.441837881852127
W kernel support pred5 [pixels],19.785523401502576,15.313869520405015,19.82380613996702,19.82380613996702,34.72652788306352,39.14442478474852,31.67283047215045,16.954318835724486,30.08933865906298,14.727324880764755,16.979024761279067,31.945795931403502,31.945795931403502,33.2514453014774,33.2514453014774,31.951610931788824,18.63747379679277,18.63747379679277,17.688568382627523,10.842280067485751,19.241762287126388,11.491789683891907,54.2070751111766,26.377838664655002
W kernel support pred6 [pixels],26.349860470416203,20.385723609631643,26.400938524023204,26.400938524023204,48.98418273082766,43.33156697756568,44.664139228351935,23.87145243544186,42.424758394004066,20.730177391637643,23.906309019602894,45.05022218085471,45.05022218085471,46.897152257879554,46.897152257879554,45.05844710175707,26.246525063694428,26.246525063694428,24.907446243017553,15.253648690279578,25.624388830994207,15.291474998937185,76.58529726666188,37.1780913305223
W kernel support pred7 [pixels],45.09913102949984,30.50924925504751,45.09913102949984,45.09913102949984,62.067742553375176,70.01354027726246,56.58083068626612,30.20219881452199,53.73737374351618,26.22194194728839,30.246373030488503,57.07111551938312,57.07111551938312,59.41674521521275,59.41674521521275,57.08156048167164,33.212550291938,33.212550291938,31.515200983857415,19.286344443624458,42.14781065759961,22.868689680439847,97.16721116040866,47.077620493716175
W kernel support pred8 [pixels],,,,,71.35601256079799,80.50763077356252,65.03820570458248,34.6877290589175,61.76475297700312,30.111865330520253,34.738519569422024,65.60267444677504,65.60267444677504,68.30338293034497,68.30338293034497,65.61469994505529,38.149256927203105,38.149256927203105,36.19744443190375,22.14115451771686,,,111.80298154370918,54.09955110385832
W kernel support pred9 [pixels],,,,,83.21707822661384,93.91329315577201,75.8354289796134,40.405937413585555,72.01159408155584,35.06948743702989,40.46517862301815,76.49486261631897,76.49486261631897,79.65016393932373,79.65016393932373,76.50891143973149,44.443816825530874,44.443816825530874,42.16692161416085,25.777726926746283,,,130.51972338093157,63.0599114313783
W kernel support pred10 [pixels],,,,,94.60465816537328,106.78851140101519,86.19887963543862,45.88621824642564,81.84537102347694,39.81954208090471,45.953574540059584,86.94971646808298,86.94971646808298,90.54260658475427,90.54260658475427,86.96571276709663,50.47764255088857,50.47764255088857,47.88850785286431,29.26023730582759,,,148.51583306915882,71.65606783438058
W kernel support pred11 [pixels],,,,,105.6107187058421,119.23647005406853,96.21271827370302,51.1744509767882,91.34617949325829,44.40200977362798,51.24965200778149,97.05209611512755,97.05209611512755,101.06891205009477,101.06891205009477,97.06997893812172,56.30105161663127,56.30105161663127,53.41002071270189,32.61829705147791,,,165.9321336866206,79.95854033865308
"W kernel support pred, ff0 [pixels]",11.083568310332106,10.6640406015252,11.08753755046698,11.08753755046698,12.78699776267127,13.43628611916411,12.365473153830624,10.736781690415658,12.156627929681306,10.56145056000425,10.73884598563556,12.402167537003452,12.402167537003452,12.580404227606396,12.580404227606396,12.402951410913158,10.88320870416852,10.88320870416852,10.799221261730773,10.308888766592593,11.027856563185296,10.380084276207684,15.921167234609925,11.695746967525126
"W kernel support pred, ff1 [pixels]",11.829460096864764,11.134571981893233,11.835965370683853,11.835965370683853,14.733414836999144,15.76395931448679,14.053787000303457,11.319414748565821,13.713514255689908,11.011357841255881,11.323022031943829,14.113319742764533,14.113319742764533,14.40146275024674,14.40146275024674,14.11459069134729,11.574207969614566,11.574207969614566,11.428330193628035,10.56140111869086,11.738022848606485,10.65513727849316,19.577173799350412,12.953138829347413
"W kernel support pred, ff2 [pixels]",13.076539572920307,11.941925877278903,13.087009540111165,13.087009540111165,16.756184103974903,18.14804151270338,15.828311716252507,11.974412705175483,15.360231321081622,11.52262462776837,11.9796750820776,15.909951002256957,15.909951002256957,16.304083579148145,16.304083579148145,15.91169310089515,12.344622327319247,12.344622327319247,12.133029492659592,10.853389634523092,12.929099450425303,11.137158575401255,23.190545506641136,14.304319081750112
"W kernel support pred, ff3 [pixels]",14.987114979240348,13.219375970440746,15.003164285230255,15.003164285230255,20.825649560433035,22.881325587225476,19.437509535193687,13.414520215685913,18.730649619882033,12.19254770157715,13.423184025729443,19.56031284253814,19.56031284253814,20.151302183889037,20.151302183889037,19.562931845026004,14.019925703948767,14.019925703948767,13.67490584518083,11.52249583102261,14.760647475546353,11.922585489555615,30.157688968119565,17.116329602023672
"W kernel support pred, ff4 [pixels]",17.931216260159964,15.25800444674302,17.95509094967817,17.95509094967817,28.697153099514605,31.9199729344095,26.49687597990104,16.518270621401577,25.36706538496224,15.181249935872874,16.53350421839636,26.692462536157375,26.692462536157375,27.63107725255333,27.63107725255333,26.696631641489013,17.573444963306095,17.573444963306095,16.974357889346066,13.06749161911886,17.593668283894264,13.222642049214386,43.12143313096221,22.756729465982687
"W kernel support pred, ff5 [pixels]",22.169053571846636,18.28974028486981,22.203227014895695,22.203227014895695,36.137677551458495,40.40155927348392,33.21397582520921,19.68372239144319,31.70754328136732,17.801519545914967,19.705006517231293,33.474376434683236,33.474376434683236,34.72259515988319,34.72259515988319,33.47992594281545,21.150778461468906,21.150778461468906,20.319582954059122,14.74974701687452,21.6851427459973,15.233556056902946,55.12174699797478,28.209756691942037
"W kernel support pred, ff6 [pixels]",28.183597123334035,22.70633671661488,28.231357653312614,28.231357653312614,49.994501275711464,44.470492427353,45.76991733671372,25.881387933755853,43.5873849271738,23.016086867423063,25.9135410729747,46.14674981560861,46.14674981560861,47.95146389734872,47.95146389734872,46.15477933239244,28.087009059690565,28.087009059690565,26.839912040631003,18.239347531270624,27.50653200536157,18.270993614007995,77.23540481814649,38.499486684638505
"W kernel support pred, ff7 [pixels]",46.19449772013973,32.10629673610173,46.19449772013973,46.19449772013973,62.86815303213591,70.72408233519789,57.45772707954879,31.8146634939286,54.659906118199125,28.06403818923717,31.856601851099285,57.94059221846781,57.94059221846781,60.25238262483491,60.25238262483491,57.950880468054464,34.68534988859866,34.68534988859866,33.06369448583941,21.724711321399045,43.3178709452446,24.95950655963086,97.68043266023878,48.12797888287399
"W kernel support pred, ff8 [pixels]",,,,,72.05331726282115,81.12631270292192,65.80249388337486,36.10039538931491,62.569039550805115,31.728921092331326,36.149201123608755,66.36046183209962,66.36046183209962,69.0315298956161,69.0315298956161,66.37235003282346,39.43812627518901,39.43812627518901,37.55336181223673,24.29466450431892,,,112.24930593131957,55.01601066634128
"W kernel support pred, ff9 [pixels]",,,,,83.8157628884589,94.44419850558303,76.49190995472651,41.62498982907495,72.70261124723629,36.46736827762592,41.68249849748411,77.14573226491218,77.14573226491218,80.2754546269353,80.2754546269353,77.1596625815113,45.55494324462869,45.55494324462869,43.336465919763064,27.64943409022869,,,130.90224670124994,63.847885084263176
"W kernel support pred, ff10 [pixels]",,,,,95.13170526479135,107.25570459068716,86.77699493762638,46.96323056348025,82.45401602087433,41.05600968838717,47.02904435568314,87.52287240418943,87.52287240418943,91.09315894819757,91.09315894819757,87.53876396825098,51.45864745108713,51.45864745108713,48.92145934427801,30.921860991753793,,,148.85211678785845,72.35048069975313
"W kernel support pred, ff11 [pixels]",,,,,106.08309905712835,119.65507005954568,96.73100411768166,52.142347787337876,91.89191753366865,45.51415682990683,52.21615488446752,97.56592315116971,97.56592315116971,101.56241914699449,101.56241914699449,97.58371181220457,57.182238616012384,57.182238616012384,54.33811105045193,34.116759848180955,,,166.23318859299587,80.58143814234153
W kernel support bw0 [pixels],4.779695229802639,3.7042896688809193,4.788892244874103,4.788892244874103,7.969147494089946,8.974061771352043,7.273577271061737,3.9087697639596155,6.912568453238467,3.3976812580661684,3.9144364988080924,7.335786230248417,7.335786230248417,7.633254255556857,7.633254255556857,7.33711140037227,4.294674807070896,4.294674807070896,4.077153401555795,2.504633227037234,4.64904510390994,2.7831905398614056,0.5103308235671907,6.065517053670956
W kernel support bw1 [pixels],6.319503634251327,4.896804388574429,6.331672469105407,6.331672469105407,10.820051421278297,12.186156624169689,9.874660958731619,5.303692133792217,9.384054200664572,4.60977239223233,5.3113866302393555,9.95920650260387,9.95920650260387,10.363499859928805,10.363499859928805,9.961007498454542,5.827717402541867,5.827717402541867,5.5323350417875305,3.397527570143401,6.146639764489855,3.6785799466009483,0.6918985255015812,8.233092100319762
W kernel support bw2 [pixels],8.425905719989444,6.527602443349588,8.442145385087883,8.442145385087883,13.445062503621964,15.144352437354497,12.269288968267738,6.586847473098801,11.659189776186722,5.724585427125197,6.596409255962744,12.374430932136528,12.374430932136528,12.877233451166761,12.877233451166761,12.376670688722166,7.23807297587893,7.23807297587893,6.870982802317837,4.218538438698086,8.195218886581854,4.902683054576718,0.8587156745452071,10.228076280147718
W kernel support bw3 [pixels],11.163046869066276,8.645918172633039,11.184584863534662,11.184584863534662,18.26766760191253,20.58045336304862,16.66783660019336,8.941440186963511,15.837841872641203,6.975544384149115,8.954432946233842,16.81088452455618,16.81088452455618,17.49499870552756,17.49499870552756,16.813931793995494,9.826409148017568,9.826409148017568,9.327542542093326,5.724326176584753,10.857104305354765,6.492152551793749,1.1643683633198165,13.891318837501064
W kernel support bw4 [pixels],14.883834068163521,11.52417891638401,14.912588340432887,14.912588340432887,26.898449695418897,30.313110565124045,24.537408923809718,13.147367201149377,23.31282922008716,11.42236182299616,13.166501499628904,24.748485938419858,24.748485938419858,25.758036224381893,25.758036224381893,24.75298246679282,14.45081201449761,14.45081201449761,13.71600618823151,8.411856942182366,14.47539856735237,8.650911094309803,1.7090325031537466,20.44183788185213
W kernel support bw5 [pixels],19.785523401502576,15.313869520405015,19.82380613996702,19.82380613996702,34.72652788306352,39.14442478474852,31.67283047215045,16.954318835724486,30.089338659062985,14.727324880764758,16.979024761279067,31.94579593140351,31.94579593140351,33.2514453014774,33.2514453014774,31.95161093178883,18.63747379679277,18.63747379679277,17.688568382627526,10.842280067485751,19.241762287126388,11.491789683891907,2.200737762012764,26.377838664655005
W kernel support bw6 [pixels],26.349860470416203,20.385723609631643,26.400938524023204,26.400938524023204,48.98418273082766,43.33156697756568,44.664139228351935,23.87145243544186,42.42475839400407,20.730177391637646,23.906309019602894,45.05022218085472,45.05022218085472,46.897152257879554,46.897152257879554,45.05844710175708,26.246525063694428,26.246525063694428,24.907446243017553,15.253648690279578,25.624388830994207,15.291474998937185,3.091378886666713,37.17809133052231
W kernel support bw7 [pixels],45.09913102949984,30.50924925504751,45.09913102949984,45.09913102949984,62.067742553375176,70.01354027726246,56.58083068626612,30.20219881452199,53.73737374351619,26.221941947288393,30.246373030488503,57.07111551938313,57.07111551938313,59.41674521521275,59.41674521521275,57.081560481671644,33.212550291938,33.212550291938,31.51520098385742,19.286344443624458,42.14781065759961,22.868689680439847,3.9037024700893648,47.07762049371618
W kernel support bw8 [pixels],,,,,71.35601256079799,80.50763077356252,65.03820570458248,34.6877290589175,61.76475297700313,30.11186533052026,34.738519569422024,65.60267444677505,65.60267444677505,68.30338293034497,68.30338293034497,65.61469994505532,38.14925692720311,38.14925692720311,36.197444431903754,22.14115451771686,,,4.477773291774653,54.09955110385832
W kernel support bw9 [pixels],,,,,83.21707822661384,93.91329315577201,75.8354289796134,40.405937413585555,72.01159408155586,35.06948743702989,40.46517862301815,76.49486261631898,76.49486261631898,79.65016393932373,79.65016393932373,76.5089114397315,44.443816825530874,44.443816825530874,42.166921614160856,25.777726926746283,,,5.207941487690396,63.05991143137831
W kernel support bw10 [pixels],,,,,94.60465816537328,106.78851140101519,86.19887963543862,45.88621824642564,81.84537102347696,39.81954208090472,45.953574540059584,86.94971646808301,86.94971646808301,90.54260658475427,90.54260658475427,86.96571276709666,50.47764255088857,50.47764255088857,47.888507852864315,29.26023730582759,,,5.9060770865433545,71.6560678343806
W kernel support bw11 [pixels],,,,,105.6107187058421,119.23647005406853,96.21271827370302,51.1744509767882,91.3461794932583,44.40200977362799,51.24965200778149,97.05209611512757,97.05209611512757,101.06891205009477,101.06891205009477,97.06997893812175,56.30105161663128,56.30105161663128,53.41002071270191,32.61829705147791,,,6.578297184137011,79.9585403386531
"W kernel support bw, ff0 [pixels]",11.083568310332106,10.6640406015252,11.08753755046698,11.08753755046698,12.78699776267127,13.43628611916411,12.365473153830626,10.736781690415658,12.156627929681308,10.561450560004252,10.73884598563556,12.402167537003452,12.402167537003452,12.580404227606396,12.580404227606396,12.40295141091316,10.88320870416852,10.88320870416852,10.799221261730773,10.308888766592593,11.027856563185296,10.380084276207684,10.013013410032105,11.695746967525126
"W kernel support bw, ff1 [pixels]",11.829460096864764,11.134571981893233,11.835965370683853,11.835965370683853,14.733414836999144,15.76395931448679,14.053787000303458,11.319414748565821,13.71351425568991,11.011357841255881,11.323022031943829,14.113319742764535,14.113319742764535,14.40146275024674,14.40146275024674,14.114590691347292,11.574207969614566,11.574207969614566,11.428330193628035,10.56140111869086,11.738022848606485,10.65513727849316,10.023907599813121,12.953138829347413
"W kernel support bw, ff2 [pixels]",13.076539572920307,11.941925877278903,13.087009540111165,13.087009540111165,16.756184103974903,18.14804151270338,15.828311716252509,11.974412705175483,15.360231321081624,11.52262462776837,11.979675082077602,15.90995100225696,15.90995100225696,16.30408357914815,16.30408357914815,15.911693100895151,12.344622327319247,12.344622327319247,12.133029492659594,10.853389634523092,12.929099450425305,11.137158575401255,10.036801911451159,14.304319081750114
"W kernel support bw, ff3 [pixels]",14.987114979240348,13.219375970440746,15.003164285230255,15.003164285230255,20.825649560433035,22.881325587225476,19.437509535193687,13.414520215685913,18.730649619882033,12.192547701577151,13.423184025729443,19.560312842538142,19.560312842538142,20.151302183889037,20.151302183889037,19.562931845026007,14.019925703948767,14.019925703948767,13.674905845180831,11.52249583102261,14.760647475546353,11.922585489555615,10.06755947017449,17.116329602023672
"W kernel support bw, ff4 [pixels]",17.931216260159964,15.25800444674302,17.95509094967817,17.95509094967817,28.697153099514605,31.9199729344095,26.496875979901045,16.518270621401577,25.367065384962245,15.181249935872874,16.53350421839636,26.692462536157382,26.692462536157382,27.631077252553332,27.631077252553332,26.69663164148902,17.5734449633061,17.5734449633061,16.97435788934607,13.06749161911886,17.593668283894267,13.222642049214386,10.144988521276698,22.75672946598269
