Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
AW kernel support pred4 [uv-pixels],13.451254029553743,15.440347975844118,13.451226044437687,13.451226044437687,20.3910604266442,34.62553841401123,18.266211606714844,18.573853416619773,18.273231331016042,12.53498600342957,13.01741465366998,16.709856813028267,16.709856813028267,16.287601836970058,16.287601836970058,16.709856486382918,12.371107821348554,12.371107821348554,12.120073990809098,14.868752541581717,13.032584076344557,13.815061398875741,23.069066425308495,27.657920591759137
AW kernel support pred5 [uv-pixels],15.583138761467016,18.558351467314655,15.58309608286404,15.58309608286404,25.01189964089974,43.96845842516838,22.106873663056323,22.529881300571365,22.11653609335671,13.960180320771089,14.675928486221594,19.951167717354423,19.951167717354423,19.36102802435748,19.36102802435748,19.95116726180397,13.71500606365242,13.71500606365242,13.337234646390868,17.357019192286728,14.941437549453736,16.13571694452445,28.6297630490696,34.75825947302941
AW kernel support pred6 [uv-pixels],22.460718640303792,23.089948745257793,22.460718640303792,22.460718640303792,33.81364421708756,48.443487610202915,29.514290753170343,30.143580539008042,29.528679343301697,16.963102195152338,18.120925741229076,26.285055420191636,26.285055420191636,25.393290418980065,25.393290418980065,26.285054733250963,16.562090616728344,16.562090616728344,15.939193691585082,22.33206031148813,21.29706851448629,19.596235527857747,39.11220174386208,48.00299120988388
AW kernel support pred7 [uv-pixels],46.19449772013973,32.715041952914135,46.19449772013973,46.19449772013973,42.09508191134043,77.27376120523603,36.537215514497824,37.352484570227055,36.55586437602558,20.00154924167025,21.56550372039479,32.340971982488426,32.340971982488426,31.17765697046948,31.17765697046948,32.340971087221796,19.456392859222273,19.456392859222273,18.605471063523456,27.16406846656801,43.3178709452446,27.120245648883863,48.91545725180932,60.318370995597625
AW kernel support pred8 [uv-pixels],,,,,48.03249473220828,88.68902146662694,41.58847532004567,42.53456598717368,41.61012041637069,22.257576786557685,24.10683965227756,36.712783891092286,36.712783891092286,35.35889824168737,35.35889824168737,36.71278284958756,21.610954797372138,21.610954797372138,20.59921647248852,30.677638585172925,,,55.92696272021201,69.10776706954024
AW kernel support pred9 [uv-pixels],,,,,55.65427921679292,103.30272194902844,48.08412544217425,49.19633507748377,48.109574655025625,25.215849767986835,27.42547057609898,42.34647746263931,42.34647746263931,40.751092203943514,40.751092203943514,42.34647623576976,24.44101210262147,24.44101210262147,23.225936326076077,35.22468029844365,,,75.22570590714359,80.36477791925664
AW kernel support pred10 [uv-pixels],,,,,62.99742139959422,117.36113940346667,54.34985613761187,55.62088555014765,54.37894184752613,28.111728816600408,30.663569840646716,49.46024019156287,49.46024019156287,49.98318808671045,49.98318808671045,49.46024019156287,27.21514649274863,27.21514649274863,25.806981151633348,39.63100772799547,,,96.86186555800266,91.1950543186537
AW kernel support pred11 [uv-pixels],,,,,77.14611161385194,130.96850228756514,60.42227363443038,61.84638551293532,60.454864119633136,30.945907481795924,33.82557238642526,61.085915586517004,61.085915586517004,61.742752875548454,61.742752875548454,61.085915586517004,29.932751304821153,29.932751304821153,28.339736219014345,43.913960511230584,,,120.51049818148522,101.67647857385082
"W kernel support pred, ff0 [pixels]",83.2828223153024,85.52823206755662,83.28279246700475,83.28279246700475,90.4536749519381,112.05653579511201,87.86444226208837,88.22649754858406,87.87265374653967,82.00196907130749,82.42629208870055,86.10280452805779,86.10280452805779,85.64563824976963,85.64563824976963,86.10280417090415,81.86091970786046,81.86091970786046,81.64792265045214,84.17738827566916,82.84194118334909,83.67508520080185,93.99373486545403,100.68442227070663
"W kernel support pred, ff1 [pixels]",85.65302349627068,89.43788440812637,85.65297276743446,85.65297276743446,98.39783622550044,133.24889307834465,93.97386138792761,94.59696770441734,93.98801051378237,83.64637483469683,84.41065287962539,90.91949250325469,90.91949250325469,90.12043821431061,90.12043821431061,90.91949188007204,83.39167329250449,83.39167329250449,83.0064304339204,87.53503880857568,84.90245345818504,86.3187070998936,104.33659407793422,115.27809100516116
