,Ingest (Low) [blcoal] [spbf],ICAL (Low) [blcoal] [spbf],RCAL (Low) [blcoal] [spbf],DPrepA (Low) [blcoal] [spbf],DPrepA_Image (Low) [blcoal] [spbf],DPrepB (Low) [blcoal] [spbf],DPrepC (Low) [blcoal] [spbf],DPrepD (Low) [blcoal] [spbf],Fast_Img (Low) [blcoal] [spbf],Ingest (Mid1) [blcoal] [spbf],ICAL (Mid1) [blcoal] [spbf],RCAL (Mid1) [blcoal] [spbf],DPrepA (Mid1) [blcoal] [spbf],DPrepA_Image (Mid1) [blcoal] [spbf],DPrepB (Mid1) [blcoal] [spbf],DPrepC (Mid1) [blcoal] [spbf],DPrepD (Mid1) [blcoal] [spbf],Fast_Img (Mid1) [blcoal] [spbf],Ingest (Mid2) [blcoal] [spbf],ICAL (Mid2) [blcoal] [spbf],RCAL (Mid2) [blcoal] [spbf],DPrepA (Mid2) [blcoal] [spbf],DPrepA_Image (Mid2) [blcoal] [spbf],DPrepB (Mid2) [blcoal] [spbf],DPrepC (Mid2) [blcoal] [spbf],DPrepD (Mid2) [blcoal] [spbf],Fast_Img (Mid2) [blcoal] [spbf],Ingest (Mid5A) [blcoal] [spbf],ICAL (Mid5A) [blcoal] [spbf],RCAL (Mid5A) [blcoal] [spbf],DPrepA (Mid5A) [blcoal] [spbf],DPrepA_Image (Mid5A) [blcoal] [spbf],DPrepB (Mid5A) [blcoal] [spbf],DPrepC (Mid5A) [blcoal] [spbf],DPrepD (Mid5A) [blcoal] [spbf],Fast_Img (Mid5A) [blcoal] [spbf],Ingest (Mid5B) [blcoal] [spbf],ICAL (Mid5B) [blcoal] [spbf],RCAL (Mid5B) [blcoal] [spbf],DPrepA (Mid5B) [blcoal] [spbf],DPrepA_Image (Mid5B) [blcoal] [spbf],DPrepB (Mid5B) [blcoal] [spbf],DPrepC (Mid5B) [blcoal] [spbf],DPrepD (Mid5B) [blcoal] [spbf],Fast_Img (Mid5B) [blcoal] [spbf],Ingest (Mid5C) [blcoal] [spbf],ICAL (Mid5C) [blcoal] [spbf],RCAL (Mid5C) [blcoal] [spbf],DPrepA (Mid5C) [blcoal] [spbf],DPrepA_Image (Mid5C) [blcoal] [spbf],DPrepB (Mid5C) [blcoal] [spbf],DPrepC (Mid5C) [blcoal] [spbf],DPrepD (Mid5C) [blcoal] [spbf],Fast_Img (Mid5C) [blcoal] [spbf]
"Channels backward, no-smear1",1626.7965167781667,1317.8899577352893,1317.8899577352893,1054.506449513207,1317.8899577352893,1317.8899577352893,3161.0062248568347,3161.0062248568347,2845.002876807837,3767.259952131288,1220.9634817176923,1220.9634817176923,939.3293974920632,1356.5650741686497,1526.0670626744802,915.8015939374465,6864.942273636082,4390.595064095621,2054.7831546141115,951.2375319971059,951.2375319971059,665.959238954805,951.2375319971059,1109.7254693717287,642.1451664026462,3744.3488967734665,2394.7681956579695,1446.0929017246065,937.1445813732993,937.1445813732993,585.7967292438651,937.1445813732993,937.1445813732993,632.6028311554632,2635.15799966488,1685.3640564542193,660.2103737905189,427.85149409557937,427.85149409557937,305.6367570007792,427.85149409557937,534.7893878870661,1203.0745958683376,1203.0745958683376,769.4489255803708,2485.9873730119093,1342.6023701914512,1342.6023701914512,1007.0437213997881,1342.6023701914512,1611.049285867178,1087.5085536831461,4530.120934113291,2897.3207797379746
"Channels backward, no-smear2",2382.4611407963093,1929.9783292924083,1929.9783292924083,1544.177180900574,1929.9783292924083,1929.9783292924083,4629.754160708587,4629.754160708587,4166.876025758605,5022.83018303477,1627.768254954736,1627.768254954736,1252.256157056809,1808.570373420898,2034.5730199598029,1220.8857539214612,9153.073271346264,5853.943663441757,2739.607558487833,1268.2134055444637,1268.2134055444637,887.8423565662766,1268.2134055444637,1479.5306525735034,856.0902608701241,4992.361877262363,3192.9209452546934,1928.0515355533043,1249.4537785218913,1249.4537785218913,780.9899815429653,1249.4537785218913,1249.4537785218913,843.3981162685819,3513.4716632831455,2247.0797409596876,880.2471903509299,570.4353523546921,570.4353523546921,407.4823713759993,570.4353523546921,713.0192098358275,1604.0661517954907,1604.0661517954907,1025.8985923202388,3314.5272234667896,1790.0138953853188,1790.0138953853188,1342.6023701914512,1790.0138953853188,2147.943113021092,1449.8888113031724,6040.038633493189,3862.9717642657424
"Channels backward, no-smear3",3458.7107104119405,2801.7404981711366,2801.7404981711366,2241.586938882596,2801.7404981711366,2801.7404981711366,6721.607257574179,6721.607257574179,6049.543817415792,7533.970638170312,2441.3777808470027,2441.3777808470027,1878.1096494368924,2712.580953399158,3051.5849180597625,1831.0540464535015,13729.335263104213,8780.640856407961,4109.256362339347,1902.165144226012,1902.165144226012,1331.608579773788,1902.165144226012,2219.14101176475,1283.980437343676,7488.387836098659,4789.226441112072,2891.968800495013,1874.0721686334662,1874.0721686334662,1171.3764794443684,1874.0721686334662,1874.0721686334662,1264.9886802931676,5270.098989032808,3370.5111076432245,1320.3208222098451,855.6030669285161,855.6030669285161,611.1735974050059,855.6030669285161,1069.4788521775574,2406.0492629538408,2406.0492629538408,1538.7979247168228,4971.606919841428,2684.8369373752475,2684.8369373752475,2013.7196565822142,2684.8369373752475,3221.730760331539,2174.649316179828,9059.874029764045,5794.273729429907
"Channels backward, no-smear4",5061.635568840222,4100.1096457592,4100.1096457592,3280.2822729956692,4100.1096457592,4100.1096457592,9837.133129807215,9837.133129807215,8853.517105553552,12556.251540408359,4068.596807922735,4068.596807922735,3129.816602084691,4520.602091119545,5085.608694493264,3051.3905985794445,22881.859242246133,14634.035235477146,6848.5539653768465,3170.0686114902282,3170.0686114902282,2219.14101176475,3170.0686114902282,3698.3617214896512,2139.760775332095,12480.43975123657,7981.837428793979,4819.803327119454,3123.308943830835,3123.308943830835,1952.149467208934,3123.308943830835,3123.308943830835,2108.169800898642,8783.353638730738,5617.3738382134225,2200.4680844190366,1425.9384937424293,1425.9384937424293,1018.5560461953065,1425.9384937424293,1782.3981349931155,4010.0154844540652,4010.0154844540652,2564.5965882148244,8285.76630714385,4474.4830112811205,4474.4830112811205,3355.9542159313764,4474.4830112811205,5369.306046552494,3624.1703134898366,15099.544819346385,9656.87765508817
"Channels backward, no-smear5",7374.427128148128,5973.470817098378,5973.470817098378,4778.971220927756,5973.470817098378,5973.470817098378,14332.391876912034,14332.391876912034,12899.249980086895,17578.532439633425,5695.815825583903,5695.815825583903,4381.523542496751,6328.623220362096,7119.632463393907,4271.727138157234,32034.383219760202,20487.429611910986,9587.851566631676,4437.972074905572,4437.972074905572,3106.673438257848,4437.972074905572,5177.5824279175995,2995.541107621175,17472.491665383553,11174.448414962055,6747.637852514593,4372.54571711229,4372.54571711229,2732.922451909067,4372.54571711229,4372.54571711229,2951.350918670754,12296.60828776359,7864.236567728094,3080.6153460537075,1996.2739196668836,1996.2739196668836,1425.9384937424293,1996.2739196668836,2495.317417100678,5613.981705611628,5613.981705611628,3590.395251217516,11599.925692369377,6264.129081348491,6264.129081348491,4698.188770162809,6264.129081348491,7516.881329584529,5073.6913060585,21139.215607677965,13519.481578975125
"Channels backward, no-smear6",10763.468209784225,8718.594098944057,8718.594098944057,6975.0698538862025,8718.594098944057,8718.594098944057,20919.503696560292,20919.503696560292,18827.650619227432,27623.094235464625,8950.253853200655,8950.253853200655,6884.937413304126,9944.665471916558,11187.679995031649,6712.400207030805,50339.43117338024,32194.218362539585,15066.446767662303,6973.778998592241,6973.778998592241,4881.738286751636,6973.778998592241,8136.023838057545,4707.101767537112,27456.595492975874,17559.670386028447,10603.30690224929,6871.019262117228,6871.019262117228,4294.468418808843,6871.019262117228,6871.019262117228,4637.71315188954,19323.11758529115,12357.962025880577,4840.909868830683,3136.944770783244,3136.944770783244,2240.7033878127336,3136.944770783244,3921.1559807232757,8821.91414772804,8821.91414772804,5641.992576805486,18228.244461150298,9843.421218344438,9843.421218344438,7382.65787442381,9843.421218344438,11812.031892985902,7972.733287332482,33218.55718360824,21244.689425282002
"Channels backward, no-smear7",18320.113846845565,14839.477070095914,14839.477070095914,11871.776237515218,14839.477070095914,14839.477070095914,35606.98274460911,35606.98274460911,32046.381763758778,37667.65603029708,12204.691877411036,12204.691877411036,9388.351279653614,13560.707720387763,15255.727523945518,9153.073271346264,68644.47912648872,43901.00711260044,20545.041968064605,9509.585920875255,9509.585920875255,6656.803133248551,9509.585920875255,11094.465247025146,6418.662425368087,37440.69931984898,23944.89235654539,14458.975951528024,9369.492806415708,9369.492806415708,5856.014384591291,9369.492806415708,9369.492806415708,6324.075384066514,26349.62688235958,16851.68748361234,6601.204391408641,4277.615621592935,4277.615621592935,3055.4682814381094,4277.615621592935,5346.994544082644,12029.846589709447,12029.846589709447,7693.589902261288,24856.56322909094,13422.713353947864,13422.713353947864,10067.1269768297,13422.713353947864,16107.182455237864,10871.775266874702,45297.898759003605,28969.89727092497
"Channels backward, no-smear8",,,,,,,,,,45201.07737624433,14645.520394671583,14645.520394671583,11265.911678304921,16272.739405947037,18306.763169934395,10983.578068427887,82373.26509018058,52681.09867435777,24653.988368231738,11411.441112215982,11411.441112215982,7988.101767593446,11411.441112215982,13313.296303445573,7702.332918235278,44928.77719007878,28733.8088344391,17350.727738383684,11243.34796445438,11243.34796445438,7027.173858652879,11243.34796445438,11243.34796445438,7588.847057946887,31619.508855287142,20221.98157672374,7921.425283300245,5133.118759595582,5133.118759595582,3666.541951536068,5133.118759595582,6416.373466571292,14435.795921088982,14435.795921088982,9232.287896301332,29827.802305074,16107.182455237864,16107.182455237864,12080.47880318832,16107.182455237864,19328.54537663272,13046.056751065687,54357.40494034131,34763.803155122936
"Channels backward, no-smear9",,,,,,,,,,55245.639170555,17899.958417113157,17899.958417113157,13769.325542395638,19888.781652859445,22374.810697404097,13424.251130393075,100678.31304361316,64387.887423621025,30132.583568244918,13947.248033770105,13947.248033770105,9763.166613075819,13947.248033770105,16271.737711798904,9413.893574995998,54912.88101689317,35119.03080474535,21206.396787594203,13741.821508373107,13741.821508373107,8588.719823841986,13741.821508373107,13741.821508373107,9275.209289594408,38646.01815217868,24715.707034426418,9681.719805811686,6273.789610246891,6273.789610246891,4481.3068449318325,6273.789610246891,7842.212029786747,17643.728363088867,17643.728363088867,11283.885221562772,36456.12107261481,19686.47459016477,19686.47459016477,14764.947904614515,19686.47459016477,23623.695938386394,15945.098729715224,66436.74651652182,42489.01100007879
"Channels backward, no-smear10",,,,,,,,,,65290.200964363954,21154.396439210148,21154.396439210148,16272.739405947037,23504.823899465737,26442.85822453133,15864.92419188574,118983.36099533516,76094.67617268747,35611.17876840851,16483.05495522998,16483.05495522998,11538.231458305414,16483.05495522998,19230.1791200106,11125.454231546406,64896.98484398008,41504.25277471908,25062.065836560167,16240.295052214517,16240.295052214517,10150.265788948842,16240.295052214517,16240.295052214517,10961.571521183305,45672.52744954128,29209.432492013344,11442.014328212696,7414.460460822171,7414.460460822171,5296.071738247861,7414.460460822171,9268.050593015527,20851.660804924362,20851.660804924362,13335.48254691276,43084.43984028982,23265.766724891524,23265.766724891524,17449.41700591775,23265.766724891524,27918.846499861975,18844.140708177056,78516.08809186322,50214.21884546187
