Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"Channels predict, no-smear5",5973.470817098378,14332.391876912034,8136.644346788232,4805.624372714222,5867.363512882922,13200.437999296486,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,1523.288086473978,1827.9272615478014,1827.9272615478014,1028.1839435870054,,,,,,,,,2256.3976701657107,2256.3976701657107,3008.4998406776094,4055.6218284109505,4055.6218284109505,16897.78231193275,4563.583925007532,5476.2476490649415,5476.2476490649415,4563.583925007532,5476.2476490649415,5476.2476490649415,4563.583925007532,5476.2476490649415,5476.2476490649415,5717.21365697514,5717.21365697514,19056.851549620624,5717.21365697514,5717.21365697514,19056.851549620624
"Channels predict, no-smear6",8718.594098944057,20919.503696560292,12785.841524431838,7551.381573183239,9220.010487787478,20743.413250674002,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,1740.887497252959,2089.046554398382,2089.046554398382,1175.0541913352508,,,,,,,,,3545.715676687566,3545.715676687566,4727.590515759269,5793.658586237482,5793.658586237482,24139.6021320338,7171.194564597031,8605.380415891032,8605.380415891032,7171.194564597031,8605.380415891032,8605.380415891032,7171.194564597031,8605.380415891032,8605.380415891032,8984.063753727927,8984.063753727927,29946.351868775237,8984.063753727927,8984.063753727927,29946.351868775237
"Channels predict, no-smear7",14839.477070095914,35606.98274460911,17435.03869966,10297.138769598103,12572.657462081977,28286.38850162736,10568.008024797524,10568.008024797524,10568.008024797524,5072.092687410612,10568.008024797524,10568.008024797524,10568.008024797524,5072.092687410612,10568.008024797524,10568.008024797524,10568.008024797524,5072.092687410612,,,,,,,,,,,,,4835.0336829480575,4835.0336829480575,6446.6811906974535,,,,9778.805203194423,11734.513181907203,11734.513181907203,9778.805203194423,11734.513181907203,11734.513181907203,9778.805203194423,11734.513181907203,11734.513181907203,12250.91384989669,12250.91384989669,40835.852187483535,12250.91384989669,12250.91384989669,40835.852187483535
"Channels predict, no-smear8",,,20921.93658050782,12356.456665854836,15087.14269268452,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,5802.02218761939,7735.999196790231,,,,11734.513181907203,14081.36275621053,14081.36275621053,11734.513181907203,14081.36275621053,14081.36275621053,11734.513181907203,14081.36275621053,14081.36275621053,14701.051421855485,14701.051421855485,49002.97742740717,14701.051421855485,14701.051421855485,49002.97742740717
"Channels predict, no-smear9",,,25571.133754518924,15102.21386022389,18439.78966671555,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,7091.340193737987,9455.089871673488,,,,14342.123819976441,17210.49552174649,17210.49552174649,14342.123819976441,17210.49552174649,17210.49552174649,14342.123819976441,17210.49552174649,17210.49552174649,17967.901517736373,17967.901517736373,59892.47774672244,17967.901517736373,17967.901517736373,59892.47774672244
"Channels predict, no-smear10",,,30220.330928199935,17847.97105410027,21792.436640563104,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,8380.658199914396,11174.18054640984,,,,16949.734457906787,20339.628287199474,20339.628287199474,16949.734457906787,20339.628287199474,20339.628287199474,16949.734457906787,20339.628287199474,20339.628287199474,21234.75161354068,21234.75161354068,70781.97806443083,21234.75161354068,21234.75161354068,70781.97806443083
"Channels predict, no-smear11",,,34869.52810182881,20593.728247660394,25145.083614682546,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,9669.976205977098,12893.271221261048,,,,19557.345095862493,23468.76105257296,23468.76105257296,19557.345095862493,23468.76105257296,23468.76105257296,19557.345095862493,23468.76105257296,23468.76105257296,24501.601709168484,24501.601709168484,81671.47838303052,24501.601709168484,24501.601709168484,81671.47838303052
"Channels backward, no-smear0",909.8309866017943,2181.8409106014506,1162.8485129365304,686.9884579530388,838.393033938736,1885.9751150023908,647.9409371938357,647.9409371938357,647.9409371938357,311.3158565213452,647.9409371938357,647.9409371938357,647.9409371938357,311.3158565213452,647.9409371938357,647.9409371938357,647.9409371938357,311.3158565213452,217.69161204396846,261.21149632239513,261.21149632239513,146.96244263572447,322.2189921177397,322.2189921177397,230.1882917635234,83.81018894576124,429.86382302328974,257.9547512531722,322.42065370364355,25.664246596024633,322.42065370364355,322.42065370364355,429.86382302328974,579.5482945194844,579.5482945194844,2414.1426668997783,652.167937578682,782.5484754593473,782.5484754593473,652.167937578682,782.5484754593473,782.5484754593473,652.167937578682,782.5484754593473,782.5484754593473,816.9384956364858,816.9384956364858,2722.601066020032,816.9384956364858,816.9384956364858,2722.601066020032
"Channels backward, no-smear1",1317.8899577352893,3161.0062248568347,1743.998188401229,1030.2081558361895,1257.4739127539747,2828.8470245059593,938.5421732762752,938.5421732762752,938.5421732762752,450.77950390271826,938.5421732762752,938.5421732762752,938.5421732762752,450.77950390271826,938.5421732762752,938.5421732762752,938.5421732762752,450.77950390271826,326.49132165556017,391.7711462657152,391.7711462657152,220.39757276382815,483.27271301923463,483.27271301923463,345.22666677738835,125.69676097570242,644.7501595153672,386.88655543856316,483.585407325264,38.494609457539404,483.585407325264,483.585407325264,644.7501595153672,869.2210952001216,869.2210952001216,3621.1126387992745,978.1192792840136,1173.6900811103947,1173.6900811103947,978.1192792840136,1173.6900811103947,1173.6900811103947,978.1192792840136,1173.6900811103947,1173.6900811103947,1225.2947645381312,1225.2947645381312,4083.788607959765,1225.2947645381312,1225.2947645381312,4083.788607959765
"Channels backward, no-smear2",1929.9783292924083,4629.754160708587,2325.1478494585263,1373.4278293411337,1676.554788025041,3771.7189324319356,1374.4439667205775,1374.4439667205775,1374.4439667205775,659.9748488531077,1374.4439667205775,1374.4439667205775,1374.4439667205775,659.9748488531077,1374.4439667205775,1374.4439667205775,1374.4439667205775,659.9748488531077,435.2910290982149,522.3307944011752,522.3307944011752,293.8326996797767,644.3264317751682,644.3264317751682,460.2650387885061,167.5833320959154,859.6364949340269,515.818357835032,644.7501595153672,51.32497229224026,644.7501595153672,644.7501595153672,859.6364949340269,1158.8938919419184,1158.8938919419184,4828.082609751441,1304.070614995905,1564.8316817669963,1564.8316817669963,1304.070614995905,1564.8316817669963,1564.8316817669963,1304.070614995905,1564.8316817669963,1564.8316817669963,1633.6510299688712,1633.6510299688712,5444.976148857445,1633.6510299688712,1633.6510299688712,5444.976148857445
"Channels backward, no-smear3",2801.7404981711366,6721.607257574179,3487.4471571609083,2059.86715195982,2514.716535019653,5657.462746707873,1995.2737529262452,1995.2737529262452,1995.2737529262452,957.9196491726934,1995.2737529262452,1995.2737529262452,1995.2737529262452,957.9196491726934,1995.2737529262452,1995.2737529262452,1995.2737529262452,957.9196491726934,652.8904418135188,783.4500888644667,783.4500888644667,440.7029502981749,966.4338671409787,966.4338671409787,690.3417798070242,251.35647342651336,1289.4091646977774,773.6819608386259,967.0796624647984,76.98569793480485,967.0796624647984,967.0796624647984,1289.4091646977774,1738.239481487407,1738.239481487407,7242.02255073392,1955.9732804231985,2347.114878082577,2347.114878082577,1955.9732804231985,2347.114878082577,2347.114878082577,1955.9732804231985,2347.114878082577,2347.114878082577,2450.3635573561846,2450.3635573561846,8167.351229610696,2450.3635573561846,2450.3635573561846,8167.351229610696
"Channels backward, no-smear4",4100.1096457592,9837.133129807215,5812.045755267206,3432.745767915875,4191.040024760407,9428.950373368421,2919.913831461066,2919.913831461066,2919.913831461066,1401.6671646345294,2919.913831461066,2919.913831461066,2919.913831461066,1401.6671646345294,2919.913831461066,2919.913831461066,2919.913831461066,1401.6671646345294,1088.0892646396737,1305.6886756205524,1305.6886756205524,734.4434476774929,1610.6487352975146,1610.6487352975146,1150.4952582398796,418.90275499589205,,,,,1611.7386666437208,1611.7386666437208,2148.954502933313,2896.9306558489093,2896.9306558489093,12069.902431522405,3259.7786040836563,3911.681264714464,3911.681264714464,3259.7786040836563,3911.681264714464,3911.681264714464,3259.7786040836563,3911.681264714464,3911.681264714464,4083.788607959765,4083.788607959765,13612.101389848413,4083.788607959765,4083.788607959765,13612.101389848413
"Channels backward, no-smear5",5973.470817098378,14332.391876912034,8136.644346788232,4805.624372714222,5867.363512882922,13200.437999296486,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,1523.288086473978,1827.9272615478014,1827.9272615478014,1028.1839435870054,,,,,,,,,2256.3976701657107,2256.3976701657107,3008.4998406776094,4055.6218284109505,4055.6218284109505,16897.78231193275,4563.583925007532,5476.2476490649415,5476.2476490649415,4563.583925007532,5476.2476490649415,5476.2476490649415,4563.583925007532,5476.2476490649415,5476.2476490649415,5717.21365697514,5717.21365697514,19056.851549620624,5717.21365697514,5717.21365697514,19056.851549620624
"Channels backward, no-smear6",8718.594098944057,20919.503696560292,12785.841524431838,7551.381573183239,9220.010487787478,20743.413250674002,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,1740.887497252959,2089.046554398382,2089.046554398382,1175.0541913352508,,,,,,,,,3545.715676687566,3545.715676687566,4727.590515759269,5793.658586237482,5793.658586237482,24139.6021320338,7171.194564597031,8605.380415891032,8605.380415891032,7171.194564597031,8605.380415891032,8605.380415891032,7171.194564597031,8605.380415891032,8605.380415891032,8984.063753727927,8984.063753727927,29946.351868775237,8984.063753727927,8984.063753727927,29946.351868775237
"Channels backward, no-smear7",14839.477070095914,35606.98274460911,17435.03869966,10297.138769598103,12572.657462081977,28286.38850162736,10568.008024797524,10568.008024797524,10568.008024797524,5072.092687410612,10568.008024797524,10568.008024797524,10568.008024797524,5072.092687410612,10568.008024797524,10568.008024797524,10568.008024797524,5072.092687410612,,,,,,,,,,,,,4835.0336829480575,4835.0336829480575,6446.6811906974535,,,,9778.805203194423,11734.513181907203,11734.513181907203,9778.805203194423,11734.513181907203,11734.513181907203,9778.805203194423,11734.513181907203,11734.513181907203,12250.91384989669,12250.91384989669,40835.852187483535,12250.91384989669,12250.91384989669,40835.852187483535
"Channels backward, no-smear8",,,20921.93658050782,12356.456665854836,15087.14269268452,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,5802.02218761939,7735.999196790231,,,,11734.513181907203,14081.36275621053,14081.36275621053,11734.513181907203,14081.36275621053,14081.36275621053,11734.513181907203,14081.36275621053,14081.36275621053,14701.051421855485,14701.051421855485,49002.97742740717,14701.051421855485,14701.051421855485,49002.97742740717
"Channels backward, no-smear9",,,25571.133754518924,15102.21386022389,18439.78966671555,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,7091.340193737987,9455.089871673488,,,,14342.123819976441,17210.49552174649,17210.49552174649,14342.123819976441,17210.49552174649,17210.49552174649,14342.123819976441,17210.49552174649,17210.49552174649,17967.901517736373,17967.901517736373,59892.47774672244,17967.901517736373,17967.901517736373,59892.47774672244
"Channels backward, no-smear10",,,30220.330928199935,17847.97105410027,21792.436640563104,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,8380.658199914396,11174.18054640984,,,,16949.734457906787,20339.628287199474,20339.628287199474,16949.734457906787,20339.628287199474,20339.628287199474,16949.734457906787,20339.628287199474,20339.628287199474,21234.75161354068,21234.75161354068,70781.97806443083,21234.75161354068,21234.75161354068,70781.97806443083
"Channels backward, no-smear11",,,34869.52810182881,20593.728247660394,25145.083614682546,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,9669.976205977098,12893.271221261048,,,,19557.345095862493,23468.76105257296,23468.76105257296,19557.345095862493,23468.76105257296,23468.76105257296,19557.345095862493,23468.76105257296,23468.76105257296,24501.601709168484,24501.601709168484,81671.47838303052,24501.601709168484,24501.601709168484,81671.47838303052
Frequencies predict ifft,100,100,100,100,100,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,20,100,100,20,100,100,20,100,100,20,100,100,20,100,100,20
Frequencies predict kernels0,294.4008818030561,595.6315697792594,248.94836451338617,456.3054012490108,104.59189366628341,199.9485387093033,210.20085460862413,209.8919022319574,209.84887291902237,410.94719631381014,210.20085460862413,209.8919022319574,209.84887291902237,410.94719631381014,210.20085460862413,209.8919022319574,209.84887291902237,410.94719631381014,42.76369088792289,42.698841963715964,42.363822960048104,80.40443697726471,51.76072068819976,51.42459820470883,51.280185780568765,32.386629733407176,43.57984016574349,42.148528230016765,42.078442349717804,20.0,41.38469864997212,41.26715115816463,41.320391320980235,92.86740335500134,92.53505571096034,97.53039118866107,120.67729841584305,120.6465556708086,120.3453698239057,120.67729841584305,120.6465556708086,120.3453698239057,120.67729841584305,120.6465556708086,120.3453698239057,102.42347866790134,102.3251118121029,103.19698789850928,102.42347866790134,102.3251118121029,103.19698789850928
Frequencies predict kernels1,295.5457094686839,615.2607406003507,249.83565342024428,460.4700934466945,104.7655135516245,207.91398133984265,211.35993634884204,210.8231119244045,210.74830363198396,415.42866637981143,211.35993634884204,210.8231119244045,210.74830363198396,415.42866637981143,211.35993634884204,210.8231119244045,210.74830363198396,415.42866637981143,43.70616329607896,43.58929570914301,42.98342454160234,84.11086215865103,52.91726543439114,52.3105731678954,52.04900162353094,33.935356924874675,45.53134607550385,42.97863443101783,42.85204068633799,20.0,41.59028979091472,41.37491479677522,41.47251983518387,94.01015910747284,93.40519023657006,102.3358494860415,121.46744311421949,121.41125115531253,120.86016595928719,121.46744311421949,121.41125115531253,120.86016595928719,121.46744311421949,121.41125115531253,120.86016595928719,102.79059501444556,102.61026545302337,104.2040948446913,102.79059501444556,102.61026545302337,104.2040948446913
Frequencies predict kernels2,297.6105674280158,649.3877440681596,250.88336536217963,465.36038045922504,104.97090179743901,216.9889494387364,213.44612127610273,212.50149600064353,212.36972474136294,423.4385923097213,213.44612127610273,212.50149600064353,212.36972474136294,423.4385923097213,213.44612127610273,212.50149600064353,212.36972474136294,423.4385923097213,44.79856862088918,44.62262219850706,43.70693839913753,88.30883446523958,54.257393450711675,53.34243112626655,52.94642277918043,35.686674228517184,47.74428909683471,43.943043582526506,43.75197610872794,20.0,41.832713082244815,41.50228107254583,41.65213251845976,95.34769202393528,94.42662916567949,107.76239737644207,122.39766519214446,122.31170236228624,121.46760772678954,122.39766519214446,122.31170236228624,121.46760772678954,122.39766519214446,122.31170236228624,121.46760772678954,103.22407786320684,102.94723225206138,105.38589813445384,103.22407786320684,102.94723225206138,105.38589813445384
Frequencies predict kernels3,301.1327112194554,704.3642379325222,253.3714168513987,476.8575880172961,105.46033196035371,237.31975293030342,216.9917664303366,215.36090386701292,215.13301594243399,436.8942000678412,216.9917664303366,215.36090386701292,215.13301594243399,436.8942000678412,216.9917664303366,215.36090386701292,215.13301594243399,436.8942000678412,47.311412334526885,47.00409893230669,45.39171326838633,97.63460090021685,57.338568542587424,55.73470897729474,55.03485631515265,39.568466294269136,52.66861838523583,46.16987621246611,45.834408500851616,20.0,42.40693533193022,41.805268984742156,42.078575871398314,98.47471578208891,96.82684529559248,119.76710655914295,124.5947500662938,124.4392770292698,122.90825192960662,124.5947500662938,124.4392770292698,122.90825192960662,124.5947500662938,124.4392770292698,122.90825192960662,104.25345240804621,103.74857741855054,108.16119459494685,104.25345240804621,103.74857741855054,108.16119459494685
Frequencies predict kernels4,307.37730211460064,794.0265776691134,259.5659272564557,504.82576095331626,106.68925889760497,282.4416704920672,223.23969030717757,220.41994108363883,220.02478692546532,460.1636625586367,223.23969030717757,220.41994108363883,220.02478692546532,460.1636625586367,223.23969030717757,220.41994108363883,220.02478692546532,460.1636625586367,53.1556079197173,52.563127134249044,49.406711017222634,118.05367215756625,64.49787776735566,61.384938493086665,60.005401719636126,48.037986692460606,,,,,43.82787629347229,42.5628141753601,43.139744484296514,105.98947298622193,102.65907275775746,145.8816824362376,129.99535852720882,129.6735889600739,126.48384450075831,129.99535852720882,129.6735889600739,126.48384450075831,129.99535852720882,129.6735889600739,126.48384450075831,106.81606239253843,105.75057314814883,114.89544858621673,106.81606239253843,105.75057314814883,114.89544858621673
Frequencies predict kernels5,317.9917074376233,930.4248565833958,266.9833187048071,537.2379746246627,108.18002844493012,329.66683891209703,233.7560928499589,228.99013890471943,228.3192676245665,498.2435369473089,233.7560928499589,228.99013890471943,228.3192676245665,498.2435369473089,233.7560928499589,228.99013890471943,228.3192676245665,498.2435369473089,59.56914329405733,58.688680666868294,53.939290493341105,139.16382234254618,,,,,,,,,45.51414088087275,43.47571693944018,44.40942343182915,114.56172503272488,109.40793268444232,172.7271438580005,136.34380120459116,135.83408299499197,130.7455629883425,136.34380120459116,135.83408299499197,130.7455629883425,136.34380120459116,135.83408299499197,130.7455629883425,109.88416043027726,108.1602629038061,122.67378174698085,109.88416043027726,108.1602629038061,122.67378174698085
Frequencies predict kernels6,335.9977894039308,1133.1783681014306,284.3647059717406,609.5754975728016,111.75170270650925,424.0895669358611,251.33667912742058,243.45402802075884,243.45402551495872,559.5175692002451,251.33667912742058,243.45402802075884,243.45402551495872,559.5175692002451,251.33667912742058,243.45402802075884,243.45402551495872,559.5175692002451,62.88107935106237,61.85967435713054,56.32161976894429,149.7164578739548,,,,,,,,,49.40955266273662,45.63787184498016,47.38095671374987,128.49321620405473,120.55161127183251,212.57032424103426,150.80037184075525,149.88800563276197,140.65793923528992,150.80037184075525,149.88800563276197,140.65793923528992,150.80037184075525,149.88800563276197,140.65793923528992,117.07216587246945,113.85592195510655,139.9555099461264,117.07216587246945,113.85592195510655,139.9555099461264
Frequencies predict kernels7,469.7093091785,1572.6878241737365,304.01655508077044,686.8669274401016,115.9122884505387,515.7981241371111,349.00714643219936,349.00714643219936,349.00714643219936,704.84264911904,349.00714643219936,349.00714643219936,349.00714643219936,704.84264911904,349.00714643219936,349.00714643219936,349.00714643219936,704.84264911904,,,,,,,,,,,,,53.73633613860863,48.11686093961576,50.735255056032074,,,,166.5905602608118,165.270041155777,151.7602692486456,166.5905602608118,165.270041155777,151.7602692486456,166.5905602608118,165.270041155777,151.7602692486456,125.1968594218424,120.3685528498302,158.33437877141253,125.1968594218424,120.3685528498302,158.33437877141253
Frequencies predict kernels8,,,319.72342106644396,746.1625982616923,119.32249684697457,582.4837043048234,,,,,,,,,,,,,,,,,,,,,,,,,57.14735734414257,50.121024086840016,53.41276994656941,,,,178.88741296011403,177.2665721989427,160.5685855592678,178.88741296011403,177.2665721989427,160.5685855592678,178.88741296011403,177.2665721989427,160.5685855592678,131.68913549113324,125.62185212369998,172.39109277597228,131.68913549113324,125.62185212369998,172.39109277597228
Frequencies predict kernels9,,,341.5127265687406,825.7225483762219,124.16569721009675,668.78412477546,,,,,,,,,,,,,,,,,,,,,,,,,61.823769446123606,52.930249901877744,57.12295780047811,,,,195.57883710581973,193.56934878885522,172.70962375012624,195.57883710581973,193.56934878885522,172.70962375012624,195.57883710581973,193.56934878885522,172.70962375012624,140.69376687901587,132.97002078607878,191.77160304103222,140.69376687901587,132.97002078607878,191.77160304103222
Frequencies predict kernels10,,,390.90599773330473,905.1021825407877,129.27139868188752,752.4139584848382,,,,,,,,,,,,,,,,,,,,,,,,,66.58123088691096,55.85107405162154,60.93633858175056,,,,212.40406719957087,210.02021411014283,185.12435204386543,212.40406719957087,210.02021411014283,185.12435204386543,212.40406719957087,210.02021411014283,185.12435204386543,149.95732803913103,140.59382127366683,232.63723921815904,149.95732803913103,140.59382127366683,232.63723921815904
Frequencies predict kernels11,,,449.6789915938997,983.8697700123597,134.57647775646197,833.7022653997371,,,,,,,,,,,,,,,,,,,,,,,,,71.37420996163137,58.848273126998386,64.8108290122127,,,,229.23133187887905,226.48671070008075,197.684099290107,229.23133187887905,226.48671070008075,197.684099290107,229.23133187887905,226.48671070008075,197.684099290107,159.3766079328492,148.40236819879613,279.0053573646585,159.3766079328492,148.40236819879613,279.0053573646585
Frequencies predict de-grid0,909.8309866017943,65536.0,1162.8485129365304,65536.0,838.393033938736,65536.0,647.9409371938357,647.9409371938357,647.9409371938357,1500.0,647.9409371938357,647.9409371938357,647.9409371938357,1500.0,647.9409371938357,647.9409371938357,647.9409371938357,1500.0,217.69161204396846,261.21149632239513,500.0,3200.0,500.0,322.2189921177397,100.0,5000.0,500.0,257.9547512531722,322.42065370364355,2500.0,322.42065370364355,322.42065370364355,500.0,579.5482945194844,579.5482945194844,2414.1426668997783,652.167937578682,782.5484754593473,782.5484754593473,652.167937578682,782.5484754593473,782.5484754593473,652.167937578682,782.5484754593473,782.5484754593473,816.9384956364858,816.9384956364858,2722.601066020032,816.9384956364858,816.9384956364858,2722.601066020032
Frequencies predict de-grid1,1317.8899577352893,65536.0,1743.998188401229,65536.0,1257.4739127539747,65536.0,938.5421732762752,938.5421732762752,938.5421732762752,1500.0,938.5421732762752,938.5421732762752,938.5421732762752,1500.0,938.5421732762752,938.5421732762752,938.5421732762752,1500.0,326.49132165556017,391.7711462657152,500.0,3200.0,500.0,483.27271301923463,100.0,5000.0,644.7501595153672,386.88655543856316,483.585407325264,2500.0,483.585407325264,483.585407325264,644.7501595153672,869.2210952001216,869.2210952001216,3621.1126387992745,978.1192792840136,1173.6900811103947,1173.6900811103947,978.1192792840136,1173.6900811103947,1173.6900811103947,978.1192792840136,1173.6900811103947,1173.6900811103947,1225.2947645381312,1225.2947645381312,4083.788607959765,1225.2947645381312,1225.2947645381312,4083.788607959765
Frequencies predict de-grid2,1929.9783292924083,65536.0,2325.1478494585263,65536.0,1676.554788025041,65536.0,1374.4439667205775,1374.4439667205775,1374.4439667205775,1500.0,1374.4439667205775,1374.4439667205775,1374.4439667205775,1500.0,1374.4439667205775,1374.4439667205775,1374.4439667205775,1500.0,435.2910290982149,522.3307944011752,522.3307944011752,3200.0,644.3264317751682,644.3264317751682,100.0,5000.0,859.6364949340269,515.818357835032,644.7501595153672,2500.0,644.7501595153672,644.7501595153672,859.6364949340269,1158.8938919419184,1158.8938919419184,4828.082609751441,1304.070614995905,1564.8316817669963,1564.8316817669963,1304.070614995905,1564.8316817669963,1564.8316817669963,1304.070614995905,1564.8316817669963,1564.8316817669963,1633.6510299688712,1633.6510299688712,5444.976148857445,1633.6510299688712,1633.6510299688712,5444.976148857445
Frequencies predict de-grid3,2801.7404981711366,65536.0,3487.4471571609083,65536.0,2514.716535019653,65536.0,1995.2737529262452,1995.2737529262452,1995.2737529262452,1500.0,1995.2737529262452,1995.2737529262452,1995.2737529262452,1500.0,1995.2737529262452,1995.2737529262452,1995.2737529262452,1500.0,652.8904418135188,783.4500888644667,783.4500888644667,3200.0,966.4338671409787,966.4338671409787,100.0,5000.0,1289.4091646977774,773.6819608386259,967.0796624647984,2500.0,967.0796624647984,967.0796624647984,1289.4091646977774,1738.239481487407,1738.239481487407,7242.02255073392,1955.9732804231985,2347.114878082577,2347.114878082577,1955.9732804231985,2347.114878082577,2347.114878082577,1955.9732804231985,2347.114878082577,2347.114878082577,2450.3635573561846,2450.3635573561846,8167.351229610696,2450.3635573561846,2450.3635573561846,8167.351229610696
Frequencies predict de-grid4,4100.1096457592,65536.0,5812.045755267206,65536.0,4191.040024760407,65536.0,2919.913831461066,2919.913831461066,2919.913831461066,1500.0,2919.913831461066,2919.913831461066,2919.913831461066,1500.0,2919.913831461066,2919.913831461066,2919.913831461066,1500.0,1088.0892646396737,1305.6886756205524,1305.6886756205524,3200.0,1610.6487352975146,1610.6487352975146,100.0,5000.0,,,,,1611.7386666437208,1611.7386666437208,2148.954502933313,2896.9306558489093,2896.9306558489093,12069.902431522405,3259.7786040836563,3911.681264714464,3911.681264714464,3259.7786040836563,3911.681264714464,3911.681264714464,3259.7786040836563,3911.681264714464,3911.681264714464,4083.788607959765,4083.788607959765,13612.101389848413,4083.788607959765,4083.788607959765,13612.101389848413
Frequencies predict de-grid5,5973.470817098378,65536.0,8136.644346788232,65536.0,5867.363512882922,65536.0,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,4254.037353875833,4254.037353875833,4254.037353875833,2041.931396401626,1523.288086473978,1827.9272615478014,1827.9272615478014,3200.0,,,,,,,,,2256.3976701657107,2256.3976701657107,3008.4998406776094,4055.6218284109505,4055.6218284109505,16897.78231193275,4563.583925007532,5476.2476490649415,5476.2476490649415,4563.583925007532,5476.2476490649415,5476.2476490649415,4563.583925007532,5476.2476490649415,5476.2476490649415,5717.21365697514,5717.21365697514,19056.851549620624,5717.21365697514,5717.21365697514,19056.851549620624
Frequencies predict de-grid6,8718.594098944057,65536.0,12785.841524431838,65536.0,9220.010487787478,65536.0,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,6208.990620889499,6208.990620889499,6208.990620889499,2980.140341877421,1740.887497252959,2089.046554398382,2089.046554398382,3200.0,,,,,,,,,3545.715676687566,3545.715676687566,4727.590515759269,5793.658586237482,5793.658586237482,24139.6021320338,7171.194564597031,8605.380415891032,8605.380415891032,7171.194564597031,8605.380415891032,8605.380415891032,7171.194564597031,8605.380415891032,8605.380415891032,8984.063753727927,8984.063753727927,29946.351868775237,8984.063753727927,8984.063753727927,29946.351868775237
