Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support bw3 [uv-pixels],2.3978903498232453,7.329384403949068,2.117682214084188,3.4154270377632847,1.4410788661702658,7.485016216423158,2.863118974298563,2.563595873694662,2.519102040719342,4.059323663169612,2.863118974298563,2.563595873694662,2.519102040719342,4.059323663169612,2.863118974298563,2.563595873694662,2.519102040719342,4.059323663169612,5.41544445339441,5.2582450072125,4.361791508351496,8.134627587587662,5.455358095048305,4.752835201888479,4.418597789952799,8.308924614638832,8.004478634147391,5.100865681187804,4.918394093114829,26.359733298778945,2.505405471916936,1.810069942711834,2.1526950671975813,3.9868073793114505,3.4699395952647767,8.45910509557216,2.883121361276135,2.8357840710771236,2.3224697383292496,2.883121361276135,2.8357840710771236,2.3224697383292496,2.883121361276135,2.8357840710771236,2.3224697383292496,2.123724229587107,1.8703565635419344,3.5368638261742515,2.123724229587107,1.8703565635419344,3.5368638261742515
W kernel support bw4 [uv-pixels],3.193071518202192,9.767672167625493,3.109233844147126,5.016352011284718,2.1153835422931975,11.002967168011494,3.8129240593239326,3.413840428178912,3.354560264816597,5.407104175632164,3.8129240593239326,3.413840428178912,3.354560264816597,5.407104175632164,3.8129240593239326,3.413840428178912,3.354560264816597,5.407104175632164,7.95744705233142,7.72620233173249,6.407740805027872,11.959323669843284,8.016163118697584,6.982817052928114,6.491276055789034,12.215954938669173,,,,,3.678902413304805,2.657345107623619,3.16067275891872,5.856360762735758,5.096484815405919,12.437088059817922,4.2339641459102175,4.16439590737188,3.410108312639975,4.2339641459102175,4.16439590737188,3.410108312639975,4.2339641459102175,4.16439590737188,3.410108312639975,3.118110371690801,2.7459019371368574,5.19486504661954,3.118110371690801,2.7459019371368574,5.19486504661954
W kernel support bw5 [uv-pixels],4.238237269222295,12.977072907011959,4.0047821322355075,6.4630165743339525,2.724210740943211,14.185977559292022,5.061528719584757,4.531446844287081,4.452713282741538,7.179563678333541,5.061528719584757,4.531446844287081,4.452713282741538,7.179563678333541,5.061528719584757,4.531446844287081,4.452713282741538,7.179563678333541,10.256047046579969,9.95773804764468,8.257159671221489,15.420480304933406,,,,,,,,,4.7389526380150935,3.422481139286683,4.071070492867595,7.5461125261489395,6.566330143842519,16.03726925778319,5.454399001340415,5.364723809679823,4.392526057917509,5.454399001340415,5.364723809679823,4.392526057917509,5.454399001340415,5.364723809679823,4.392526057917509,4.016221081646596,3.536589230893872,6.693172258566587,4.016221081646596,3.536589230893872,6.693172258566587
W kernel support bw6 [uv-pixels],5.6341142887710225,17.270722901978413,5.62779592675401,9.08642729874596,3.827185521035381,19.966796839617643,6.7294379674553975,6.024179138993435,6.024178905468528,9.548335638367364,6.7294379674553975,6.024179138993435,6.024178905468528,9.548335638367364,6.7294379674553975,6.024179138993435,6.024178905468528,9.548335638367364,11.343459033929507,11.013390457126178,9.131884851500889,17.058684012208907,,,,,,,,,6.660467967800497,4.808921053829183,5.721025835678369,9.874788220569497,8.591573039033992,21.005402513288715,7.667033306135155,7.540856746922219,6.173159428439063,7.667033306135155,7.540856746922219,6.173159428439063,7.667033306135155,7.540856746922219,6.173159428439063,5.643883855655341,4.969375307806349,9.410375101914877,5.643883855655341,4.969375307806349,9.410375101914877
W kernel support bw7 [uv-pixels],12.565332679577319,25.836184103467893,7.108988472585191,11.482231856345278,4.833362242626887,25.254896600628864,13.437834202593292,13.437834202593292,13.437834202593292,14.266359102566138,13.437834202593292,13.437834202593292,13.437834202593292,14.266359102566138,13.437834202593292,13.437834202593292,13.437834202593292,14.266359102566138,,,,,,,,,,,,,8.414458081415233,6.073981521174626,7.226836004954132,,,,9.687164170853983,9.527613385796398,7.798386938485933,9.687164170853983,9.527613385796398,7.798386938485933,9.687164170853983,9.527613385796398,7.798386938485933,7.129324311440533,6.276772175774758,11.89197915006464,7.129324311440533,6.276772175774758,11.89197915006464
W kernel support bw8 [uv-pixels],,,8.15622628046188,13.176986077762242,5.544530783814399,29.00027798834749,,,,,,,,,,,,,,,,,,,,,,,,,9.654771319889848,6.968286752202084,8.291495093596692,,,,11.115888994955009,10.93270878844633,8.947560711913738,11.115888994955009,10.93270878844633,8.947560711913738,11.115888994955009,10.93270878844633,8.947560711913738,8.179568229167806,7.201031460817419,13.647503172713481,8.179568229167806,7.201031460817419,13.647503172713481
W kernel support bw9 [uv-pixels],,,9.488757167249995,15.33440385738553,6.449189360826283,33.77336870342341,,,,,,,,,,,,,,,,,,,,,,,,,11.233202203866426,8.10608518125104,9.646211279468067,,,,12.934333398013832,12.721049388262585,10.40990967364361,12.934333398013832,12.721049388262585,10.40990967364361,12.934333398013832,12.721049388262585,10.40990967364361,9.515927241461998,8.37696802709126,15.947681909141098,9.515927241461998,8.37696802709126,15.947681909141098
W kernel support bw10 [uv-pixels],,,12.209965883943491,17.3990050418302,7.3142739882855485,38.346305040857835,,,,,,,,,,,,,,,,,,,,,,,,,12.743243772170052,9.194286861603597,10.942055949347512,,,,14.67422775227981,14.432111589031296,11.808802107090385,14.67422775227981,14.432111589031296,11.808802107090385,14.67422775227981,14.432111589031296,11.808802107090385,10.794197835236588,9.501673742656614,20.534021107877123,10.794197835236588,9.501673742656614,20.534021107877123
W kernel support bw11 [uv-pixels],,,15.15700230651322,19.388579060747947,8.147345974240066,42.757628789782075,,,,,,,,,,,,,,,,,,,,,,,,,14.197986479162166,10.242374432953676,12.19029148603498,,,,16.35061586216441,16.08069462877727,13.156380824339209,16.35061586216441,16.08069462877727,13.156380824339209,16.35061586216441,16.08069462877727,13.156380824339209,12.025492059778244,10.584944693962415,25.505988589933526,12.025492059778244,10.584944693962415,25.505988589933526
AW kernel support bw0 [uv-pixels],10.05284506407741,10.481799683177423,10.042943358748259,10.11121118428614,10.019921183881095,10.522112697087605,10.075227657199816,10.060370242408448,10.058300977386304,10.150521820419588,10.075227657199816,10.060370242408448,10.058300977386304,10.150521820419588,10.075227657199816,10.060370242408448,10.058300977386304,10.150521820419588,10.27694079015711,10.261322711259247,10.18063743823518,10.613716167116824,10.280975337558008,10.214068984107332,10.18532318748361,10.639440441888475,10.594821601034983,10.246122817946175,10.229048370897477,15.226255890449258,10.060037299412501,10.031400171714468,10.044370634239085,10.151172446632081,10.114764747039755,10.661988988157638,10.079404176630558,10.07683078200713,10.051619304153409,10.079404176630558,10.07683078200713,10.051619304153409,10.079404176630558,10.07683078200713,10.051619304153409,10.043188004949169,10.033521293443583,10.11920233539533,10.043188004949169,10.033521293443583,10.11920233539533
