,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],SinglePulse (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],SinglePulse (Mid1) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],SinglePulse (Mid2) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],SinglePulse (Mid5a) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],SinglePulse (Mid5b) []
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,9.375,(undefined),10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10
Observation Time [s],3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600
Pointing Time [s],(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
Total Time [s],(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),(undefined),(undefined),(undefined),9.0,1.0,9.0,3.0,3.0,3.0,4.0,(undefined),(undefined),(undefined),(undefined),(undefined),7.0,1.0,7.0,3.0,3.0,1.0,3.0,(undefined),(undefined),(undefined),(undefined),(undefined),5.0,1.0,5.0,1.0,1.0,1.0,1.0,(undefined),(undefined),(undefined),(undefined),(undefined),5.0,1.0,5.0,1.0,1.0,1.0,1.0,(undefined),(undefined),(undefined),(undefined)
w-stacking planes,(undefined),179.27481710668113,1.5014520785534728,179.2748171066157,79.06317326822784,72.58254678730943,111.55410771021042,21.25653206895998,(undefined),(undefined),(undefined),(undefined),(undefined),10.764896308749169,1.0000000363741457,10.764896306980345,14.786608701114572,11.98243393976999,18.106130518166324,1.0000000299527985,(undefined),(undefined),(undefined),(undefined),(undefined),6.268276151695212,1.0000000221248635,6.268275913107163,6.7858408931403895,5.299339807544349,22.62038763529313,1.0000000160561444,(undefined),(undefined),(undefined),(undefined),(undefined),2.676708240943867,1.0000000239587714,2.6767083702046275,8.050479066652317,5.3565684816290196,8.426833494335371,1.000000018257589,(undefined),(undefined),(undefined),(undefined),(undefined),1.0000000150926553,1.0000000241506621,1.0000000150926553,5.56312602269295,3.638976534988227,5.755846611899398,1.000000022100172,(undefined),(undefined),(undefined),(undefined)
w-stacking planes predict,(undefined),179.27481710668113,1.5014520785534728,179.2748171066157,79.06317326822784,72.58254678730943,111.55410771021042,21.25653206895998,(undefined),(undefined),(undefined),(undefined),(undefined),10.764896308749169,1.0000000363741457,10.764896306980345,14.786608701114572,11.98243393976999,18.106130518166324,1.0000000299527985,(undefined),(undefined),(undefined),(undefined),(undefined),6.268276151695212,1.0000000221248635,6.268275913107163,6.7858408931403895,5.299339807544349,22.62038763529313,1.0000000160561444,(undefined),(undefined),(undefined),(undefined),(undefined),2.676708240943867,1.0000000239587714,2.6767083702046275,8.050479066652317,5.3565684816290196,8.426833494335371,1.000000018257589,(undefined),(undefined),(undefined),(undefined),(undefined),1.0000000150926553,1.0000000241506621,1.0000000150926553,5.56312602269295,3.638976534988227,5.755846611899398,1.000000022100172,(undefined),(undefined),(undefined),(undefined)
Stations/antennas,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
