,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],SinglePulse (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],SinglePulse (Mid1) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],SinglePulse (Mid2) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],SinglePulse (Mid5a) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],SinglePulse (Mid5b) []
Visibilities kernel pred11,,,,,,,,,,,,,,2182.3359848906234,2945.3123644837424,2182.335984774118,2506.421829187517,2341.0245682701952,2646.6517587136154,1400.9289322884977,,,,,,2601.8515855932224,8141.38428803762,2601.851550063495,2520.116567300449,2345.6898094313283,15232.396775201532,6373.22683571756,,,,,,5564.973663245457,18059.356057952995,5564.973755585986,18469.58209675226,16109.560866732887,18701.677964931834,5356.456487625852,,,,,,4757.025520666681,20662.655621491038,4757.025520666681,19534.99501189073,17361.402628203665,19681.709782330672,7945.577843192448,,,,
Visibilities kernel bw0,(undefined),6.387217536157118,32.567468020591605,6.3872175361563315,3.0296232614987155,3.0023770534138854,3.114342196091174,88.20843739135155,(undefined),(undefined),(undefined),(undefined),(undefined),3.7603639784512515,112.55413269198857,3.7603639784512515,4.073325943470025,4.073325943470025,4.073325943470025,154.26468154070787,(undefined),(undefined),(undefined),(undefined),(undefined),4.830637901336409,108.77365687772388,4.830637901336409,4.2349380228828695,4.2349380228828695,13.192236178285835,338.7225928338752,(undefined),(undefined),(undefined),(undefined),(undefined),7.427657770298827,108.73933038623957,7.427657770298827,17.361310855338523,17.361310855338523,17.361310855338523,862.0315558195357,(undefined),(undefined),(undefined),(undefined),(undefined),7.480417441416208,108.8144621758494,7.480417441416208,17.77102960108353,17.77102960108353,17.77102960108353,875.9416334983714,(undefined),(undefined),(undefined),(undefined)
Visibilities kernel bw1,,23.65138982844008,65.03229589341818,23.65138982843716,6.055812134152754,6.001350604355765,6.225153965732074,122.51171859909938,,,,,,5.335347753182275,168.61466150079036,5.335347753182275,5.889193080522007,5.889193080522007,5.889193080522007,208.67500305927905,,,,,,8.081993233303752,163.10086665988555,8.081993233303752,6.215577687752758,6.215577687752758,27.2046091900593,501.4719242088947,,,,,,16.811713935803706,163.09478678408925,16.811713935803706,38.78267448479159,38.78267448479159,38.78267448479159,1281.834915277811,,,,,,17.019714862150252,163.21024457477432,17.019714862150252,40.38776152637757,40.38776152637757,40.38776152637757,1325.1764115718897,,,,
Visibilities kernel bw2,,94.59561543572802,128.72715467010218,94.59561543571635,16.81692903594039,16.665689918627045,17.28718958917402,245.02343719819876,,,,,,8.26062368975612,224.27797939780302,8.26062368975612,9.68319745066633,9.68319745066633,10.182027389125532,269.5290584758852,,,,,,14.013629488675157,217.33146075386978,14.013629488675157,10.696398237467545,10.696398237467545,48.361924863846944,658.085349829932,,,,,,29.575075375902877,217.44117051057376,29.575075375902877,66.63366024288744,66.63366024288744,66.63366024288744,1689.3142562426058,,,,,,30.12178220264661,217.6022820721805,30.12178220264661,70.69554687832931,70.69554687832931,70.69554687832931,1779.2881124455635,,,,
Visibilities kernel bw3,,567.5438594118059,238.794756687367,567.5438594117359,67.25817211680706,66.65330147952746,69.13894744514057,490.0468743963975,,,,,,17.23210866894759,333.16276128710626,17.232108668027642,22.119114703077553,20.65948769887491,23.35664058953128,377.6635604293891,,,,,,28.896117185504245,325.1892296567109,28.896117185504245,22.797583923678285,22.797583923678285,108.81022502393122,951.508646586353,,,,,,64.9525367096882,326.0770266508502,64.9525367096882,139.3296283964131,139.3296283964131,139.3296283964131,2466.9372293422184,,,,,,67.06645230780389,326.36286272129524,67.06645230780389,153.55990744394302,153.55990744394302,153.55990744394302,2699.259594722925,,,,
Visibilities kernel bw4,,1135.0578848399682,427.8988088545935,1135.0578848398284,269.01359905889433,266.5942881859042,276.5361665651519,980.093748792795,,,,,,47.44689086211311,630.4394104608878,47.446890859580115,62.66625656981085,58.530948191991335,66.17232431950708,535.5798896114953,,,,,,72.27954780056432,637.1934529355107,72.27954681354697,60.008436304197055,58.0228704547078,317.35357562282417,1463.991475674563,,,,,,173.14062614155054,646.1941853852023,173.14062614155054,384.79748794657314,350.29102905209277,389.6330010930229,3720.93685922784,,,,,,184.39173499733866,647.2125294326522,184.39173499733866,413.6602909025949,413.6602909025949,413.6602909025949,4362.55635115482,,,,
Visibilities kernel bw5,,,,,,,,,,,,,,95.4835530119147,1207.5831286371324,95.48355300681725,125.32859721315465,117.05823886713532,132.34051362329163,694.005863106662,,,,,,140.10720715591066,1302.7286174190374,140.107205242669,117.61273111525273,109.47231108914987,592.3856764960877,1797.4164657467334,,,,,,329.1860472152093,1353.4181765915757,329.1860472152093,718.2793465829424,626.4984660984691,727.3055209526342,4323.624198681196,,,,,,361.9799824109419,1357.6505583248352,361.9799824109419,759.7130861566015,710.5961815720902,765.4188020253712,5352.6017645084285,,,,
Visibilities kernel bw6,,,,,,,,,,,,,,240.06535632416384,2855.3335139747255,240.06535631134778,306.350090956243,286.13423369874374,323.4898441952393,907.5681789560384,,,,,,357.7646696216727,2453.6984671808673,357.7646647361976,308.024285970374,286.70476518157324,1861.7616554674373,2349.4358537325234,,,,,,684.5311920976096,2802.410168148784,684.5311920976096,2257.4228102349743,1968.9720088375054,2285.7904530027004,5140.60808032068,,,,,,798.6768216379428,2830.6058040128064,798.6768216379428,2387.6416214250225,2121.976867472195,2405.5736604230865,6843.558067909071,,,,
Visibilities kernel bw7,,,,,,,,,,,,,,467.65289679261997,2820.745344723284,467.65289676765394,626.6168792545715,585.2668102971596,661.6750006747062,899.744917496644,,,,,,650.4735033902597,4243.124257177047,650.473494507683,540.0351685710602,502.6573008916865,3808.1279368019314,3306.867954547757,,,,,,1391.2596278202943,5598.242462820242,1391.2596509056955,4617.430390802671,4027.420628083289,4675.454795994847,8538.817347143437,,,,,,1523.8338997764972,5731.9408172859585,1523.8338997764972,4883.785605654687,4340.383409260468,4920.46457504144,11866.42515835947,,,,
Visibilities kernel bw8,,,,,,,,,,,,,,654.7096355144437,5393.690824261097,654.7096354794916,902.3228236101972,842.7790860994652,952.8062117179626,998.1453197567375,,,,,,936.6767535430097,8782.577931359487,936.6767407521687,756.0444807499368,703.7157951275419,4569.742026989944,2965.600417801387,,,,,,2226.0067581300978,13076.898798118815,2226.006795066596,5540.902522362489,4832.892589179281,5610.531633334754,7596.730038616788,,,,,,2314.0995994005375,13594.699977467879,2314.0995994005375,5860.527985726046,5208.446990240493,5904.542638279541,10784.81359634665,,,,
Visibilities kernel bw9,,,,,,,,,,,,,,960.2349054034137,4602.769679923362,960.2349053521508,1378.5411436540587,1287.572047164772,1455.6681161262463,1161.4693150913417,,,,,,1431.0268576959388,8751.056662846335,1431.026838154473,1386.073622593571,1290.138247502614,11170.454961062207,3919.1899969773735,,,,,,2720.6653195020044,15214.59693161114,2720.6653646464547,13544.39739547014,11813.710407877203,13714.60149949389,6644.41319263157,,,,,,2642.2659106045126,16246.629914545885,2642.2659106045126,14325.702318370299,12731.730196482154,14433.293445255731,9622.721330386279,,,,
Visibilities kernel bw10,,,,,,,,,,,,,,1418.5228102183944,3629.730180116793,1418.5228101426655,1629.1787577810974,1521.670236691881,1720.3284675899677,1550.7107940607202,,,,,,2254.943697930736,8486.727093152927,2254.9436671382286,1638.080524047351,1524.7028023000596,13201.42586800105,3511.0172604510944,,,,,,4822.985821252037,16875.410956167067,4822.985901280638,16006.98974620912,13961.635637390453,16208.139732312013,5922.877600183004,,,,,,4387.610945670529,18620.097040003657,4387.610945670529,16930.348665257767,15046.566412456004,17057.50161392141,8697.603239455446,,,,
Visibilities kernel bw11,,,,,,,,,,,,,,2182.3359848906234,2945.3123644837424,2182.335984774118,2506.421829187517,2341.0245682701952,2646.6517587136154,1400.9289322884977,,,,,,2601.8515855932224,8141.38428803762,2601.851550063495,2520.116567300449,2345.6898094313283,15232.396775201532,6373.22683571756,,,,,,5564.973663245457,18059.356057952995,5564.973755585986,18469.58209675226,16109.560866732887,18701.677964931834,5356.456487625852,,,,,,4757.025520666681,20662.655621491038,4757.025520666681,19534.99501189073,17361.402628203665,19681.709782330672,7945.577843192448,,,,
Oversampling used pred0,(undefined),6.124456599772699,25.678964643980194,6.124456599771982,2.98184183221764,2.9556543592904205,3.063197000563335,48.04543294918591,(undefined),(undefined),(undefined),(undefined),(undefined),3.6800117384404203,53.12637183264743,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined),(undefined),(undefined),(undefined),(undefined),4.688188202773077,52.459337065203925,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined),(undefined),(undefined),(undefined),(undefined),7.065033529395087,52.45309665963601,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),(undefined),(undefined),(undefined),7.112319900784975,52.46675090210334,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),(undefined),(undefined)
Oversampling used pred1,,19.902082745483945,41.01754099116667,19.902082745481913,5.821609290534283,5.771689466400311,5.976555956347475,54.704552110494745,,,,,,5.157750700324776,59.50269106260113,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,,,,,,7.648719238880517,59.094718835528965,7.648719238880517,5.967804743510143,5.967804743510143,22.30191574360032,63.976209662986435,,,,,,14.88687989341831,59.094249141915604,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,,,,15.04749520171287,59.10316101943597,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,,
Oversampling used pred2,,49.572190436574004,55.57130546895441,49.572190436571354,14.890913351924326,14.773807516053495,15.253263542888853,62.649916383335814,,,,,,7.807020300725647,62.12825078317476,7.807020300725647,9.051925828356723,9.051925828356723,9.481893198770607,63.08218253022994,,,,,,12.674308090824113,61.91186847486705,12.674308090824113,9.921733024889598,9.921733024889598,34.11782266448806,63.99798044870062,,,,,,23.829847730942255,61.91547312593075,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,,,,24.174217474083505,61.920755371863095,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,,
Oversampling used pred3,,63.99159560259682,62.51077177952567,63.99159560259681,41.80920907006125,41.59681584456051,42.45684228751676,63.971519909812734,,,,,,15.210960621752868,63.663070985364335,15.210960621046034,18.82502110945496,17.774569226028845,19.696912504557773,63.832822219705946,,,,,,23.39802483010382,63.617991717039665,23.39802483010382,19.305136088082634,19.305136088082634,52.46598128369343,63.999980120365485,,,,,,40.98865513614025,63.62329554254401,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,,,,41.742107789034996,63.62498744738017,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,,
Oversampling used pred4,,63.99999889582672,63.924212363365605,63.99999889582672,63.07470169716197,63.03876747007613,63.17807586576977,63.99998732631973,,,,,,33.684094492248136,63.996878687833416,33.68409449103882,40.14503182080202,38.53979060542426,41.42647637339206,63.98609657690308,,,,,,43.49643111177336,63.9971936396133,43.4964307930679,39.125360080513914,38.335256363566785,63.56782051853405,63.99999999378672,,,,,,59.81208625437612,63.99756452536342,59.81208625437612,63.85058761586758,63.74272895110379,63.861543143101635,64.0,,,,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,,
Oversampling used pred5,,,,,,,,,,,,,,49.77253849320811,63.999999647624016,49.772538492065976,55.107896851945384,53.870943734123244,56.037544489747994,63.99885295818649,,,,,,56.95424878042401,63.999999921247216,56.95424856813262,53.95900904832656,52.58561901616768,63.994316670355104,63.99999999996742,,,,,,63.64129548131008,63.99999996455308,63.64129548131008,63.99921735900734,63.99667883083778,63.99932106413198,64.0,,,,,,63.78598451247537,63.99999996683871,63.78598451247537,63.999592451164524,63.99911669432922,63.99962747463968,64.0,,,,
Oversampling used pred6,,,,,,,,,,,,,,62.54027486210181,64.0,62.54027486180719,63.48604908091161,63.29337910247365,63.60763017726555,63.999960286706276,,,,,,63.771295075230356,64.0,63.77129505763421,63.49942274022642,63.29969960703747,63.99999999998818,63.99999999999999,,,,,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.99999999999781,63.999999999999986,64.0,,,,,,63.99977935701297,64.0,63.99977935701297,64.0,63.9999999999998,64.0,64.0,,,,
Oversampling used pred7,,,,,,,,,,,,,,63.95947684227141,64.0,63.95947684225548,63.99668501842491,63.99364242056976,63.99809144911562,63.999955079713835,,,,,,63.99772324898646,64.0,63.997723248667974,63.987038651293936,63.97664965509126,64.0,64.0,,,,,,63.99999998046719,64.0,63.999999980467194,64.0,64.0,64.0,64.0,,,,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,,
Oversampling used pred8,,,,,,,,,,,,,,63.99787018033508,64.0,63.997870180333905,63.99995686685554,63.99988983185957,63.99998052247381,63.999990462371784,,,,,,63.99997488980942,64.0,63.99997488980436,63.99956821176354,63.99901560612588,64.0,64.0,,,,,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,,
Oversampling used pred9,,,,,,,,,,,,,,63.99998267290298,64.0,63.999982672902966,63.99999997613553,63.99999990001655,63.9999999929165,63.99999927155251,,,,,,63.99999998955809,64.0,63.99999998955809,63.99999997880497,63.999999903976665,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,
Oversampling used pred10,,,,,,,,,,,,,,63.99999998728547,64.0,63.99999998728547,63.99999999953918,63.99999999749487,63.99999999989032,63.99999999841434,,,,,,63.99999999999998,64.0,63.99999999999998,63.99999999959945,63.999999997611695,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,
Oversampling used pred11,,,,,,,,,,,,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,,,,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,
Oversampling used bw0,(undefined),6.124456599772699,25.678964643980194,6.124456599771982,2.98184183221764,2.9556543592904205,3.063197000563335,48.04543294918591,(undefined),(undefined),(undefined),(undefined),(undefined),3.6800117384404203,53.12637183264743,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined),(undefined),(undefined),(undefined),(undefined),4.688188202773077,52.459337065203925,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined),(undefined),(undefined),(undefined),(undefined),7.065033529395087,52.45309665963601,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),(undefined),(undefined),(undefined),7.112319900784975,52.46675090210334,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),(undefined),(undefined)
Oversampling used bw1,,19.902082745483945,41.01754099116667,19.902082745481913,5.821609290534283,5.771689466400311,5.976555956347475,54.704552110494745,,,,,,5.157750700324776,59.50269106260113,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,,,,,,7.648719238880517,59.094718835528965,7.648719238880517,5.967804743510143,5.967804743510143,22.30191574360032,63.976209662986435,,,,,,14.88687989341831,59.094249141915604,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,,,,15.04749520171287,59.10316101943597,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,,
Oversampling used bw2,,49.572190436574004,55.57130546895441,49.572190436571354,14.890913351924326,14.773807516053495,15.253263542888853,62.649916383335814,,,,,,7.807020300725647,62.12825078317476,7.807020300725647,9.051925828356723,9.051925828356723,9.481893198770607,63.08218253022994,,,,,,12.674308090824113,61.91186847486705,12.674308090824113,9.921733024889598,9.921733024889598,34.11782266448806,63.99798044870062,,,,,,23.829847730942255,61.91547312593075,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,,,,24.174217474083505,61.920755371863095,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,,
Oversampling used bw3,,63.99159560259682,62.51077177952567,63.99159560259681,41.80920907006125,41.59681584456051,42.45684228751676,63.971519909812734,,,,,,15.210960621752868,63.663070985364335,15.210960621046034,18.82502110945496,17.774569226028845,19.696912504557773,63.832822219705946,,,,,,23.39802483010382,63.617991717039665,23.39802483010382,19.305136088082634,19.305136088082634,52.46598128369343,63.999980120365485,,,,,,40.98865513614025,63.62329554254401,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,,,,41.742107789034996,63.62498744738017,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,,
Oversampling used bw4,,63.99999889582672,63.924212363365605,63.99999889582672,63.07470169716197,63.03876747007613,63.17807586576977,63.99998732631973,,,,,,33.684094492248136,63.996878687833416,33.68409449103882,40.14503182080202,38.53979060542426,41.42647637339206,63.98609657690308,,,,,,43.49643111177336,63.9971936396133,43.4964307930679,39.125360080513914,38.335256363566785,63.56782051853405,63.99999999378672,,,,,,59.81208625437612,63.99756452536342,59.81208625437612,63.85058761586758,63.74272895110379,63.861543143101635,64.0,,,,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,,
Oversampling used bw5,,,,,,,,,,,,,,49.77253849320811,63.999999647624016,49.772538492065976,55.107896851945384,53.870943734123244,56.037544489747994,63.99885295818649,,,,,,56.95424878042401,63.999999921247216,56.95424856813262,53.95900904832656,52.58561901616768,63.994316670355104,63.99999999996742,,,,,,63.64129548131008,63.99999996455308,63.64129548131008,63.99921735900734,63.99667883083778,63.99932106413198,64.0,,,,,,63.78598451247537,63.99999996683871,63.78598451247537,63.999592451164524,63.99911669432922,63.99962747463968,64.0,,,,
Oversampling used bw6,,,,,,,,,,,,,,62.54027486210181,64.0,62.54027486180719,63.48604908091161,63.29337910247365,63.60763017726555,63.999960286706276,,,,,,63.771295075230356,64.0,63.77129505763421,63.49942274022642,63.29969960703747,63.99999999998818,63.99999999999999,,,,,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.99999999999781,63.999999999999986,64.0,,,,,,63.99977935701297,64.0,63.99977935701297,64.0,63.9999999999998,64.0,64.0,,,,
Oversampling used bw7,,,,,,,,,,,,,,63.95947684227141,64.0,63.95947684225548,63.99668501842491,63.99364242056976,63.99809144911562,63.999955079713835,,,,,,63.99772324898646,64.0,63.997723248667974,63.987038651293936,63.97664965509126,64.0,64.0,,,,,,63.99999998046719,64.0,63.999999980467194,64.0,64.0,64.0,64.0,,,,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,,
Oversampling used bw8,,,,,,,,,,,,,,63.99787018033508,64.0,63.997870180333905,63.99995686685554,63.99988983185957,63.99998052247381,63.999990462371784,,,,,,63.99997488980942,64.0,63.99997488980436,63.99956821176354,63.99901560612588,64.0,64.0,,,,,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,,
Oversampling used bw9,,,,,,,,,,,,,,63.99998267290298,64.0,63.999982672902966,63.99999997613553,63.99999990001655,63.9999999929165,63.99999927155251,,,,,,63.99999998955809,64.0,63.99999998955809,63.99999997880497,63.999999903976665,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,
Oversampling used bw10,,,,,,,,,,,,,,63.99999998728547,64.0,63.99999998728547,63.99999999953918,63.99999999749487,63.99999999989032,63.99999999841434,,,,,,63.99999999999998,64.0,63.99999999999998,63.99999999959945,63.999999997611695,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,
Oversampling used bw11,,,,,,,,,,,,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,,,,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined),(undefined),(undefined),(undefined),(undefined),904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,1005.0053854489457,1373.4278293411337,(undefined),(undefined),(undefined),(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,1361.8358133158226,992.7986277992072,(undefined),(undefined),(undefined),(undefined),(undefined),878.4803344221916,1755.2763217318097,878.4803344221916,1355.512792331873,1355.512792331873,1355.512792331873,2470.012277238968,(undefined),(undefined),(undefined),(undefined),(undefined),884.9539836067656,1768.2114187945754,884.9539836067656,1365.5018777230769,1365.5018777230769,1365.5018777230769,2488.214539298124,(undefined),(undefined),(undefined),(undefined)
"Channels predict, no-smear1",,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,,,,,,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1507.2335084877068,2059.86715195982,,,,,,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,2042.59958758406,1489.0438165150779,,,,,,1317.5670289686655,2632.760995049357,1317.5670289686655,2033.115705347188,2033.115705347188,2033.115705347188,3704.864923992691,,,,,,1327.2764773900503,2652.1626151975665,1327.2764773900503,2048.098308014086,2048.098308014086,2048.098308014086,3732.1672916129596,,,,
"Channels predict, no-smear2",,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,,,,,,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,2009.4616148571042,2746.3064623796045,,,,,,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,2723.3633579754173,1985.2889999151987,,,,,,1756.6537175567425,3510.2456653832655,1756.6537175567425,2710.7186144999496,2710.7186144999496,2710.7186144999496,4939.717568631215,,,,,,1769.5989651795082,3536.1138086001583,1769.5989651795082,2730.6947344207297,2730.6947344207297,2730.6947344207297,4976.1200417921455,,,,
"Channels predict, no-smear3",,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,,,,,,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,3013.917810920462,4119.185071013969,,,,,,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,4084.8908948860035,2977.7793613957497,,,,,,2634.8270887733916,5265.21500306821,2634.8270887733916,4065.9244289430007,4065.9244289430007,4065.9244289430007,7409.422855775241,,,,,,2654.2439347632017,5304.016192404592,2654.2439347632017,4095.8875833483976,4095.8875833483976,4095.8875833483976,7464.025540014693,,,,
"Channels predict, no-smear4",,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,,,,,,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,5022.83018303477,6864.942273636082,,,,,,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,6807.945964038775,4962.7600779759905,,,,,,4391.173824052722,8775.15367486393,4391.173824052722,6776.336053187005,6776.336053187005,6776.336053187005,12348.833427517198,,,,,,4423.533866735149,8839.820956417883,4423.533866735149,6826.273276550539,6826.273276550539,6826.273276550539,12439.836533920661,,,,
"Channels predict, no-smear5",,,,,,,,,,,,,,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,7031.742547520076,9610.699470687023,,,,,,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,9531.001031438836,6947.740792113483,,,,,,6147.520556611662,12285.09234525353,6147.520556611662,9486.74767567361,9486.74767567361,9486.74767567361,17288.243998358386,,,,,,6192.823795965634,12375.625719055834,6192.823795965634,9556.65896797004,9556.65896797004,9556.65896797004,17415.647526891702,,,,
"Channels predict, no-smear6",,,,,,,,,,,,,,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,11049.567270263373,15102.21386022389,,,,,,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,14977.111164731723,10917.702218412896,,,,,,9660.21401948799,19304.969684960284,9660.21401948799,14907.570919231697,14907.570919231697,14907.570919231697,27167.065139038263,,,,,,9731.403652177218,19447.235243184474,9731.403652177218,15017.430349348004,15017.430349348004,15017.430349348004,27367.269511822615,,,,
"Channels predict, no-smear7",,,,,,,,,,,,,,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,15067.391990198219,20593.728247660394,,,,,,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,20423.221297423315,14887.663643875816,,,,,,13172.90748135622,26324.847024362658,13172.90748135622,20328.394162114328,20328.394162114328,20328.394162114328,37045.88627931056,,,,,,13269.983507404142,26518.844766947794,13269.983507404142,20478.201730094595,20478.201730094595,20478.201730094595,37318.8914967592,,,,
"Channels predict, no-smear8",,,,,,,,,,,,,,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,18080.76052947859,24712.36403777495,,,,,,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,24507.803896874604,17865.134712644343,,,,,,15807.427577515955,31589.7550285665,15807.427577515955,24394.011594153737,24394.011594153737,24394.011594153737,44455.00213509318,,,,,,15923.918398595604,31822.551909456844,15923.918398595604,24573.780265375666,24573.780265375666,24573.780265375666,44782.60798534446,,,,
