Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.05,1.05,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Oversampling used pred0,2.090826505734576,54.99059262093198,2.640624338794616,58.4462978867118,5.116000009272582,63.999998573253485,2.2560077079057805,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,6.634403631341023,14.916482308305824,17.555145286350594,55.25743848124045,9.80037805003419,16.033641368752733,3.472352706923793,63.7925353122085,11.389191591028563,14.538330427379577,14.538330427379577,59.707651089820196,6.567454641805533,14.668065471154378,11.436149992393112,15.821358783639369,15.902951377242061,15.552951985107988,4.217389123405717,16.70857763764024,4.436958865892862,4.341229418936408,6.1439744068536015,4.97958454897568,4.341229418936408,6.1439744068536015,5.7749901215001245,16.405394387609384,6.165194032801921,8.916416127833358,15.907366848340942,10.03611755322892,7.280038584098342,15.907366848340942,10.03611755322892
Oversampling used pred1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oversampling used pred2,49.893460678925074,63.997596954391206,63.98831920391167,63.999999996837374,63.9999999999822,64.0,52.11541442370077,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,63.60594412559311,63.99992443795623,63.99713643357183,63.99999203619244,39.82099461926804,63.960257839498674,13.508104058133512,63.999990356589706,25.93604097069162,60.09597702844865,58.44831837029708,63.9987050883261,64.0,64.0,64.0,63.99999999406006,63.99999999914712,63.99999956443741,31.343703203425115,63.14525938847472,63.999176874694996,63.99999999999722,63.999999968315485,63.999999999992546,63.99999999999722,63.999999968315485,63.999999966573,64.0,63.9995080128288,64.0,64.0,63.99999999998404,64.0,64.0,63.99999999998404
Oversampling used bw0,2.090826505734576,54.99059262093198,2.640624338794616,58.4462978867118,5.116000009272582,63.999998573253485,2.2560077079057805,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,6.634403631341023,14.916482308305824,17.555145286350594,55.25743848124045,9.80037805003419,16.033641368752733,3.472352706923793,63.7925353122085,11.389191591028563,14.538330427379577,14.538330427379577,59.707651089820196,6.567454641805533,14.668065471154378,11.436149992393112,15.821358783639369,15.902951377242061,15.552951985107988,4.217389123405717,16.70857763764024,4.436958865892862,4.341229418936408,6.1439744068536015,4.97958454897568,4.341229418936408,6.1439744068536015,5.7749901215001245,16.405394387609384,6.165194032801921,8.916416127833358,15.907366848340942,10.03611755322892,7.280038584098342,15.907366848340942,10.03611755322892
Oversampling used bw1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oversampling used bw2,49.893460678925074,63.997596954391206,63.98831920391167,63.999999996837374,63.9999999999822,64.0,52.11541442370077,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,63.60594412559311,63.99992443795623,63.99713643357183,63.99999203619244,39.82099461926804,63.960257839498674,13.508104058133512,63.999990356589706,25.93604097069162,60.09597702844865,58.44831837029708,63.9987050883261,64.0,64.0,64.0,63.99999999406006,63.99999999914712,63.99999956443741,31.343703203425115,63.14525938847472,63.999176874694996,63.99999999999722,63.999999968315485,63.999999999992546,63.99999999999722,63.999999968315485,63.999999966573,64.0,63.9995080128288,64.0,64.0,63.99999999998404,64.0,64.0,63.99999999998404
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,1373.4278293411337,414.1383024984219,1885.9751150023908,429.9899422466631,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,238.85374289707516,894.2545468709208,894.2545468709208,894.2545468709208,1005.0053854489457,2511.6897145573553,372.78105657217833,483.15612439994436,483.15612439994436,559.0389802377872,483.15612439994436,483.15612439994436,652.167937578682,1207.4924417886202,483.15612439994436,726.1926570419781,1008.5130422414231,403.5407769988023,653.5959856457442,1008.5130422414231,403.5407769988023
"Channels predict, no-smear1",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Channels predict, no-smear2",8931.554112875032,28930.855905350065,18080.76052947859,41186.9071966738,12417.442324443025,56572.54569243952,6869.447804173029,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,1073.8030119774014,2485.5084313703824,2485.5084313703824,1396.2560606678828,644.7501595153672,1193.9041270392163,1193.9041270392163,76.98569793480485,7735.999196790231,11938.220846287122,7162.968971877786,8940.721027388057,8940.721027388057,8940.721027388057,4018.373998645579,10045.11108995104,11175.739473704114,14486.991077609053,14486.991077609053,16763.476555282203,14486.991077609053,14486.991077609053,12386.41584142446,22937.581107860868,9175.19162948914,21779.22662946886,30248.837988860792,12099.670789899565,19601.326565676056,30248.837988860792,12099.670789899565
