Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"Channels predict, no-smear9",,,,,,,,,,55245.639170555,17899.958417113157,17899.958417113157,16574.07625990824,16574.07625990824,22098.585247986757,15102.21386022389,100678.31304361316,64387.887423621025
"Channels predict, no-smear10",,,,,,,,,,65290.200964363954,21154.396439210148,21154.396439210148,19587.444798963337,19587.444798963337,26116.409966266117,17847.97105410027,118983.36099533516,76094.67617268747
"Channels predict, no-smear11",,,,,,,,,,75334.76275845508,24408.834461039172,24408.834461039172,22600.813337856664,22600.813337856664,30134.234684264968,20593.728247660394,137288.40894903094,87801.4649224931
"Channels backward, no-smear0",1123.0200547686838,728.0592243433563,728.0592243433563,1123.0200547686838,674.2009154482648,674.2009154482648,2181.8409106014506,2181.8409106014506,1963.754084524924,2511.6897145573553,814.1586879068773,814.1586879068773,753.8913072681331,753.8913072681331,1005.0053854489457,686.9884579530388,4576.81127226378,2927.246459022404
"Channels backward, no-smear1",1626.7965167781667,1054.506449513207,1054.506449513207,1626.7965167781667,976.4668853257966,976.4668853257966,3161.0062248568347,3161.0062248568347,2845.002876807837,3767.259952131288,1220.9634817176923,1220.9634817176923,1130.5624189861267,1130.5624189861267,1507.2335084877068,1030.2081558361895,6864.942273636082,4390.595064095621
"Channels backward, no-smear2",2382.4611407963093,1544.177180900574,1544.177180900574,2382.4611407963093,1429.8657252918888,1429.8657252918888,4629.754160708587,4629.754160708587,4166.876025758605,5022.83018303477,1627.768254954736,1627.768254954736,1507.2335084877068,1507.2335084877068,2009.4616148571042,1373.4278293411337,9153.073271346264,5853.943663441757
"Channels backward, no-smear3",3458.7107104119405,2241.586938882596,2241.586938882596,3458.7107104119405,2075.6155109910283,2075.6155109910283,6721.607257574179,6721.607257574179,6049.543817415792,7533.970638170312,2441.3777808470027,2441.3777808470027,2260.575665262745,2260.575665262745,3013.917810920462,2059.86715195982,13729.335263104213,8780.640856407961
"Channels backward, no-smear4",5061.635568840222,3280.2822729956692,3280.2822729956692,5061.635568840222,3037.370456849887,3037.370456849887,9837.133129807215,9837.133129807215,8853.517105553552,12556.251540408359,4068.596807922735,4068.596807922735,3767.259952131288,3767.259952131288,5022.83018303477,3432.745767915875,22881.859242246133,14634.035235477146
"Channels backward, no-smear5",7374.427128148128,4778.971220927756,4778.971220927756,7374.427128148128,4425.045413284439,4425.045413284439,14332.391876912034,14332.391876912034,12899.249980086895,17578.532439633425,5695.815825583903,5695.815825583903,5273.94422883101,5273.94422883101,7031.742547520076,4805.624372714222,32034.383219760202,20487.429611910986
"Channels backward, no-smear6",10763.468209784225,6975.0698538862025,6975.0698538862025,10763.468209784225,6458.470076630774,6458.470076630774,20919.503696560292,20919.503696560292,18827.650619227432,27623.094235464625,8950.253853200655,8950.253853200655,8287.312773910124,8287.312773910124,11049.567270263373,7551.381573183239,50339.43117338024,32194.218362539585
"Channels backward, no-smear7",18320.113846845565,11871.776237515218,11871.776237515218,18320.113846845565,10992.457471761212,10992.457471761212,35606.98274460911,35606.98274460911,32046.381763758778,37667.65603029708,12204.691877411036,12204.691877411036,11300.681315299544,11300.681315299544,15067.391990198219,10297.138769598103,68644.47912648872,43901.00711260044
"Channels backward, no-smear8",,,,,,,,,,45201.07737624433,14645.520394671583,14645.520394671583,13560.707720387763,13560.707720387763,18080.76052947859,12356.456665854836,82373.26509018058,52681.09867435777
"Channels backward, no-smear9",,,,,,,,,,55245.639170555,17899.958417113157,17899.958417113157,16574.07625990824,16574.07625990824,22098.585247986757,15102.21386022389,100678.31304361316,64387.887423621025
"Channels backward, no-smear10",,,,,,,,,,65290.200964363954,21154.396439210148,21154.396439210148,19587.444798963337,19587.444798963337,26116.409966266117,17847.97105410027,118983.36099533516,76094.67617268747
"Channels backward, no-smear11",,,,,,,,,,75334.76275845508,24408.834461039172,24408.834461039172,22600.813337856664,22600.813337856664,30134.234684264968,20593.728247660394,137288.40894903094,87801.4649224931
Frequencies predict ifft,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100
Frequencies predict kernels0,6965.43862281431,295.92784479960636,295.92784448287426,295.756853261672,294.00302655787385,293.68107373004665,595.7190196733243,13537.461113775895,568.4362556970387,6535.104859086754,250.91407562135439,250.91407536309563,248.94801744664173,249.36023489204456,249.3514378778578,456.3235124181452,11909.018326105532,320.9447391063214
Frequencies predict kernels1,9312.784684896713,298.19691867081707,298.1969181218335,297.9004933619393,294.8534134443445,294.29274361668587,615.4087227218446,18099.881753647216,568.7191275714604,8986.551469016284,253.42736523127377,253.4273647607892,249.83501737900647,250.5899892262413,250.57388736808068,460.50311439868693,16376.495217053138,321.1775679609643
Frequencies predict kernels2,12588.334561202259,302.2695277008333,302.2695267391307,301.7500693242023,296.389157338236,295.3985031262297,649.636959783546,24466.406326993965,569.622148463563,11285.144701150904,256.3758504971499,256.3758497801876,250.88238929531423,252.04010954774606,252.01543588377208,465.4107485037654,20565.414571817124,321.63094464022424
Frequencies predict kernels3,16942.36379799136,309.15852058120873,309.1585189330521,308.26777067321467,299.0146128682749,297.2922931095234,704.7674519883964,32929.117993918495,572.3471355203595,15598.826171491737,263.29679706383274,263.29679577853074,253.3696385535605,255.47520114755744,255.43040347016506,476.94807754366934,28426.59834025773,323.4898038917681
Frequencies predict kernels4,23016.04974033832,321.20369365514676,321.20369083978596,319.6807455763873,303.6873423912381,300.67350912455043,794.6622899398573,44734.24150487495,580.9235154001583,23570.993753474908,280.073679858609,280.0736772499147,259.5621831627657,263.97682331524413,263.8832778403948,505.0102762643426,42954.9483909275,332.9430346251011
Frequencies predict kernels5,31255.193681948327,341.23581672889355,341.23581205541365,338.704389460526,311.6805301940865,306.4884669280981,931.3833093074933,60748.258825710844,606.6073626612161,31041.01726995775,299.42617096273716,299.42616690969834,266.97727707033823,274.0681685589207,273.91857763207133,537.5259350124119,56568.19916960008,353.1415823259769
Frequencies predict kernels6,42656.23431852444,374.1613697019883,374.1613621611715,370.0697251012284,325.37493421664806,316.53733788157524,1134.5738136459324,65536.0,680.8234890771128,45139.00928078515,342.3477061855232,342.3476991715823,284.35349652072796,297.38815058335376,297.11557549340466,610.077556969921,65536.0,433.4849908184258
Frequencies predict kernels7,65536.0,454.66637080589146,454.66635694593407,583.674984463602,374.57333542095876,374.57333542095876,1574.9427455345703,65536.0,1011.1921537914995,58555.43751499453,387.9117270920275,387.9117171990381,303.99981557821314,323.3014474227152,322.9009761958869,687.5789329153919,65536.0,565.3823411269022
Frequencies predict kernels8,,,,,,,,,,65536.0,422.71990655419614,422.71989459137814,319.7024613706821,343.7366559741818,343.2405236879449,747.0261945149172,65536.0,692.1474329256977
Frequencies predict kernels9,,,,,,,,,,65536.0,469.2776233281321,469.2776087246066,341.48615723319995,371.76013421479166,371.1387834667913,826.7800247435498,65536.0,890.8904083609574
Frequencies predict kernels10,,,,,,,,,,65536.0,515.6046166410407,515.6045995186079,363.9008076961587,400.2763830674645,399.5333304916991,906.3448767473504,65536.0,1117.9350945725434
Frequencies predict kernels11,,,,,,,,,,65536.0,561.4817086940748,561.4816891574404,386.6961625079277,429.01130287706394,428.1502861677224,985.2901213714107,65536.0,1369.302866892395
Frequencies predict de-grid0,65536.0,728.0592243433563,728.0592243433563,1123.0200547686838,674.2009154482648,674.2009154482648,65536.0,65536.0,1963.754084524924,65536.0,814.1586879068773,814.1586879068773,753.8913072681331,753.8913072681331,1005.0053854489457,65536.0,65536.0,2927.246459022404
Frequencies predict de-grid1,65536.0,1054.506449513207,1054.506449513207,1626.7965167781667,976.4668853257966,976.4668853257966,65536.0,65536.0,2845.002876807837,65536.0,1220.9634817176923,1220.9634817176923,1130.5624189861267,1130.5624189861267,1507.2335084877068,65536.0,65536.0,4390.595064095621
Frequencies predict de-grid2,65536.0,1544.177180900574,1544.177180900574,2382.4611407963093,1429.8657252918888,1429.8657252918888,65536.0,65536.0,4166.876025758605,65536.0,1627.768254954736,1627.768254954736,1507.2335084877068,1507.2335084877068,2009.4616148571042,65536.0,65536.0,5853.943663441757
Frequencies predict de-grid3,65536.0,2241.586938882596,2241.586938882596,3458.7107104119405,2075.6155109910283,2075.6155109910283,65536.0,65536.0,6049.543817415792,65536.0,2441.3777808470027,2441.3777808470027,2260.575665262745,2260.575665262745,3013.917810920462,65536.0,65536.0,8780.640856407961
Frequencies predict de-grid4,65536.0,3280.2822729956692,3280.2822729956692,5061.635568840222,3037.370456849887,3037.370456849887,65536.0,65536.0,8853.517105553552,65536.0,4068.596807922735,4068.596807922735,3767.259952131288,3767.259952131288,5022.83018303477,65536.0,65536.0,14634.035235477146
Frequencies predict de-grid5,65536.0,4778.971220927756,4778.971220927756,7374.427128148128,4425.045413284439,4425.045413284439,65536.0,65536.0,12899.249980086895,65536.0,5695.815825583903,5695.815825583903,5273.94422883101,5273.94422883101,7031.742547520076,65536.0,65536.0,20487.429611910986
Frequencies predict de-grid6,65536.0,6975.0698538862025,6975.0698538862025,10763.468209784225,6458.470076630774,6458.470076630774,65536.0,65536.0,18827.650619227432,65536.0,8950.253853200655,8950.253853200655,8287.312773910124,8287.312773910124,11049.567270263373,65536.0,65536.0,32194.218362539585
Frequencies predict de-grid7,65536.0,11871.776237515218,11871.776237515218,18320.113846845565,10992.457471761212,10992.457471761212,65536.0,65536.0,32046.381763758778,65536.0,12204.691877411036,12204.691877411036,11300.681315299544,11300.681315299544,15067.391990198219,65536.0,65536.0,43901.00711260044
Frequencies predict de-grid8,,,,,,,,,,65536.0,14645.520394671583,14645.520394671583,13560.707720387763,13560.707720387763,18080.76052947859,65536.0,65536.0,52681.09867435777
Frequencies predict de-grid9,,,,,,,,,,65536.0,17899.958417113157,17899.958417113157,16574.07625990824,16574.07625990824,22098.585247986757,65536.0,65536.0,64387.887423621025
Frequencies predict de-grid10,,,,,,,,,,65536.0,21154.396439210148,21154.396439210148,19587.444798963337,19587.444798963337,26116.409966266117,65536.0,65536.0,65536.0
Frequencies predict de-grid11,,,,,,,,,,65536.0,24408.834461039172,24408.834461039172,22600.813337856664,22600.813337856664,30134.234684264968,65536.0,65536.0,65536.0
Frequencies backward kernels0,6965.43862281431,295.92784479960636,295.92784448287426,295.756853261672,294.00302655787385,293.68107373004665,595.7190196733243,13537.461113775895,568.4362556970387,6535.104859086754,250.91407562135439,250.91407536309563,248.94801744664173,249.36023489204456,249.3514378778578,456.3235124181452,11909.018326105532,320.9447391063214
Frequencies backward kernels1,9312.784684896713,298.19691867081707,298.1969181218335,297.9004933619393,294.8534134443445,294.29274361668587,615.4087227218446,18099.881753647216,568.7191275714604,8986.551469016284,253.42736523127377,253.4273647607892,249.83501737900647,250.5899892262413,250.57388736808068,460.50311439868693,16376.495217053138,321.1775679609643
Frequencies backward kernels2,12588.334561202259,302.2695277008333,302.2695267391307,301.7500693242023,296.389157338236,295.3985031262297,649.636959783546,24466.406326993965,569.622148463563,11285.144701150904,256.3758504971499,256.3758497801876,250.88238929531423,252.04010954774606,252.01543588377208,465.4107485037654,20565.414571817124,321.63094464022424
Frequencies backward kernels3,16942.36379799136,309.15852058120873,309.1585189330521,308.26777067321467,299.0146128682749,297.2922931095234,704.7674519883964,32929.117993918495,572.3471355203595,15598.826171491737,263.29679706383274,263.29679577853074,253.3696385535605,255.47520114755744,255.43040347016506,476.94807754366934,28426.59834025773,323.4898038917681
Frequencies backward kernels4,23016.04974033832,321.20369365514676,321.20369083978596,319.6807455763873,303.6873423912381,300.67350912455043,794.6622899398573,44734.24150487495,580.9235154001583,23570.993753474908,280.073679858609,280.0736772499147,259.5621831627657,263.97682331524413,263.8832778403948,505.0102762643426,42954.9483909275,332.9430346251011
Frequencies backward kernels5,31255.193681948327,341.23581672889355,341.23581205541365,338.704389460526,311.6805301940865,306.4884669280981,931.3833093074933,60748.258825710844,606.6073626612161,31041.01726995775,299.42617096273716,299.42616690969834,266.97727707033823,274.0681685589207,273.91857763207133,537.5259350124119,56568.19916960008,353.1415823259769
Frequencies backward kernels6,42656.23431852444,374.1613697019883,374.1613621611715,370.0697251012284,325.37493421664806,316.53733788157524,1134.5738136459324,65536.0,680.8234890771128,45139.00928078515,342.3477061855232,342.3476991715823,284.35349652072796,297.38815058335376,297.11557549340466,610.077556969921,65536.0,433.4849908184258
Frequencies backward kernels7,65536.0,454.66637080589146,454.66635694593407,583.674984463602,374.57333542095876,374.57333542095876,1574.9427455345703,65536.0,1011.1921537914995,58555.43751499453,387.9117270920275,387.9117171990381,303.99981557821314,323.3014474227152,322.9009761958869,687.5789329153919,65536.0,565.3823411269022
Frequencies backward kernels8,,,,,,,,,,65536.0,422.71990655419614,422.71989459137814,319.7024613706821,343.7366559741818,343.2405236879449,747.0261945149172,65536.0,692.1474329256977
Frequencies backward kernels9,,,,,,,,,,65536.0,469.2776233281321,469.2776087246066,341.48615723319995,371.76013421479166,371.1387834667913,826.7800247435498,65536.0,890.8904083609574
Frequencies backward kernels10,,,,,,,,,,65536.0,515.6046166410407,515.6045995186079,363.9008076961587,400.2763830674645,399.5333304916991,906.3448767473504,65536.0,1117.9350945725434
Frequencies backward kernels11,,,,,,,,,,65536.0,561.4817086940748,561.4816891574404,386.6961625079277,429.01130287706394,428.1502861677224,985.2901213714107,65536.0,1369.302866892395
Frequencies backward grid0,65536.0,728.0592243433563,728.0592243433563,1123.0200547686838,674.2009154482648,674.2009154482648,65536.0,65536.0,1963.754084524924,65536.0,814.1586879068773,814.1586879068773,753.8913072681331,753.8913072681331,1005.0053854489457,65536.0,65536.0,2927.246459022404
Frequencies backward grid1,65536.0,1054.506449513207,1054.506449513207,1626.7965167781667,976.4668853257966,976.4668853257966,65536.0,65536.0,2845.002876807837,65536.0,1220.9634817176923,1220.9634817176923,1130.5624189861267,1130.5624189861267,1507.2335084877068,65536.0,65536.0,4390.595064095621
Frequencies backward grid2,65536.0,1544.177180900574,1544.177180900574,2382.4611407963093,1429.8657252918888,1429.8657252918888,65536.0,65536.0,4166.876025758605,65536.0,1627.768254954736,1627.768254954736,1507.2335084877068,1507.2335084877068,2009.4616148571042,65536.0,65536.0,5853.943663441757
Frequencies backward grid3,65536.0,2241.586938882596,2241.586938882596,3458.7107104119405,2075.6155109910283,2075.6155109910283,65536.0,65536.0,6049.543817415792,65536.0,2441.3777808470027,2441.3777808470027,2260.575665262745,2260.575665262745,3013.917810920462,65536.0,65536.0,8780.640856407961
Frequencies backward grid4,65536.0,3280.2822729956692,3280.2822729956692,5061.635568840222,3037.370456849887,3037.370456849887,65536.0,65536.0,8853.517105553552,65536.0,4068.596807922735,4068.596807922735,3767.259952131288,3767.259952131288,5022.83018303477,65536.0,65536.0,14634.035235477146
Frequencies backward grid5,65536.0,4778.971220927756,4778.971220927756,7374.427128148128,4425.045413284439,4425.045413284439,65536.0,65536.0,12899.249980086895,65536.0,5695.815825583903,5695.815825583903,5273.94422883101,5273.94422883101,7031.742547520076,65536.0,65536.0,20487.429611910986
Frequencies backward grid6,65536.0,6975.0698538862025,6975.0698538862025,10763.468209784225,6458.470076630774,6458.470076630774,65536.0,65536.0,18827.650619227432,65536.0,8950.253853200655,8950.253853200655,8287.312773910124,8287.312773910124,11049.567270263373,65536.0,65536.0,32194.218362539585
Frequencies backward grid7,65536.0,11871.776237515218,11871.776237515218,18320.113846845565,10992.457471761212,10992.457471761212,65536.0,65536.0,32046.381763758778,65536.0,12204.691877411036,12204.691877411036,11300.681315299544,11300.681315299544,15067.391990198219,65536.0,65536.0,43901.00711260044
Frequencies backward grid8,,,,,,,,,,65536.0,14645.520394671583,14645.520394671583,13560.707720387763,13560.707720387763,18080.76052947859,65536.0,65536.0,52681.09867435777
Frequencies backward grid9,,,,,,,,,,65536.0,17899.958417113157,17899.958417113157,16574.07625990824,16574.07625990824,22098.585247986757,65536.0,65536.0,64387.887423621025
Frequencies backward grid10,,,,,,,,,,65536.0,21154.396439210148,21154.396439210148,19587.444798963337,19587.444798963337,26116.409966266117,65536.0,65536.0,65536.0
Frequencies backward grid11,,,,,,,,,,65536.0,24408.834461039172,24408.834461039172,22600.813337856664,22600.813337856664,30134.234684264968,65536.0,65536.0,65536.0
Frequencies backward fft,0,100,100,500,100,100,65536,65536,100,0,100,100,500,100,100,65536,65536,100
Channels out,65536,100,100,100,100,100,65536,65536,100,65536,100,100,100,100,100,65536,65536,100
Visibilities ingest [1/s],9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113
Visibilities averaged [1/s],9525730417.777777,7189451630.610661,7189451630.610661,2662848903.321054,2662848903.321054,2662848903.321054,9525730417.777777,9525730417.777777,4657977196.453187,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998
Visibilities pred0 [1/s],449439133.47775793,4992955.122518412,4992955.122518412,7701555.790609459,4623600.391067189,4623600.391067189,449439133.47775793,449439133.47775793,13467223.115727076,135537061.88217583,966493.8398859241,966493.8398859241,894949.983634563,894949.983634563,1193049.3754058974,77798273.52036893,241609545.09431344,6894754.097365012
Visibilities pred1 [1/s],67827528.63103901,1091378.2714229177,1091378.2714229177,1683679.0057166386,1010609.9795791161,1010609.9795791161,83737689.6679494,83737689.6679494,3271645.678746064,16943190.18133356,119319.03423504463,119319.03423504463,110484.56239336662,110484.56239336662,155867.57801505033,6404525.888544086,30497742.32640041,1277000.7793841718
Visibilities pred2 [1/s],50713189.70020515,1194918.0649679385,1194918.0649679385,1843600.5216456666,1106461.3612754666,1106461.3612754666,93913314.25963916,93913314.25963916,5971147.730835329,12829654.151994275,109254.86755718736,109254.86755718736,88519.0642098734,88519.0642098734,157352.89032180523,3592303.1625583977,23326643.91271687,1273330.2243926344
Visibilities pred3 [1/s],108953855.64405032,2683185.861539827,2683185.861539827,5750120.047863057,2484517.596208025,2484517.596208025,217907711.28810063,217907711.28810063,20114780.389254067,35369793.25712924,411094.9789395985,411094.9789395985,366009.9514271882,366009.9514271882,650644.8356093522,9853013.835914573,65686758.90609715,5133823.233071993
Visibilities pred4 [1/s],140903615.93589038,4231600.6490065735,4231600.6490065735,10882610.385121226,3918241.7020293856,3918241.7020293856,352259039.839726,352259039.839726,31725376.737537473,80653573.9505958,1602279.6558738004,1602279.6558738004,1390882.7780472052,1390882.7780472052,2472590.3662639125,24196072.185178738,161307147.9011916,20582576.085731383
Visibilities pred5 [1/s],335582529.66825753,17619205.644258592,17619205.644258592,37761366.43246723,13595287.478823047,13595287.478823047,503373794.50238633,503373794.50238633,99077520.88487506,67894155.17170751,1770229.8133468358,1770229.8133468358,1639114.3242150142,1639114.3242150142,2913905.1492237914,16973538.792926878,113156925.2861792,21224620.439766232
Visibilities pred6 [1/s],290134272.1880855,14822071.402722139,14822071.402722139,47650924.91554782,17155366.65464903,17155366.65464903,580268544.376171,580268544.376171,166703695.96622035,172778918.8810674,8494712.317019073,8494712.317019073,6554594.153619922,6554594.153619922,11652418.744261062,38875256.74824015,259168378.32160106,84876743.20832211
Visibilities pred7 [1/s],51678117.2427348,2246744.546930509,2246744.546930509,14446243.153038548,5200831.659040393,5200831.659040393,51678117.2427348,51678117.2427348,25270029.815566473,247696607.56766066,11070779.20328356,11070779.20328356,12813447.990430966,12813447.990430966,22779186.284571785,74308982.27029818,495393215.1353213,165926064.00443834
Visibilities pred8 [1/s],,,,,,,,,,78429454.8566042,4206445.974043107,4206445.974043107,4868586.337187604,4868586.337187604,8655176.951414868,23528836.456981257,156858909.7132084,63045499.42439047
Visibilities pred9 [1/s],,,,,,,,,,137193016.99216768,4496611.265768006,4496611.265768006,10408847.927650793,10408847.927650793,18504465.218688436,20578952.548825152,137193016.99216768,134789558.92026702
Visibilities pred10 [1/s],,,,,,,,,,9832946.63164279,380877.7793176899,380877.7793176899,881663.3576589461,881663.3576589461,1567390.535939933,1474941.9947464184,9832946.63164279,9832946.63164279
Visibilities pred11 [1/s],,,,,,,,,,4214119.9733702345,188345.5020061393,188345.5020061393,435985.74326236336,435985.74326236336,775081.0563060734,632117.9960055351,4214119.9733702345,4214119.9733702345
Visibilities bw0 [1/s],449439133.47775793,4992955.122518412,4992955.122518412,7701555.790609459,4623600.391067189,4623600.391067189,449439133.47775793,449439133.47775793,13467223.115727076,135537061.88217583,966493.8398859241,966493.8398859241,894949.983634563,894949.983634563,1193049.3754058974,77798273.52036893,241609545.09431344,6894754.097365012
Visibilities bw1 [1/s],67827528.63103901,1091378.2714229177,1091378.2714229177,1683679.0057166386,1010609.9795791161,1010609.9795791161,83737689.6679494,83737689.6679494,3271645.678746064,16943190.18133356,119319.03423504463,119319.03423504463,110484.56239336662,110484.56239336662,155867.57801505033,6404525.888544086,30497742.32640041,1277000.7793841718
Visibilities bw2 [1/s],50713189.70020515,1194918.0649679385,1194918.0649679385,1843600.5216456666,1106461.3612754666,1106461.3612754666,93913314.25963916,93913314.25963916,5971147.730835329,12829654.151994275,109254.86755718736,109254.86755718736,88519.0642098734,88519.0642098734,157352.89032180523,3592303.1625583977,23326643.91271687,1273330.2243926344
Visibilities bw3 [1/s],108953855.64405032,2683185.861539827,2683185.861539827,5750120.047863057,2484517.596208025,2484517.596208025,217907711.28810063,217907711.28810063,20114780.389254067,35369793.25712924,411094.9789395985,411094.9789395985,366009.9514271882,366009.9514271882,650644.8356093522,9853013.835914573,65686758.90609715,5133823.233071993
Visibilities bw4 [1/s],140903615.93589038,4231600.6490065735,4231600.6490065735,10882610.385121226,3918241.7020293856,3918241.7020293856,352259039.839726,352259039.839726,31725376.737537473,80653573.9505958,1602279.6558738004,1602279.6558738004,1390882.7780472052,1390882.7780472052,2472590.3662639125,24196072.185178738,161307147.9011916,20582576.085731383
Visibilities bw5 [1/s],335582529.66825753,17619205.644258592,17619205.644258592,37761366.43246723,13595287.478823047,13595287.478823047,503373794.50238633,503373794.50238633,99077520.88487506,67894155.17170751,1770229.8133468358,1770229.8133468358,1639114.3242150142,1639114.3242150142,2913905.1492237914,16973538.792926878,113156925.2861792,21224620.439766232
Visibilities bw6 [1/s],290134272.1880855,14822071.402722139,14822071.402722139,47650924.91554782,17155366.65464903,17155366.65464903,580268544.376171,580268544.376171,166703695.96622035,172778918.8810674,8494712.317019073,8494712.317019073,6554594.153619922,6554594.153619922,11652418.744261062,38875256.74824015,259168378.32160106,84876743.20832211
Visibilities bw7 [1/s],51678117.2427348,2246744.546930509,2246744.546930509,14446243.153038548,5200831.659040393,5200831.659040393,51678117.2427348,51678117.2427348,25270029.815566473,247696607.56766066,11070779.20328356,11070779.20328356,12813447.990430966,12813447.990430966,22779186.284571785,74308982.27029818,495393215.1353213,165926064.00443834
Visibilities bw8 [1/s],,,,,,,,,,78429454.8566042,4206445.974043107,4206445.974043107,4868586.337187604,4868586.337187604,8655176.951414868,23528836.456981257,156858909.7132084,63045499.42439047
Visibilities bw9 [1/s],,,,,,,,,,137193016.99216768,4496611.265768006,4496611.265768006,10408847.927650793,10408847.927650793,18504465.218688436,20578952.548825152,137193016.99216768,134789558.92026702
Visibilities bw10 [1/s],,,,,,,,,,9832946.63164279,380877.7793176899,380877.7793176899,881663.3576589461,881663.3576589461,1567390.535939933,1474941.9947464184,9832946.63164279,9832946.63164279
Visibilities bw11 [1/s],,,,,,,,,,4214119.9733702345,188345.5020061393,188345.5020061393,435985.74326236336,435985.74326236336,775081.0563060734,632117.9960055351,4214119.9733702345,4214119.9733702345
-- Geometry --,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.13733959037942622,0.13733959037942622,0.13733959037942622,0.13733959037942622,0.13733959037942622,0.13733959037942622,0.13733959037942622,0.13733959037942622,0.13733959037942622,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602
Delta W earth1 [lambda],0.28835021870166083,0.28835021870166083,0.28835021870166083,0.28835021870166083,0.28835021870166083,0.28835021870166083,0.28835021870166083,0.28835021870166083,0.28835021870166083,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855
Delta W earth2 [lambda],0.618685968156549,0.618685968156549,0.618685968156549,0.618685968156549,0.618685968156549,0.618685968156549,0.618685968156549,0.618685968156549,0.618685968156549,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241
Delta W earth3 [lambda],1.304239900142148,1.304239900142148,1.304239900142148,1.304239900142148,1.304239900142148,1.304239900142148,1.304239900142148,1.304239900142148,1.304239900142148,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542
Delta W earth4 [lambda],2.7937538249569163,2.7937538249569163,2.7937538249569163,2.7937538249569163,2.7937538249569163,2.7937538249569163,2.7937538249569163,2.7937538249569163,2.7937538249569163,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506
Delta W earth5 [lambda],5.93082802536461,5.93082802536461,5.93082802536461,5.93082802536461,5.93082802536461,5.93082802536461,5.93082802536461,5.93082802536461,5.93082802536461,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395
Delta W earth6 [lambda],12.635699922871826,12.635699922871826,12.635699922871826,12.635699922871826,12.635699922871826,12.635699922871826,12.635699922871826,12.635699922871826,12.635699922871826,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628
Delta W earth7 [lambda],36.608637169026565,36.608637169026565,36.608637169026565,36.608637169026565,36.608637169026565,36.608637169026565,36.608637169026565,36.608637169026565,36.608637169026565,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855
Delta W earth8 [lambda],,,,,,,,,,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553
Delta W earth9 [lambda],,,,,,,,,,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451
Delta W earth10 [lambda],,,,,,,,,,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647
Delta W earth11 [lambda],,,,,,,,,,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542
