Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Delta W snapshot7 [lambda],47.624139313177814,681.3719659925747,38.28100296594432,38.28100296594432,3802.529890462424,35243.51550024432,6336.978467774091,90989.40368732228,7570.698103718078,48498.09110192851,78824.87055211702,2423.387780182668,2423.387780182668,4100.991140208345,4100.991140208345,4219.992327770726,61695.10179582076,61695.10179582076,83994.35735465762,151584.132975019,38.83012520573788,70.36489864092464,1030.549788798847,6417.598937722153
Delta W snapshot8 [lambda],,,,,4563.035868554909,42292.218600293185,7604.3741613289085,109187.28442478675,9084.837724461693,58197.70932231421,94589.84466254042,2908.0653362192015,2908.0653362192015,4921.189368250015,4921.189368250015,5063.990793324871,74034.12215498491,74034.12215498491,100793.22882558915,181900.95957002277,,,1236.6597465586165,7701.118725266584
Delta W snapshot9 [lambda],,,,,5577.0438393448885,51690.48940035833,9294.235086068666,133451.1254080727,11103.690552119848,71130.53361616182,115609.81014310496,3554.3020776012463,3554.3020776012463,6014.7870056389065,6014.7870056389065,6189.322080730399,90486.14930053712,90486.14930053712,123191.72412016451,222323.39503002784,,,1511.4730235716424,9412.47844199249
Delta W snapshot10 [lambda],,,,,6591.051810134868,61088.76020042349,10984.096010808424,157714.9663913586,13122.543379778002,84063.35791000942,136629.7756236695,4200.538818983291,4200.538818983291,7108.384643027799,7108.384643027799,7314.653368135925,106938.17644608932,106938.17644608932,145590.21941473987,262745.8304900329,,,1786.2863005846682,11123.8381587184
Delta W snapshot11 [lambda],,,,,7605.059780924848,70487.03100048864,12673.956935548182,181978.80737464456,15141.396207436155,96996.18220385702,157649.74110423404,4846.775560365336,4846.775560365336,8201.98228041669,8201.98228041669,8439.984655541452,123390.20359164152,123390.20359164152,167988.71470931525,303168.265950038,,,2061.099577597694,12835.197875444306
Delta W max0 [lambda],2.9169785329321414,41.734032917045205,2.344711431664089,2.344711431664089,253.50199269749493,2349.5677000162877,422.4652311849394,6065.960245821486,504.71320691453855,3233.206073461901,5254.991370141134,161.5591853455112,161.5591853455112,273.399409347223,273.399409347223,281.33282185138177,4113.00678638805,4113.00678638805,5599.623823643841,10105.608865001266,2.378345168851445,4.3098500417566346,68.70331925325647,427.8399291814769
Delta W max1 [lambda],4.226642364044531,60.471761981841006,3.397439013227558,3.397439013227558,380.2529890462424,3524.351550024432,633.697846777409,9098.940368732228,757.0698103718078,4849.809110192851,7882.487055211702,242.3387780182668,242.3387780182668,410.0991140208345,410.0991140208345,421.9992327770726,6169.510179582076,6169.510179582076,8399.435735465762,15158.413297501898,3.446173612009237,6.244884754382062,103.05497887988471,641.7598937722154
Delta W max2 [lambda],6.1911381107131165,88.57835557903472,4.976530385572761,4.976530385572761,507.00398539498985,4699.1354000325755,844.9304623698788,12131.920491642972,1009.4264138290771,6466.412146923802,10509.982740282268,323.1183706910224,323.1183706910224,546.798818694446,546.798818694446,562.6656437027635,8226.0135727761,8226.0135727761,11199.247647287682,20211.217730002532,5.047916276745925,9.147436823320204,137.40663850651293,855.6798583629538
Delta W max3 [lambda],8.989056295362312,128.60895858109848,7.225539309821989,7.225539309821989,760.5059780924848,7048.703100048864,1267.395693554818,18197.880737464457,1514.1396207436155,8406.335791000942,15764.974110423404,484.6775560365336,484.6775560365336,820.198228041669,820.198228041669,843.9984655541452,12339.020359164151,12339.020359164151,16798.871470931525,30316.826595003797,7.3291861325830245,13.281374618474526,206.10995775976943,1283.5197875444308
Delta W max4 [lambda],13.156168485265372,188.22900560544878,10.575127069342116,10.575127069342116,1267.5099634874748,11747.83850008144,2112.326155924697,30329.801229107426,2523.566034572693,16166.030367309502,26274.956850705672,807.795926727556,807.795926727556,1366.9970467361152,1366.9970467361152,1406.6641092569087,20565.033931940252,20565.033931940252,27998.119118219205,50528.044325006325,10.72682208808509,19.43830324955543,343.51659626628236,2139.1996459073844
Delta W max5 [lambda],19.16871607355407,274.25221631201134,15.408103693792587,15.408103693792587,1774.5139488824645,16446.973900114015,2957.2566182945757,42461.7217207504,3532.9924484017697,22632.442514233306,36784.93959098794,1130.9142974185784,1130.9142974185784,1913.7958654305612,1913.7958654305612,1969.3297529596723,28791.047504716353,28791.047504716353,39197.366765506886,70739.26205500886,15.629125395309497,28.321871702972167,480.9232347727953,2994.879504270338
Delta W max6 [lambda],27.97918184649197,400.30603002063765,22.490089242492285,22.490089242492285,2788.5219196724443,18796.541600130302,4647.117543034333,66725.56270403635,5551.845276059924,35565.26680808091,57804.90507155248,1777.1510388006232,1777.1510388006232,3007.3935028194533,3007.3935028194533,3094.6610403651994,45243.07465026856,45243.07465026856,61595.862060082254,111161.69751501392,22.812698558371004,41.33937795154323,755.7365117858212,4706.239220996245
Delta W max7 [lambda],47.624139313177814,681.3719659925747,38.28100296594432,38.28100296594432,3802.529890462424,35243.51550024432,6336.978467774091,90989.40368732228,7570.698103718078,48498.09110192851,78824.87055211702,2423.387780182668,2423.387780182668,4100.991140208345,4100.991140208345,4219.992327770726,61695.10179582076,61695.10179582076,83994.35735465762,151584.132975019,38.83012520573788,70.36489864092464,1030.549788798847,6417.598937722153
Delta W max8 [lambda],,,,,4563.035868554909,42292.218600293185,7604.3741613289085,109187.28442478675,9084.837724461693,58197.70932231421,94589.84466254042,2908.0653362192015,2908.0653362192015,4921.189368250015,4921.189368250015,5063.990793324871,74034.12215498491,74034.12215498491,100793.22882558915,181900.95957002277,,,1236.6597465586165,7701.118725266584
Delta W max9 [lambda],,,,,5577.0438393448885,51690.48940035833,9294.235086068666,133451.1254080727,11103.690552119848,71130.53361616182,115609.81014310496,3554.3020776012463,3554.3020776012463,6014.7870056389065,6014.7870056389065,6189.322080730399,90486.14930053712,90486.14930053712,123191.72412016451,222323.39503002784,,,1511.4730235716424,9412.47844199249
Delta W max10 [lambda],,,,,6591.051810134868,61088.76020042349,10984.096010808424,157714.9663913586,13122.543379778002,84063.35791000942,136629.7756236695,4200.538818983291,4200.538818983291,7108.384643027799,7108.384643027799,7314.653368135925,106938.17644608932,106938.17644608932,145590.21941473987,262745.8304900329,,,1786.2863005846682,11123.8381587184
Delta W max11 [lambda],,,,,7605.059780924848,70487.03100048864,12673.956935548182,181978.80737464456,15141.396207436155,96996.18220385702,157649.74110423404,4846.775560365336,4846.775560365336,8201.98228041669,8201.98228041669,8439.984655541452,123390.20359164152,123390.20359164152,167988.71470931525,303168.265950038,,,2061.099577597694,12835.197875444306
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],1.163036392334819,1.9301530938108027,1.2980862522676562,1.2980862522676562,1.466988801625281,3.4667457647753572,1.3296974765241538,1.6860985763826968,1.3434262155473737,4.229414786154886,1.0319361900016055,1.0419754238900887,1.0419754238900887,1.078562840117073,1.078562840117073,1.1303362094622047,0.7709625278524138,0.7709625278524138,0.7245506623169214,3.593375179359458,1.1474218568194121,3.4435129025868134,0.9660018806738652,1.4910401882996829
W kernel support pred1 [uv-pixels],1.5366723906958968,2.550679668148607,1.7151652633880523,1.7151652633880523,1.989487919332272,4.703536877624221,1.803233040920287,2.286763266162233,1.8218574971800685,5.739095835898103,1.3993173177377025,1.4129347165859032,1.4129347165859032,1.4625631010949665,1.4625631010949665,1.5327916749779522,1.045351549235298,1.045351549235298,0.9824068245332701,4.875458828991428,1.5160355907585563,4.55187418046167,1.3098844601417305,2.02211811316443
W kernel support pred2 [uv-pixels],2.047151348165199,3.398748327800243,2.285033320300241,2.285033320300241,2.4697476647665804,5.841090150352142,2.2384639075454538,2.8389154118688387,2.2615904828128763,7.1279353487206105,1.7369385405665791,1.7538457514446684,1.7538457514446684,1.815464375455376,1.815464375455376,1.9026617268886763,1.2974832623080246,1.2974832623080246,1.2193413687659769,6.054712956812067,2.019649217753631,6.067465752823775,1.625901406722466,2.5102676906516033
W kernel support pred3 [uv-pixels],2.709488996749902,4.499533747582209,3.024482265091189,3.024482265091189,3.3501805078157108,7.928185072472057,3.0362945787432714,3.851247983735316,3.067679549953007,8.686721550174397,2.3557437626571205,2.3786840544288705,2.3786840544288705,2.4622916492107225,2.4622916492107225,2.5806093478787835,1.759531563726647,1.759531563726647,1.6535276566759265,8.218413221102786,2.673073478886419,8.035941327352296,2.205088590718479,3.4051747795761096
W kernel support pred4 [uv-pixels],3.608223202565864,5.993907373000541,4.027939586429792,4.027939586429792,4.920442735024331,11.65537921102191,4.459081612358459,5.657052459266747,4.505209671780047,14.230331556975827,3.458997352819838,3.4927036301467105,3.4927036301467105,3.6155516774344822,3.6155516774344822,3.789408707080106,2.5831098575538927,2.5831098575538927,2.427408216879507,12.082686223372413,3.5597036163454097,10.710291742541147,3.237647988165729,5.001281513330037
W kernel support pred5 [uv-pixels],4.789627786590612,7.9594073177787354,5.347147170718219,5.347147170718219,6.339365158221837,15.028115833650624,5.744591136001271,7.289109305517006,5.804055315731407,18.35274110178443,4.455533355937648,4.49897384629134,4.49897384629134,4.657302972667204,4.657302972667204,4.881381885196281,3.3268290088453907,3.3268290088453907,3.1262139827342623,15.579735574129087,4.7251822903393625,14.231004515383178,4.170268699652532,6.4435866989028305
W kernel support pred6 [uv-pixels],6.3676694762581425,10.586574677767725,7.109484623571452,7.109484623571452,8.912394603215256,16.624413106861123,8.075368307155646,10.249261658391505,8.15904583354383,25.84469003915906,6.261785998202549,6.322890788991042,6.322890788991042,6.5456088282413845,6.5456088282413845,6.860834715578589,4.674423835984067,4.674423835984067,4.392352483674787,21.932375520003212,6.281927426485235,18.942085655214388,5.8605449669176854,9.059080395373265
W kernel support pred7 [uv-pixels],9.50826175966684,15.820493670751699,10.617545861486745,10.617545861486745,11.262114558446594,26.759349849865472,10.203529535163208,12.953149127038412,10.3093495383614,32.703178318091425,7.910427311132479,7.987676157929981,7.987676157929981,8.269244414255807,8.269244414255807,8.667784329573257,5.9040019612395405,5.9040019612395405,5.5475316921618685,27.745056044663777,9.38006393469997,28.343126713546642,7.4031995607063354,11.447642958028853
W kernel support pred8 [uv-pixels],,,,,12.9242298935268,30.729627045304923,11.708746140482097,14.866130992503692,11.83024519482243,37.563501337668214,9.0761727777266,9.164848192928849,9.164848192928849,9.488071411391015,9.488071411391015,9.945586041537588,6.7732035915712805,6.7732035915712805,6.364099534524223,31.86276973202843,,,8.49393332876784,13.137268037744793
W kernel support pred9 [uv-pixels],,,,,15.04005425649429,35.78984211799243,13.624646154043822,17.301682775116884,13.76612235788129,43.76047377990348,10.559627733040436,10.662856465647286,10.662856465647286,11.039134715623625,11.039134715623625,11.57176859754472,7.879040747544283,7.879040747544283,7.402928176193327,37.111241708190384,,,9.881855460464278,15.288149395005005
W kernel support pred10 [uv-pixels],,,,,17.064807522919885,40.63837645082338,15.457884682418685,19.632780830746263,15.618496233305152,49.70056198512858,11.97872835490611,12.095891578623764,12.095891578623764,12.522970546936403,12.522970546936403,13.12753624927979,8.936651754365728,8.936651754365728,8.39640768435783,42.140500027872804,,,11.209490370832926,17.346488371170235
W kernel support pred11 [uv-pixels],,,,,19.015943018718573,45.31600913506625,17.224296437966892,21.879456604098632,17.40336350417266,55.43333388458449,13.345789900583437,13.476387658261485,13.476387658261485,13.952446117329282,13.952446117329282,14.626368715741721,9.955256390337576,9.955256390337576,9.35320619149221,46.99278678631325,,,12.488372249177264,19.33002159147613
AW kernel support pred0 [uv-pixels],10.067405507373545,10.184571221487305,10.083899440113743,10.083899440113743,10.10703003577678,10.583871040294657,10.08801741568058,10.141150250798956,10.089836172932637,10.85762172086252,10.053103615313782,10.054139087161612,10.054139087161612,10.057996709090801,10.057996709090801,10.063680238681144,10.029675130299713,10.029675130299713,10.02621432357517,10.626022076940957,10.065613588724082,10.576283898907114,10.046549638232294,10.110548988216452
AW kernel support pred1 [uv-pixels],10.11737920789406,10.320172807153313,10.146023451615564,10.146023451615564,10.195982649120635,11.050939288547875,10.161281877788188,10.25813268755425,10.164603521044548,11.5298404591574,10.097429819301576,10.099325943513938,10.099325943513938,10.106388614370838,10.106388614370838,10.116790514727569,10.054489537589097,10.054489537589097,10.04814028409683,11.125201067539878,10.114265366918481,10.987245266888038,10.085424993470568,10.20239979924271
AW kernel support pred2 [uv-pixels],10.207390883193147,10.561793890988639,10.257747183221195,10.257747183221195,10.30046860718579,11.580947031419358,10.247473867514065,10.395164294793345,10.25255048814439,12.28036898205998,10.14972686793618,10.15263389076256,10.15263389076256,10.163459593000189,10.163459593000189,10.17939691961007,10.083821835790708,10.083821835790708,10.074065384619264,11.690147517862549,10.20191075057868,11.696757698682545,10.131315580139733,10.310259156720035
AW kernel support pred3 [uv-pixels],10.360566134314707,10.965664774450804,10.447367753259723,10.447367753259723,10.546265188916328,12.761509258052858,10.450793499486332,10.71597457220879,10.459954962675504,13.246098719633048,10.273730027370679,10.279014438689838,10.279014438689838,10.298683419047935,10.298683419047935,10.327610788868807,10.1536176471123,10.1536176471123,10.135785796443814,12.943813807097083,10.351102444837744,12.828731543556776,10.24023513855599,10.56386365301357
AW kernel support pred4 [uv-pixels],10.631052378741,11.658770329503461,10.780737326914528,10.780737326914528,11.144987963593936,15.35733911042931,10.94912822217702,11.489222886117927,10.967994993922112,17.392594292441313,10.581335581428965,10.592401930064776,10.592401930064776,10.633541927890223,10.633541927890223,10.693905663942175,10.328235886935973,10.328235886935973,10.290398954917839,15.684109996186379,10.614682747789619,14.652997959815087,10.511059151925346,11.18091305643581
AW kernel support pred5 [uv-pixels],11.087855263038064,12.780929733407882,11.33984051322239,11.33984051322239,11.84008237341603,18.051156902249247,11.532576785776211,12.374615730105505,11.562311970711999,20.900313537101006,10.947683658467348,10.965435042423692,10.965435042423692,11.031340398120927,11.031340398120927,11.127798035061671,10.538870492329584,10.538870492329584,10.477271298665661,18.512918747722722,11.060169423518644,17.393144900128224,10.834719240815685,11.896209881566376
AW kernel support pred6 [uv-pixels],11.855261049798509,14.56281440546273,12.269668765406788,12.269668765406788,13.395177399475543,19.400286367669317,12.853465419730737,14.319475009307226,12.906201180590243,27.711874769134763,11.798727214716234,11.831269920406168,11.831269920406168,11.951777898386146,11.951777898386146,12.127285475096576,11.038579537169445,11.038579537169445,10.922122519952065,24.104545130544075,11.809428952816788,21.419678078100958,11.590771644254934,13.493218208042002
AW kernel support pred7 [uv-pixels],13.798805806675547,18.715983008816142,14.585344703529442,14.585344703529442,15.061049907877429,28.566812989682546,14.286777627405977,16.364109273263118,14.362544618002495,34.19792204366934,12.750484706265508,12.798553449666219,12.798553449666219,12.976147470751897,12.976147470751897,13.233687512707702,11.612804965137423,11.612804965137423,11.435694464069085,29.49217073939343,13.710784055591391,30.055495868479056,12.442160734198962,15.200280566308887
AW kernel support pred8 [uv-pixels],,,,,16.341227565294222,32.31578528124508,15.397880899080057,17.916524514712076,15.490471308827864,38.87179739534823,13.50469963720576,13.56445510882878,13.56445510882878,13.784901127960822,13.784901127960822,14.103711628845343,12.077925603880582,12.077925603880582,11.853343953725945,33.395150770677276,,,13.120476492626063,16.510233538492148
AW kernel support pred9 [uv-pixels],,,,,18.06109719918178,37.160635070337875,16.900620782175462,19.983699028227388,17.014879510950383,44.888518191644735,14.543236842615082,14.618362015184742,14.618362015184742,14.895049354389085,14.895049354389085,15.293980138444082,12.731036214757351,12.731036214757351,12.441999259840722,38.434935424997526,,,14.058843029976103,18.268210419304676
AW kernel support pred10 [uv-pixels],,,,,19.77897003876347,41.85065878285354,18.410491543002163,22.032841013998127,18.545549994264587,50.69660601694761,15.604163963526904,15.694285363845697,15.694285363845697,16.025754001588712,16.025754001588712,16.502490962765435,13.411328963932249,13.411328963932249,13.057551914579673,43.31075781603397,,,15.021740058122298,20.02250380974228
AW kernel support pred11 [uv-pixels],,,,,21.485020104508898,46.406256948060445,19.916736373787725,24.056404995149112,20.071797658863765,56.32809694601641,16.676633595258814,16.78132963491697,16.78132963491697,17.16597660073487,17.16597660073487,17.718088548396754,14.11053258376016,14.11053258376016,13.69242367371709,48.044999843312496,,,15.99873249460784,21.763495462056028
"W kernel support pred, ff0 [pixels]",80.53924405898836,81.47656977189844,80.67119552090995,80.67119552090995,80.85624028621424,84.67096832235725,80.70413932544464,81.12920200639165,80.7186893834611,86.86097376690016,80.42482892251026,80.4331126972929,80.4331126972929,80.46397367272641,80.46397367272641,80.50944190944915,80.2374010423977,80.2374010423977,80.20971458860136,85.00817661552766,80.52490870979265,84.61027119125691,80.37239710585835,80.88439190573162
"W kernel support pred, ff1 [pixels]",80.93903366315249,82.5613824572265,81.16818761292451,81.16818761292451,81.56786119296508,88.407514308383,81.2902550223055,82.065061500434,81.31682816835638,92.2387236732592,80.77943855441261,80.7946075481115,80.7946075481115,80.8511089149667,80.8511089149667,80.93432411782055,80.43591630071278,80.43591630071278,80.38512227277464,89.00160854031903,80.91412293534785,87.89796213510431,80.68339994776454,81.61919839394167
"W kernel support pred, ff2 [pixels]",81.65912706554518,84.49435112790911,82.06197746576956,82.06197746576956,82.40374885748632,92.64757625135486,81.97979094011252,83.16131435834676,82.02040390515512,98.24295185647983,81.19781494348943,81.22107112610048,81.22107112610048,81.30767674400151,81.30767674400151,81.43517535688056,80.67057468632566,80.67057468632566,80.59252307695411,93.52118014290039,81.61528600462944,93.57406158946036,81.05052464111786,82.48207325376028
"W kernel support pred, ff3 [pixels]",82.88452907451766,87.72531819560643,83.57894202607778,83.57894202607778,84.37012151133062,102.09207406442286,83.60634799589066,85.72779657767032,83.67963970140403,105.96878975706439,82.18984021896543,82.2321155095187,82.2321155095187,82.38946735238348,82.38946735238348,82.62088631095045,81.2289411768984,81.2289411768984,81.08628637155051,103.55051045677666,82.80881955870196,102.62985234845421,81.92188110844792,84.51090922410856
"W kernel support pred, ff4 [pixels]",85.048419029928,93.27016263602769,86.24589861531622,86.24589861531622,89.15990370875149,122.85871288343448,87.59302577741616,91.91378308894342,87.7439599513769,139.1407543395305,84.65068465143172,84.73921544051821,84.73921544051821,85.06833542312178,85.06833542312178,85.5512453115374,82.62588709548778,82.62588709548778,82.32319163934271,125.47287996949103,84.91746198231695,117.2239836785207,84.08847321540277,89.44730445148647
"W kernel support pred, ff5 [pixels]",88.70284210430451,102.24743786726306,90.71872410577912,90.71872410577912,94.72065898732824,144.40925521799397,92.26061428620969,98.99692584084404,92.49849576569599,167.20250829680805,87.58146926773878,87.72348033938954,87.72348033938954,88.25072318496741,88.25072318496741,89.02238428049337,84.31096393863668,84.31096393863668,83.81817038932529,148.10334998178178,88.48135538814915,139.1451592010258,86.67775392652548,95.16967905253101
"W kernel support pred, ff6 [pixels]",94.84208839838807,116.50251524370184,98.1573501232543,98.1573501232543,107.16141919580434,155.20229094135453,102.8277233578459,114.5558000744578,103.24960944472194,221.6949981530781,94.38981771772987,94.65015936324934,94.65015936324934,95.61422318708917,95.61422318708917,97.01828380077261,88.30863629735556,88.30863629735556,87.37698015961652,192.8363610443526,94.4754316225343,171.35742462480766,92.72617315403947,107.94574566433602
"W kernel support pred, ff7 [pixels]",110.39044645340438,149.72786407052914,116.68275762823554,116.68275762823554,120.48839926301943,228.53450391746037,114.29422101924781,130.91287418610494,114.90035694401996,273.5833763493547,102.00387765012407,102.38842759732975,102.38842759732975,103.80917976601518,103.80917976601518,105.86950010166161,92.90243972109938,92.90243972109938,91.48555571255268,235.93736591514744,109.68627244473113,240.44396694783245,99.5372858735917,121.6022445304711
"W kernel support pred, ff8 [pixels]",,,,,130.72982052235378,258.5262822499606,123.18304719264046,143.3321961176966,123.92377047062291,310.97437916278585,108.03759709764608,108.51564087063024,108.51564087063024,110.27920902368658,110.27920902368658,112.82969303076274,96.62340483104465,96.62340483104465,94.82675162980756,267.1612061654182,,,104.9638119410085,132.08186830793719
"W kernel support pred, ff9 [pixels]",,,,,144.48877759345424,297.285080562703,135.2049662574037,159.8695922258191,136.11903608760306,359.1081455331579,116.34589474092066,116.94689612147793,116.94689612147793,119.16039483511268,119.16039483511268,122.35184110755266,101.84828971805881,101.84828971805881,99.53599407872578,307.4794833999802,,,112.47074423980882,146.1456833544374
"W kernel support pred, ff10 [pixels]",,,,,158.23176031010777,334.80527026282834,147.2839323440173,176.262728111985,148.3643999541167,405.5728481355809,124.83331170821523,125.55428291076558,125.55428291076558,128.2060320127097,128.2060320127097,132.01992770212348,107.29063171145799,107.29063171145799,104.46041531663738,346.48606252827176,,,120.17392046497838,160.18003047793823
"W kernel support pred, ff11 [pixels]",,,,,171.88016083607118,371.25005558448356,159.3338909903018,192.4512399611929,160.57438127091012,450.62477556813127,133.4130687620705,134.25063707933575,134.25063707933575,137.32781280587895,137.32781280587895,141.74470838717403,112.88426067008128,112.88426067008128,109.53938938973673,384.35999874649997,,,127.98985995686272,174.10796369644822
W kernel support bw0 [uv-pixels],1.163036392334819,1.9301530938108027,1.2980862522676562,1.2980862522676562,1.466988801625281,3.4667457647753572,1.3296974765241538,1.6860985763826968,1.3434262155473737,4.229414786154886,1.0319361900016055,1.0419754238900887,1.0419754238900887,1.078562840117073,1.078562840117073,1.1303362094622047,0.7709625278524138,0.7709625278524138,0.7245506623169214,3.593375179359458,1.1474218568194121,3.4435129025868134,0.9660018806738652,1.4910401882996829
W kernel support bw1 [uv-pixels],1.5366723906958968,2.550679668148607,1.7151652633880523,1.7151652633880523,1.989487919332272,4.703536877624221,1.803233040920287,2.286763266162233,1.8218574971800685,5.739095835898103,1.3993173177377025,1.4129347165859032,1.4129347165859032,1.4625631010949665,1.4625631010949665,1.5327916749779522,1.045351549235298,1.045351549235298,0.9824068245332701,4.875458828991428,1.5160355907585563,4.55187418046167,1.3098844601417305,2.02211811316443
W kernel support bw2 [uv-pixels],2.047151348165199,3.398748327800243,2.285033320300241,2.285033320300241,2.4697476647665804,5.841090150352142,2.2384639075454538,2.8389154118688387,2.2615904828128763,7.1279353487206105,1.7369385405665791,1.7538457514446684,1.7538457514446684,1.815464375455376,1.815464375455376,1.9026617268886763,1.2974832623080246,1.2974832623080246,1.2193413687659769,6.054712956812067,2.019649217753631,6.067465752823775,1.625901406722466,2.5102676906516033
W kernel support bw3 [uv-pixels],2.709488996749902,4.499533747582209,3.024482265091189,3.024482265091189,3.3501805078157108,7.928185072472057,3.0362945787432714,3.851247983735316,3.067679549953007,8.686721550174397,2.3557437626571205,2.3786840544288705,2.3786840544288705,2.4622916492107225,2.4622916492107225,2.5806093478787835,1.759531563726647,1.759531563726647,1.6535276566759265,8.218413221102786,2.673073478886419,8.035941327352296,2.205088590718479,3.4051747795761096
W kernel support bw4 [uv-pixels],3.608223202565864,5.993907373000541,4.027939586429792,4.027939586429792,4.920442735024331,11.65537921102191,4.459081612358459,5.657052459266747,4.505209671780047,14.230331556975827,3.458997352819838,3.4927036301467105,3.4927036301467105,3.6155516774344822,3.6155516774344822,3.789408707080106,2.5831098575538927,2.5831098575538927,2.427408216879507,12.082686223372413,3.5597036163454097,10.710291742541147,3.237647988165729,5.001281513330037
W kernel support bw5 [uv-pixels],4.789627786590612,7.9594073177787354,5.347147170718219,5.347147170718219,6.339365158221837,15.028115833650624,5.744591136001271,7.289109305517006,5.804055315731407,18.35274110178443,4.455533355937648,4.49897384629134,4.49897384629134,4.657302972667204,4.657302972667204,4.881381885196281,3.3268290088453907,3.3268290088453907,3.1262139827342623,15.579735574129087,4.7251822903393625,14.231004515383178,4.170268699652532,6.4435866989028305
W kernel support bw6 [uv-pixels],6.3676694762581425,10.586574677767725,7.109484623571452,7.109484623571452,8.912394603215256,16.624413106861123,8.075368307155646,10.249261658391505,8.15904583354383,25.84469003915906,6.261785998202549,6.322890788991042,6.322890788991042,6.5456088282413845,6.5456088282413845,6.860834715578589,4.674423835984067,4.674423835984067,4.392352483674787,21.932375520003212,6.281927426485235,18.942085655214388,5.8605449669176854,9.059080395373265
W kernel support bw7 [uv-pixels],9.50826175966684,15.820493670751699,10.617545861486745,10.617545861486745,11.262114558446594,26.759349849865472,10.203529535163208,12.953149127038412,10.3093495383614,32.703178318091425,7.910427311132479,7.987676157929981,7.987676157929981,8.269244414255807,8.269244414255807,8.667784329573257,5.9040019612395405,5.9040019612395405,5.5475316921618685,27.745056044663777,9.38006393469997,28.343126713546642,7.4031995607063354,11.447642958028853
W kernel support bw8 [uv-pixels],,,,,12.9242298935268,30.729627045304923,11.708746140482097,14.866130992503692,11.83024519482243,37.563501337668214,9.0761727777266,9.164848192928849,9.164848192928849,9.488071411391015,9.488071411391015,9.945586041537588,6.7732035915712805,6.7732035915712805,6.364099534524223,31.86276973202843,,,8.49393332876784,13.137268037744793
W kernel support bw9 [uv-pixels],,,,,15.04005425649429,35.78984211799243,13.624646154043822,17.301682775116884,13.76612235788129,43.76047377990348,10.559627733040436,10.662856465647286,10.662856465647286,11.039134715623625,11.039134715623625,11.57176859754472,7.879040747544283,7.879040747544283,7.402928176193327,37.111241708190384,,,9.881855460464278,15.288149395005005
W kernel support bw10 [uv-pixels],,,,,17.064807522919885,40.63837645082338,15.457884682418685,19.632780830746263,15.618496233305152,49.70056198512858,11.97872835490611,12.095891578623764,12.095891578623764,12.522970546936403,12.522970546936403,13.12753624927979,8.936651754365728,8.936651754365728,8.39640768435783,42.140500027872804,,,11.209490370832926,17.346488371170235
W kernel support bw11 [uv-pixels],,,,,19.015943018718573,45.31600913506625,17.224296437966892,21.879456604098632,17.40336350417266,55.43333388458449,13.345789900583437,13.476387658261485,13.476387658261485,13.952446117329282,13.952446117329282,14.626368715741721,9.955256390337576,9.955256390337576,9.35320619149221,46.99278678631325,,,12.488372249177264,19.33002159147613
AW kernel support bw0 [uv-pixels],10.067405507373545,10.184571221487305,10.083899440113743,10.083899440113743,10.10703003577678,10.583871040294657,10.08801741568058,10.141150250798956,10.089836172932637,10.85762172086252,10.053103615313782,10.054139087161612,10.054139087161612,10.057996709090801,10.057996709090801,10.063680238681144,10.029675130299713,10.029675130299713,10.02621432357517,10.626022076940957,10.065613588724082,10.576283898907114,10.046549638232294,10.110548988216452
