Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Oversampling used pred1 [1],21.04093046218938,3.9901370491473998,3.990137043671538,3.707713631782923,6.02673956933431,6.026739577065044,58.01194320851913,15.866647996855697,7.5293630910853935,45.039805542924334,7.8095562058729655,7.809556197988535,5.998846726946127,5.993818917329165,6.006967500259087,63.96988619030616,44.75691949590026,30.277865889387556,62.97298264528854,9.800913437547436,9.800913456859575,5.6276022449177105,28.080109293047215,28.119855312099588,63.99998334015745,63.07196025652028,29.56430473275099,63.99998724101695,13.778068754053002,13.778068757751598,28.475628299043244,28.41080988514765,28.482699890652817,63.99999999840818,63.999991309129065,29.680023457585648,64.0,13.678342147807584,13.67834213542033,27.57707678065367,27.515978956124343,27.583745722237033,64.0,64.0,29.497327976202996,63.99506235812369,14.272877854068156,14.272877854063118,28.817467944400725,28.769796033946164,28.822233916065834,63.999966973153825,63.996099954613136,29.982575109437384
Oversampling used pred2 [1],19.90193647946292,7.626633377678452,7.626633349732877,7.116004511244164,16.929706464131996,16.929706517122277,63.127846957779944,18.236370205551026,25.054575486463243,46.890652002503145,13.134075823689066,13.134075804548253,10.1913249039413,10.178761757666258,10.211648798483004,63.99387347892417,46.84053026792553,43.47895106301742,63.26233844652262,16.189088668150376,16.18908871359205,9.562378761866569,40.813119461913374,40.88113239214927,63.99999956692514,63.403963549092005,42.72653476278005,63.999998553141396,22.32101176377374,22.321011772062164,41.42818415907094,41.31683520879019,41.44034351724733,63.99999999999867,63.99999937953654,42.860821471506995,64.0,22.177832126008582,22.177832098195573,41.237427463730214,41.13045111553576,41.24911437630621,64.0,64.0,42.660979725632046,63.99877709054653,23.215819313410698,23.215819313399592,41.83854674110417,41.75706529894818,41.84669810767001,63.99999952391403,63.99927499645436,43.191068687609274
Oversampling used pred3 [1],25.470706671636236,23.28456849603495,23.284568306843745,22.04777546668373,47.49555965588377,47.49555965588377,63.94159070028459,20.740095718918496,54.18083524989597,49.52772282007338,25.499685715511156,25.49968565844719,20.8544109985147,20.813081229913315,20.921488641293656,63.99952270177415,49.93371053978717,58.97489291709654,63.54515940887008,30.996038809279945,30.996038936252624,19.41597778814026,57.08930772732671,57.16691157606644,63.999999998987036,63.71934915075111,58.611011110711864,63.999999927760896,39.34798761250876,39.34798763212426,57.724252634325495,57.59953985795491,57.737843902113646,64.0,63.99999999038468,58.70429004548649,64.0,39.169480391717286,39.169480325561125,57.61100621872741,57.489931721382064,57.62420851051329,64.0,64.0,58.59244718416613,63.99982183536068,40.965631681225695,40.96563168119942,58.01412503832785,57.9247910978947,58.02304765938368,63.99999999977811,63.999949076536346,58.88881847865509
Oversampling used pred4 [1],37.50531438039534,51.17081248788799,51.17081248788799,50.23299093668744,63.74604115292179,63.74604115292179,63.99709660773776,23.345368250741068,63.727446591543064,51.40771149045538,47.51438259118548,47.51438246125659,42.53918792759466,42.42182821809566,42.73044712216266,63.999982555603985,53.253819170257934,63.94521543243763,63.8202629763653,52.607582342774144,52.60758257102664,40.803502277067004,63.858143990030264,63.86637203174348,63.99999999999969,63.898677629411054,63.94265210633405,63.99999999946148,59.32755410573493,59.327554126550005,63.9141378732402,63.903792369688894,63.91522304758519,64.0,63.999999999955484,63.94793492590887,64.0,59.24684273543457,59.24684266431562,63.91017987735375,63.8998483143939,63.91126610492292,64.0,64.0,63.9449514925343,63.99999211694614,59.69453228621056,59.694532286184106,63.92817678341543,63.9216023531032,63.9288143757086,64.0,63.99999833621159,63.95297883854382
Oversampling used pred5 [1],,,,,,,,,,55.33382227596687,59.79585278341241,59.795852682495976,56.389148547874264,56.26116595722529,56.59696177734969,63.9999932143718,53.71986043927443,63.99986266394561,63.84931247146364,61.78784988611038,61.78785001762105,54.8794102191348,63.99853700612459,63.99874490519615,63.99999999999998,63.916490805661766,63.99991512016108,63.999999999840746,63.619589476437675,63.61958948160414,63.99960997169573,63.999463044520645,63.999623883195554,64.0,63.9999999999883,63.99994229642366,64.0,63.608858284298734,63.60885826639679,63.99958170864131,63.999431399440034,63.99959603272646,64.0,64.0,63.9999367443058,63.999996430473175,63.69188138522281,63.69188138521689,63.99974227289806,63.999668306362025,63.99974888929157,64.0,63.999999301999864,63.99995285828857
Oversampling used pred6 [1],,,,,,,,,,57.79276064961864,63.812062504067505,63.81206248830253,63.52785890383399,63.49514109745926,63.578683776342125,63.99999833444845,54.6215579965215,63.99999999994847,63.98738336934425,63.96701982315595,63.9670198303967,63.507096976375344,63.999999999989534,63.999999999994536,64.0,63.942949403564825,63.99999999999974,64.0,63.99917042475206,63.999170424794485,63.99999999999997,63.99999999999987,63.99999999999998,64.0,63.999999999998685,63.999999999999986,64.0,63.999140150672694,63.999140150523516,63.99999999999997,63.999999999999865,63.99999999999998,64.0,64.0,63.999999999999986,63.99999999751527,63.99996203418074,63.99996203418074,63.99999999999999,63.999999999999986,63.99999999999999,64.0,63.99999982796979,63.99999999999999
Oversampling used pred7 [1],,,,,,,,,,59.84418801609371,63.99580905627491,63.995809055508644,63.994880531060666,63.993871490247486,63.996255670733476,63.9999999999466,60.81659738275289,64.0,63.99723228972414,63.99987750461666,63.99987750467866,63.98059451664038,64.0,64.0,64.0,63.998961034531085,64.0,64.0,63.99999996664843,63.99999996664843,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999996582241,63.9999999658224,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999997328,63.999999994150144,63.999999994150144,64.0,64.0,64.0,64.0,63.999999999998344,64.0
Oversampling used pred8 [1],,,,,,,,,,57.97525671778878,63.99984786611448,63.99984786607156,63.99984867578379,63.99979691110895,63.99990999637396,63.99999999817551,59.21480679154888,64.0,63.989453047730876,63.99999938650593,63.999999386506424,63.99881436453694,64.0,64.0,64.0,63.99548892732317,64.0,64.0,63.99999999999944,63.99999999999944,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999944,63.99999999999944,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999895171,63.99999999999997,63.99999999999997,64.0,64.0,64.0,64.0,63.99999999990712,64.0
Oversampling used pred9 [1],,,,,,,,,,62.85252858556377,63.99999915425053,63.999999154250155,63.99999946156612,63.99999911112213,63.99999978146505,63.999999945524415,56.95565032811962,64.0,63.99997785909328,63.999999999936236,63.999999999936236,63.999999617005294,64.0,64.0,64.0,63.981772284401394,64.0,64.0,63.99999999999999,63.99999999999999,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,63.99999999999999,63.99999999999999,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999995604426,64.0
Oversampling used pred10 [1],,,,,,,,,,62.092574744517336,63.99999999977538,63.99999999977538,63.99999993324813,63.999999874391825,63.999999959423015,63.99999935123561,54.689946367198736,64.0,63.9998606640531,63.99999999999495,63.99999999999495,63.99999996121405,64.0,64.0,64.0,63.949982773408266,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999965,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999927441934,64.0
