Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Frequencies backward kernels0,(undefined),378.07685560672604,378.07685560567126,282.79907643973695,287.3652905316958,276.3407046729852,784.9697650861762,(undefined),526.2428843892303,(undefined),240.55111728046495,240.55111728046495,246.72844731713064,246.72844731713064,246.72844731713064,424.82828438411,(undefined),449.35029916041503,(undefined),131.23165157168538,131.23165157168538,129.37104371841383,129.37104371841383,172.4426142177817,235.5091110988414,(undefined),208.55680086127146,(undefined),89.25308069276149,89.25308069276149,92.11650820922553,89.02908134657224,92.11650820922553,167.6933876695436,(undefined),117.85713256587483,(undefined),40.8855101114286,40.8855101114286,40.71448846268796,41.13856580886127,41.13856580886127,74.8881808259039,(undefined),53.054995631041294,(undefined),150.3890393235252,150.3890393235252,155.39667302670853,155.39667302670853,155.39667302670853,282.8902518080822,(undefined),199.0622840002752
Frequencies backward kernels1,,378.07685560672604,378.07685560567126,282.79907643973695,287.3652905316958,276.3407046729852,784.9697650861762,,526.2428843892303,,254.25991648989043,254.25991648989043,264.9400543923313,264.9400543923313,264.9400543923313,439.85677968273035,,449.35029916041503,,135.5304320740343,135.5304320740343,132.19651370166363,132.19651370166363,192.45184606495667,240.65819544555904,,237.58487006287774,,90.15779249332888,90.15779249332888,95.31162669913276,89.74942435110191,95.31162669913276,173.5161129757457,,120.91825001247815,,41.12580679178793,41.12580679178793,40.81258076240313,41.58745419717125,41.58745419717125,75.7062266977471,,53.48057354584644,,151.18184386773112,151.18184386773112,160.23093237877222,160.23093237877222,160.23093237877222,291.70011719965447,,203.6864650735016
Frequencies backward kernels2,,378.07685560672604,378.07685560567126,282.79907643973695,287.3652905316958,276.3407046729852,784.9697650861762,,526.2428843892303,,269.6289649781559,269.6289649781559,285.0555805580128,285.0555805580128,271.2818034920473,457.0489379564752,,449.35029916041503,,140.4603542435044,140.4603542435044,135.47169724585817,135.47169724585817,192.45184606495667,246.62682983654133,,237.58487006287774,,91.2189289546226,91.2189289546226,98.96904050243096,90.59607169205731,98.96904050243096,180.18131735402588,,124.45215723095416,,41.408871467187446,41.408871467187446,40.92853210926846,42.1135412156939,42.1135412156939,76.66495795136434,,53.980809573805466,,152.11632308265328,152.11632308265328,165.78381221990153,165.78381221990153,165.78381221990153,301.81958416419945,,209.03932727750447
Frequencies backward kernels3,,378.07685560672604,378.07685560567126,282.79907643973695,287.3652905316958,276.3407046729852,784.9697650861762,,526.2428843892303,,296.2084437316606,296.208445743322,286.42715828034056,306.8071382314174,271.2818034920473,495.8003204567129,,449.35029916041503,,151.61412358636125,151.61412358636125,143.00676122953735,143.00676122953735,192.45184606495667,260.3585934668276,,237.58487006287774,,93.70888846235526,93.70888846235526,107.22064389955365,92.58998657178937,107.22064389955365,195.21889120937453,,132.52981709493588,,42.0781832622962,42.0781832622962,41.20444535133484,43.346319928384354,43.346319928384354,78.91155120051477,,55.1590578957147,,154.32835788091046,154.32835788091046,178.377575819567,178.377575819567,178.377575819567,324.7702320655633,,221.32738783372082
Frequencies backward kernels4,,378.07685560672604,378.07685560567126,282.79907643973695,287.3652905316958,276.3407046729852,784.9697650861762,,526.2428843892303,,296.2084437316606,296.208445743322,286.42715828034056,306.8071382314174,271.2818034920473,582.6884028497925,,449.35029916041503,,174.07304337212364,174.07304330839378,155.22153791123856,160.5378265930493,192.45184606495667,292.3068940591039,,237.58487006287774,,99.74077357957368,99.74077357957368,117.24659306776404,97.45942655119609,115.45277645226024,228.9899806152021,,144.48629812182446,,43.72776122740414,43.72776122740414,41.894835707097506,46.32383111246545,46.32383111246545,84.33771343902917,,58.03737921241761,,159.79416794554962,159.79416794554962,186.00615730470807,206.91822658288064,183.87886297986557,376.78221085228665,,231.5905417073078
Frequencies backward kernels5,,,,,,,,,,,296.2084437316606,296.208445743322,286.42715828034056,306.8071382314174,271.2818034920473,674.5105633817117,,449.35029916041503,,174.07304337212364,174.07304330839378,155.22153791123856,167.14788853685377,192.45184606495667,327.38334497550034,,237.58487006287774,,106.69312005061053,106.69312005061053,117.24659306776404,103.13277540688607,115.45277645226024,264.73401137141593,,144.48629812182446,,45.67421149980185,45.67421149980185,42.727857262050456,49.74244828630076,49.74244828630076,90.5677401391631,,61.39225502024808,,166.26738299914896,166.26738299914896,186.00615730470807,212.57743128880455,183.87886297986557,432.3274518716199,,231.5905417073078
Frequencies backward kernels6,,,,,,,,,,,296.2084437316606,296.208445743322,286.42715828034056,306.8071382314174,271.2818034920473,859.6494393268804,,449.35029916041503,,174.07304337212364,174.07304330839378,155.22153791123856,167.14788853685377,192.45184606495667,400.76932831307,,237.58487006287774,,122.09693954975197,122.09693954975197,117.24659306776404,115.88881801958296,115.45277645226024,336.90349414736556,,144.48629812182446,,50.13194048176583,50.13194048176583,44.70519949402143,57.27846715438306,53.56325347085365,104.30124858102847,,67.08624643354389,,181.1751142395192,181.1751142395192,186.00615730470807,212.57743128880455,183.87886297986557,545.3974998964297,,231.5905417073078
Frequencies backward kernels7,,,,,,,,,,,296.2084437316606,296.208445743322,286.42715828034056,306.8071382314174,271.2818034920473,1040.5488858258134,,449.35029916041503,,174.07304337212364,174.07304330839378,155.22153791123856,167.14788853685377,192.45184606495667,474.57944762775594,,237.58487006287774,,127.27347219893059,127.27347129001329,117.24659306776404,129.62691612397677,115.45277645226024,407.49217994813307,,144.48629812182446,,55.03302759281725,55.03302759281725,46.979204200089725,65.22918626214805,53.56325347085365,118.79050226307824,,67.08624643354389,,188.95952718419602,188.95952557456735,186.00615730470807,212.57743128880455,183.87886297986557,656.669784743834,,231.5905417073078
Frequencies backward kernels8,,,,,,,,,,,296.2084437316606,296.208445743322,286.42715828034056,306.8071382314174,271.2818034920473,1172.460253153248,,449.35029916041503,,174.07304337212364,174.07304330839378,155.22153791123856,167.14788853685377,192.45184606495667,529.203153559392,,237.58487006287774,,127.27347219893059,127.27347129001329,117.24659306776404,140.2221255791968,115.45277645226024,458.99074441125634,,144.48629812182446,,58.86787239828989,58.86787239828989,48.8224224048593,71.27918599880272,53.56325347085365,129.81591901903118,,67.08624643354389,,188.95952718419602,188.95952557456735,186.00615730470807,212.57743128880455,183.87886297986557,738.0946329348802,,231.5905417073078
Frequencies backward kernels9,,,,,,,,,,,296.2084437316606,296.208445743322,286.42715828034056,306.8071382314174,271.2818034920473,1343.4543057715123,,449.35029916041503,,174.07304337212364,174.07304330839378,155.22153791123856,167.14788853685377,192.45184606495667,600.6736459743075,,237.58487006287774,,127.27347219893059,127.27347129001329,117.24659306776404,154.49500035943908,115.45277645226024,525.7674919370401,,144.48629812182446,,64.09292263630202,64.09292263630202,51.412336652795716,79.34797799543796,53.56325347085365,144.52034980690644,,67.08624643354389,,188.95952718419602,188.95952557456735,186.00615730470807,212.57743128880455,183.87886297986557,843.872224506764,,231.5905417073078
