Frequency Max [GHz],0.2,0.2,0.2,0.2,0.95,0.95,1.5,1.4,1.56,1.425,12.0,1.5,1.5,1.7,1.7,1.5,11.0,11.0,13.5,13.5,0.35,0.35,1.05,1.05
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Coalesce time bw1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.038461538461539,5.833333333333334,9.333333333333334,9.333333333333334,10.0,10.0,10.0,8.166666666666668,8.166666666666668,8.166666666666668,2.1,10.0,8.1,10.0,10.0
Coalesce time bw2 [s],10.0,10.0,10.0,10.0,10.0,7.875000000000003,8.166666666666668,10.0,9.333333333333334,4.038461538461539,4.666666666666667,7.466666666666668,7.466666666666668,8.166666666666668,8.166666666666668,9.333333333333334,5.716666666666668,5.716666666666668,5.716666666666668,1.54,10.0,5.4,10.0,10.0
Coalesce time bw3 [s],10.0,10.0,10.0,10.0,6.416666666666667,5.250000000000002,5.833333333333334,9.333333333333334,5.833333333333334,4.038461538461539,2.916666666666667,4.666666666666667,4.666666666666667,5.833333333333334,5.833333333333334,5.833333333333334,4.083333333333334,4.083333333333334,4.083333333333334,0.9800000000000001,10.0,3.6,7.583333333333336,6.533333333333334
Coalesce time bw4 [s],9.000000000000002,9.000000000000002,7.5,7.5,3.8500000000000005,2.625000000000001,3.5,5.833333333333334,3.5,4.038461538461539,1.75,2.8000000000000003,2.8000000000000003,3.5,3.5,3.5,2.45,2.45,2.45,0.56,7.5,1.8,4.550000000000001,3.733333333333334
Coalesce time bw5 [s],4.500000000000001,9.000000000000002,3.75,3.75,2.566666666666667,2.625000000000001,2.3333333333333335,3.5,2.3333333333333335,4.038461538461539,1.1666666666666667,1.866666666666667,1.866666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.6333333333333335,1.6333333333333335,1.6333333333333335,0.42000000000000004,3.75,1.8,3.033333333333334,2.8000000000000003
Coalesce time bw6 [s],4.500000000000001,4.500000000000001,3.75,3.75,1.2833333333333334,2.625000000000001,1.1666666666666667,2.3333333333333335,1.1666666666666667,4.038461538461539,0.5833333333333334,0.9333333333333335,0.9333333333333335,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.28,3.75,0.9,1.516666666666667,1.866666666666667
Coalesce time bw7 [s],4.500000000000001,4.500000000000001,3.75,3.75,1.2833333333333334,2.625000000000001,1.1666666666666667,1.1666666666666667,1.1666666666666667,4.038461538461539,0.5833333333333334,0.9333333333333335,0.9333333333333335,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.14,3.75,0.9,1.516666666666667,0.9333333333333335
Coalesce time bw8 [s],,,,,1.2833333333333334,2.625000000000001,1.1666666666666667,1.1666666666666667,1.1666666666666667,4.038461538461539,0.5833333333333334,0.9333333333333335,0.9333333333333335,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.14,,,1.516666666666667,0.9333333333333335
Coalesce time bw9 [s],,,,,1.2833333333333334,2.625000000000001,1.1666666666666667,1.1666666666666667,1.1666666666666667,4.038461538461539,0.5833333333333334,0.9333333333333335,0.9333333333333335,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.14,,,1.516666666666667,0.9333333333333335
Coalesce time bw10 [s],,,,,1.2833333333333334,2.625000000000001,1.1666666666666667,1.1666666666666667,1.1666666666666667,4.038461538461539,0.5833333333333334,0.9333333333333335,0.9333333333333335,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.14,,,1.516666666666667,0.9333333333333335
Coalesce time bw11 [s],,,,,1.2833333333333334,2.625000000000001,1.1666666666666667,1.1666666666666667,1.1666666666666667,4.038461538461539,0.5833333333333334,0.9333333333333335,0.9333333333333335,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.14,,,1.516666666666667,0.9333333333333335
