Frequency Max [GHz],0.2,0.2,0.2,0.2,0.95,0.95,1.5,1.4,1.56,1.425,12.0,1.5,1.5,1.7,1.7,1.5,11.0,11.0,13.5,13.5,0.35,0.35,1.05,1.05
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Combined Samples0,9.0,13.0,9.0,9.0,16.0,6.0,15.0,25.0,16.0,2.0,16.0,16.0,16.0,15.0,15.0,16.0,15.0,15.0,15.0,23.0,9.0,13.0,15.0,23.0
Combined Samples1,6.0,9.0,6.0,6.0,10.0,4.0,10.0,16.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,6.0,9.0,10.0,15.0
Combined Samples2,4.0,6.0,4.0,4.0,8.0,3.0,7.0,12.0,8.0,1.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,11.0,4.0,6.0,7.0,11.0
Combined Samples3,3.0,4.0,3.0,3.0,5.0,2.0,5.0,8.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,3.0,4.0,5.0,7.0
Combined Samples4,2.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0
Combined Samples5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0
Combined Samples6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Combined Samples7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples8,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples9,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples11,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
"Channels total, no-smear",35225.076118458855,25357.69099984863,35225.076118458855,35225.076118458855,32640.003796229605,5874.90211016006,40263.54072341529,8377.351095988965,32233.041312942332,66.72140768035355,32233.041312942332,72418.40093250673,72418.40093250673,97785.66422936937,97785.66422936937,72418.40093250673,81671.47838303052,81671.47838303052,83816.40565597282,56572.54569243951,49462.65340286811,35606.9827446091,203402.925631113,137288.40894903094
"Channels predict, no-smear0",432.19146807987215,311.3158565213452,518.4912680476514,518.4912680476514,118.78277822671707,146.96244263572447,161.16526263915014,33.54629651143117,129.02293991531627,10.267810985104266,257.9547512531722,362.29368574205876,362.29368574205876,391.40684983689613,391.40684983689613,289.8754780942725,466.91882690894585,466.91882690894585,479.1808422272851,1885.9751150023908,728.0592243433563,2181.8409106014506,626.4026111935381,686.9884579530388
"Channels predict, no-smear1",625.9256891403746,450.77950390271826,750.9722913093254,750.9722913093254,178.12807996194255,220.39757276382815,241.69212952222387,50.300929139777715,193.48884737189897,15.39995624239,386.88655543856316,543.3391938439207,543.3391938439207,586.977667639845,586.977667639845,434.71189024219666,700.2652744625232,700.2652744625232,718.6556384730798,2828.8470245059593,1054.506449513207,3161.0062248568347,939.3293974920632,1030.2081558361895
"Channels predict, no-smear2",916.5269298174715,659.9748488531077,1099.6937503967672,1099.6937503967672,237.47337772363872,293.8326996797767,322.2189921177397,67.05555949724055,257.9547512531722,20.532101432620603,515.818357835032,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,579.5482945194844,933.6117159427388,933.6117159427388,958.1304285186723,3771.7189324319356,1544.177180900574,4629.754160708587,1252.256157056809,1373.4278293411337
"Channels predict, no-smear3",1330.413484144414,957.9196491726934,1596.3575956667946,1596.3575956667946,356.1639692714451,440.7029502981749,483.27271301923463,100.56481793964055,386.88655543856316,26.690675626830842,773.6819608386259,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,869.2210952001216,1400.304592827849,1400.304592827849,1437.0800024085404,5657.462746707873,2241.586938882596,6721.607257574179,1878.1096494368924,2059.86715195982
"Channels predict, no-smear4",1946.840224337752,1401.6671646345294,2336.0696699277173,2336.0696699277173,593.5451475944428,734.4434476774929,805.3801496725802,167.5833320959154,644.7501595153672,51.32497229224026,1289.4091646977774,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1448.5666871083445,2333.690339304967,2333.690339304967,2394.979142745527,9428.950373368421,3280.2822729956692,9837.133129807215,3129.816602084691,3432.745767915875
"Channels predict, no-smear5",2836.2559202763196,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,1028.1839435870054,1127.4875843646325,234.6018452124671,902.6137619564082,71.85355280787206,1805.136367739783,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2027.9122754157393,3267.07608300433,3267.07608300433,3352.8782802456103,13200.437999296486,4778.971220927756,14332.391876912034,4381.523542496751,4805.624372714222
"Channels predict, no-smear6",4139.5581081635855,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,1175.0541913352508,1771.7024521426495,368.6388705946244,1418.3409655002868,112.91071381379061,2836.590773151726,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3186.603449081215,5133.847568137793,5133.847568137793,5268.676552924945,20743.413250674002,6975.0698538862025,20919.503696560292,6884.937413304126,7551.381573183239
"Channels predict, no-smear7",7045.56971963068,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,2203.1459242849523,2415.9173192052717,502.67589559805936,1934.0681684477215,153.96787480882065,3868.045178265424,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4345.294621440709,7000.619052252293,7000.619052252293,7184.474824564474,28286.38850162736,11871.776237515218,35606.98274460911,9388.351279653614,10297.138769598103
"Channels predict, no-smear8",,,,,2136.5227894556388,2643.7566667083624,2899.0784693209457,603.2036642542816,2320.863570508927,184.76074555180548,4641.6359820297885,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5214.31300036663,8400.69766508781,8400.69766508781,8621.323528029447,33943.619939647484,,,11265.911678304921,12356.456665854836
"Channels predict, no-smear9",,,,,2611.285139973729,3231.2376565236927,3543.2933360226834,737.2406890645799,2836.590773151726,225.81790654197582,5673.090386989883,7966.2045329004195,7966.2045329004195,8605.380415891032,8605.380415891032,6373.004172057256,10267.469148661894,10267.469148661894,10537.121799166542,41486.595190876724,,,13769.325542395638,15102.21386022389
"Channels predict, no-smear10",,,,,3086.047490420657,3818.7186462585823,4187.508202642495,871.277713833728,3352.3179757250023,266.87506752919404,6704.544791911086,9414.568497154623,9414.568497154623,10169.946798932126,10169.946798932126,7531.695343595206,12134.240632140158,12134.240632140158,12452.920070149154,49029.57044203559,,,16272.739405947037,17847.97105410027
"Channels predict, no-smear11",,,,,3560.809840831196,4406.199635968495,4831.723069211167,1005.3147385757143,3868.045178265424,307.93222851659146,7735.999196790231,10862.932461378767,10862.932461378767,11734.513181907203,11734.513181907203,8690.38651503596,14001.01211554227,14001.01211554227,14368.718341141164,56572.54569243952,,,18776.15326926813,20593.728247660394
"Channels backward, no-smear0",432.19146807987215,311.3158565213452,518.4912680476514,518.4912680476514,118.78277822671707,146.96244263572447,161.16526263915014,33.54629651143117,129.02293991531627,10.267810985104266,257.9547512531722,362.29368574205876,362.29368574205876,391.40684983689613,391.40684983689613,289.8754780942725,466.91882690894585,466.91882690894585,479.1808422272851,1885.9751150023908,728.0592243433563,2181.8409106014506,626.4026111935381,686.9884579530388
"Channels backward, no-smear1",625.9256891403746,450.77950390271826,750.9722913093254,750.9722913093254,178.12807996194255,220.39757276382815,241.69212952222387,50.300929139777715,193.48884737189897,15.39995624239,386.88655543856316,543.3391938439207,543.3391938439207,586.977667639845,586.977667639845,434.71189024219666,700.2652744625232,700.2652744625232,718.6556384730798,2828.8470245059593,1054.506449513207,3161.0062248568347,939.3293974920632,1030.2081558361895
"Channels backward, no-smear2",916.5269298174715,659.9748488531077,1099.6937503967672,1099.6937503967672,237.47337772363872,293.8326996797767,322.2189921177397,67.05555949724055,257.9547512531722,20.532101432620603,515.818357835032,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,579.5482945194844,933.6117159427388,933.6117159427388,958.1304285186723,3771.7189324319356,1544.177180900574,4629.754160708587,1252.256157056809,1373.4278293411337
"Channels backward, no-smear3",1330.413484144414,957.9196491726934,1596.3575956667946,1596.3575956667946,356.1639692714451,440.7029502981749,483.27271301923463,100.56481793964055,386.88655543856316,26.690675626830842,773.6819608386259,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,869.2210952001216,1400.304592827849,1400.304592827849,1437.0800024085404,5657.462746707873,2241.586938882596,6721.607257574179,1878.1096494368924,2059.86715195982
"Channels backward, no-smear4",1946.840224337752,1401.6671646345294,2336.0696699277173,2336.0696699277173,593.5451475944428,734.4434476774929,805.3801496725802,167.5833320959154,644.7501595153672,51.32497229224026,1289.4091646977774,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1448.5666871083445,2333.690339304967,2333.690339304967,2394.979142745527,9428.950373368421,3280.2822729956692,9837.133129807215,3129.816602084691,3432.745767915875
"Channels backward, no-smear5",2836.2559202763196,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,1028.1839435870054,1127.4875843646325,234.6018452124671,902.6137619564082,71.85355280787206,1805.136367739783,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2027.9122754157393,3267.07608300433,3267.07608300433,3352.8782802456103,13200.437999296486,4778.971220927756,14332.391876912034,4381.523542496751,4805.624372714222
"Channels backward, no-smear6",4139.5581081635855,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,1175.0541913352508,1771.7024521426495,368.6388705946244,1418.3409655002868,112.91071381379061,2836.590773151726,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3186.603449081215,5133.847568137793,5133.847568137793,5268.676552924945,20743.413250674002,6975.0698538862025,20919.503696560292,6884.937413304126,7551.381573183239
"Channels backward, no-smear7",7045.56971963068,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,2203.1459242849523,2415.9173192052717,502.67589559805936,1934.0681684477215,153.96787480882065,3868.045178265424,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4345.294621440709,7000.619052252293,7000.619052252293,7184.474824564474,28286.38850162736,11871.776237515218,35606.98274460911,9388.351279653614,10297.138769598103
"Channels backward, no-smear8",,,,,2136.5227894556388,2643.7566667083624,2899.0784693209457,603.2036642542816,2320.863570508927,184.76074555180548,4641.6359820297885,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5214.31300036663,8400.69766508781,8400.69766508781,8621.323528029447,33943.619939647484,,,11265.911678304921,12356.456665854836
"Channels backward, no-smear9",,,,,2611.285139973729,3231.2376565236927,3543.2933360226834,737.2406890645799,2836.590773151726,225.81790654197582,5673.090386989883,7966.2045329004195,7966.2045329004195,8605.380415891032,8605.380415891032,6373.004172057256,10267.469148661894,10267.469148661894,10537.121799166542,41486.595190876724,,,13769.325542395638,15102.21386022389
"Channels backward, no-smear10",,,,,3086.047490420657,3818.7186462585823,4187.508202642495,871.277713833728,3352.3179757250023,266.87506752919404,6704.544791911086,9414.568497154623,9414.568497154623,10169.946798932126,10169.946798932126,7531.695343595206,12134.240632140158,12134.240632140158,12452.920070149154,49029.57044203559,,,16272.739405947037,17847.97105410027
"Channels backward, no-smear11",,,,,3560.809840831196,4406.199635968495,4831.723069211167,1005.3147385757143,3868.045178265424,307.93222851659146,7735.999196790231,10862.932461378767,10862.932461378767,11734.513181907203,11734.513181907203,8690.38651503596,14001.01211554227,14001.01211554227,14368.718341141164,56572.54569243952,,,18776.15326926813,20593.728247660394
Frequencies predict ifft,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Frequencies predict kernels0,210.03819698579062,410.96759364637614,210.38117991798634,210.38117991798634,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.42155668973456,120.42155668973456,100.0,102.28597389264655,102.28597389264655,104.65743889419898,199.98296761981052,294.7735791838052,595.7190196088648,249.03756140449943,456.3235122831209
Frequencies predict kernels1,211.07737462829178,415.46391207861274,211.67301706634692,211.67301706634692,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.99966466304961,120.99966466304961,100.0,102.53848119248458,102.53848119248458,104.88580531965614,207.97495762395224,296.19366415057806,615.408722612767,249.9990955469827,460.503114152525
Frequencies predict kernels2,212.94912146596843,423.5000071117157,213.99625496718852,213.99625496718852,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.68145611256631,121.68145611256631,100.0,102.83696179958382,102.83696179958382,105.15582416255978,217.07908651844065,298.75192389712237,649.6369595998005,251.1341428034251,465.4107481282823
Frequencies predict kernels3,216.13432235287658,436.9985595120205,217.93931741219342,217.93931741219342,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,123.29689092508336,123.29689092508336,100.0,103.54719240154802,103.54719240154802,105.79866348090965,237.47167460261824,303.1066435521725,704.7674516911524,253.82813414106846,476.9480768691372
Frequencies predict kernels4,221.75894447844095,460.33955524794044,224.8715654674484,224.8715654674484,100.0,118.31431288407369,100.0,100.0,100.0,100.0,100.0,100.0,100.0,127.29723665807609,127.29723665807609,100.0,105.32407858645104,105.32407858645104,107.40901265174219,282.71780831712096,310.8002231217232,794.6622894712596,260.52663269506724,505.0102748889939
Frequencies predict kernels5,231.25792308283005,498.5301161645153,236.49782439559115,236.49782439559115,100.0,139.53173890303674,100.0,100.0,100.0,100.0,100.0,100.3003976108919,100.3003976108919,132.0494863844052,132.0494863844052,101.78252728378891,107.46746119901522,107.46746119901522,109.35535222050346,330.0604524743741,323.8034195469424,931.3833086010218,268.5319658630784,537.5259328661964
Frequencies predict kernels6,247.21572250956544,559.969257843929,255.8331105172129,255.8331105172129,100.0,150.1351331145529,100.0,100.0,100.0,100.0,100.0,108.20416767988074,108.20416767988074,143.045376316685,143.045376316685,110.90634348181256,112.55241660124392,112.55241660124392,113.98862988842222,424.696666584257,345.6733570374917,1134.5738126174335,287.2319872157956,610.0775532285472
Frequencies predict kernels7,287.6306905931941,705.6441270195081,303.9863371067879,303.9863371067879,100.0,221.96598417806516,100.0,100.0,100.0,100.0,100.0,117.03400974481448,117.03400974481448,155.2828753255083,155.2828753255083,121.00612713326782,118.3956374572079,118.3956374572079,119.33765674522346,516.5977640492841,401.171476195176,1574.9427438729188,308.2900400868877,687.578927610024
Frequencies predict kernels8,,,,,100.0,251.28525911334722,100.0,100.0,100.0,100.0,100.0,124.02553761621269,124.02553761621269,164.94454526637585,164.94454526637585,128.94813537631182,123.12862590779363,123.12862590779363,123.68761808737676,583.4182437654886,,,325.0673366076286,747.0261880804029
Frequencies predict kernels9,,,,,100.0,289.1496503294637,100.0,100.0,100.0,100.0,100.0,133.64611821822342,133.64611821822342,178.20678451990236,178.20678451990236,139.81349075523232,129.77456763609527,129.77456763609527,129.81866250337438,669.889276031942,,,348.27666299169925,826.7800168649335
Frequencies predict kernels10,,,,,100.0,325.7860146796542,100.0,100.0,100.0,100.0,100.0,143.46767463421128,143.46767463421128,191.71459685170416,191.71459685170416,150.84536973595294,136.69710941658752,136.69710941658752,136.22985124979303,753.6815842415896,,,372.0927178089076,906.3448674892062
Frequencies predict kernels11,,,,,100.0,361.3609698603215,100.16858070539172,100.0,100.0,100.0,100.0,153.3907473757212,153.3907473757212,205.3361129051028,205.3361129051028,161.94193917193974,143.8120842914654,143.8120842914654,142.84225437346214,835.125992819422,,,396.25740266853114,985.2901107899636
Frequencies predict de-grid0,500.0,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,728.0592243433563,65536.0,626.4026111935381,65536.0
Frequencies predict de-grid1,625.9256891403746,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,543.3391938439207,543.3391938439207,700.0,700.0,700.0,1000.0,1000.0,718.6556384730798,65536.0,1054.506449513207,65536.0,939.3293974920632,65536.0
Frequencies predict de-grid2,916.5269298174715,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,700.0,1000.0,1000.0,958.1304285186723,65536.0,1544.177180900574,65536.0,1252.256157056809,65536.0
Frequencies predict de-grid3,1330.413484144414,1500.0,1596.3575956667946,1596.3575956667946,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,869.2210952001216,1400.304592827849,1400.304592827849,1437.0800024085404,65536.0,2241.586938882596,65536.0,1878.1096494368924,65536.0
Frequencies predict de-grid4,1946.840224337752,1500.0,2336.0696699277173,2336.0696699277173,593.5451475944428,3200.0,805.3801496725802,5000.0,644.7501595153672,2500.0,5000.0,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1448.5666871083445,2333.690339304967,2333.690339304967,2394.979142745527,65536.0,3280.2822729956692,65536.0,3129.816602084691,65536.0
Frequencies predict de-grid5,2836.2559202763196,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,3200.0,1127.4875843646325,5000.0,902.6137619564082,2500.0,5000.0,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2027.9122754157393,3267.07608300433,3267.07608300433,3352.8782802456103,65536.0,4778.971220927756,65536.0,4381.523542496751,65536.0
Frequencies predict de-grid6,4139.5581081635855,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,3200.0,1771.7024521426495,5000.0,1418.3409655002868,2500.0,5000.0,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3186.603449081215,5133.847568137793,5133.847568137793,5268.676552924945,65536.0,6975.0698538862025,65536.0,6884.937413304126,65536.0
Frequencies predict de-grid7,7045.56971963068,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,3200.0,2415.9173192052717,5000.0,1934.0681684477215,2500.0,5000.0,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4345.294621440709,7000.619052252293,7000.619052252293,7184.474824564474,65536.0,11871.776237515218,65536.0,9388.351279653614,65536.0
Frequencies predict de-grid8,,,,,2136.5227894556388,3200.0,2899.0784693209457,5000.0,2320.863570508927,2500.0,5000.0,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5214.31300036663,8400.69766508781,8400.69766508781,8621.323528029447,65536.0,,,11265.911678304921,65536.0
Frequencies predict de-grid9,,,,,2611.285139973729,3231.2376565236927,3543.2933360226834,5000.0,2836.590773151726,2500.0,5673.090386989883,7966.2045329004195,7966.2045329004195,8605.380415891032,8605.380415891032,6373.004172057256,10267.469148661894,10267.469148661894,10537.121799166542,65536.0,,,13769.325542395638,65536.0
Frequencies predict de-grid10,,,,,3086.047490420657,3818.7186462585823,4187.508202642495,5000.0,3352.3179757250023,2500.0,6704.544791911086,9414.568497154623,9414.568497154623,10169.946798932126,10169.946798932126,7531.695343595206,12134.240632140158,12134.240632140158,12452.920070149154,65536.0,,,16272.739405947037,65536.0
Frequencies predict de-grid11,,,,,3560.809840831196,4406.199635968495,4831.723069211167,5000.0,3868.045178265424,2500.0,7735.999196790231,10862.932461378767,10862.932461378767,11734.513181907203,11734.513181907203,8690.38651503596,14001.01211554227,14001.01211554227,14368.718341141164,65536.0,,,18776.15326926813,65536.0
Frequencies backward kernels0,210.03819698579062,410.96759364637614,210.38117991798634,210.38117991798634,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.42155668973456,120.42155668973456,100.0,102.28597389264655,102.28597389264655,104.65743889419898,199.98296761981052,294.7735791838052,595.7190196088648,249.03756140449943,456.3235122831209
Frequencies backward kernels1,211.07737462829178,415.46391207861274,211.67301706634692,211.67301706634692,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.99966466304961,120.99966466304961,100.0,102.53848119248458,102.53848119248458,104.88580531965614,207.97495762395224,296.19366415057806,615.408722612767,249.9990955469827,460.503114152525
Frequencies backward kernels2,212.94912146596843,423.5000071117157,213.99625496718852,213.99625496718852,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.68145611256631,121.68145611256631,100.0,102.83696179958382,102.83696179958382,105.15582416255978,217.07908651844065,298.75192389712237,649.6369595998005,251.1341428034251,465.4107481282823
Frequencies backward kernels3,216.13432235287658,436.9985595120205,217.93931741219342,217.93931741219342,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,123.29689092508336,123.29689092508336,100.0,103.54719240154802,103.54719240154802,105.79866348090965,237.47167460261824,303.1066435521725,704.7674516911524,253.82813414106846,476.9480768691372
Frequencies backward kernels4,221.75894447844095,460.33955524794044,224.8715654674484,224.8715654674484,100.0,118.31431288407369,100.0,100.0,100.0,100.0,100.0,100.0,100.0,127.29723665807609,127.29723665807609,100.0,105.32407858645104,105.32407858645104,107.40901265174219,282.71780831712096,310.8002231217232,794.6622894712596,260.52663269506724,505.0102748889939
Frequencies backward kernels5,231.25792308283005,498.5301161645153,236.49782439559115,236.49782439559115,100.0,139.53173890303674,100.0,100.0,100.0,100.0,100.0,100.3003976108919,100.3003976108919,132.0494863844052,132.0494863844052,101.78252728378891,107.46746119901522,107.46746119901522,109.35535222050346,330.0604524743741,323.8034195469424,931.3833086010218,268.5319658630784,537.5259328661964
Frequencies backward kernels6,247.21572250956544,559.969257843929,255.8331105172129,255.8331105172129,100.0,150.1351331145529,100.0,100.0,100.0,100.0,100.0,108.20416767988074,108.20416767988074,143.045376316685,143.045376316685,110.90634348181256,112.55241660124392,112.55241660124392,113.98862988842222,424.696666584257,345.6733570374917,1134.5738126174335,287.2319872157956,610.0775532285472
Frequencies backward kernels7,287.6306905931941,705.6441270195081,303.9863371067879,303.9863371067879,100.0,221.96598417806516,100.0,100.0,100.0,100.0,100.0,117.03400974481448,117.03400974481448,155.2828753255083,155.2828753255083,121.00612713326782,118.3956374572079,118.3956374572079,119.33765674522346,516.5977640492841,401.171476195176,1574.9427438729188,308.2900400868877,687.578927610024
Frequencies backward kernels8,,,,,100.0,251.28525911334722,100.0,100.0,100.0,100.0,100.0,124.02553761621269,124.02553761621269,164.94454526637585,164.94454526637585,128.94813537631182,123.12862590779363,123.12862590779363,123.68761808737676,583.4182437654886,,,325.0673366076286,747.0261880804029
Frequencies backward kernels9,,,,,100.0,289.1496503294637,100.0,100.0,100.0,100.0,100.0,133.64611821822342,133.64611821822342,178.20678451990236,178.20678451990236,139.81349075523232,129.77456763609527,129.77456763609527,129.81866250337438,669.889276031942,,,348.27666299169925,826.7800168649335
Frequencies backward kernels10,,,,,100.0,325.7860146796542,100.0,100.0,100.0,100.0,100.0,143.46767463421128,143.46767463421128,191.71459685170416,191.71459685170416,150.84536973595294,136.69710941658752,136.69710941658752,136.22985124979303,753.6815842415896,,,372.0927178089076,906.3448674892062
Frequencies backward kernels11,,,,,100.0,361.3609698603215,100.16858070539172,100.0,100.0,100.0,100.0,153.3907473757212,153.3907473757212,205.3361129051028,205.3361129051028,161.94193917193974,143.8120842914654,143.8120842914654,142.84225437346214,835.125992819422,,,396.25740266853114,985.2901107899636
Frequencies backward grid0,500.0,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,728.0592243433563,65536.0,626.4026111935381,65536.0
Frequencies backward grid1,625.9256891403746,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,543.3391938439207,543.3391938439207,700.0,700.0,700.0,1000.0,1000.0,718.6556384730798,65536.0,1054.506449513207,65536.0,939.3293974920632,65536.0
Frequencies backward grid2,916.5269298174715,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,700.0,1000.0,1000.0,958.1304285186723,65536.0,1544.177180900574,65536.0,1252.256157056809,65536.0
Frequencies backward grid3,1330.413484144414,1500.0,1596.3575956667946,1596.3575956667946,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,869.2210952001216,1400.304592827849,1400.304592827849,1437.0800024085404,65536.0,2241.586938882596,65536.0,1878.1096494368924,65536.0
Frequencies backward grid4,1946.840224337752,1500.0,2336.0696699277173,2336.0696699277173,593.5451475944428,3200.0,805.3801496725802,5000.0,644.7501595153672,2500.0,5000.0,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1448.5666871083445,2333.690339304967,2333.690339304967,2394.979142745527,65536.0,3280.2822729956692,65536.0,3129.816602084691,65536.0
Frequencies backward grid5,2836.2559202763196,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,3200.0,1127.4875843646325,5000.0,902.6137619564082,2500.0,5000.0,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2027.9122754157393,3267.07608300433,3267.07608300433,3352.8782802456103,65536.0,4778.971220927756,65536.0,4381.523542496751,65536.0
Frequencies backward grid6,4139.5581081635855,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,3200.0,1771.7024521426495,5000.0,1418.3409655002868,2500.0,5000.0,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3186.603449081215,5133.847568137793,5133.847568137793,5268.676552924945,65536.0,6975.0698538862025,65536.0,6884.937413304126,65536.0
Frequencies backward grid7,7045.56971963068,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,3200.0,2415.9173192052717,5000.0,1934.0681684477215,2500.0,5000.0,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4345.294621440709,7000.619052252293,7000.619052252293,7184.474824564474,65536.0,11871.776237515218,65536.0,9388.351279653614,65536.0
Frequencies backward grid8,,,,,2136.5227894556388,3200.0,2899.0784693209457,5000.0,2320.863570508927,2500.0,5000.0,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5214.31300036663,8400.69766508781,8400.69766508781,8621.323528029447,65536.0,,,11265.911678304921,65536.0
