Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max Baseline [m],65000,65000,150000,150000,150000,150000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,40000,40000,40000,40000,25000,25000,25000,25000,15000,15000,15000,15000,150000,150000,150000,50000,50000,50000,20000,20000,150000,150000,150000,150000,150000,150000,95000,95000,95000,150000,150000,150000,150000,150000,150000
Dump time [s],0.9,0.9,0.14,0.14,0.14,0.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.28476339651597127,0.28476339651597127,0.28476339651597127,0.1562587293059796,0.4468866669484593,0.4468866669484593,0.4468866669484593,0.2641923185657977,0.7601696575533425,0.7601696575533425,0.7601696575533425,0.455336081013013,0.14,0.14,0.14,0.22573535985065513,0.22573535985065513,0.22573535985065513,0.5444051941858186,0.5444051941858186,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,21600.0,21600.0,21600.0,442.8,442.8,442.8,7920.000000000001,7920.000000000001,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],24.37375789473946,55.64716576663741,60.22922211707348,1124.0742182024849,152.1394035307529,1407.2648947595671,34.93864466156193,21.665718278268407,17.469322965829186,564.0134521719764,34.93864505575144,21.665718278268407,17.469322965829186,564.0134521719764,34.93864505575144,21.665718278268407,17.469322965829186,564.0134521719764,185.60256573531586,71.88279430904787,56.4751704636017,2906.154366729615,189.86537517165468,80.26314722698154,254.17107468117754,2679.7903855024724,238.00121025591184,85.59263165900411,67.5829004503312,1260.0069461801536,503.9669939387037,226.21123286406436,220.24128972112467,69.00748179365841,57.96037411979087,45.105683342214896,31.05581840838363,20.215602368646564,146.53606949239767,170.7866202966218,49.56129042006469,147.4815387238723,170.7866202966218,49.56129042006469,120.97904004781557,48.37658563785459,40.313823499634715,334.7739710064919,173.95595279213535,132.87702172569357,405.4597405578922,173.95595279213535,132.87702172569357
Facets,2.0,1.0,3.0,8.0,1.0,1.0,5.0,2.0,2.0,6.0,4.0,2.0,2.0,6.0,4.0,2.0,2.0,6.0,5.0,1.0,1.0,5.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0
Stations/antennas,512,512,197,197,197,197,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [m],4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Max Baseline [per bin]1 [m],8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
Max Baseline [per bin]2 [m],16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Max Baseline [per bin]3 [m],32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Max Baseline [per bin]4 [m],65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,,,,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,20000.0,20000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
