,Ingest (Low) [blcoal] [spbf],ICAL (Low) [blcoal] [spbf],RCAL (Low) [blcoal] [spbf],DPrepA (Low) [blcoal] [spbf],DPrepA_Image (Low) [blcoal] [spbf],DPrepB (Low) [blcoal] [spbf],DPrepC (Low) [blcoal] [spbf],DPrepD (Low) [blcoal] [spbf],Fast_Img (Low) [blcoal] [spbf],Ingest (Mid1) [blcoal] [spbf],ICAL (Mid1) [blcoal] [spbf],RCAL (Mid1) [blcoal] [spbf],DPrepA (Mid1) [blcoal] [spbf],DPrepA_Image (Mid1) [blcoal] [spbf],DPrepB (Mid1) [blcoal] [spbf],DPrepC (Mid1) [blcoal] [spbf],DPrepD (Mid1) [blcoal] [spbf],Fast_Img (Mid1) [blcoal] [spbf],Ingest (Mid2) [blcoal] [spbf],ICAL (Mid2) [blcoal] [spbf],RCAL (Mid2) [blcoal] [spbf],DPrepA (Mid2) [blcoal] [spbf],DPrepA_Image (Mid2) [blcoal] [spbf],DPrepB (Mid2) [blcoal] [spbf],DPrepC (Mid2) [blcoal] [spbf],DPrepD (Mid2) [blcoal] [spbf],Fast_Img (Mid2) [blcoal] [spbf],Ingest (Mid5A) [blcoal] [spbf],ICAL (Mid5A) [blcoal] [spbf],RCAL (Mid5A) [blcoal] [spbf],DPrepA (Mid5A) [blcoal] [spbf],DPrepA_Image (Mid5A) [blcoal] [spbf],DPrepB (Mid5A) [blcoal] [spbf],DPrepC (Mid5A) [blcoal] [spbf],DPrepD (Mid5A) [blcoal] [spbf],Fast_Img (Mid5A) [blcoal] [spbf],Ingest (Mid5B) [blcoal] [spbf],ICAL (Mid5B) [blcoal] [spbf],RCAL (Mid5B) [blcoal] [spbf],DPrepA (Mid5B) [blcoal] [spbf],DPrepA_Image (Mid5B) [blcoal] [spbf],DPrepB (Mid5B) [blcoal] [spbf],DPrepC (Mid5B) [blcoal] [spbf],DPrepD (Mid5B) [blcoal] [spbf],Fast_Img (Mid5B) [blcoal] [spbf],Ingest (Mid5C) [blcoal] [spbf],ICAL (Mid5C) [blcoal] [spbf],RCAL (Mid5C) [blcoal] [spbf],DPrepA (Mid5C) [blcoal] [spbf],DPrepA_Image (Mid5C) [blcoal] [spbf],DPrepB (Mid5C) [blcoal] [spbf],DPrepC (Mid5C) [blcoal] [spbf],DPrepD (Mid5C) [blcoal] [spbf],Fast_Img (Mid5C) [blcoal] [spbf]
AW kernel support bw7 [uv-pixels],,,,,,,,,,544.9939733241398,13.15070655406193,13.150706757016389,11.513235761083855,11.883660367566382,11.513235770551693,15.226347215326603,544.9939733241398,17.634628312333724,262.7960861803776,13.381232104628731,13.381232278371298,13.955827630865487,15.109104199582875,13.955827400334538,14.779569267795244,262.7960861803776,12.34461638758563,82.89524450630238,12.897405349651777,12.897405635902057,11.52364959502958,12.135526340845418,11.468700233281654,31.635058399765345,82.89524450630238,10.270888910006642,45.19352698201891,12.793529369919096,12.793529046079056,11.466252112704554,12.056278151292316,11.413088909960624,25.59216622836881,45.19352698201891,10.080083114554055,78.049826969966,12.13780547239778,12.137805559396346,11.108247807639463,11.568317961554321,11.069549912196193,31.05789042949378,78.049826969966,10.24062403233818
AW kernel support bw8 [uv-pixels],,,,,,,,,,630.6479475186711,14.001098147005507,14.0010983981021,11.9517610685928,12.419981917526313,11.951761080600718,16.54185490106493,630.6479475186711,21.59235362190306,303.1600723625007,14.285916489026487,14.285916703400835,14.992673970946965,16.399578862234588,14.992673815255678,15.998987986050974,303.1600723625007,13.812695205387783,95.17936607806455,13.687221570524319,13.68722192579671,11.964967479659169,12.736645466963388,11.895253444320163,35.891363672959606,95.17936607806455,10.464309491478819,51.62030852193496,13.55821133446802,13.558210931996028,11.89214582506774,12.637149324758042,11.824624844275485,28.838705172446257,51.62030852193496,10.138111283032472,89.58506033686311,12.739505060373952,12.739505169527828,11.436068144850813,12.021584842979467,11.386566671187966,35.21944688522296,89.58506033686311,10.412835488091822
AW kernel support bw9 [uv-pixels],,,,,,,,,,741.1662045209579,15.165730143395553,15.165730457397613,12.568808974362158,13.169076812244018,12.568808989820127,18.306937036530666,741.1662045209579,27.79729669166598,355.0179938230039,15.521366684941466,15.52136695222489,18.132630944923463,18.132630944923463,18.132630944923463,17.640983099710866,355.0179938230039,16.321786389219383,110.90518476482559,14.772537125408839,14.772537571252204,12.585807716784752,13.572441114226022,12.496027831098258,41.378667898661476,110.90518476482559,10.834205100243812,59.86479922880176,14.610514814423107,14.61051430857571,12.492023033518425,13.445915205018865,12.404950631671285,33.04813676687866,59.86479922880176,10.251061618874445,104.35228550512826,13.576074780758166,13.576074919456337,11.901624467825272,12.658636781818148,11.83721005618843,40.58670216693904,104.35228550512826,10.743056637673007
AW kernel support bw10 [uv-pixels],,,,,,,,,,848.3832158902655,16.349373141344763,16.349373516397787,13.998405615583549,13.998405615583549,13.998405615583549,20.068018811524272,848.3832158902655,34.88584629534387,405.1105978013124,16.773643954929355,16.773644273421038,21.89187886291317,21.89187886291317,21.89187886291317,19.28435614981431,405.1105978013124,19.383441908547756,126.03437318849498,15.879071405355829,15.879071939404644,13.233734907324786,14.434368648023552,13.123782347533359,46.681324561176666,126.03437318849498,11.346388836635683,67.804392777867,15.68487422620088,15.684873619520097,13.118874719610377,14.281123306234715,13.012108736243983,37.13308272073296,67.804392777867,10.411652731775426,118.55848698547582,14.438766778704846,14.438766946579808,12.392395345606397,13.32283509109859,12.312752085657312,45.774820410108454,118.55848698547582,11.202072867454147
AW kernel support bw11 [uv-pixels],,,,,,,,,,952.9675962074481,17.540898301056433,17.540898735228144,15.741795651736716,15.741795651736716,15.741795651736716,21.81552202431156,952.9675962074481,42.73378590342897,453.78814846148873,18.031569447493677,18.03156981548293,26.173736421200537,26.173736421200537,26.173736421200537,20.918895523917087,453.78814846148873,22.916530163105005,140.6795830258081,16.99584271559761,16.995843335261124,13.900815760558043,15.312599380947393,13.770802987888487,51.82619498594183,140.6795830258081,12.009636302110158,75.49161127198158,16.77039888555951,16.7703981809005,13.764996842994208,15.13313667748457,13.638615651514833,41.10736790141508,75.49161127198158,10.626548561225707,132.30906382112826,15.317747073774825,15.317747270257263,12.902312914214379,14.006074403371548,12.807322485466406,50.809470858599084,132.30906382112826,11.79917683858202
"W kernel support bw, ff0 [pixels]",422.37020654907803,80.34064707147866,80.34064707168059,80.11683779144903,80.08991558331574,80.07461899612808,81.94987079110051,422.37020654907803,80.01112251492611,534.6998463431437,80.49469943561799,80.49469947156774,80.2217866022543,80.28051962814179,80.22178660373301,80.88968948176174,534.6998463431437,80.02447123643991,273.6038520289118,80.53587144700542,80.53587147829096,80.64143635532614,80.86592906278905,80.64143631213213,80.80007100908018,273.6038520289118,80.0061252307003,116.1244248737242,80.45024076614307,80.45024081592229,80.2234137491526,80.32145887791967,80.21484367121086,85.82373323797087,116.1244248737242,80.00064662434067,92.01487999863944,80.43224550721744,80.43224545133086,80.21446275495337,80.30848993922842,80.2062097499306,83.64993322109463,92.01487999863944,80.00018977168386,112.61035852066998,80.32183304712923,80.32183306141322,80.15958545750182,80.23040888677471,80.1537518374756,85.5993627349142,112.61035852066998,80.00057366733148
"W kernel support bw, ff1 [pixels]",709.3362647974159,80.9612566505778,80.96125665114575,80.33038269043524,80.25430974773036,80.21107042024785,85.41440315762918,709.3362647974159,80.08904264033274,725.7558832557697,80.90734656530213,80.90734663109187,80.40727133086443,80.51499723127033,80.40727133357734,81.62885751672908,725.7558832557697,80.08262428002615,365.0301194404755,80.98267874522132,80.98267880245326,81.17569734031491,81.58553114830745,81.17569726137663,81.46539044568635,365.0301194404755,80.02068085678133,139.53372672223372,80.82596823050777,80.8259683216439,80.4102565474191,80.5900525322767,80.39453311806889,90.43204605324041,139.53372672223372,80.00218283967645,101.03145572256892,80.79301963111146,80.79301952877678,80.39383422731083,80.56627917931378,80.37869134560452,86.59879530293459,101.03145572256892,80.000640575844,134.10836905180133,80.59073837968164,80.59073840586396,80.29312295599362,80.42308956046033,80.28241422403057,90.03940249007759,134.10836905180133,80.00193653996276
"W kernel support bw, ff2 [pixels]",1205.2203411497935,82.69570126733143,82.69570126890869,80.93238513051914,80.71822129836457,80.59634633555343,94.56754141304826,1205.2203411497935,80.71126987274309,903.5295117946052,81.39384861791818,81.39384871870931,80.62656088290385,80.79204556293607,80.62656088707266,82.4968073442984,903.5295117946052,80.19586296723287,450.66066860457363,81.50923255559036,81.50923264323067,81.80463250198042,82.43071035850812,81.80463238124214,82.24733872397974,450.66066860457363,80.04903650268392,163.07059923367558,81.2691446304507,81.26914477014203,80.63114810353845,80.90727946080872,80.6069858440743,95.61541382146056,163.07059923367558,80.00517523513794,110.7946477284132,81.21863672833202,81.21863657144439,80.60591180321401,80.87078540898992,80.58263943969929,89.97324296732866,110.7946477284132,80.00151862647388,155.87173994251572,80.90833221514164,80.90833225533059,80.45109435051552,80.650866969346,80.43462706447096,95.04182560071922,155.87173994251572,80.00459125815973
"W kernel support bw, ff3 [pixels]",2064.2666618363405,87.43163249227452,87.43163249651123,82.61549848999003,82.01909754685013,81.67853621518398,116.75632472859164,2064.2666618363405,85.5500432117598,1233.597257620441,82.54590536003066,82.54590554293556,81.148510087964,81.45074503922095,81.14851009558366,84.53738276485264,1233.597257620441,80.66014530120187,609.9757846662962,82.75517986019776,82.75518001906822,83.28994080086977,84.41859571158126,83.28994058259357,84.08868147979355,609.9757846662962,80.1655390063626,209.0710784540825,82.3194748789335,82.31947513272432,81.15689435660586,81.6609260486858,81.11272784932389,107.01984156690229,209.0710784540825,80.01747313114547,131.28578260750737,82.22769067004975,82.22769038488255,81.11076436328096,81.59438732841856,81.06821459751404,97.58244806733684,131.28578260750737,80.0051268201743,198.64755514117755,81.66284517134653,81.66284524460877,80.82753097210076,81.19293129275621,80.79738048428396,106.07326128414728,198.64755514117755,80.01550130657554
"W kernel support bw, ff4 [pixels]",3563.5069805782064,108.62306728096664,108.62306728096664,92.65405346031675,92.65405346031675,92.65405346031675,164.35470188288997,3563.5069805782064,117.5579628632499,1833.1107501428946,85.39492632824711,85.39492670973456,82.45529039851269,83.09543586935118,82.45529041468254,89.50129839114868,1833.1107501428946,83.02125369009545,898.8508047281991,85.83087035676802,85.8308706873041,86.93998999159841,89.25890697474695,86.93998954028326,88.5840634282622,898.8508047281991,80.76501347467072,295.6611799589105,84.92201521046222,84.92201574123955,82.47308186393535,83.53916730828617,82.37933882741373,131.62477163239083,295.6611799589105,80.08093660843352,172.79690943750668,84.72995129542451,84.729950698363,82.37517011435038,83.39881832459477,82.28480615918333,114.65499452858295,172.79690943750668,80.02374706511304,279.5760390202776,83.54321354661691,83.54321370107965,81.77272907038704,82.54953073938495,81.70846901141731,129.9550844757014,279.5760390202776,80.0718036250963
