Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Coalesce time bw5 [s],1.8,1.8,1.8,1.8,1.05,0.5250000000000001,1.05,0.42000000000000004,1.05,1.6153846153846156,0.7000000000000001,1.05,1.05,1.05,1.05,1.05,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,1.8,1.8,1.75,1.4000000000000001
Coalesce time bw6 [s],0.9,0.9,0.9,0.9,0.7000000000000001,0.5250000000000001,0.7000000000000001,0.28,0.7000000000000001,1.6153846153846156,0.46666666666666673,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.46666666666666673,0.46666666666666673,0.46666666666666673,0.46666666666666673,0.9,0.9,1.1666666666666667,0.9333333333333335
Coalesce time bw7 [s],0.9,0.9,0.9,0.9,0.35000000000000003,0.5250000000000001,0.35000000000000003,0.14,0.35000000000000003,1.6153846153846156,0.23333333333333336,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.23333333333333336,0.23333333333333336,0.23333333333333336,0.23333333333333336,0.9,0.9,0.5833333333333334,0.46666666666666673
Coalesce time bw8 [s],,,,,0.35000000000000003,0.5250000000000001,0.35000000000000003,0.14,0.35000000000000003,1.6153846153846156,0.23333333333333336,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.23333333333333336,0.23333333333333336,0.23333333333333336,0.23333333333333336,,,0.5833333333333334,0.46666666666666673
Coalesce time bw9 [s],,,,,0.35000000000000003,0.5250000000000001,0.35000000000000003,0.14,0.35000000000000003,1.6153846153846156,0.23333333333333336,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.23333333333333336,0.23333333333333336,0.23333333333333336,0.23333333333333336,,,0.5833333333333334,0.46666666666666673
Coalesce time bw10 [s],,,,,0.35000000000000003,0.5250000000000001,0.35000000000000003,0.14,0.35000000000000003,1.6153846153846156,0.23333333333333336,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.23333333333333336,0.23333333333333336,0.23333333333333336,0.23333333333333336,,,0.5833333333333334,0.46666666666666673
Coalesce time bw11 [s],,,,,0.35000000000000003,0.5250000000000001,0.35000000000000003,0.14,0.35000000000000003,1.6153846153846156,0.23333333333333336,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.23333333333333336,0.23333333333333336,0.23333333333333336,0.23333333333333336,,,0.5833333333333334,0.46666666666666673
Combined Samples0,14.0,13.0,14.0,14.0,24.0,6.0,23.0,25.0,24.0,2.0,24.0,24.0,24.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,14.0,13.0,23.0,23.0
Combined Samples1,9.0,9.0,9.0,9.0,16.0,4.0,15.0,16.0,16.0,1.0,16.0,16.0,16.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,9.0,9.0,15.0,15.0
Combined Samples2,6.0,6.0,6.0,6.0,12.0,3.0,11.0,12.0,12.0,1.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,6.0,6.0,11.0,11.0
Combined Samples3,4.0,4.0,4.0,4.0,8.0,2.0,7.0,8.0,8.0,1.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0
Combined Samples4,3.0,2.0,3.0,3.0,4.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
Combined Samples5,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
Combined Samples6,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
Combined Samples7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples8,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples9,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples11,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Channels predict (no-smear),23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,8377.351095988965,21488.724594920375,66.72140768035355,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,56572.54569243951,32975.4265816828,35606.9827446091,135602.13352237805,137288.40894903094
Channels backward (no-smear)0,1439.0220074055394,1553.8091629762937,1439.0220074055394,1439.0220074055394,290.2247521464745,734.4434476774929,358.008708207243,279.28085374879674,286.6062635725801,25.664246596024633,429.86382302328974,643.9200286165463,643.9200286165463,869.4688330477134,869.4688330477134,643.9200286165463,1089.1760088165274,1089.1760088165274,1117.780287073192,1131.677583620408,2020.6580841292684,2181.8409106014506,1085.3618872090558,1373.4278293411337
Channels backward (no-smear)1,2084.8023964370545,2251.1266360271425,2084.8023964370545,2084.8023964370545,435.2910290982149,1101.6190674725092,536.9572860809892,418.90275499589205,429.86382302328974,38.494609457539404,644.7501595153672,965.7786943764594,965.7786943764594,1304.070614995905,1304.070614995905,965.7786943764594,1633.6510299688712,1633.6510299688712,1676.554788025041,1697.4007326825986,2927.4556074956,3161.0062248568347,1627.768254954736,2059.86715195982
Channels backward (no-smear)2,3053.4729526440356,3297.102820280685,3053.4729526440356,3053.4729526440356,580.3573044226926,1468.7946866230889,715.9058620235973,558.5246559695574,573.1213808637368,51.32497229224026,859.6364949340269,1287.6373565920976,1287.6373565920976,1738.6723924468527,1738.6723924468527,1287.6373565920976,2178.126048514747,2178.126048514747,2235.3292863182373,2263.123879117549,4287.651854180768,4629.754160708587,2170.174607264631,2746.3064623796045
Channels backward (no-smear)3,4433.094635524015,4786.8264596173585,4433.094635524015,4433.094635524015,870.4898534441417,2203.1459242849523,1073.8030119774014,837.7684576434344,859.6364949340269,66.72140768035355,1289.4091646977774,1931.3546774765398,1931.3546774765398,2607.875942853118,2607.875942853118,1931.3546774765398,3267.07608300433,3267.07608300433,3352.8782802456103,3394.5701693647666,6224.9010282119,6721.607257574179,3254.987296445331,4119.185071013969
Channels backward (no-smear)4,6487.850320557811,7005.563782880562,6487.850320557811,6487.850320557811,1450.7549495332357,3671.8483988277135,1789.5973095663412,1396.2560606678828,1432.6667211420954,128.3071491877274,2148.954502933313,3218.789314993408,3218.789314993408,4346.283038268417,4346.283038268417,3218.789314993408,5444.976148857445,5444.976148857445,5587.976264909225,5657.462746707873,9110.165737425465,9837.133129807215,5424.612656270212,6864.942273636082
Channels backward (no-smear)5,9452.569228770244,10206.884769757768,9452.569228770244,9452.569228770244,2031.020044876308,5140.550873089399,2505.391606269829,1954.7436635588253,2005.6969466105954,179.6286004280895,3008.4998406776094,4506.223950889295,4506.223950889295,6084.6901316340445,6084.6901316340445,4506.223950889295,7622.876213523674,7622.876213523674,7823.074248348689,7920.355322831102,13273.19051986579,14332.391876912034,7594.238009030848,9610.699470687023
Channels backward (no-smear)6,13796.909801136626,14897.929378619174,13796.909801136626,13796.909801136626,3191.550234958787,5874.902110160061,3936.9801989593916,3071.718869253034,3151.7573969500827,282.2715028998748,4727.590515759269,7081.093221344769,7081.093221344769,9561.504316662818,9561.504316662818,7081.093221344769,11978.676341888648,11978.676341888648,12293.27021425803,12446.140474166908,19373.464450029325,20919.503696560292,11933.488708788935,15102.21386022389
Channels backward (no-smear)7,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,4352.080424763118,11015.360769551247,5368.56879132114,4188.694074905575,4297.817847033029,384.9144053664507,6446.6811906974535,9655.962491205197,9655.962491205197,13038.318500950394,13038.318500950394,9655.962491205197,16334.476469786141,16334.476469786141,16763.46617971685,16971.92562505434,32975.42658168279,35606.98274460911,16272.739405947037,20593.728247660394
Channels backward (no-smear)8,,,,,5222.478067072525,13218.414480651934,6442.260235513635,5026.425479104304,5157.363184520282,461.89658221317296,7735.999196790231,11587.114443504672,11587.114443504672,15645.929138975218,15645.929138975218,11587.114443504672,19601.326565676056,19601.326565676056,20116.113153633392,20366.264487998786,,,19527.17742822523,24712.36403777495
Channels backward (no-smear)9,,,,,6383.008256730193,16155.819428625153,7873.848827754904,6143.40068474348,6303.42363444012,564.5394846753744,9455.089871673488,14161.983713092513,14161.983713092513,19122.743322881077,19122.743322881077,14161.983713092513,23957.126693206257,23957.126693206257,24586.309118931273,24892.049638573604,,,23866.428124018337,30203.878424293223
Channels backward (no-smear)10,,,,,7543.5384464037115,19093.224376601953,9305.437419941278,7260.375890433637,7449.484084359903,667.1823871407294,11174.18054640984,16736.85298255884,16736.85298255884,22599.557506801673,22599.557506801673,16736.85298255884,28312.926820804376,28312.926820804376,29056.505084177163,29417.834789399283,,,28205.67881959181,35695.392810509155
Channels backward (no-smear)11,,,,,8704.068635983613,22030.62932496891,10737.026012025985,8377.351095988965,8595.544534254459,769.825289607694,12893.271221261048,19311.722251984575,19311.722251984575,26076.37169047466,26076.37169047466,19311.722251984575,32668.72694857374,32668.72694857374,33526.70104926861,33943.619939647484,,,32544.92951502094,41186.9071966738
Channels predict fft,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,613.7881380558788,507.8054023711598,677.5160766564443
Channels predict gcf1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,645.7080791450343,651.3951877151753,821.4431989789358
Channels predict gcf2,500.0,523.8050354008501,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,699.9792762116499,789.1540075111114,965.1631383372477
Channels predict gcf3,500.0,598.1302653698493,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,512.5863515562978,784.8427205634422,1049.2188394751063,1244.4994836023131
Channels predict gcf4,500.0,713.0543153079375,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,608.4688682865295,608.4688682865295,500.0,500.0,500.0,500.0,500.0,632.8600221036531,918.4729665175539,1525.1712563542078,1767.783294784693
Channels predict gcf5,580.3484023992205,878.975868617663,581.208657300232,581.208657300232,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,780.5009097530158,780.5009097530158,572.1515260243705,500.0,500.0,500.0,500.0,801.4050372640872,1114.6352283179283,1962.4404269083632,2253.8194034456774
Channels predict gcf6,751.0643601839881,1114.9934960299531,752.2468190862488,752.2468190862488,500.0,500.0,500.0,500.0,500.0,500.0,500.0,560.6628286322687,560.6628286322687,1096.9466481256372,1096.9466481256372,803.5583055277076,522.5409442830111,522.5409442830111,508.23825841472217,588.3092160850643,1036.0757798898665,1397.334413177499,2765.9779857243566,3150.8492480383384
Channels predict gcf7,1101.3887204112382,1607.507910205013,1103.2072347121948,1103.2072347121948,500.0,688.0968716223349,552.4574714622473,500.0,500.0,500.0,500.0,707.199782341819,707.199782341819,1389.3763658226912,1389.3763658226912,1017.415950923833,657.3412053981563,657.3412053981563,638.7623446712212,729.8278629292264,1518.030808852493,1993.51290799647,3508.6064906129086,3980.672088580194
Channels predict gcf8,,,,,575.085315861354,790.4359555756632,635.1770166833173,500.0,500.0,500.0,500.0,811.6518977055849,811.6518977055849,1597.789170020474,1597.789170020474,1169.821640213704,753.5030594643008,753.5030594643008,731.9053870040506,831.486824729213,,,4038.117747620152,4572.023840029747
Channels predict gcf9,,,,,671.2573179961418,921.45362579338,741.1058496164565,500.0,574.2736070317505,500.0,500.0,945.370294671244,945.370294671244,1864.7098989758758,1864.7098989758758,1364.9943148692785,876.6387948799319,876.6387948799319,851.192173776841,962.1229128028052,,,4716.64823412434,5329.074894299166
Channels predict gcf10,,,,,763.8526965402715,1047.5164570407517,843.0696710954145,500.0,653.1624135095437,500.0,500.0,1074.0079193533975,1074.0079193533975,2121.678187064782,2121.678187064782,1552.868047520094,995.0972333153451,995.0972333153451,965.9543352862432,1088.0734706935657,,,5370.29215236005,6057.462664618723
Channels predict gcf11,,,,,853.562165218569,1169.566356121051,941.8307865148914,500.0,729.5631151170863,500.0,500.0,1198.518642450493,1198.518642450493,2370.6128618570633,2370.6128618570633,1734.84709093616,1109.7398351004888,1109.7398351004888,1077.0195424458218,1210.102024798363,,,6003.889325191947,6762.624891048342
Channels predict,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels backward gcf0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,613.7881380558788,500.0,500.0
Channels backward gcf1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,645.7080791450343,500.0,500.0
Channels backward gcf2,500.0,523.8050354008501,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,699.9792762116499,500.0,500.0
Channels backward gcf3,500.0,598.1302653698493,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,512.5863515562978,784.8427205634422,500.0,500.0
Channels backward gcf4,500.0,713.0543153079375,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,632.8600221036531,918.4729665175539,500.0,529.4104293721331
Channels backward gcf5,580.3484023992205,878.975868617663,581.208657300232,581.208657300232,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,801.4050372640872,1114.6352283179283,500.0,575.2088710359654
Channels backward gcf6,751.0643601839881,1114.9934960299531,752.2468190862488,752.2468190862488,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1036.0757798898665,1397.334413177499,500.0,674.6729543688801
Channels backward gcf7,1101.3887204112382,1607.507910205013,1103.2072347121948,1103.2072347121948,500.0,688.0968716223349,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1518.030808852493,1993.51290799647,500.0,778.0935758298342
Channels backward gcf8,,,,,500.0,790.4359555756632,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,518.5574591559533,856.090468221145
Channels backward gcf9,,,,,500.0,921.45362579338,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,585.2468210541844,959.4553423088715
Channels backward gcf10,,,,,500.0,1047.5164570407517,500.0,500.0,500.0,500.0,500.0,500.0,500.0,532.2292331190699,532.2292331190699,500.0,500.0,500.0,500.0,527.9901502353575,,,650.7198460197662,1061.5114193455556
Channels backward gcf11,,,,,500.0,1169.566356121051,500.0,500.0,500.0,500.0,500.0,500.0,500.0,590.5629226787928,590.5629226787928,500.0,515.5616117746762,515.5616117746762,501.4826685520037,581.0296455270349,,,714.9286402175574,1162.0021499836378
Channels backward0,1439.0220074055394,1553.8091629762937,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,643.9200286165463,643.9200286165463,869.4688330477134,869.4688330477134,700.0,1089.1760088165274,1089.1760088165274,1117.780287073192,65536.0,2020.6580841292684,65536.0,1085.3618872090558,65536.0
Channels backward1,2084.8023964370545,2251.1266360271425,2084.8023964370545,2084.8023964370545,500.0,3200.0,536.9572860809892,5000.0,500.0,2500.0,5000.0,965.7786943764594,965.7786943764594,1304.070614995905,1304.070614995905,965.7786943764594,1633.6510299688712,1633.6510299688712,1676.554788025041,65536.0,2927.4556074956,65536.0,1627.768254954736,65536.0
Channels backward2,3053.4729526440356,3297.102820280685,3053.4729526440356,3053.4729526440356,580.3573044226926,3200.0,715.9058620235973,5000.0,573.1213808637368,2500.0,5000.0,1287.6373565920976,1287.6373565920976,1738.6723924468527,1738.6723924468527,1287.6373565920976,2178.126048514747,2178.126048514747,2235.3292863182373,65536.0,4287.651854180768,65536.0,2170.174607264631,65536.0
Channels backward3,4433.094635524015,4786.8264596173585,4433.094635524015,4433.094635524015,870.4898534441417,3200.0,1073.8030119774014,5000.0,859.6364949340269,2500.0,5000.0,1931.3546774765398,1931.3546774765398,2607.875942853118,2607.875942853118,1931.3546774765398,3267.07608300433,3267.07608300433,3352.8782802456103,65536.0,6224.9010282119,65536.0,3254.987296445331,65536.0
Channels backward4,6487.850320557811,7005.563782880562,6487.850320557811,6487.850320557811,1450.7549495332357,3671.8483988277135,1789.5973095663412,5000.0,1432.6667211420954,2500.0,5000.0,3218.789314993408,3218.789314993408,4346.283038268417,4346.283038268417,3218.789314993408,5444.976148857445,5444.976148857445,5587.976264909225,65536.0,9110.165737425465,65536.0,5424.612656270212,65536.0
Channels backward5,9452.569228770244,10206.884769757768,9452.569228770244,9452.569228770244,2031.020044876308,5140.550873089399,2505.391606269829,5000.0,2005.6969466105954,2500.0,5000.0,4506.223950889295,4506.223950889295,6084.6901316340445,6084.6901316340445,4506.223950889295,7622.876213523674,7622.876213523674,7823.074248348689,65536.0,13273.19051986579,65536.0,7594.238009030848,65536.0
Channels backward6,13796.909801136626,14897.929378619174,13796.909801136626,13796.909801136626,3191.550234958787,5874.902110160061,3936.9801989593916,5000.0,3151.7573969500827,2500.0,5000.0,7081.093221344769,7081.093221344769,9561.504316662818,9561.504316662818,7081.093221344769,11978.676341888648,11978.676341888648,12293.27021425803,65536.0,19373.464450029325,65536.0,11933.488708788935,65536.0
Channels backward7,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,4352.080424763118,11015.360769551247,5368.56879132114,5000.0,4297.817847033029,2500.0,6446.6811906974535,9655.962491205197,9655.962491205197,13038.318500950394,13038.318500950394,9655.962491205197,16334.476469786141,16334.476469786141,16763.46617971685,65536.0,32975.42658168279,65536.0,16272.739405947037,65536.0
Channels backward8,,,,,5222.478067072525,13218.414480651934,6442.260235513635,5000.0,5157.363184520282,2500.0,7735.999196790231,11587.114443504672,11587.114443504672,15645.929138975218,15645.929138975218,11587.114443504672,19601.326565676056,19601.326565676056,20116.113153633392,65536.0,,,19527.17742822523,65536.0
Channels backward9,,,,,6383.008256730193,16155.819428625153,7873.848827754904,5000.0,6303.42363444012,2500.0,9455.089871673488,14161.983713092513,14161.983713092513,19122.743322881077,19122.743322881077,14161.983713092513,23957.126693206257,23957.126693206257,24586.309118931273,65536.0,,,23866.428124018337,65536.0
Channels backward10,,,,,7543.5384464037115,19093.224376601953,9305.437419941278,5000.0,7449.484084359903,2500.0,11174.18054640984,16736.85298255884,16736.85298255884,22599.557506801673,22599.557506801673,16736.85298255884,28312.926820804376,28312.926820804376,29056.505084177163,65536.0,,,28205.67881959181,65536.0
Channels backward11,,,,,8704.068635983613,22030.62932496891,10737.026012025985,5000.0,8595.544534254459,2500.0,12893.271221261048,19311.722251984575,19311.722251984575,26076.37169047466,26076.37169047466,19311.722251984575,32668.72694857374,32668.72694857374,33526.70104926861,65536.0,,,32544.92951502094,65536.0
Channels backward fft,500,65536,500,500,500,65536,500,5000,500,2500,500,500,500,500,500,500,500,500,500,65536,500,65536,500,65536
Channels out,500,65536,1500,1500,500,65536,500,5000,500,2500,5000,500,500,700,700,700,1000,1000,500,65536,500,65536,500,65536
Visibilities pred0,1342068434.7032068,1449170261.379078,1342068434.7032068,1342068434.7032068,215262479.15212432,60730198.10454093,265540084.34873638,49462810.211416215,212578541.26478764,25245176.692619033,212578541.26478764,477603017.998407,477603017.998407,644901375.0246507,644901375.0246507,477603017.998407,538627523.213381,538627523.213381,552773424.8362346,648318946.0030745,1884517307.1455562,3745326112.3146496,648318946.0030745,648318946.0030745
Visibilities pred1,202539517.36525932,218702890.0539745,202539517.36525932,202539517.36525932,17720883.230152998,4999444.1827184,21859846.853958793,4071887.899108942,17499935.529068198,2078238.7625403649,17499935.529068198,39317336.4241397,39317336.4241397,53089707.07199143,53089707.07199143,39317336.4241397,44341008.61890336,44341008.61890336,45505530.51715144,53371049.07120073,284403698.0425281,565229405.2586584,53371049.07120073,53371049.07120073
Visibilities pred2,151434456.9710891,163519464.37002924,151434456.9710891,151434456.9710891,9939656.108639443,2804191.8263985896,12261203.772629244,2283924.8419179274,9815726.384694278,1165685.611885682,9815726.384694278,22053122.18855235,22053122.18855235,29778054.758924242,29778054.758924242,22053122.18855235,24870903.524277207,24870903.524277207,25524084.691899285,29935859.687986653,212642550.61875242,422609914.16837627,29935859.687986653,29935859.687986653
Visibilities pred3,234249610.49715713,252943561.21801224,234249610.49715713,234249610.49715713,19083828.761555877,5742891.281241906,26904145.880749,4385064.242770006,18845887.568783544,1253324.7472326572,18845887.568783544,42341304.65924229,42341304.65924229,65340495.44690289,65340495.44690289,42341304.65924229,54572979.04932402,54572979.04932402,56006221.79988423,65686758.906097166,328930651.93923765,653723133.8643019,65686758.906097166,65686758.906097166
Visibilities pred4,189338280.84555808,204448147.98337874,189338280.84555808,189338280.84555808,53559095.8373816,16117523.813424826,66068582.32943479,9845406.97639109,52891309.76014397,2931231.3360139374,52891309.76014397,118831604.62498526,118831604.62498526,160456827.80692613,160456827.80692613,118831604.62498526,134015009.25783736,134015009.25783736,137534627.27816668,161307147.90119162,265866671.12660885,528388559.75958896,161307147.90119162,161307147.90119162
Visibilities pred5,270562052.6222723,292153865.16752964,270562052.6222723,270562052.6222723,37571692.79180548,8479829.296240013,46347094.5440999,8633188.269514406,37103241.01993846,1542193.5555934503,37103241.01993846,83360341.93861605,83360341.93861605,112560425.94546138,112560425.94546138,83360341.93861605,94011496.62075014,94011496.62075014,96480507.81178708,113156925.28617923,379920172.2051206,755060691.7535795,113156925.28617923,113156925.28617923
Visibilities pred6,207928515.08921194,224521948.93223414,207928515.08921194,207928515.08921194,86052132.1785943,3236955.5252472498,106150828.17542218,19772978.082397547,84979216.08680753,2354770.020190098,84979216.08680753,190923927.82789752,190923927.82789752,257802189.14305305,257802189.14305305,190923927.82789752,215318744.84187993,215318744.84187993,220973631.84787288,259168378.32160112,291970867.6564998,580268544.376171,259168378.32160112,259168378.32160112
Visibilities pred7,18517898.798805382,19995692.878650185,18517898.798805382,18517898.798805382,164486279.9438615,12374702.618329613,202904383.6275627,37795502.863717765,162435430.39299104,2250539.010123154,162435430.39299104,364945828.13478595,364945828.13478595,492781782.1587097,492781782.1587097,364945828.13478595,411575848.78567845,411575848.78567845,422385009.5068586,495393215.13532144,26002623.916891437,51678117.2427348,495393215.13532144,495393215.13532144
Visibilities pred8,,,,,52082139.49342821,3918265.937909834,64246661.88283607,11967385.079437898,51432768.418680064,712599.7785386126,51432768.418680064,115554680.5177165,115554680.5177165,156032038.21601093,156032038.21601093,115554680.5177165,130319384.54622325,130319384.54622325,133741944.8757506,156858909.71320844,,,156858909.71320844,156858909.71320844
Visibilities pred9,,,,,45552438.567719236,3427020.667058929,56191856.691451795,10466996.535657328,44984481.17814519,623258.912766946,44984481.17814519,101067228.35685153,101067228.35685153,136469812.96395686,136469812.96395686,101067228.35685153,113980835.2050106,113980835.2050106,116974298.428133,137193016.9921677,,,137193016.9921677,137193016.9921677
Visibilities pred10,,,,,3264850.552875744,245622.64219797074,4027402.7067391425,750194.2925752864,3224143.70916629,44670.43411752481,3224143.70916629,7243726.280162723,7243726.280162723,9781112.895720268,9781112.895720268,7243726.280162723,8169274.895856583,8169274.895856583,8383823.454974779,9832946.631642792,,,9832946.631642792,9832946.631642792
Visibilities pred11,,,,,1399221.661660122,105266.84636602242,1726029.7267004752,321511.8387886227,1381775.8715470303,19144.471711866714,1381775.8715470303,3104454.1115098707,3104454.1115098707,4191905.515178976,4191905.515178976,3104454.1115098707,3501117.8028563815,3501117.8028563815,3593067.185082078,4214119.973370235,,,4214119.973370235,4214119.973370235
