Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Combined Samples10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples11,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
"Channels total, no-smear",23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,8377.351095988965,21488.724594920375,66.72140768035355,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,56572.54569243951,32975.4265816828,35606.9827446091,135602.13352237805,137288.40894903094
"Channels predict, no-smear0",432.19146807987215,311.3158565213452,432.19146807987215,432.19146807987215,96.80303436957776,125.9809755087467,134.32297139250105,30.49999913351738,107.5343021905529,7.7017382894262525,286.6062635725801,322.0613486844665,322.0613486844665,372.78105657217833,372.78105657217833,276.08153321849096,435.8059662520879,435.8059662520879,447.25086839102715,1885.9751150023908,606.8780206875874,2181.8409106014506,603.2228470378325,610.7174065338095
"Channels predict, no-smear1",625.9256891403746,450.77950390271826,625.9256891403746,625.9256891403746,145.15846868936538,188.92537474926806,201.4286969380138,45.73148420772486,161.2558943585388,11.550847310598783,429.86382302328974,482.99069219279056,482.99069219279056,559.0389802377872,559.0389802377872,414.02097489565193,653.5959856457442,653.5959856457442,670.7606799322704,2828.8470245059593,878.9174241194681,3161.0062248568347,904.5597563976627,915.8015939374465
"Channels predict, no-smear2",916.5269298174715,659.9748488531077,916.5269298174715,916.5269298174715,193.5138981343635,251.86977024302115,268.53441733997994,60.9629667845659,214.97748223738932,15.39995624239,573.1213808637368,643.9200286165463,643.9200286165463,745.2968934217347,745.2968934217347,551.9604083092323,871.3859985328546,871.3859985328546,894.2704848313007,3771.7189324319356,1286.9764017000732,4629.754160708587,1205.8966379974954,1220.8857539214612
"Channels predict, no-smear3",1330.413484144414,957.9196491726934,1330.413484144414,1330.413484144414,290.2247521464745,377.75855748210245,402.7458529975174,91.42592943886162,322.42065370364355,20.018886915136445,859.6364949340269,965.7786943764594,965.7786943764594,1117.8127093029952,1117.8127093029952,827.8392668687668,1306.96601779828,1306.96601779828,1341.2900879856256,5657.462746707873,1868.1512233137412,6721.607257574179,1808.570373420898,1831.0540464535015
"Channels predict, no-smear4",1946.840224337752,1401.6671646345294,1946.840224337752,1946.840224337752,483.6464543146965,629.5361274602136,671.1687181344201,152.35185174647444,537.3069914842204,38.494609457539404,1432.6667211420954,1609.4960173883849,1609.4960173883849,1862.8443284761663,1862.8443284761663,1379.596974064151,2178.126048514747,2178.126048514747,2235.3292863182373,9428.950373368421,2733.7306847441096,9837.133129807215,3013.917810920462,3051.3905985794445
"Channels predict, no-smear5",2836.2559202763196,2041.931396401626,2836.2559202763196,2836.2559202763196,677.068154251127,881.3136957236542,939.5915809173132,213.2777729104135,752.1933273013867,53.89104485771231,2005.6969466105954,2253.213337158755,2253.213337158755,2607.875942853118,2607.875942853118,1931.3546774765398,3049.286076254615,3049.286076254615,3129.3684816134323,13200.437999296486,3982.638152411384,14332.391876912034,4219.26523571507,4271.727138157234
"Channels predict, no-smear6",4139.5581081635855,2980.140341877421,4139.5581081635855,4139.5581081635855,1063.9115522977854,1007.2024796151782,1476.4373045565337,335.1296143020661,1181.9659973298687,84.68391562454629,3151.7573969500827,3540.6479740473937,3540.6479740473937,4097.939167681737,4097.939167681737,3034.8700812078614,4791.606129302503,4791.606129302503,4917.446869713224,20743.413250674002,5812.720354161615,20919.503696560292,6629.960074898007,6712.400207030805
"Channels predict, no-smear7",7045.56971963068,5072.092687410612,7045.56971963068,7045.56971963068,1450.7549495332357,1888.4239653495413,2013.2830273380657,456.9814552775829,1611.7386666437208,115.47678637614594,4297.817847033029,4828.082609751441,4828.082609751441,5588.002390765619,5588.002390765619,4138.385483565499,6533.926181262959,6533.926181262959,6705.52525670914,28286.38850162736,9893.309014025303,35606.98274460911,9040.654909467647,9153.073271346264
"Channels predict, no-smear8",,,,,1740.887497252959,2266.0903160617677,2415.9173192052717,548.3703359036891,1934.0681684477215,138.5714394367396,5157.363184520282,5793.658586237482,5793.658586237482,6705.549807639503,6705.549807639503,4966.022034981619,7840.666219968584,7840.666219968584,8046.584046663645,33943.619939647484,,,10848.676034195598,10983.578068427887
"Channels predict, no-smear9",,,,,2127.7308940722924,2769.645450242353,2952.7630415486615,670.2221766671483,2363.8408373967463,169.36431018053136,6303.42363444012,7081.093221344769,7081.093221344769,8195.613029826505,8195.613029826505,6069.537436643055,9582.98627137248,9582.98627137248,9834.662433105768,41486.595190876724,,,13259.37086640695,13424.251130393075
"Channels predict, no-smear10",,,,,2514.57429080469,3273.2005843625825,3489.6087638037866,792.0740173830991,2793.613506266156,200.15718092361135,7449.484084359903,8368.527856328625,8368.527856328625,9685.676251827055,9685.676251827055,7173.052838139827,11325.3063226907,11325.3063226907,11622.740819438477,49029.57044203559,,,15670.065698076485,15864.92419188574
"Channels predict, no-smear11",,,,,2901.4176874826626,3776.7557184309826,4026.4544859839125,913.9258580713152,3223.386175080744,230.95005166550342,8595.544534254459,9655.962491205197,9655.962491205197,11175.739473704114,11175.739473704114,8276.568239542667,13067.626373872286,13067.626373872286,13410.819205646914,56572.54569243952,,,18080.76052947859,18305.59725306473
"Channels backward, no-smear0",432.19146807987215,311.3158565213452,432.19146807987215,432.19146807987215,96.80303436957776,125.9809755087467,134.32297139250105,30.49999913351738,107.5343021905529,7.7017382894262525,286.6062635725801,322.0613486844665,322.0613486844665,372.78105657217833,372.78105657217833,276.08153321849096,435.8059662520879,435.8059662520879,447.25086839102715,1885.9751150023908,606.8780206875874,2181.8409106014506,603.2228470378325,610.7174065338095
"Channels backward, no-smear1",625.9256891403746,450.77950390271826,625.9256891403746,625.9256891403746,145.15846868936538,188.92537474926806,201.4286969380138,45.73148420772486,161.2558943585388,11.550847310598783,429.86382302328974,482.99069219279056,482.99069219279056,559.0389802377872,559.0389802377872,414.02097489565193,653.5959856457442,653.5959856457442,670.7606799322704,2828.8470245059593,878.9174241194681,3161.0062248568347,904.5597563976627,915.8015939374465
"Channels backward, no-smear2",916.5269298174715,659.9748488531077,916.5269298174715,916.5269298174715,193.5138981343635,251.86977024302115,268.53441733997994,60.9629667845659,214.97748223738932,15.39995624239,573.1213808637368,643.9200286165463,643.9200286165463,745.2968934217347,745.2968934217347,551.9604083092323,871.3859985328546,871.3859985328546,894.2704848313007,3771.7189324319356,1286.9764017000732,4629.754160708587,1205.8966379974954,1220.8857539214612
"Channels backward, no-smear3",1330.413484144414,957.9196491726934,1330.413484144414,1330.413484144414,290.2247521464745,377.75855748210245,402.7458529975174,91.42592943886162,322.42065370364355,20.018886915136445,859.6364949340269,965.7786943764594,965.7786943764594,1117.8127093029952,1117.8127093029952,827.8392668687668,1306.96601779828,1306.96601779828,1341.2900879856256,5657.462746707873,1868.1512233137412,6721.607257574179,1808.570373420898,1831.0540464535015
"Channels backward, no-smear4",1946.840224337752,1401.6671646345294,1946.840224337752,1946.840224337752,483.6464543146965,629.5361274602136,671.1687181344201,152.35185174647444,537.3069914842204,38.494609457539404,1432.6667211420954,1609.4960173883849,1609.4960173883849,1862.8443284761663,1862.8443284761663,1379.596974064151,2178.126048514747,2178.126048514747,2235.3292863182373,9428.950373368421,2733.7306847441096,9837.133129807215,3013.917810920462,3051.3905985794445
"Channels backward, no-smear5",2836.2559202763196,2041.931396401626,2836.2559202763196,2836.2559202763196,677.068154251127,881.3136957236542,939.5915809173132,213.2777729104135,752.1933273013867,53.89104485771231,2005.6969466105954,2253.213337158755,2253.213337158755,2607.875942853118,2607.875942853118,1931.3546774765398,3049.286076254615,3049.286076254615,3129.3684816134323,13200.437999296486,3982.638152411384,14332.391876912034,4219.26523571507,4271.727138157234
"Channels backward, no-smear6",4139.5581081635855,2980.140341877421,4139.5581081635855,4139.5581081635855,1063.9115522977854,1007.2024796151782,1476.4373045565337,335.1296143020661,1181.9659973298687,84.68391562454629,3151.7573969500827,3540.6479740473937,3540.6479740473937,4097.939167681737,4097.939167681737,3034.8700812078614,4791.606129302503,4791.606129302503,4917.446869713224,20743.413250674002,5812.720354161615,20919.503696560292,6629.960074898007,6712.400207030805
"Channels backward, no-smear7",7045.56971963068,5072.092687410612,7045.56971963068,7045.56971963068,1450.7549495332357,1888.4239653495413,2013.2830273380657,456.9814552775829,1611.7386666437208,115.47678637614594,4297.817847033029,4828.082609751441,4828.082609751441,5588.002390765619,5588.002390765619,4138.385483565499,6533.926181262959,6533.926181262959,6705.52525670914,28286.38850162736,9893.309014025303,35606.98274460911,9040.654909467647,9153.073271346264
"Channels backward, no-smear8",,,,,1740.887497252959,2266.0903160617677,2415.9173192052717,548.3703359036891,1934.0681684477215,138.5714394367396,5157.363184520282,5793.658586237482,5793.658586237482,6705.549807639503,6705.549807639503,4966.022034981619,7840.666219968584,7840.666219968584,8046.584046663645,33943.619939647484,,,10848.676034195598,10983.578068427887
"Channels backward, no-smear9",,,,,2127.7308940722924,2769.645450242353,2952.7630415486615,670.2221766671483,2363.8408373967463,169.36431018053136,6303.42363444012,7081.093221344769,7081.093221344769,8195.613029826505,8195.613029826505,6069.537436643055,9582.98627137248,9582.98627137248,9834.662433105768,41486.595190876724,,,13259.37086640695,13424.251130393075
"Channels backward, no-smear10",,,,,2514.57429080469,3273.2005843625825,3489.6087638037866,792.0740173830991,2793.613506266156,200.15718092361135,7449.484084359903,8368.527856328625,8368.527856328625,9685.676251827055,9685.676251827055,7173.052838139827,11325.3063226907,11325.3063226907,11622.740819438477,49029.57044203559,,,15670.065698076485,15864.92419188574
"Channels backward, no-smear11",,,,,2901.4176874826626,3776.7557184309826,4026.4544859839125,913.9258580713152,3223.386175080744,230.95005166550342,8595.544534254459,9655.962491205197,9655.962491205197,11175.739473704114,11175.739473704114,8276.568239542667,13067.626373872286,13067.626373872286,13410.819205646914,56572.54569243952,,,18080.76052947859,18305.59725306473
Frequencies predict ifft,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Frequencies predict kernels0,209.82875548674272,412.3233746273053,209.81760675191796,209.81760675191796,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.27054391158617,120.27054391158617,100.0,102.21428395223107,102.21428395223107,104.59260182926887,201.92081483213752,294.1584480861308,600.9919042750125,248.79878178921774,456.27555317404494
Frequencies predict kernels1,210.7133250957337,417.80399945313667,210.69393962653209,210.69393962653209,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.72309479790432,120.72309479790432,100.0,102.40694093231333,102.40694093231333,104.76681348788739,211.39559739761833,295.1239314564538,624.3068070978104,249.56146448039357,460.41567115672103
Frequencies predict kernels2,212.308100398816,427.5696261677473,212.27394444172896,212.27394444172896,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.25736251413622,121.25736251413622,100.0,102.63480153577396,102.63480153577396,104.97290070274651,222.1186940731022,296.86666865175715,664.5592817997382,250.4624832507012,465.27736433475525
Frequencies predict kernels3,215.0264085990842,443.8929205703269,214.96731127520127,214.96731127520127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,122.52565384266599,122.52565384266599,100.0,103.17756402558264,103.17756402558264,105.46399153459596,245.91419556506648,299.84339339558585,728.7790777390277,252.60412143871756,476.70842844074514
Frequencies predict kernels4,219.839834341127,471.9062426798029,219.73727993379723,219.73727993379723,100.0,116.298668346336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,125.68056679317725,125.68056679317725,100.0,104.53902953148874,104.53902953148874,106.69705703968555,297.9270136477505,305.1333033649762,832.2744033068782,257.94793538412034,504.5215435132609
Frequencies predict kernels5,228.0050074300953,517.2606757434629,227.83068204061988,227.83068204061988,100.0,136.68235148748462,100.0,100.0,100.0,100.0,100.0,100.0,100.0,129.45339392388811,129.45339392388811,100.0,106.18796888076575,106.18796888076575,108.19278737655995,351.61986072120203,314.1595097798328,987.7299653261372,264.36790982049,536.7630980260816
Frequencies predict kernels6,241.81353814384929,589.2792842105677,241.52282983905747,241.52282983905747,100.0,146.89099536896617,100.0,100.0,100.0,100.0,100.0,103.49464292256094,103.49464292256094,138.27564653563496,138.27564653563496,106.95743529923695,110.12754023903807,110.12754023903807,111.7760925676013,457.7529891112342,329.5625653852878,1216.16548939217,279.49461546156823,608.7472393399436
Frequencies predict kernels7,277.193584088438,757.1382817614531,276.6275157866833,276.6275157866833,100.0,216.25261221263222,100.0,100.0,100.0,100.0,100.0,110.02332041794585,110.02332041794585,148.22340166159694,148.22340166159694,115.18951014365939,114.69861451738912,114.69861451738912,115.9498070270476,560.014030485574,369.68641864712407,1706.0974624559053,296.7190415198513,685.691991459882
Frequencies predict kernels8,,,,,100.0,244.62047510091256,100.0,100.0,100.0,100.0,100.0,115.26555036748407,115.26555036748407,156.15714896829547,156.15714896829547,121.73020448605106,118.43221973625845,118.43221973625845,119.37046947875395,634.0954206410481,,,310.5650343764233,744.7372874976132
Frequencies predict kernels9,,,,,100.0,281.28066411807293,100.0,100.0,100.0,100.0,100.0,122.56782554650783,122.56782554650783,167.14244352008836,167.14244352008836,130.75699345187482,123.71667202647926,123.71667202647926,124.22808830004702,729.7541854619592,,,329.87169763227183,823.9769732943555
Frequencies predict kernels10,,,,,100.0,316.76930910544166,100.0,100.0,100.0,100.0,100.0,130.11230357849908,130.11230357849908,178.42486370609456,178.42486370609456,139.99845859314615,129.2671769996697,129.2671769996697,129.34850100946394,822.3008268942212,,,349.8390505295857,903.0506258415908
Frequencies predict kernels11,,,,,100.0,351.24077766849473,100.0,100.0,100.0,100.0,100.0,137.81161160784902,137.81161160784902,189.88090752094735,189.88090752094735,149.3572484160237,135.01499243101296,135.01499243101296,134.66839444602485,912.1601699156282,,,370.23403535794955,981.524709348116
Frequencies predict de-grid0,500.0,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,606.8780206875874,65536.0,603.2228470378325,65536.0
Frequencies predict de-grid1,625.9256891403746,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,670.7606799322704,65536.0,878.9174241194681,65536.0,904.5597563976627,65536.0
Frequencies predict de-grid2,916.5269298174715,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,643.9200286165463,643.9200286165463,745.2968934217347,745.2968934217347,700.0,1000.0,1000.0,894.2704848313007,65536.0,1286.9764017000732,65536.0,1205.8966379974954,65536.0
Frequencies predict de-grid3,1330.413484144414,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,965.7786943764594,965.7786943764594,1117.8127093029952,1117.8127093029952,827.8392668687668,1306.96601779828,1306.96601779828,1341.2900879856256,65536.0,1868.1512233137412,65536.0,1808.570373420898,65536.0
Frequencies predict de-grid4,1946.840224337752,1500.0,1946.840224337752,1946.840224337752,500.0,3200.0,671.1687181344201,5000.0,537.3069914842204,2500.0,5000.0,1609.4960173883849,1609.4960173883849,1862.8443284761663,1862.8443284761663,1379.596974064151,2178.126048514747,2178.126048514747,2235.3292863182373,65536.0,2733.7306847441096,65536.0,3013.917810920462,65536.0
Frequencies predict de-grid5,2836.2559202763196,2041.931396401626,2836.2559202763196,2836.2559202763196,677.068154251127,3200.0,939.5915809173132,5000.0,752.1933273013867,2500.0,5000.0,2253.213337158755,2253.213337158755,2607.875942853118,2607.875942853118,1931.3546774765398,3049.286076254615,3049.286076254615,3129.3684816134323,65536.0,3982.638152411384,65536.0,4219.26523571507,65536.0
Frequencies predict de-grid6,4139.5581081635855,2980.140341877421,4139.5581081635855,4139.5581081635855,1063.9115522977854,3200.0,1476.4373045565337,5000.0,1181.9659973298687,2500.0,5000.0,3540.6479740473937,3540.6479740473937,4097.939167681737,4097.939167681737,3034.8700812078614,4791.606129302503,4791.606129302503,4917.446869713224,65536.0,5812.720354161615,65536.0,6629.960074898007,65536.0
Frequencies predict de-grid7,7045.56971963068,5072.092687410612,7045.56971963068,7045.56971963068,1450.7549495332357,3200.0,2013.2830273380657,5000.0,1611.7386666437208,2500.0,5000.0,4828.082609751441,4828.082609751441,5588.002390765619,5588.002390765619,4138.385483565499,6533.926181262959,6533.926181262959,6705.52525670914,65536.0,9893.309014025303,65536.0,9040.654909467647,65536.0
Frequencies predict de-grid8,,,,,1740.887497252959,3200.0,2415.9173192052717,5000.0,1934.0681684477215,2500.0,5157.363184520282,5793.658586237482,5793.658586237482,6705.549807639503,6705.549807639503,4966.022034981619,7840.666219968584,7840.666219968584,8046.584046663645,65536.0,,,10848.676034195598,65536.0
Frequencies predict de-grid9,,,,,2127.7308940722924,3200.0,2952.7630415486615,5000.0,2363.8408373967463,2500.0,6303.42363444012,7081.093221344769,7081.093221344769,8195.613029826505,8195.613029826505,6069.537436643055,9582.98627137248,9582.98627137248,9834.662433105768,65536.0,,,13259.37086640695,65536.0
Frequencies predict de-grid10,,,,,2514.57429080469,3273.2005843625825,3489.6087638037866,5000.0,2793.613506266156,2500.0,7449.484084359903,8368.527856328625,8368.527856328625,9685.676251827055,9685.676251827055,7173.052838139827,11325.3063226907,11325.3063226907,11622.740819438477,65536.0,,,15670.065698076485,65536.0
Frequencies predict de-grid11,,,,,2901.4176874826626,3776.7557184309826,4026.4544859839125,5000.0,3223.386175080744,2500.0,8595.544534254459,9655.962491205197,9655.962491205197,11175.739473704114,11175.739473704114,8276.568239542667,13067.626373872286,13067.626373872286,13410.819205646914,65536.0,,,18080.76052947859,65536.0
Frequencies backward kernels0,209.82875548674272,412.3233746273053,209.81760675191796,209.81760675191796,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.27054391158617,120.27054391158617,100.0,102.21428395223107,102.21428395223107,104.59260182926887,201.92081483213752,294.1584480861308,600.9919042750125,248.79878178921774,456.27555317404494
Frequencies backward kernels1,210.7133250957337,417.80399945313667,210.69393962653209,210.69393962653209,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.72309479790432,120.72309479790432,100.0,102.40694093231333,102.40694093231333,104.76681348788739,211.39559739761833,295.1239314564538,624.3068070978104,249.56146448039357,460.41567115672103
Frequencies backward kernels2,212.308100398816,427.5696261677473,212.27394444172896,212.27394444172896,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.25736251413622,121.25736251413622,100.0,102.63480153577396,102.63480153577396,104.97290070274651,222.1186940731022,296.86666865175715,664.5592817997382,250.4624832507012,465.27736433475525
Frequencies backward kernels3,215.0264085990842,443.8929205703269,214.96731127520127,214.96731127520127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,122.52565384266599,122.52565384266599,100.0,103.17756402558264,103.17756402558264,105.46399153459596,245.91419556506648,299.84339339558585,728.7790777390277,252.60412143871756,476.70842844074514
Frequencies backward kernels4,219.839834341127,471.9062426798029,219.73727993379723,219.73727993379723,100.0,116.298668346336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,125.68056679317725,125.68056679317725,100.0,104.53902953148874,104.53902953148874,106.69705703968555,297.9270136477505,305.1333033649762,832.2744033068782,257.94793538412034,504.5215435132609
Frequencies backward kernels5,228.0050074300953,517.2606757434629,227.83068204061988,227.83068204061988,100.0,136.68235148748462,100.0,100.0,100.0,100.0,100.0,100.0,100.0,129.45339392388811,129.45339392388811,100.0,106.18796888076575,106.18796888076575,108.19278737655995,351.61986072120203,314.1595097798328,987.7299653261372,264.36790982049,536.7630980260816
Frequencies backward kernels6,241.81353814384929,589.2792842105677,241.52282983905747,241.52282983905747,100.0,146.89099536896617,100.0,100.0,100.0,100.0,100.0,103.49464292256094,103.49464292256094,138.27564653563496,138.27564653563496,106.95743529923695,110.12754023903807,110.12754023903807,111.7760925676013,457.7529891112342,329.5625653852878,1216.16548939217,279.49461546156823,608.7472393399436
Frequencies backward kernels7,277.193584088438,757.1382817614531,276.6275157866833,276.6275157866833,100.0,216.25261221263222,100.0,100.0,100.0,100.0,100.0,110.02332041794585,110.02332041794585,148.22340166159694,148.22340166159694,115.18951014365939,114.69861451738912,114.69861451738912,115.9498070270476,560.014030485574,369.68641864712407,1706.0974624559053,296.7190415198513,685.691991459882
Frequencies backward kernels8,,,,,100.0,244.62047510091256,100.0,100.0,100.0,100.0,100.0,115.26555036748407,115.26555036748407,156.15714896829547,156.15714896829547,121.73020448605106,118.43221973625845,118.43221973625845,119.37046947875395,634.0954206410481,,,310.5650343764233,744.7372874976132
Frequencies backward kernels9,,,,,100.0,281.28066411807293,100.0,100.0,100.0,100.0,100.0,122.56782554650783,122.56782554650783,167.14244352008836,167.14244352008836,130.75699345187482,123.71667202647926,123.71667202647926,124.22808830004702,729.7541854619592,,,329.87169763227183,823.9769732943555
Frequencies backward kernels10,,,,,100.0,316.76930910544166,100.0,100.0,100.0,100.0,100.0,130.11230357849908,130.11230357849908,178.42486370609456,178.42486370609456,139.99845859314615,129.2671769996697,129.2671769996697,129.34850100946394,822.3008268942212,,,349.8390505295857,903.0506258415908
Frequencies backward kernels11,,,,,100.0,351.24077766849473,100.0,100.0,100.0,100.0,100.0,137.81161160784902,137.81161160784902,189.88090752094735,189.88090752094735,149.3572484160237,135.01499243101296,135.01499243101296,134.66839444602485,912.1601699156282,,,370.23403535794955,981.524709348116
Frequencies backward grid0,500.0,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,606.8780206875874,65536.0,603.2228470378325,65536.0
Frequencies backward grid1,625.9256891403746,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,670.7606799322704,65536.0,878.9174241194681,65536.0,904.5597563976627,65536.0
Frequencies backward grid2,916.5269298174715,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,643.9200286165463,643.9200286165463,745.2968934217347,745.2968934217347,700.0,1000.0,1000.0,894.2704848313007,65536.0,1286.9764017000732,65536.0,1205.8966379974954,65536.0
Frequencies backward grid3,1330.413484144414,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,965.7786943764594,965.7786943764594,1117.8127093029952,1117.8127093029952,827.8392668687668,1306.96601779828,1306.96601779828,1341.2900879856256,65536.0,1868.1512233137412,65536.0,1808.570373420898,65536.0
Frequencies backward grid4,1946.840224337752,1500.0,1946.840224337752,1946.840224337752,500.0,3200.0,671.1687181344201,5000.0,537.3069914842204,2500.0,5000.0,1609.4960173883849,1609.4960173883849,1862.8443284761663,1862.8443284761663,1379.596974064151,2178.126048514747,2178.126048514747,2235.3292863182373,65536.0,2733.7306847441096,65536.0,3013.917810920462,65536.0
Frequencies backward grid5,2836.2559202763196,2041.931396401626,2836.2559202763196,2836.2559202763196,677.068154251127,3200.0,939.5915809173132,5000.0,752.1933273013867,2500.0,5000.0,2253.213337158755,2253.213337158755,2607.875942853118,2607.875942853118,1931.3546774765398,3049.286076254615,3049.286076254615,3129.3684816134323,65536.0,3982.638152411384,65536.0,4219.26523571507,65536.0
Frequencies backward grid6,4139.5581081635855,2980.140341877421,4139.5581081635855,4139.5581081635855,1063.9115522977854,3200.0,1476.4373045565337,5000.0,1181.9659973298687,2500.0,5000.0,3540.6479740473937,3540.6479740473937,4097.939167681737,4097.939167681737,3034.8700812078614,4791.606129302503,4791.606129302503,4917.446869713224,65536.0,5812.720354161615,65536.0,6629.960074898007,65536.0
Frequencies backward grid7,7045.56971963068,5072.092687410612,7045.56971963068,7045.56971963068,1450.7549495332357,3200.0,2013.2830273380657,5000.0,1611.7386666437208,2500.0,5000.0,4828.082609751441,4828.082609751441,5588.002390765619,5588.002390765619,4138.385483565499,6533.926181262959,6533.926181262959,6705.52525670914,65536.0,9893.309014025303,65536.0,9040.654909467647,65536.0
Frequencies backward grid8,,,,,1740.887497252959,3200.0,2415.9173192052717,5000.0,1934.0681684477215,2500.0,5157.363184520282,5793.658586237482,5793.658586237482,6705.549807639503,6705.549807639503,4966.022034981619,7840.666219968584,7840.666219968584,8046.584046663645,65536.0,,,10848.676034195598,65536.0
Frequencies backward grid9,,,,,2127.7308940722924,3200.0,2952.7630415486615,5000.0,2363.8408373967463,2500.0,6303.42363444012,7081.093221344769,7081.093221344769,8195.613029826505,8195.613029826505,6069.537436643055,9582.98627137248,9582.98627137248,9834.662433105768,65536.0,,,13259.37086640695,65536.0
Frequencies backward grid10,,,,,2514.57429080469,3273.2005843625825,3489.6087638037866,5000.0,2793.613506266156,2500.0,7449.484084359903,8368.527856328625,8368.527856328625,9685.676251827055,9685.676251827055,7173.052838139827,11325.3063226907,11325.3063226907,11622.740819438477,65536.0,,,15670.065698076485,65536.0
Frequencies backward grid11,,,,,2901.4176874826626,3776.7557184309826,4026.4544859839125,5000.0,3223.386175080744,2500.0,8595.544534254459,9655.962491205197,9655.962491205197,11175.739473704114,11175.739473704114,8276.568239542667,13067.626373872286,13067.626373872286,13410.819205646914,65536.0,,,18080.76052947859,65536.0
Frequencies backward fft,500,65536,500,500,500,65536,500,65536,500,65536,500,500,500,500,500,500,500,500,500,65536,500,65536,500,65536
Channels out,500,1500,1500,1500,500,3200,500,65536,500,65536,5000,500,500,700,700,700,1000,1000,500,65536,500,65536,500,65536
