,Ingest (Low) [blcoal] [spbf],ICAL (Low) [blcoal] [spbf],RCAL (Low) [blcoal] [spbf],DPrepA (Low) [blcoal] [spbf],DPrepA_Image (Low) [blcoal] [spbf],DPrepB (Low) [blcoal] [spbf],DPrepC (Low) [blcoal] [spbf],DPrepD (Low) [blcoal] [spbf],Fast_Img (Low) [blcoal] [spbf],Ingest (Mid1) [blcoal] [spbf],ICAL (Mid1) [blcoal] [spbf],RCAL (Mid1) [blcoal] [spbf],DPrepA (Mid1) [blcoal] [spbf],DPrepA_Image (Mid1) [blcoal] [spbf],DPrepB (Mid1) [blcoal] [spbf],DPrepC (Mid1) [blcoal] [spbf],DPrepD (Mid1) [blcoal] [spbf],Fast_Img (Mid1) [blcoal] [spbf],Ingest (Mid2) [blcoal] [spbf],ICAL (Mid2) [blcoal] [spbf],RCAL (Mid2) [blcoal] [spbf],DPrepA (Mid2) [blcoal] [spbf],DPrepA_Image (Mid2) [blcoal] [spbf],DPrepB (Mid2) [blcoal] [spbf],DPrepC (Mid2) [blcoal] [spbf],DPrepD (Mid2) [blcoal] [spbf],Fast_Img (Mid2) [blcoal] [spbf],Ingest (Mid5A) [blcoal] [spbf],ICAL (Mid5A) [blcoal] [spbf],RCAL (Mid5A) [blcoal] [spbf],DPrepA (Mid5A) [blcoal] [spbf],DPrepA_Image (Mid5A) [blcoal] [spbf],DPrepB (Mid5A) [blcoal] [spbf],DPrepC (Mid5A) [blcoal] [spbf],DPrepD (Mid5A) [blcoal] [spbf],Fast_Img (Mid5A) [blcoal] [spbf],Ingest (Mid5B) [blcoal] [spbf],ICAL (Mid5B) [blcoal] [spbf],RCAL (Mid5B) [blcoal] [spbf],DPrepA (Mid5B) [blcoal] [spbf],DPrepA_Image (Mid5B) [blcoal] [spbf],DPrepB (Mid5B) [blcoal] [spbf],DPrepC (Mid5B) [blcoal] [spbf],DPrepD (Mid5B) [blcoal] [spbf],Fast_Img (Mid5B) [blcoal] [spbf],Ingest (Mid5C) [blcoal] [spbf],ICAL (Mid5C) [blcoal] [spbf],RCAL (Mid5C) [blcoal] [spbf],DPrepA (Mid5C) [blcoal] [spbf],DPrepA_Image (Mid5C) [blcoal] [spbf],DPrepB (Mid5C) [blcoal] [spbf],DPrepC (Mid5C) [blcoal] [spbf],DPrepD (Mid5C) [blcoal] [spbf],Fast_Img (Mid5C) [blcoal] [spbf]
Visibilities pred8 [1/s],,,,,,,,,,78429454.8566042,4206445.974043107,4206445.974043107,4206445.974043107,5193123.70048831,6572522.532380282,23528836.456981257,156858909.7132084,63045499.42439047,78429454.8566042,3584848.0506434273,3584848.0506434273,4682232.346327465,4682232.346327465,6373013.74159961,31371781.94264168,156858909.7132084,34386855.51206873,78429454.8566042,4485133.136536002,4485133.136536002,6458566.7842915105,6458566.7842915105,6458566.7842915105,47057672.91396251,156858909.7132084,24200424.05979517,78429454.8566042,2948640.4250192125,2948640.4250192125,2948640.4250192125,2948640.4250192125,4607232.725276789,156858909.7132084,156858909.7132084,11048634.441927165,78429454.8566042,7710434.199463898,7710434.199463898,7710434.199463898,7710434.199463898,11102982.986282533,47057672.91396251,156858909.7132084,41603181.91831343
Visibilities pred9 [1/s],,,,,,,,,,137193016.99216768,4496611.265768006,4496611.265768006,4496611.265768006,5551354.897571326,7025911.981671513,20578952.548825152,137193016.99216768,134789558.92026702,137193016.99216768,3832139.3338780203,3832139.3338780203,5005227.32062029,5005227.32062029,6812648.89034095,27438603.398433536,137193016.99216768,73518154.7537825,137193016.99216768,4794535.080825516,4794535.080825516,6904108.709844606,6904108.709844606,6904108.709844606,41157905.097650304,137193016.99216768,51739843.98113254,137193016.99216768,3152051.237563062,3152051.237563062,3152051.237563062,3152051.237563062,4925064.368860085,137193016.99216768,137193016.99216768,23621677.504570484,137193016.99216768,8242330.453382423,8242330.453382423,8242330.453382423,8242330.453382423,11868918.890232597,41157905.097650304,137193016.99216768,88946466.18826613
Visibilities pred10 [1/s],,,,,,,,,,9832946.63164279,380877.7793176898,380877.7793176898,380877.7793176898,470218.25966310326,595118.439582626,1474941.9947464184,9832946.63164279,9832946.63164279,9832946.63164279,324595.08298525115,324595.08298525115,423959.785769771,423959.785769771,577054.8248412957,1966589.3263285581,9832946.63164279,6227250.709839248,9832946.63164279,406113.6406320201,406113.6406320201,584802.0795796795,584802.0795796795,584802.0795796795,2949883.989492837,9832946.63164279,4382549.908974306,9832946.63164279,266989.7241712281,266989.7241712281,266989.7241712281,266989.7241712281,417170.3194907546,9832946.63164279,9832946.63164279,2000840.579086259,9832946.63164279,698153.8163760651,698153.8163760651,698153.8163760651,698153.8163760651,1005338.846375134,2949883.989492837,9832946.63164279,7534084.076798375
Visibilities pred11 [1/s],,,,,,,,,,4214119.9733702345,188345.5020061393,188345.5020061393,188345.5020061393,232524.7878422983,294288.52233853773,632117.9960055351,4214119.9733702345,4214119.9733702345,4214119.9733702345,160513.59162449677,160513.59162449677,209649.9172659872,209649.9172659872,285356.16744591895,842823.9946740469,4214119.9733702345,3079406.6167926537,4214119.9733702345,200824.99675668412,200824.99675668412,289187.32550108,289187.32550108,289187.32550108,1264235.9920110703,4214119.9733702345,2167192.8570391424,4214119.9733702345,132027.64795198457,132027.64795198457,132027.64795198457,132027.64795198457,206292.71798403683,4214119.9733702345,4214119.9733702345,989425.6686536958,4214119.9733702345,345240.1694527647,345240.1694527647,345240.1694527647,345240.1694527647,497144.7086353443,1264235.9920110703,4214119.9733702345,3725642.322742764
Visibilities bw0 [1/s],449439133.47775793,4992955.122518412,4992955.122518412,6239527.133629212,6239527.133629212,6239527.133629212,449439133.47775793,449439133.47775793,13467223.115727078,135537061.88217583,966493.8398859242,966493.8398859242,966493.8398859242,1073809.6213339793,1207954.3444817304,77798273.52036893,241609545.09431344,6894754.097365012,129233012.49230719,658865.6159747349,658865.6159747349,752936.7268852247,752936.7268852247,878364.8719142413,77798273.52036893,241609545.09431344,3658984.7084382386,129233012.49230719,618165.202916565,618165.202916565,794728.6409885397,794728.6409885397,794728.6409885397,77798273.52036893,241609545.09431344,2575079.8170330343,129233012.49230719,362832.1414633399,362832.1414633399,362832.1414633399,362832.1414633399,566885.5091399505,241609545.09431344,241609545.09431344,1175647.1780002387,132309988.98021924,1062687.7068946324,1062687.7068946324,1062687.7068946324,1062687.7068946324,1457300.4958864397,77798273.52036893,241609545.09431344,4549800.775197803
Visibilities bw1 [1/s],67827528.63103901,1091378.2714229175,1091378.2714229175,1363971.2347541675,1363971.2347541675,1363971.2347541675,83737689.6679494,83737689.6679494,3271645.678746064,16943190.18133356,119319.03423504463,119319.03423504463,119319.03423504463,132570.74183666756,159787.90300456138,6404525.888544086,30497742.32640041,1277000.7793841718,16338076.246285932,87154.0394158328,87154.0394158328,113828.54975169119,113828.54975169119,154926.09291660794,6404525.888544086,30497742.32640041,696516.25979076,16338076.246285932,109032.12532011826,109032.12532011826,156998.99028793172,156998.99028793172,156998.99028793172,9149322.697920123,30497742.32640041,490186.6790763639,15774694.306758832,71677.57665285135,71677.57665285135,71677.57665285135,71677.57665285135,111990.98247990287,30497742.32640041,30497742.32640041,223793.55493236345,16338076.246285932,187437.47466848753,187437.47466848753,187437.47466848753,187437.47466848753,269897.64035618724,9149322.697920123,30497742.32640041,842683.2444894245
Visibilities bw2 [1/s],50713189.70020515,1194918.0649679385,1194918.0649679385,1493459.4288740677,1493459.4288740677,1493459.4288740677,93913314.25963916,93913314.25963916,5971147.730835329,12829654.151994275,109254.86755718736,109254.86755718736,109254.86755718736,134878.0017702129,170699.2112932226,3592303.1625583977,23326643.91271687,1273330.2243926341,12218718.239994548,81467.02180308606,81467.02180308606,106402.19149382453,106402.19149382453,144820.14907678566,4665328.782543373,23326643.91271687,694513.4728711677,12218718.239994548,101919.91578917256,101919.91578917256,146759.58121342456,146759.58121342456,146759.58121342456,6997993.1738150595,23326643.91271687,488777.26115698373,12218718.239994548,67002.76141462733,67002.76141462733,67002.76141462733,67002.76141462733,104688.14696413308,23326643.91271687,23326643.91271687,223150.02669417372,12218718.239994548,200241.16912892112,200241.16912892112,200241.16912892112,200241.16912892112,288337.40874252125,6997993.1738150595,23326643.91271687,840260.6834318141
Visibilities bw3 [1/s],108953855.64405032,2683185.8615398277,2683185.8615398277,3726323.605832856,3726323.605832856,3726323.605832856,217907711.28810063,217907711.28810063,20114780.389254063,35369793.25712924,411094.9789395985,411094.9789395985,411094.9789395985,507513.2477597702,642307.0035820849,9853013.835914573,65686758.90609715,5133823.233071993,32843379.453048576,350335.04151525453,350335.04151525453,457569.8116272787,457569.8116272787,622788.8576226596,13137351.78121943,65686758.90609715,2800142.08232656,32843379.453048576,438299.5822690958,438299.5822690958,631136.7824674599,631136.7824674599,631136.7824674599,19706027.671829145,65686758.90609715,1970654.3650647239,32843379.453048576,288143.9550560707,288143.9550560707,288143.9550560707,288143.9550560707,450214.4134159215,65686758.90609715,65686758.90609715,899697.0342032574,32843379.453048576,753483.6769121492,753483.6769121492,753483.6769121492,753483.6769121492,1084991.7202146857,19706027.671829145,65686758.90609715,3387768.3391659586
Visibilities bw4 [1/s],140903615.93589038,4231600.6490065735,4231600.6490065735,6611483.857968451,6611483.857968451,6611483.857968451,352259039.839726,352259039.839726,31725376.737537473,80653573.9505958,1602279.6558738006,1602279.6558738006,1602279.6558738006,1978096.3273509557,2503494.365997958,24196072.185178738,161307147.9011916,20582576.085731383,80653573.9505958,1365483.5058303908,1365483.5058303908,1783463.7498973887,1783463.7498973887,2427458.4195981314,32261429.58023832,161307147.9011916,11226348.27226682,80653573.9505958,1708370.8317662114,1708370.8317662114,2460019.8132013427,2460019.8132013427,2460019.8132013427,48392144.370357476,161307147.9011916,7900761.653677602,80653573.9505958,1123115.5835357052,1123115.5835357052,1123115.5835357052,1123115.5835357052,1754843.5032967685,161307147.9011916,161307147.9011916,3607071.020177002,80653573.9505958,2936873.750334037,2936873.750334037,2936873.750334037,2936873.750334037,4229040.256728542,48392144.370357476,161307147.9011916,13582270.090794325
Visibilities bw5 [1/s],335582529.66825753,17619205.644258592,17619205.644258592,27528887.984180424,27528887.984180424,27528887.984180424,503373794.50238633,503373794.50238633,99077520.88487506,67894155.17170751,1770229.813346836,1770229.813346836,1770229.813346836,2185447.8299282603,2765930.735980179,16973538.792926878,113156925.2861792,21224620.439766232,56578462.6430896,1508622.8349425343,1508622.8349425343,1970426.4921003745,1970426.4921003745,2681942.6328685274,22631385.057235837,113156925.2861792,11576534.036921306,56578462.6430896,1887469.2546442677,1887469.2546442677,2717928.7482880275,2717928.7482880275,2717928.7482880275,33947077.585853755,113156925.2861792,8147212.186223567,56578462.6430896,1240863.0181924088,1240863.0181924088,1240863.0181924088,1240863.0181924088,1938829.0548625696,113156925.2861792,113156925.2861792,3719586.9798877533,56578462.6430896,3244764.3422293095,3244764.3422293095,3244764.3422293095,3244764.3422293095,4672414.923688872,33947077.585853755,113156925.2861792,14005947.573302893
Visibilities bw6 [1/s],290134272.1880855,14822071.402722137,14822071.402722137,23158840.51575138,23158840.51575138,23158840.51575138,580268544.376171,580268544.376171,166703695.96622035,172778918.8810674,8494712.317019073,8494712.317019073,8494712.317019073,10487234.795359023,13272825.08007829,38875256.74824015,259168378.32160106,84876743.2083221,172778918.8810674,7239395.879071368,7239395.879071368,9455477.43707305,9455477.43707305,12869873.68222206,51833675.66432021,259168378.32160106,46294263.69027542,172778918.8810674,9057424.765124967,9057424.765124967,13042609.274263227,13042609.274263227,13042609.274263227,77750513.4964803,259168378.32160106,32580494.970778372,172778918.8810674,5954567.059045312,5954567.059045312,5954567.059045312,5954567.059045312,9303951.751740402,259168378.32160106,259168378.32160106,14874532.741629936,172778918.8810674,15570700.160490517,15570700.160490517,15570700.160490517,15570700.160490517,22421668.581944738,77750513.4964803,259168378.32160106,56009437.11645918
Visibilities bw7 [1/s],51678117.2427348,2246744.546930509,2246744.546930509,3510480.815960501,3510480.815960501,3510480.815960501,51678117.2427348,51678117.2427348,25270029.815566473,247696607.56766066,11070779.20328356,11070779.20328356,11070779.20328356,13667567.1327988,17297936.799581412,74308982.27029818,495393215.1353213,165926064.0044383,247696607.56766066,9434807.957043018,9434807.957043018,12322957.093892938,12322957.093892938,16772835.720614238,99078643.02706425,495393215.1353213,90500924.76332246,247696607.56766066,11804211.087962236,11804211.087962236,16997985.225430455,16997985.225430455,16997985.225430455,148617964.54059637,495393215.1353213,63691800.25453468,247696607.56766066,7760382.40683838,7760382.40683838,7760382.40683838,7760382.40683838,12125540.856189523,495393215.1353213,495393215.1353213,29078309.918318648,247696607.56766066,20292728.040319957,20292728.040319957,20292728.040319957,20292728.040319957,29221394.909441616,148617964.54059637,495393215.1353213,109493183.52648537
