Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support pred5 [uv-pixels],1070.7194520294245,6.321918555826091,6.321918555932002,4.5202329461428645,6.132831623835869,4.848591467114855,12.987564917139524,1070.7194520294245,3.73648020622455,1254.9454091521347,6.426412241053397,6.426412081078669,3.898790307993952,6.2420021651706765,5.250517576348239,6.468689699381043,1254.9454091521347,4.602401107953138,593.3866089648587,6.5516707612175225,6.551670755536948,4.000548777424011,6.366676907219309,5.47059284870063,6.131729563020047,593.3866089648587,2.2985504263744887,182.13989236588944,5.770856381864124,5.770856538493401,3.5624408449233105,5.612532436657084,5.020818325043084,5.713971700326642,182.13989236588944,0.7456659361908637,96.86804441420776,5.649573137849106,5.649573474664051,3.4888684101731764,5.493992115729299,4.914130229363861,13.24889915145704,96.86804441420776,0.4037683263417485,171.19447382276564,4.353446280408623,4.353446458112388,2.769690488997222,4.232307525775516,3.6948976678229197,5.669173860372237,171.19447382276564,0.7023034471278886
W kernel support pred6 [uv-pixels],1461.330325789208,8.406724487001181,8.406724487142144,6.009260416113882,8.155061262096718,6.446119447809219,17.28470615437417,1461.330325789208,6.603243584827808,1824.948358955593,9.034908041880666,9.034907816723264,5.4787302020999995,8.775365735140626,7.380168977221544,9.094412061760439,1824.948358955593,9.09397381662716,854.1743665760098,9.211207013393564,9.211207005398125,5.621842081697425,8.950833892719029,7.68981905501531,8.620172452675199,854.1743665760098,4.536666640298325,259.12989907184937,8.112328374697462,8.112328595104728,5.005727712032248,7.889541582431452,7.05699986461892,8.032281448045595,259.12989907184937,1.4702310034630404,137.24032703564168,7.9416627650780525,7.941663239023981,4.90227140537083,7.72274347185555,6.906905723747824,18.645580947367613,137.24032703564168,0.7958660060011038,243.44370584021908,6.118190409462011,6.118190659415831,3.891120134140137,5.947802933838871,5.191992937441686,7.969243814197652,243.44370584021908,1.3846834980730496
W kernel support pred7 [uv-pixels],2277.9636035434714,12.565332679577319,12.565332679577319,8.972409221997845,12.565332679577319,12.565332679577319,25.85715416237002,2277.9636035434714,14.733589458076755,2367.3890989259794,11.417069422023344,11.417069137241633,6.920566003419702,11.08880431830512,9.324428168536073,11.49233117011341,2367.3890989259794,14.525154584862845,1099.7121417668861,11.640057649764222,11.640057639651204,7.101462570862909,11.31073219242955,9.715977221661063,10.892525015152428,1099.7121417668861,7.2380628455856675,330.6045868284062,10.250269669278484,10.250269948008977,6.3227172167434516,9.968535389271219,8.91580741586359,10.14904176324086,330.6045868284062,2.343322214655387,174.5147839809147,10.034446422801485,10.034447022143352,6.191961863013985,9.757611030625748,8.726033809146482,23.58140076233564,174.5147839809147,1.2680992060236433,310.4766709450861,7.728896879732738,7.728897195714632,4.914148305677236,7.513503165385458,6.558139274654946,10.069324909524065,310.4766709450861,2.206893874136743
W kernel support pred8 [uv-pixels],,,,,,,,,,2762.3205170439783,13.102160890893975,13.1021605638837,7.939952912395247,12.725224672576017,10.699435798135042,13.188583027538932,2762.3205170439783,19.137129746472176,1277.2144515965829,13.358217140052973,13.358217128440137,8.147587887812431,12.980056114731816,11.148969534880665,12.49984861242605,1277.2144515965829,9.52840746593798,381.773241151926,11.762411486495923,11.762411806524948,7.253763715757439,11.438937703155036,10.230319617267023,11.646185518393319,381.773241151926,3.0824946282927543,201.09466396791203,11.51461285435323,11.514613542484167,7.103693260588683,11.196769863900542,10.012456563547229,27.076808340433676,201.09466396791203,1.667723114653727,358.4449013796064,8.867793219020795,8.867793581734498,5.637236096238411,8.62054673755134,7.5239674673364645,11.554658452454609,358.4449013796064,2.902954168095747
W kernel support pred9 [uv-pixels],,,,,,,,,,3277.335566931181,15.247264780882261,15.247264400057592,9.237017802381423,14.808305582705797,12.449445817226778,15.347909355481258,3277.335566931181,25.936262324485085,1507.372790718288,15.545462319059192,15.54546230553498,9.478702078541403,15.105066631919788,12.972850788242747,14.545852198673535,1507.372790718288,12.899639953708286,447.58696714371956,13.68713507882387,13.687135451472544,8.43834211507097,13.310480991330175,11.903264869014246,13.55179980277528,447.58696714371956,4.168932735622993,235.16772401040245,13.398596390352255,13.398597191607998,8.263678871936497,13.028507408772521,11.649620632126053,31.530812645543367,235.16772401040245,2.2548313271641356,420.11982541037986,10.317052874502261,10.317053296733071,6.557066506088325,10.02923984558718,8.752832919053578,13.445225344856292,420.11982541037986,3.9259732449737914
W kernel support pred10 [uv-pixels],,,,,,,,,,3782.121607374892,17.300068692824077,17.300068260443002,10.477671620523902,16.801690478425005,14.12379773612818,17.41433902781716,3782.121607374892,33.42188312681315,1731.7338060654617,17.63864002475233,17.638640009396877,10.751951649226566,17.138620429394773,14.717952411435597,16.50371790505215,1731.7338060654617,16.604752940710846,511.23530888337007,15.52882533447151,15.52882575752248,9.57131959462391,15.101233108492277,13.503813561519621,15.375186155195818,511.23530888337007,5.361020390945257,268.00899633140835,15.201264041279568,15.201264950889247,9.373116900324387,14.781133621256835,13.215904259351968,35.797526353555384,268.00899633140835,2.8987087827318407,479.7439192470941,11.703413002944183,11.70341348215905,7.436668914538907,11.376760716997913,9.928202135313771,15.254198727367081,479.7439192470941,5.048409306677936
W kernel support pred11 [uv-pixels],,,,,,,,,,4278.839953832411,19.278262574279726,19.278262092165445,11.672704450259669,18.722567941911098,15.736979213721625,19.405676891373183,4278.839953832411,41.54727978628811,1951.496060401616,19.655780579136696,19.65578056201471,11.978405688045678,19.098245082355618,16.399362365391,18.390334364127824,1951.496060401616,20.619586676665016,573.1516540662824,17.303388512069503,17.30338898373206,10.662563233391342,16.826668943423456,15.045826305949737,17.132095872912632,573.1516540662824,6.6506664409638026,299.86162473412327,16.938191637992755,16.93819265210332,10.441672364085482,16.469800261795886,14.724876638467094,39.91299623243809,299.86162473412327,3.5949317551364106,537.7270321171635,13.038909438340383,13.038909972492744,8.28372994401749,12.674813477564097,11.060305827099047,16.997207840904025,537.7270321171635,6.262633157716523
AW kernel support pred0 [uv-pixels],238.60182569493082,10.11698522472807,10.116985224731957,10.060073343985945,10.110146942615348,10.06906585698407,10.482557909554272,238.60182569493082,10.002440084464336,264.19610903058816,10.109965271794486,10.109965266364396,10.040709235712683,10.103793045280899,10.07361386494025,10.111404897066476,264.19610903058816,10.003058904554988,129.19487617899225,10.114257195294012,10.114257195097547,10.04285299392641,10.107946803808321,10.07987333567424,10.100185709141103,129.19487617899225,10.000765653837538,42.07641311543306,10.08881850493599,10.088818509723811,10.03401139459855,10.084043696215126,10.067349143897845,10.08708802623013,42.07641311543306,10.000080828042584,24.147086916155573,10.085149166086284,10.085149176170725,10.032625858894512,10.080553647968888,10.064532817796067,10.457138296979236,24.147086916155573,10.000023721460483,39.74207499627258,10.05070912545644,10.050709129577006,10.02059012866883,10.047938660525611,10.036577867558819,10.085737017447011,39.74207499627258,10.000071708416435
AW kernel support pred1 [uv-pixels],319.0216419885172,10.203386761921214,10.203386761927945,10.10463566031447,10.191541133610182,10.12026408772812,10.82907738954731,319.0216419885172,10.00742613984994,363.3096061853586,10.201335453434439,10.201335443533019,10.0747223064831,10.190078183048705,10.134960237886672,10.203960374946098,363.3096061853586,10.010328035003269,176.5998210724648,10.209160235387598,10.209160235029472,10.078651333307102,10.197654627976954,10.146402555866457,10.183496488856022,176.5998210724648,10.002585107097666,56.56045794460087,10.162744983798694,10.162744992542887,10.062442694592756,10.15402298888509,10.123502933216301,10.159584334267738,56.56045794460087,10.000272854959556,31.518128606877315,10.15604259529225,10.156042613714963,10.0599017495451,10.147645842854779,10.118350509154888,10.826444409488081,31.518128606877315,10.0000800719805,53.32671118537975,10.093044543653534,10.093044551200624,10.037818730268624,10.08796973301537,10.067148694934232,10.157116484998122,53.32671118537975,10.000242067495345
