Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Frequencies predict kernels1,297.9004933619393,615.4087185445895,249.83501737900647,460.503114152525,105.32873517866494,207.97495762395224,213.49083478595315,209.64808822555239,209.9466423156083,415.46391239591,211.6682267288536,209.64808822555239,209.9466423156083,415.46391239591,211.6682267288536,209.64808822555239,209.9466423156083,415.46391239591,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,122.56501834771917,121.41339715095411,120.90316062690304,122.89939714922546,121.41339715095411,120.90316062690304,122.56501834771917,121.41339715095411,120.90316062690304,103.04206256367178,103.44057745484473,102.9836671025199,103.58142642626075,103.44057745484473,102.9836671025199
Frequencies predict kernels2,301.7500693242023,649.6369527491267,250.88238929531423,465.4107481282823,105.83585113887776,217.07908651844065,217.17924419792027,210.42794139170107,210.95556638191658,423.50000766459436,213.98784188076968,210.42794139170107,210.95556638191658,423.50000766459436,213.98784188076968,210.42794139170107,210.95556638191658,423.50000766459436,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.07284605637415,122.3149856804122,121.53353052674038,124.58173834223871,122.3149856804122,121.53353052674038,124.07284605637415,122.3149856804122,121.53353052674038,103.60973922083757,104.21997116020012,103.52022271627636,104.43537122245222,104.21997116020012,103.52022271627636
Frequencies predict kernels3,308.26777067321467,704.7674406082845,253.3696385535605,476.9480768691372,107.03895492348627,237.47167460261824,223.3903712481102,211.76362671880742,212.68125765303972,436.99856045143827,217.9248389759847,211.76362671880742,212.68125765303972,436.99856045143827,217.9248389759847,211.76362671880742,212.68125765303972,436.99856045143827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.07705745652632,127.60849175557937,124.44521676738368,123.02811258731265,128.51815446922393,124.44521676738368,123.02811258731265,127.60849175557937,124.44521676738368,123.02811258731265,104.95505533827856,106.06117178175332,104.7923822696167,106.45044756963964,106.06117178175332,104.7923822696167
Frequencies predict kernels4,319.6807455763873,794.6622719998037,259.5621831627657,505.0102748889939,110.02734702876178,282.71780831712096,234.17260272296033,214.14858566532982,215.75530073125236,460.33955683119007,224.84666559172294,214.14858566532982,215.75530073125236,460.33955683119007,224.84666559172294,214.14858566532982,215.75530073125236,460.33955683119007,100.0,100.0,100.0,118.31431288510011,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,109.18280949293317,136.15979082764576,129.68588903677778,126.73497791172286,137.99480447680605,129.68588903677778,126.73497791172286,136.15979082764576,129.68588903677778,126.73497791172286,108.28804916618817,110.58900542663345,107.94763878701254,111.39325711996183,110.58900542663345,107.94763878701254
Frequencies predict kernels5,338.704389460526,931.3832822625458,266.97727707033823,537.5259328661964,113.59332916021462,330.0604524743741,251.91455260125056,218.2507730881769,221.0215099508804,498.5301187438013,236.45607780094278,218.2507730881769,221.0215099508804,498.5301187438013,236.45607780094278,218.2507730881769,221.0215099508804,498.5301187438013,100.0,100.0,100.0,139.5317389044647,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,119.44051476287467,145.9947937040028,135.85357932694163,131.14862604567546,148.8293789416794,135.85357932694163,131.14862604567546,145.9947937040028,135.85357932694163,131.14862604567546,112.25018919304769,115.91482017938463,111.70458014440062,117.1865608891343,115.91482017938463,111.70458014440062
Frequencies predict kernels6,370.0697251012284,1134.573774274102,284.35349652072796,610.0775532285472,121.90289916887038,424.696666584257,280.66484827487506,225.34142367503046,230.0650702961221,559.9692619087949,255.7648457855091,225.34142367503046,230.0650702961221,559.9692619087949,255.7648457855091,225.34142367503046,230.0650702961221,559.9692619087949,100.0,100.0,100.0,150.1351331161792,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.61969193231651,105.6196918107489,135.8941276203787,167.7227960125392,149.922941362798,141.3976676977648,172.58257833420518,149.922941362798,141.3976676977648,167.7227960125392,149.922941362798,141.3976676977648,121.42759903363684,128.0538326632985,120.42894781053364,130.32274632397844,128.0538326632985,120.42894781053364
Frequencies predict kernels7,583.674984463602,1574.942681919154,303.99981557821314,687.578927610024,131.23154784562297,516.5977640492841,349.51967342887525,244.28413635614015,274.18655054747023,705.6441342310218,303.8580651667412,244.28413635614015,274.18655054747023,705.6441342310218,303.8580651667412,244.28413635614015,274.18655054747023,705.6441342310218,109.58056535964776,100.0,100.0,221.96598418096931,109.80276458359549,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,116.19446367126164,116.19446346752521,164.30209423370056,190.6970721374804,165.32065090488948,152.85399447381116,197.5066538647703,165.32065090488948,152.85399447381116,190.6970721374804,165.32065090488948,152.85399447381116,131.65442023121258,141.32655364592026,130.18138869441538,144.6018404949611,141.32655364592026,130.18138869441538
Frequencies predict kernels8,,,319.7024613706821,747.0261880804029,138.64595146238563,583.4182437654886,,,,,,,,,,,,,123.61060986085353,100.0,100.0,251.28525911676576,122.81250701102232,100.0,100.0,101.27823208969077,110.40795975948296,100.0,100.0,100.0,100.0,100.0,100.0,122.98156987154661,122.98156961804989,181.39750741194968,208.20361382011058,177.32872559183602,161.92908893964312,216.40816575288744,177.32872559183602,161.92908893964312,208.20361382011058,177.32872559183602,161.92908893964312,139.7364946950342,151.67056458999124,137.90699028863597,155.68438877258077,151.67056458999124,137.90699028863597
Frequencies predict kernels9,,,341.48615723319995,826.7800168649335,148.88144962800067,669.889276031942,,,,,,,,,,,,,141.78396900457514,100.0,100.0,289.14965033338694,139.79097527339238,100.0,100.0,116.54818310036113,126.18781412043548,100.0,100.0,100.0,100.0,100.0,100.0,132.3331952622042,132.33319494317985,203.97766803647596,231.5760445194166,193.64645000628616,174.42129439096877,241.55576283083101,193.64645000628616,174.42129439096877,231.5760445194166,193.64645000628616,174.42129439096877,150.83957038063932,165.71955254245103,148.54184425353614,170.6874569984446,165.71955254245103,148.54184425353614
Frequencies predict kernels10,,,363.9008076961587,906.3448674892062,159.3632434260176,753.6815842415896,,,,,,,,,,,,,159.40690122796462,100.0,100.0,325.7860146842518,156.34951933671212,100.0,100.0,131.32210754627667,141.5298619411678,100.0,100.0,100.0,100.0,100.0,100.0,141.89224004795003,141.89223966492364,226.2109782777419,254.79582398130208,210.11172042961533,187.1789168832083,266.46618808398773,210.11172042961533,187.1789168832083,254.79582398130208,210.11172042961533,187.1789168832083,162.1570117488043,179.88875066292312,159.40292187206367,185.77448747232043,179.88875066292312,159.40292187206367
