Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"Channels backward, no-smear1",1626.7965167781667,3161.0062248568347,1130.5624189861267,1030.2081558361895,1552.3826770323226,2828.8470245059593,750.9722913093254,463.8282076941827,695.3960255703084,450.77950390271826,625.9256891403746,463.8282076941827,695.3960255703084,450.77950390271826,625.9256891403746,463.8282076941827,695.3960255703084,450.77950390271826,244.89153980831534,181.4250410169773,241.8693256283889,220.39757276382815,322.2189921177397,223.7972707483437,223.7972707483437,125.69676097570242,322.42065370364355,238.85374289707516,358.2350436199255,11.550847310598783,386.88655543856316,238.85374289707516,596.9976404288616,536.6338048065327,536.6338048065327,1341.280466795748,782.5484754593473,724.6015700009231,724.6015700009231,733.6557740038452,724.6015700009231,724.6015700009231,782.5484754593473,724.6015700009231,724.6015700009231,816.9384956364858,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels backward, no-smear2",2382.4611407963093,4629.754160708587,1507.2335084877068,1373.4278293411337,2069.7664721575957,3771.7189324319356,1099.6937503967672,679.0884353287946,1018.2862758762946,659.9748488531077,916.5269298174715,679.0884353287946,1018.2862758762946,659.9748488531077,916.5269298174715,679.0884353287946,1018.2862758762946,659.9748488531077,326.49132165556017,241.8693256283889,322.4617028333052,293.8326996797767,429.5881397427964,298.3591812197435,298.3591812197435,167.5833320959154,429.86382302328974,318.4412770343517,477.6163424109698,15.39995624239,515.818357835032,318.4412770343517,795.9664696855765,715.4441771146105,715.4441771146105,1788.3063841681017,1043.3095467261069,966.0470075132783,966.0470075132783,978.1192792840136,966.0470075132783,966.0470075132783,1043.3095467261069,966.0470075132783,966.0470075132783,1089.1760088165274,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
"Channels backward, no-smear3",3458.7107104119405,6721.607257574179,2260.575665262745,2059.86715195982,3104.5340595364714,5657.462746707873,1596.3575956667946,985.6711012501548,1478.160213658619,957.9196491726934,1330.413484144414,985.6711012501548,1478.160213658619,957.9196491726934,1330.413484144414,985.6711012501548,1478.160213658619,957.9196491726934,489.69088245777766,362.75789094767003,483.6464543146965,440.7029502981749,644.3264317751682,447.4829975301865,447.4829975301865,251.35647342651336,644.7501595153672,477.6163424109698,716.3789380602059,23.098174016547052,773.6819608386259,477.6163424109698,1193.9041270392163,1073.0649153513252,1073.0649153513252,2682.3582163564483,1564.8316817669963,1448.937874446404,1448.937874446404,1467.0462818524363,1448.937874446404,1448.937874446404,1564.8316817669963,1448.937874446404,1448.937874446404,1633.6510299688712,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
"Channels backward, no-smear4",5061.635568840222,9837.133129807215,3767.259952131288,3432.745767915875,5174.069230853,9428.950373368421,2336.0696699277173,1442.283524599228,2163.078805830194,1401.6671646345294,1946.840224337752,1442.283524599228,2163.078805830194,1401.6671646345294,1946.840224337752,1442.283524599228,2163.078805830194,1401.6671646345294,816.0900005904109,604.5350169007022,806.0159537629055,734.4434476774929,1073.8030119774014,745.7306245903046,745.7306245903046,418.90275499589205,1074.522829922399,795.9664696855765,1193.9041270392163,38.494609457539404,1289.4091646977774,795.9664696855765,1989.779440352671,1788.3063841681017,1788.3063841681017,4470.461877672626,2607.875942853118,2414.7195985996987,2414.7195985996987,2444.9002773955567,2414.7195985996987,2414.7195985996987,2607.875942853118,2414.7195985996987,2414.7195985996987,2722.601066020032,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
"Channels backward, no-smear5",7374.427128148128,14332.391876912034,5273.94422883101,4805.624372714222,7243.604400849842,13200.437999296486,3403.3684955976228,2101.109981744475,3151.3184625392573,2041.931396401626,2836.2559202763196,2101.109981744475,3151.3184625392573,2041.931396401626,2836.2559202763196,2101.109981744475,3151.3184625392573,2041.931396401626,1142.489117401017,846.312141068514,1128.3854518718204,1028.1839435870054,1503.2795907071318,1043.9782495320885,1043.9782495320885,586.4490361491125,1504.2954993496796,1114.3165956341188,1671.4293151335298,53.89104485771231,1805.136367739783,1114.3165956341188,2785.654753143743,2503.547850066781,2503.547850066781,6258.565537827592,3650.9202005175316,3380.5013190529257,3380.5013190529257,3422.754269286298,3380.5013190529257,3380.5013190529257,3650.9202005175316,3380.5013190529257,3380.5013190529257,3811.551099692947,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
"Channels backward, no-smear6",10763.468209784225,20919.503696560292,8287.312773910124,7551.381573183239,11382.674739763022,20743.413250674002,4967.3311145435555,3066.519020635739,4599.432000882095,2980.140341877421,4139.5581081635855,3066.519020635739,4599.432000882095,2980.140341877421,4139.5581081635855,3066.519020635739,4599.432000882095,2980.140341877421,1305.6886756205524,967.200702901157,1289.570200737334,1175.0541913352508,2362.2327469617067,1640.473497680768,1640.473497680768,921.5415981150793,2363.8408373967463,1751.0168464482263,2626.4796906042498,84.68391562454629,2836.590773151726,1751.0168464482263,4377.4053782844685,3576.4100472733885,3576.4100472733885,8940.721027388057,5737.008713030386,5312.06475692582,5312.06475692582,5378.462250070566,5312.06475692582,5312.06475692582,5737.008713030386,5312.06475692582,5312.06475692582,5989.451165093498,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
"Channels backward, no-smear7",18320.113846845565,35606.98274460911,11300.681315299544,10297.138769598103,15521.745078190484,28286.38850162736,8454.545042454996,5219.120224037805,7828.333788036723,5072.092687410612,7045.56971963068,5219.120224037805,7828.333788036723,5072.092687410612,7045.56971963068,5219.120224037805,7828.333788036723,5072.092687410612,2448.085581991677,1813.420634167433,2417.86344162498,2203.1459242849523,3221.185902688852,2236.9687450573742,2236.9687450573742,1256.6341599289278,3223.386175080744,2387.717096780291,3581.5300657480143,115.47678637614594,3868.045178265424,2387.717096780291,5969.156003228102,5364.513707820007,5364.513707820007,13410.980176081997,7823.097224300908,7243.628193459831,7243.628193459831,7334.170229535046,7243.628193459831,7243.628193459831,7823.097224300908,7243.628193459831,7243.628193459831,8167.351229610696,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
"Channels backward, no-smear8",,,13560.707720387763,12356.456665854836,18626.047831869946,33943.619939647484,,,,,,,,,,,,,2937.684255914099,2176.0863186701217,2901.4176874826626,2643.7566667083624,3865.400769341334,2684.3401803962356,2684.3401803962356,1507.9535812499012,3868.045178265424,2865.2422844010507,4297.817847033029,138.5714394367396,4641.6359820297885,2865.2422844010507,7162.968971877786,6437.375903805813,6437.375903805813,16093.135665209433,9387.663607423423,8692.300770509128,8692.300770509128,8800.951213784592,8692.300770509128,8692.300770509128,9387.663607423423,8692.300770509128,8692.300770509128,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
"Channels backward, no-smear9",,,16574.07625990824,15102.21386022389,22765.118170239723,41486.595190876724,,,,,,,,,,,,,3590.4824877320066,2659.640564561646,3546.156681867803,3231.2376565236927,4724.3539247936915,3280.835427379942,3280.835427379942,1843.0461429839345,4727.590515759269,3501.9425344910237,5252.868221995312,169.36431018053136,5673.090386989883,3501.9425344910237,8754.719596739762,7867.858831629016,7867.858831629016,19669.342983940514,11473.752118070064,10623.864206351685,10623.864206351685,10756.659192559386,10623.864206351685,10623.864206351685,11473.752118070064,10623.864206351685,10623.864206351685,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
"Channels backward, no-smear10",,,19587.444798963337,17847.97105410027,26904.188508167405,49029.57044203559,,,,,,,,,,,,,4243.280719478493,3143.194810376081,4190.895676192912,3818.7186462585823,5583.307080168375,3877.3306742756704,3877.3306742756704,2178.138704705447,5587.135853222271,4138.64278451926,6207.918596931814,200.15718092361135,6704.544791911086,4138.64278451926,10346.470221536132,9298.341759325318,9298.341759325318,23245.550302517167,13559.840628546834,12555.427642058461,12555.427642058461,12712.367171199045,12555.427642058461,12555.427642058461,13559.840628546834,12555.427642058461,12555.427642058461,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
"Channels backward, no-smear11",,,22600.813337856664,20593.728247660394,31043.258846574812,56572.54569243952,,,,,,,,,,,,,4896.078951200545,3626.749056159887,4835.634670488859,4406.199635968495,6442.260235513635,4473.825921121464,4473.825921121464,2513.2312664086135,6446.6811906974535,4775.343034508504,7162.968971877786,230.95005166550342,7735.999196790231,4775.343034508504,11938.220846287122,10728.824686948226,10728.824686948226,26821.757621142282,15645.929138975218,14486.991077609053,14486.991077609053,14668.075149698398,14486.991077609053,14486.991077609053,15645.929138975218,14486.991077609053,14486.991077609053,16334.476469786141,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies predict ifft,500,500,500,500,500,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,500,100,500,500,100,500,500,100,500,500,100,500,500,100,500,500,100,500,500,100
Frequencies predict kernels0,295.756853261672,595.7190172046925,248.94801744664173,456.3235122831209,104.89904096419374,199.98296761981052,211.43026268403523,209.21671021564603,209.3881301088456,410.9675938300071,210.37842003605658,209.21671021564603,209.3881301088456,410.9675938300071,210.37842003605658,209.21671021564603,209.3881301088456,410.9675938300071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.27898129447637,120.64772964050992,120.36884739527075,121.46273871729866,120.64772964050992,120.36884739527075,121.27898129447637,120.64772964050992,120.36884739527075,102.56076731401652,102.77862007400725,102.52887405811762,102.85570064886872,102.77862007400725,102.52887405811762
