,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
Max Baseline [km],150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Dump time [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,9.375,(undefined),10,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,9.375,(undefined),10
Observation Time [s],3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,600,1800,600
Pointing Time [s],(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
Total Time [s],(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,600
Facets,(undefined),5.0,1.0,5.0,1.0,1.0,1.0,1.0,(undefined),(undefined),(undefined),(undefined),(undefined),7.0,1.0,7.0,3.0,3.0,1.0,3.0,(undefined),(undefined),(undefined),(undefined),(undefined),5.0,1.0,5.0,1.0,1.0,1.0,1.0,(undefined),(undefined),(undefined),(undefined),(undefined),9.0,1.0,9.0,3.0,3.0,3.0,4.0,(undefined),(undefined),(undefined),(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),(undefined),(undefined)
w-stacking planes,(undefined),2.6767084101198617,1.0000000239587714,2.6767084102722563,8.050479066372647,5.356568481629086,8.42683379459657,1.000000018257589,(undefined),(undefined),(undefined),(undefined),(undefined),6.268275893422934,1.0000000221248635,6.268275807718504,6.785840893140342,5.299339634955844,22.620386173617813,1.0000000160561444,(undefined),(undefined),(undefined),(undefined),(undefined),1.0000000150926553,1.0000000241506621,1.0000000150926553,5.563126216032974,3.6389765418157594,5.755846300068925,1.000000022100172,(undefined),(undefined),(undefined),(undefined),(undefined),10.76489630893601,1.0000000363741457,10.764896534056097,14.786608701122526,11.982432559098864,18.10613097488307,1.0000000299527985,(undefined),(undefined),(undefined),(undefined),(undefined),179.2748171064266,1.5014520781570393,179.2748171054301,79.06317326822776,72.58254678771071,111.55410771021509,21.25652812553491,(undefined),(undefined),(undefined),(undefined)
w-stacking planes predict,(undefined),2.6767084101198617,1.0000000239587714,2.6767084102722563,8.050479066372647,5.356568481629086,8.42683379459657,1.000000018257589,(undefined),(undefined),(undefined),(undefined),(undefined),6.268275893422934,1.0000000221248635,6.268275807718504,6.785840893140342,5.299339634955844,22.620386173617813,1.0000000160561444,(undefined),(undefined),(undefined),(undefined),(undefined),1.0000000150926553,1.0000000241506621,1.0000000150926553,5.563126216032974,3.6389765418157594,5.755846300068925,1.000000022100172,(undefined),(undefined),(undefined),(undefined),(undefined),10.76489630893601,1.0000000363741457,10.764896534056097,14.786608701122526,11.982432559098864,18.10613097488307,1.0000000299527985,(undefined),(undefined),(undefined),(undefined),(undefined),179.2748171064266,1.5014520781570393,179.2748171054301,79.06317326822776,72.58254678771071,111.55410771021509,21.25652812553491,(undefined),(undefined),(undefined),(undefined)
Stations/antennas,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,512,512,512,512,512,512,512,512,512,512
