Frequency Max [GHz],0.2,0.2,0.2,0.2,0.95,0.95,1.5,1.4,1.56,1.425,12.0,1.5,1.5,1.7,1.7,1.5,11.0,11.0,13.5,13.5,0.35,0.35,1.05,1.05
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"Channels total, no-smear",35225.076118458855,25357.69099984863,35225.076118458855,35225.076118458855,32640.003796229605,5874.90211016006,40263.54072341529,8377.351095988965,32233.041312942332,66.72140768035355,32233.041312942332,72418.40093250673,72418.40093250673,97785.66422936937,97785.66422936937,72418.40093250673,81671.47838303052,81671.47838303052,83816.40565597282,56572.54569243951,49462.65340286811,35606.9827446091,203402.925631113,137288.40894903094
"Channels predict, no-smear0",518.4912680476514,311.3158565213452,518.4912680476514,518.4912680476514,118.78277822671707,146.96244263572447,161.16526263915014,33.54629651143117,129.02293991531627,10.267810985104266,322.42065370364355,362.29368574205876,362.29368574205876,391.40684983689613,391.40684983689613,322.0613486844665,466.91882690894585,466.91882690894585,479.1808422272851,1885.9751150023908,728.0592243433563,2181.8409106014506,626.4026111935381,686.9884579530388
"Channels predict, no-smear1",750.9722913093254,450.77950390271826,750.9722913093254,750.9722913093254,178.12807996194255,220.39757276382815,241.69212952222387,50.300929139777715,193.48884737189897,15.39995624239,483.585407325264,543.3391938439207,543.3391938439207,586.977667639845,586.977667639845,482.99069219279056,700.2652744625232,700.2652744625232,718.6556384730798,2828.8470245059593,1054.506449513207,3161.0062248568347,939.3293974920632,1030.2081558361895
"Channels predict, no-smear2",1099.6937503967672,659.9748488531077,1099.6937503967672,1099.6937503967672,237.47337772363872,293.8326996797767,322.2189921177397,67.05555949724055,257.9547512531722,20.532101432620603,644.7501595153672,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,643.9200286165463,933.6117159427388,933.6117159427388,958.1304285186723,3771.7189324319356,1544.177180900574,4629.754160708587,1252.256157056809,1373.4278293411337
"Channels predict, no-smear3",1596.3575956667946,957.9196491726934,1596.3575956667946,1596.3575956667946,356.1639692714451,440.7029502981749,483.27271301923463,100.56481793964055,386.88655543856316,26.690675626830842,967.0796624647984,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,965.7786943764594,1400.304592827849,1400.304592827849,1437.0800024085404,5657.462746707873,2241.586938882596,6721.607257574179,1878.1096494368924,2059.86715195982
"Channels predict, no-smear4",2336.0696699277173,1401.6671646345294,2336.0696699277173,2336.0696699277173,593.5451475944428,734.4434476774929,805.3801496725802,167.5833320959154,644.7501595153672,51.32497229224026,1611.7386666437208,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1609.4960173883849,2333.690339304967,2333.690339304967,2394.979142745527,9428.950373368421,3280.2822729956692,9837.133129807215,3129.816602084691,3432.745767915875
"Channels predict, no-smear5",3403.3684955976228,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,1028.1839435870054,1127.4875843646325,234.6018452124671,902.6137619564082,71.85355280787206,2256.3976701657107,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2253.213337158755,3267.07608300433,3267.07608300433,3352.8782802456103,13200.437999296486,4778.971220927756,14332.391876912034,4381.523542496751,4805.624372714222
"Channels predict, no-smear6",4967.3311145435555,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,1175.0541913352508,1771.7024521426495,368.6388705946244,1418.3409655002868,112.91071381379061,3545.715676687566,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3540.6479740473937,5133.847568137793,5133.847568137793,5268.676552924945,20743.413250674002,6975.0698538862025,20919.503696560292,6884.937413304126,7551.381573183239
"Channels predict, no-smear7",8454.545042454996,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,2203.1459242849523,2415.9173192052717,502.67589559805936,1934.0681684477215,153.96787480882065,4835.0336829480575,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4828.082609751441,7000.619052252293,7000.619052252293,7184.474824564474,28286.38850162736,11871.776237515218,35606.98274460911,9388.351279653614,10297.138769598103
"Channels predict, no-smear8",,,,,2136.5227894556388,2643.7566667083624,2899.0784693209457,603.2036642542816,2320.863570508927,184.76074555180548,5802.02218761939,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5793.658586237482,8400.69766508781,8400.69766508781,8621.323528029447,33943.619939647484,,,11265.911678304921,12356.456665854836
"Channels predict, no-smear9",,,,,2611.285139973729,3231.2376565236927,3543.2933360226834,737.2406890645799,2836.590773151726,225.81790654197582,7091.340193737987,7966.2045329004195,7966.2045329004195,8605.380415891032,8605.380415891032,7081.093221344769,10267.469148661894,10267.469148661894,10537.121799166542,41486.595190876724,,,13769.325542395638,15102.21386022389
"Channels predict, no-smear10",,,,,3086.047490420657,3818.7186462585823,4187.508202642495,871.277713833728,3352.3179757250023,266.87506752919404,8380.658199914396,9414.568497154623,9414.568497154623,10169.946798932126,10169.946798932126,8368.527856328625,12134.240632140158,12134.240632140158,12452.920070149154,49029.57044203559,,,16272.739405947037,17847.97105410027
"Channels predict, no-smear11",,,,,3560.809840831196,4406.199635968495,4831.723069211167,1005.3147385757143,3868.045178265424,307.93222851659146,9669.976205977098,10862.932461378767,10862.932461378767,11734.513181907203,11734.513181907203,9655.962491205197,14001.01211554227,14001.01211554227,14368.718341141164,56572.54569243952,,,18776.15326926813,20593.728247660394
"Channels backward, no-smear0",518.4912680476514,311.3158565213452,518.4912680476514,518.4912680476514,118.78277822671707,146.96244263572447,161.16526263915014,33.54629651143117,129.02293991531627,10.267810985104266,322.42065370364355,362.29368574205876,362.29368574205876,391.40684983689613,391.40684983689613,322.0613486844665,466.91882690894585,466.91882690894585,479.1808422272851,1885.9751150023908,728.0592243433563,2181.8409106014506,626.4026111935381,686.9884579530388
"Channels backward, no-smear1",750.9722913093254,450.77950390271826,750.9722913093254,750.9722913093254,178.12807996194255,220.39757276382815,241.69212952222387,50.300929139777715,193.48884737189897,15.39995624239,483.585407325264,543.3391938439207,543.3391938439207,586.977667639845,586.977667639845,482.99069219279056,700.2652744625232,700.2652744625232,718.6556384730798,2828.8470245059593,1054.506449513207,3161.0062248568347,939.3293974920632,1030.2081558361895
"Channels backward, no-smear2",1099.6937503967672,659.9748488531077,1099.6937503967672,1099.6937503967672,237.47337772363872,293.8326996797767,322.2189921177397,67.05555949724055,257.9547512531722,20.532101432620603,644.7501595153672,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,643.9200286165463,933.6117159427388,933.6117159427388,958.1304285186723,3771.7189324319356,1544.177180900574,4629.754160708587,1252.256157056809,1373.4278293411337
"Channels backward, no-smear3",1596.3575956667946,957.9196491726934,1596.3575956667946,1596.3575956667946,356.1639692714451,440.7029502981749,483.27271301923463,100.56481793964055,386.88655543856316,26.690675626830842,967.0796624647984,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,965.7786943764594,1400.304592827849,1400.304592827849,1437.0800024085404,5657.462746707873,2241.586938882596,6721.607257574179,1878.1096494368924,2059.86715195982
"Channels backward, no-smear4",2336.0696699277173,1401.6671646345294,2336.0696699277173,2336.0696699277173,593.5451475944428,734.4434476774929,805.3801496725802,167.5833320959154,644.7501595153672,51.32497229224026,1611.7386666437208,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1609.4960173883849,2333.690339304967,2333.690339304967,2394.979142745527,9428.950373368421,3280.2822729956692,9837.133129807215,3129.816602084691,3432.745767915875
"Channels backward, no-smear5",3403.3684955976228,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,1028.1839435870054,1127.4875843646325,234.6018452124671,902.6137619564082,71.85355280787206,2256.3976701657107,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2253.213337158755,3267.07608300433,3267.07608300433,3352.8782802456103,13200.437999296486,4778.971220927756,14332.391876912034,4381.523542496751,4805.624372714222
"Channels backward, no-smear6",4967.3311145435555,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,1175.0541913352508,1771.7024521426495,368.6388705946244,1418.3409655002868,112.91071381379061,3545.715676687566,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3540.6479740473937,5133.847568137793,5133.847568137793,5268.676552924945,20743.413250674002,6975.0698538862025,20919.503696560292,6884.937413304126,7551.381573183239
"Channels backward, no-smear7",8454.545042454996,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,2203.1459242849523,2415.9173192052717,502.67589559805936,1934.0681684477215,153.96787480882065,4835.0336829480575,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4828.082609751441,7000.619052252293,7000.619052252293,7184.474824564474,28286.38850162736,11871.776237515218,35606.98274460911,9388.351279653614,10297.138769598103
"Channels backward, no-smear8",,,,,2136.5227894556388,2643.7566667083624,2899.0784693209457,603.2036642542816,2320.863570508927,184.76074555180548,5802.02218761939,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5793.658586237482,8400.69766508781,8400.69766508781,8621.323528029447,33943.619939647484,,,11265.911678304921,12356.456665854836
"Channels backward, no-smear9",,,,,2611.285139973729,3231.2376565236927,3543.2933360226834,737.2406890645799,2836.590773151726,225.81790654197582,7091.340193737987,7966.2045329004195,7966.2045329004195,8605.380415891032,8605.380415891032,7081.093221344769,10267.469148661894,10267.469148661894,10537.121799166542,41486.595190876724,,,13769.325542395638,15102.21386022389
"Channels backward, no-smear10",,,,,3086.047490420657,3818.7186462585823,4187.508202642495,871.277713833728,3352.3179757250023,266.87506752919404,8380.658199914396,9414.568497154623,9414.568497154623,10169.946798932126,10169.946798932126,8368.527856328625,12134.240632140158,12134.240632140158,12452.920070149154,49029.57044203559,,,16272.739405947037,17847.97105410027
"Channels backward, no-smear11",,,,,3560.809840831196,4406.199635968495,4831.723069211167,1005.3147385757143,3868.045178265424,307.93222851659146,9669.976205977098,10862.932461378767,10862.932461378767,11734.513181907203,11734.513181907203,9655.962491205197,14001.01211554227,14001.01211554227,14368.718341141164,56572.54569243952,,,18776.15326926813,20593.728247660394
Frequencies predict ifft,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Frequencies predict kernels0,210.16611956245117,410.95614714315525,210.15525891137355,210.15525891137355,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.33600899714925,120.33600899714925,100.0,102.24931416501212,102.24931416501212,104.62429406523621,199.96691923864094,294.6118663191482,595.6745859394721,248.89310622486596,456.3141327317078
Frequencies predict kernels1,211.29960853081639,415.44413316719255,211.28074437406113,211.28074437406113,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.84302164911713,120.84302164911713,100.0,102.47122430838174,102.47122430838174,104.82498294374166,207.94653558676757,295.91258498124563,615.3335339470469,249.73437773890907,460.4860131328528
Frequencies predict kernels2,213.34004957525602,423.4655432632298,213.30687719456006,213.30687719456006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.4413175094581,121.4413175094581,100.0,102.73361223745482,102.73361223745482,105.06233561077298,217.0370735027427,298.2570260656184,649.5103392361533,250.72793270731913,465.3846635487335
Frequencies predict kernels3,216.8088801495874,436.93999780102644,216.75167258008318,216.75167258008318,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,122.86043733622066,122.86043733622066,100.0,103.35829773076068,103.35829773076068,105.62767430932178,237.40086787473538,302.2513660408958,704.562597902247,253.08816738063234,476.90121508796796
Frequencies predict kernels4,222.92418418185466,460.24085541873353,222.82545648788997,222.82545648788997,100.0,118.24538867764878,100.0,100.0,100.0,100.0,100.0,100.0,100.0,126.38359418047702,126.38359418047702,100.0,104.92325299477865,104.92325299477865,107.04555764110073,282.5891190485232,309.3189711583063,794.3393322396034,258.9692251723826,504.91472396338423
Frequencies predict kernels5,233.2246387045851,498.36931275682497,233.0582444739305,233.0582444739305,100.0,139.43446165636982,100.0,100.0,100.0,100.0,100.0,100.30039757083118,100.30039757083118,130.58454287711857,130.58454287711857,101.76305535858079,106.81488162008161,106.81488162008161,108.76242658442315,329.87702598938256,321.29333592351895,930.8964182672844,266.019841649733,537.3768191056118
Frequencies predict kernels6,250.46195175095164,559.7158220124402,250.18786673183197,250.18786673183197,100.0,150.02444124184066,100.0,100.0,100.0,100.0,100.0,108.2041676064856,108.2041676064856,140.36198227879308,140.36198227879308,110.87101280864788,111.31855749350167,111.31855749350167,112.8626055483751,424.41377146202393,341.5064318144325,1133.8649655931897,282.5747554886099,609.8175908412705
Frequencies predict kernels7,293.831930939426,705.1944613794672,293.31028381169483,293.31028381169483,100.0,221.77141265060806,100.0,100.0,100.0,100.0,100.0,117.03400963646557,117.03400963646557,151.32209555196872,151.32209555196872,120.95440797555172,116.51897466774936,116.51897466774936,117.6172998745387,516.2251604796578,393.12702043660596,1573.7973612475628,301.3402643604968,687.2102753345528
Frequencies predict kernels8,,,,,100.0,251.05836508648724,100.0,100.0,100.0,100.0,100.0,124.02553748156085,124.02553748156085,160.02305920467538,160.02305920467538,128.88420943066097,120.74879346667456,120.74879346667456,121.49892662327098,582.9827875754451,,,316.36963627078865,746.5790599420753
Frequencies predict kernels9,,,,,100.0,288.88183915948713,100.0,100.0,100.0,100.0,100.0,133.64611804899184,133.64611804899184,172.0226106722417,172.0226106722417,139.73363445003505,126.71145556022528,126.71145556022528,126.99020577267191,669.374327732074,,,337.25722169945146,826.232522828578
Frequencies predict kernels10,,,,,100.0,325.47919908071844,100.0,100.0,100.0,100.0,100.0,143.4676744312613,143.4676744312613,184.2990403165318,184.2990403165318,150.75006810761053,132.94761340075485,132.94761340075485,132.75495198335213,753.0909347811422,,,358.78841656017573,905.7014932403979
Frequencies predict kernels11,,,,,100.0,361.0166477996836,100.0,100.0,100.0,100.0,100.0,153.39074714000807,153.39074714000807,196.72420551815324,196.72420551815324,161.83169098899523,139.38046237753255,139.38046237753255,138.72178705629554,834.4626111253428,,,380.7186647792663,984.5547709248506
Frequencies predict de-grid0,518.4912680476514,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,728.0592243433563,65536.0,626.4026111935381,65536.0
Frequencies predict de-grid1,750.9722913093254,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,543.3391938439207,543.3391938439207,700.0,700.0,700.0,1000.0,1000.0,718.6556384730798,65536.0,1054.506449513207,65536.0,939.3293974920632,65536.0
Frequencies predict de-grid2,1099.6937503967672,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,700.0,1000.0,1000.0,958.1304285186723,65536.0,1544.177180900574,65536.0,1252.256157056809,65536.0
Frequencies predict de-grid3,1596.3575956667946,1500.0,1596.3575956667946,1596.3575956667946,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,965.7786943764594,1400.304592827849,1400.304592827849,1437.0800024085404,65536.0,2241.586938882596,65536.0,1878.1096494368924,65536.0
Frequencies predict de-grid4,2336.0696699277173,1500.0,2336.0696699277173,2336.0696699277173,593.5451475944428,3200.0,805.3801496725802,5000.0,644.7501595153672,2500.0,5000.0,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1609.4960173883849,2333.690339304967,2333.690339304967,2394.979142745527,65536.0,3280.2822729956692,65536.0,3129.816602084691,65536.0
Frequencies predict de-grid5,3403.3684955976228,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,3200.0,1127.4875843646325,5000.0,902.6137619564082,2500.0,5000.0,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2253.213337158755,3267.07608300433,3267.07608300433,3352.8782802456103,65536.0,4778.971220927756,65536.0,4381.523542496751,65536.0
Frequencies predict de-grid6,4967.3311145435555,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,3200.0,1771.7024521426495,5000.0,1418.3409655002868,2500.0,5000.0,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3540.6479740473937,5133.847568137793,5133.847568137793,5268.676552924945,65536.0,6975.0698538862025,65536.0,6884.937413304126,65536.0
Frequencies predict de-grid7,8454.545042454996,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,3200.0,2415.9173192052717,5000.0,1934.0681684477215,2500.0,5000.0,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4828.082609751441,7000.619052252293,7000.619052252293,7184.474824564474,65536.0,11871.776237515218,65536.0,9388.351279653614,65536.0
Frequencies predict de-grid8,,,,,2136.5227894556388,3200.0,2899.0784693209457,5000.0,2320.863570508927,2500.0,5802.02218761939,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5793.658586237482,8400.69766508781,8400.69766508781,8621.323528029447,65536.0,,,11265.911678304921,65536.0
Frequencies predict de-grid9,,,,,2611.285139973729,3231.2376565236927,3543.2933360226834,5000.0,2836.590773151726,2500.0,7091.340193737987,7966.2045329004195,7966.2045329004195,8605.380415891032,8605.380415891032,7081.093221344769,10267.469148661894,10267.469148661894,10537.121799166542,65536.0,,,13769.325542395638,65536.0
Frequencies predict de-grid10,,,,,3086.047490420657,3818.7186462585823,4187.508202642495,5000.0,3352.3179757250023,2500.0,8380.658199914396,9414.568497154623,9414.568497154623,10169.946798932126,10169.946798932126,8368.527856328625,12134.240632140158,12134.240632140158,12452.920070149154,65536.0,,,16272.739405947037,65536.0
Frequencies predict de-grid11,,,,,3560.809840831196,4406.199635968495,4831.723069211167,5000.0,3868.045178265424,2500.0,9669.976205977098,10862.932461378767,10862.932461378767,11734.513181907203,11734.513181907203,9655.962491205197,14001.01211554227,14001.01211554227,14368.718341141164,65536.0,,,18776.15326926813,65536.0
Frequencies backward kernels0,210.16611956245117,410.95614714315525,210.15525891137355,210.15525891137355,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.33600899714925,120.33600899714925,100.0,102.24931416501212,102.24931416501212,104.62429406523621,199.96691923864094,294.6118663191482,595.6745859394721,248.89310622486596,456.3141327317078
Frequencies backward kernels1,211.29960853081639,415.44413316719255,211.28074437406113,211.28074437406113,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.84302164911713,120.84302164911713,100.0,102.47122430838174,102.47122430838174,104.82498294374166,207.94653558676757,295.91258498124563,615.3335339470469,249.73437773890907,460.4860131328528
Frequencies backward kernels2,213.34004957525602,423.4655432632298,213.30687719456006,213.30687719456006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.4413175094581,121.4413175094581,100.0,102.73361223745482,102.73361223745482,105.06233561077298,217.0370735027427,298.2570260656184,649.5103392361533,250.72793270731913,465.3846635487335
Frequencies backward kernels3,216.8088801495874,436.93999780102644,216.75167258008318,216.75167258008318,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,122.86043733622066,122.86043733622066,100.0,103.35829773076068,103.35829773076068,105.62767430932178,237.40086787473538,302.2513660408958,704.562597902247,253.08816738063234,476.90121508796796
Frequencies backward kernels4,222.92418418185466,460.24085541873353,222.82545648788997,222.82545648788997,100.0,118.24538867764878,100.0,100.0,100.0,100.0,100.0,100.0,100.0,126.38359418047702,126.38359418047702,100.0,104.92325299477865,104.92325299477865,107.04555764110073,282.5891190485232,309.3189711583063,794.3393322396034,258.9692251723826,504.91472396338423
Frequencies backward kernels5,233.2246387045851,498.36931275682497,233.0582444739305,233.0582444739305,100.0,139.43446165636982,100.0,100.0,100.0,100.0,100.0,100.30039757083118,100.30039757083118,130.58454287711857,130.58454287711857,101.76305535858079,106.81488162008161,106.81488162008161,108.76242658442315,329.87702598938256,321.29333592351895,930.8964182672844,266.019841649733,537.3768191056118
Frequencies backward kernels6,250.46195175095164,559.7158220124402,250.18786673183197,250.18786673183197,100.0,150.02444124184066,100.0,100.0,100.0,100.0,100.0,108.2041676064856,108.2041676064856,140.36198227879308,140.36198227879308,110.87101280864788,111.31855749350167,111.31855749350167,112.8626055483751,424.41377146202393,341.5064318144325,1133.8649655931897,282.5747554886099,609.8175908412705
Frequencies backward kernels7,293.831930939426,705.1944613794672,293.31028381169483,293.31028381169483,100.0,221.77141265060806,100.0,100.0,100.0,100.0,100.0,117.03400963646557,117.03400963646557,151.32209555196872,151.32209555196872,120.95440797555172,116.51897466774936,116.51897466774936,117.6172998745387,516.2251604796578,393.12702043660596,1573.7973612475628,301.3402643604968,687.2102753345528
Frequencies backward kernels8,,,,,100.0,251.05836508648724,100.0,100.0,100.0,100.0,100.0,124.02553748156085,124.02553748156085,160.02305920467538,160.02305920467538,128.88420943066097,120.74879346667456,120.74879346667456,121.49892662327098,582.9827875754451,,,316.36963627078865,746.5790599420753
Frequencies backward kernels9,,,,,100.0,288.88183915948713,100.0,100.0,100.0,100.0,100.0,133.64611804899184,133.64611804899184,172.0226106722417,172.0226106722417,139.73363445003505,126.71145556022528,126.71145556022528,126.99020577267191,669.374327732074,,,337.25722169945146,826.232522828578
Frequencies backward kernels10,,,,,100.0,325.47919908071844,100.0,100.0,100.0,100.0,100.0,143.4676744312613,143.4676744312613,184.2990403165318,184.2990403165318,150.75006810761053,132.94761340075485,132.94761340075485,132.75495198335213,753.0909347811422,,,358.78841656017573,905.7014932403979
Frequencies backward kernels11,,,,,100.0,361.0166477996836,100.0,100.0,100.0,100.0,100.0,153.39074714000807,153.39074714000807,196.72420551815324,196.72420551815324,161.83169098899523,139.38046237753255,139.38046237753255,138.72178705629554,834.4626111253428,,,380.7186647792663,984.5547709248506
Frequencies backward grid0,518.4912680476514,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,728.0592243433563,65536.0,626.4026111935381,65536.0
Frequencies backward grid1,750.9722913093254,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,543.3391938439207,543.3391938439207,700.0,700.0,700.0,1000.0,1000.0,718.6556384730798,65536.0,1054.506449513207,65536.0,939.3293974920632,65536.0
Frequencies backward grid2,1099.6937503967672,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,724.3846956472404,724.3846956472404,782.5484754593473,782.5484754593473,700.0,1000.0,1000.0,958.1304285186723,65536.0,1544.177180900574,65536.0,1252.256157056809,65536.0
Frequencies backward grid3,1596.3575956667946,1500.0,1596.3575956667946,1596.3575956667946,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,1086.4756929535624,1086.4756929535624,1173.6900811103947,1173.6900811103947,965.7786943764594,1400.304592827849,1400.304592827849,1437.0800024085404,65536.0,2241.586938882596,65536.0,1878.1096494368924,65536.0
Frequencies backward grid4,2336.0696699277173,1500.0,2336.0696699277173,2336.0696699277173,593.5451475944428,3200.0,805.3801496725802,5000.0,644.7501595153672,2500.0,5000.0,1810.657680003764,1810.657680003764,1955.9732804231985,1955.9732804231985,1609.4960173883849,2333.690339304967,2333.690339304967,2394.979142745527,65536.0,3280.2822729956692,65536.0,3129.816602084691,65536.0
Frequencies backward grid5,3403.3684955976228,2041.931396401626,3403.3684955976228,3403.3684955976228,830.92632409855,3200.0,1127.4875843646325,5000.0,902.6137619564082,2500.0,5000.0,2534.8396641718646,2534.8396641718646,2738.2564751686605,2738.2564751686605,2253.213337158755,3267.07608300433,3267.07608300433,3352.8782802456103,65536.0,4778.971220927756,65536.0,4381.523542496751,65536.0
Frequencies backward grid6,4967.3311145435555,2980.140341877421,4967.3311145435555,4967.3311145435555,1305.6886756205524,3200.0,1771.7024521426495,5000.0,1418.3409655002868,2500.0,5000.0,3983.203630147646,3983.203630147646,4302.822860918474,4302.822860918474,3540.6479740473937,5133.847568137793,5133.847568137793,5268.676552924945,65536.0,6975.0698538862025,65536.0,6884.937413304126,65536.0
Frequencies backward grid7,8454.545042454996,5072.092687410612,8454.545042454996,8454.545042454996,1780.4510264775643,3200.0,2415.9173192052717,5000.0,1934.0681684477215,2500.0,5000.0,5431.567595074681,5431.567595074681,5867.389245002712,5867.389245002712,4828.082609751441,7000.619052252293,7000.619052252293,7184.474824564474,65536.0,11871.776237515218,65536.0,9388.351279653614,65536.0
Frequencies backward grid8,,,,,2136.5227894556388,3200.0,2899.0784693209457,5000.0,2320.863570508927,2500.0,5802.02218761939,6517.840568511399,6517.840568511399,7040.8140326478915,7040.8140326478915,5793.658586237482,8400.69766508781,8400.69766508781,8621.323528029447,65536.0,,,11265.911678304921,65536.0
Frequencies backward grid9,,,,,2611.285139973729,3231.2376565236927,3543.2933360226834,5000.0,2836.590773151726,2500.0,7091.340193737987,7966.2045329004195,7966.2045329004195,8605.380415891032,8605.380415891032,7081.093221344769,10267.469148661894,10267.469148661894,10537.121799166542,65536.0,,,13769.325542395638,65536.0
Frequencies backward grid10,,,,,3086.047490420657,3818.7186462585823,4187.508202642495,5000.0,3352.3179757250023,2500.0,8380.658199914396,9414.568497154623,9414.568497154623,10169.946798932126,10169.946798932126,8368.527856328625,12134.240632140158,12134.240632140158,12452.920070149154,65536.0,,,16272.739405947037,65536.0
Frequencies backward grid11,,,,,3560.809840831196,4406.199635968495,4831.723069211167,5000.0,3868.045178265424,2500.0,9669.976205977098,10862.932461378767,10862.932461378767,11734.513181907203,11734.513181907203,9655.962491205197,14001.01211554227,14001.01211554227,14368.718341141164,65536.0,,,18776.15326926813,65536.0
Frequencies backward fft,500,65536,500,500,500,65536,500,65536,500,65536,500,500,500,500,500,500,500,500,500,65536,500,65536,500,65536
Channels out,500,1500,1500,1500,500,3200,500,65536,500,65536,5000,500,500,700,700,700,1000,1000,500,65536,500,65536,500,65536
Visibilities ingest [1/s],9563013120.0,9563013120.0,9563013120.0,9563013120.0,5711592857.1428556,7937388138.3575993,9129632914.2857113,696535714.28571415,9129632914.2857113,253264681.12168974,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9563013120.0,9563013120.0,9129632914.2857113,9129632914.2857113
Visibilities averaged [1/s],5120003952.79146,3685768562.0402203,5120003952.79146,5120003952.79146,4501056523.500061,187539077.06308398,5552342265.758966,689499999.9999999,4444936397.054747,21644724.744832158,4444936397.054747,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,9037414399.999998,7189451630.610661,9525730417.777777,9037414399.999998,9037414399.999998
Visibilities pred0 [1/s],3555759.6775378473,10286845.401254835,10286845.401254835,10286845.401254835,593553.7225369944,3445826.676617524,593553.7225369944,5935537.225369944,593553.7225369944,2717123.7160495995,7949380.212549031,593553.7225369944,593553.7225369944,830975.2115517922,830975.2115517922,830975.2115517922,1187107.4450739888,1187107.4450739888,593553.7225369944,241609545.09431344,4992955.122518412,449439133.47775793,743607.2033616361,77798273.52036893
