,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Oversampling used bw3,,63.98957722677145,63.98957722677148,49.81118033167177,47.71556859641386,55.7526059610066,,,63.98957722677145,61.8853148987898,49.81118033167177,47.71556859641386,55.7526059610066,,,63.98957722677145,61.8853148987898,49.81118033167177,47.71556859641386,55.7526059610066,,,63.99450546411751,,20.90181980724092,,23.919558779555068,,63.99450546411751,,23.39802483010382,,35.40750409488155,35.407504314145015,53.454590087006565,47.53374569144751,61.30758844230607,,42.61469410251767,44.62024927372653,58.480509381235635,58.30119462396842,63.99999040027095,,39.925484568134635,63.995073541162085,60.774422158994426,60.16100534794935,63.9987050883261,,20.90181980724092,,41.604926520255134,41.604926520255134,58.086413037333685,58.086413037333685,,48.10048757123651,55.515551808459946,56.671987634410684,52.10328318087673,,53.43412815356858,60.41160692424198,59.15738497666581,,24.39645505679382,28.595760556443416,20.140702224735584,13.253033113111755,,24.39645505679382,24.39645505679382,20.140702224735584,13.253033113111755,,36.83655506472758,36.83655491851929,55.00007017320724,20.140702224735584,,41.7344587516701,33.91644981318832,57.974906521894276,57.974906521894276,,41.7344587516701,41.7344587516701,57.974906521894276,57.974906521894276,,63.99415047400398,57.04324208737636,63.99415047400388,50.21280316671391,49.87235234202085,48.48990007032897,63.95695909588948,,,15.19679630455834,62.4913834832709,15.196796394346869,18.815693423383813,17.758625817157665,11.758445469835486,63.263101121974636,,,23.39802483010382,61.6987991639544,23.39802483010382,19.305136088082634,19.305136088082634,12.460387353294827,63.99949055604432,,,40.98099634590079,61.765898407057655,40.98099634590079,56.67197425171059,37.411719491227146,37.411719491227146,64.0,,,40.94217794339325,61.60215647659588,40.94217794339325,57.23998327533251,57.23998327533251,57.23998327533251,64.0,,,43.323100384505146,62.5358832225685,43.323100384505146,39.52356094772557,39.52356094772557,58.35012731018966,64.0,,,49.19870654003831,61.61513324669792,49.19870654003831,57.73581925530227,57.73581925530227,57.73581925530227,64.0,
Oversampling used bw4,,63.999998301873326,63.999998301873326,63.99239613525759,63.98262323632745,63.9823458506077,,,63.999998301873326,63.99992367653504,63.99239613525759,63.98262323632745,63.9823458506077,,,63.999998301873326,63.99992367653504,63.99239613525759,63.98262323632745,63.9823458506077,,,63.99999952806901,,40.12583049822318,,44.108514249478915,,63.99999952806901,,43.470616943682785,,58.54234406934502,58.54234419722133,63.66721798776593,62.779299655444916,63.88958281055826,,59.868824330035714,62.80652711492916,63.98185809519527,63.97981799769406,63.99999999999856,,,,,,,,40.12583049822318,,60.38733025546733,60.38733025546733,63.887557652065134,63.887557652065134,,63.091638897349675,63.85086211001011,63.90390929885971,63.58886385776016,,61.39684034455189,63.79878254125925,63.6335448880729,,43.474152033528256,49.41393924220729,39.155650556774724,28.769513355399937,,43.474152033528256,43.474152033528256,39.155650449341934,28.769513355399937,,57.62967664367947,57.62967655136842,63.790383581200864,38.763320332786925,,60.379758232907335,56.42332854382121,63.870127576126485,63.870127576126485,,60.379758232907335,60.379758232907335,63.870127576126485,63.870127576126485,,63.99999946511929,63.93819664073044,63.99999946511929,63.99359944815094,63.992590710887455,63.98702733845674,63.999971054383956,,,33.65985498501959,63.996878687833416,33.659855138714505,40.13107446968669,38.514904010228705,24.811388752979163,63.93482794733571,,,43.470616943682785,63.9971936396133,43.470616934965435,39.114930179546405,38.335256363566785,28.276432390915005,63.99999970084083,,,59.739964378521805,63.99770880517637,59.739964378521805,63.80237081322818,58.10179074991366,58.10179074991366,64.0,,,59.9328003662607,63.99716969542581,59.9328003662607,63.80569837946117,63.80569837946117,63.80569837946117,64.0,,,60.6223918327474,63.99821330471799,60.6223918327474,59.05953640069055,59.05953640069055,63.89456774129599,64.0,,,63.20820788667019,63.9972321407902,63.20820788667019,63.92574653877038,63.92574653877038,63.92574653877038,64.0,
Oversampling used bw5,,,,,,,,,,,,,,,,,,,,,,,,,54.53645372030117,,55.22692973397296,,,,56.93704366879515,,63.636118267321166,63.63611828522536,63.99651075488782,63.960521899109466,63.99955501075269,,,,,,,,,,,,,,54.53645372030117,,63.767109486548435,63.767109486548435,63.999230438073035,63.998684409616025,,63.9915743173026,63.9999539168145,63.99998347660528,63.99950895178915,,,,,,56.47630733993221,60.19714115346155,53.98297720620636,42.56796294610905,,56.47630733993221,56.47630783292846,53.98297712130975,42.56796294610905,,63.39755810005211,63.39755808239873,63.99852758752645,52.24015596898158,,63.75727618036508,62.79333707469299,63.99926599208927,63.998082669714975,,63.75727618036508,63.75727618036508,63.99926599208927,63.998082669714975,,,,,,,,,,,49.74963629232595,63.999999647624016,49.749636437600195,55.097488736397864,53.85113297524227,39.649331749983546,63.993586631724405,,,56.93704366879515,63.999999921247216,56.937043662981615,53.95075571519213,52.53084665125517,42.08281222963869,63.999999998572015,,,63.61840256529163,63.999999968586394,63.61840256529163,63.99868085360856,63.22667323394833,63.22667323394833,64.0,,,63.68251509218226,63.9999999521189,63.68251509218226,63.99804350752286,63.99570043013619,63.99570043013619,64.0,,,63.7912005482567,63.99999998194525,63.7912005482567,63.50659267835299,63.50659267835299,63.99872137444335,64.0,,,63.99020275022214,63.999999955511676,63.99020275022214,63.99955436984744,63.99955436984744,63.99955436984744,64.0,
Oversampling used bw6,,,,,,,,,,,,,,,,,,,,,,,,,63.51421056085865,,63.421675231860256,,,,63.76986629304955,,63.82612755547072,63.82612756524792,63.999996856300754,63.999798790951274,63.99999990791164,,,,,,,,,,,,,,63.51421056085865,,63.99970108289728,63.99970108289728,63.99999999999998,63.99999999997316,,63.99999740166747,63.9999999999956,63.99999999999951,63.99999999929943,,,,,,63.72956790556887,63.939937651988394,63.502548179228604,58.77008970317321,,63.72956790556887,63.729567950817774,63.50254816818696,58.77008970317321,,63.99988119185578,63.99988119184593,63.99999999999983,63.242824993772665,,63.99961759627412,63.99389604763047,63.99999999999998,63.99999999988281,,63.99961759627412,63.99961759627412,63.99999999999998,63.99999999988281,,,,,,,,,,,62.53435991430142,64.0,62.53435995186707,63.48457736454909,63.28999612101823,58.21846904984524,63.9998163793472,,,63.76986629304955,64.0,63.76986629256586,63.49834443065782,63.290864547729,57.42346110240184,63.99999999999987,,,63.99832442713497,64.0,63.99832442713497,63.99999999999988,63.997830869363206,63.997830869363206,64.0,,,63.999192365257635,64.0,63.999192365257635,63.99999999853947,63.9999999430536,63.999999325017036,64.0,,,63.99997841373863,64.0,63.99997841373863,63.99955955392216,63.99955955392216,63.99999999996638,64.0,,,63.999999989393494,64.0,63.999999989393494,63.99999999884435,63.99999999884435,63.99999999884435,64.0,
Oversampling used bw7,,,,,,,,,,,,,,,,,,,,,,,,,63.991042887414146,,63.987701693162194,,,,63.99769732234442,,,,,,,,,,,,,,,,,,,,63.991042887414146,,63.99999999472038,63.99999999472038,64.0,64.0,,,,,,,,,,,63.996912231934154,63.999893753166745,63.987180243569576,62.84775522809733,,63.996912231934154,63.9969122328735,63.98718024307069,62.84775522809733,,63.99999998911217,63.99999998911217,64.0,63.97322391690584,,63.99999998916757,63.99999611808191,64.0,64.0,,63.99999998916757,63.99999998916757,64.0,64.0,,,,,,,,,,,63.95915635517013,64.0,63.95915635720944,63.996665573007775,63.993580007641256,63.19130938586574,63.999992646647556,,,63.99769732234442,64.0,63.99769732233562,63.98698966080813,63.97613072128364,62.789127231048,64.0,,,63.99999993466526,64.0,63.999999934665254,64.0,63.99999957117803,63.99999957117803,64.0,,,63.999999943334245,64.0,63.999999943334245,64.0,64.0,64.0,64.0,,,63.999999995308265,64.0,63.999999995308265,63.999999990277274,63.999999990277274,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw8,,,,,,,,,,,,,,,,,,,,,,,,,63.99981951829543,,63.9997151035565,,,,63.99997447702318,,,,,,,,,,,,,,,,,,,,63.99981951829543,,63.999999999999964,63.999999999999964,64.0,64.0,,,,,,,,,,,63.999961059463615,63.99999986309377,63.999960819175996,63.78293208511006,,63.999961059463615,63.999961059480675,63.99996081917343,63.78293208511006,,63.999999999999986,63.999999999999986,64.0,63.999864964702994,,63.99999999999986,63.9999999970098,64.0,64.0,,63.99999999999986,63.99999999999986,64.0,64.0,,,,,,,,,,,63.99784656138896,64.0,63.99784656153949,63.999956502045656,63.99988827110767,63.924621507299754,63.99999746162835,,,63.99997447702318,64.0,63.99997447702304,63.999565925187824,63.99898484300291,63.5345793372451,64.0,,,63.99999999999974,64.0,63.99999999999974,64.0,63.999999945212664,63.999999945212664,64.0,,,63.99999999999785,64.0,63.99999999999785,64.0,64.0,64.0,64.0,,,63.999999999999964,64.0,63.999999999999964,63.999999999999915,63.999999999999915,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw9,,,,,,,,,,,,,,,,,,,,,,,,,63.99999978745917,,63.99999957309801,,,,63.99999998929471,,,,,,,,,,,,,,,,,,,,63.99999978745917,,64.0,64.0,64.0,64.0,,,,,,,,,,,63.999999979587415,63.999999999999524,63.99999997939433,63.95687989506493,,63.999999979587415,63.99999997958743,63.999999979394325,63.95687989506493,,64.0,64.0,64.0,63.999934666120595,,64.0,63.99999999999999,64.0,64.0,,64.0,64.0,64.0,64.0,,,,,,,,,,,63.99998239035491,64.0,63.99998239035671,63.999999975826476,63.99999989784444,63.995736464243116,63.99999931530176,,,63.99999998929471,64.0,63.99999998929471,63.999999978598744,63.9999998984037,63.95412066130226,64.0,,,64.0,64.0,64.0,64.0,63.99999999999752,63.99999999999752,64.0,,,63.99999999999994,64.0,63.99999999999994,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw10,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999721,,63.99999999999162,,,,63.99999999999997,,,,,,,,,,,,,,,,,,,,63.99999999999721,,64.0,64.0,64.0,64.0,,,,,,,,,,,63.99999999999993,64.0,63.999999999612584,63.994835620584155,,63.99999999999993,63.99999999999993,63.999999999612584,63.994835620584155,,,,,,,64.0,64.0,64.0,64.0,,64.0,64.0,64.0,64.0,,,,,,,,,,,63.999999986978,64.0,63.999999986978,63.999999999532115,63.99999999743042,63.999923563401055,63.99999994205353,,,63.99999999999997,64.0,63.99999999999997,63.99999999959484,63.99999999744703,63.99448091305896,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw11,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,,63.999999999999915,,,,64.0,,,,,,,,,,,,,,,,,,,,63.99999999999998,,64.0,64.0,64.0,64.0,,,,,,,,,,,64.0,64.0,64.0,63.99975714318731,,64.0,64.0,64.0,63.99975714318731,,,,,,,64.0,64.0,64.0,64.0,,64.0,64.0,64.0,64.0,,,,,,,,,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,63.99999981651586,63.999999999428816,,,64.0,64.0,64.0,64.0,63.99999999999999,63.999738429066184,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1789.4312556780048,1789.4312556780048,663.1885345814411,663.1885345814411,1288.353070402745,(undefined),(undefined),1789.4312556780048,1193.1851449561725,663.1885345814411,663.1885345814411,1288.353070402745,(undefined),(undefined),1789.4312556780048,1193.1851449561725,663.1885345814411,663.1885345814411,1288.353070402745,(undefined),(undefined),1096.525415763204,(undefined),384.9903927136422,(undefined),221.01357928574132,(undefined),1096.525415763204,(undefined),630.500997159299,(undefined),261.21149632239513,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,(undefined),322.2189921177397,358.008708207243,497.1909356825173,497.1909356825173,279.28085374879674,(undefined),257.9547512531722,716.3789380602059,398.02881001253394,398.02881001253394,25.664246596024633,(undefined),384.9903927136422,(undefined),579.5482945194844,579.5482945194844,894.2545468709208,894.2545468709208,(undefined),978.1192792840136,1207.4924417886202,1207.4924417886202,1207.4924417886202,(undefined),2034.5730199598029,2511.6897145573553,2511.6897145573553,(undefined),559.0389802377872,652.167937578682,483.15612439994436,362.43339351431086,(undefined),559.0389802377872,559.0389802377872,483.15612439994436,362.43339351431086,(undefined),782.5484754593473,782.5484754593473,1207.4924417886202,483.15612439994436,(undefined),653.5959856457442,544.700977250144,1008.5130422414231,1008.5130422414231,(undefined),653.5959856457442,653.5959856457442,1008.5130422414231,1008.5130422414231,(undefined),2512.698790060951,1809.0904657256951,2512.698790060951,931.2414905129898,931.2414905129898,931.2414905129898,1809.0904657256951,(undefined),(undefined),904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,753.8913072681331,915.8015939374465,(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,408.7664859499846,744.6760281255881,(undefined),(undefined),624.8353800384707,1248.474078168412,624.8353800384707,964.1342651844309,578.5673494422896,578.5673494422896,1756.8443345598678,(undefined),(undefined),490.78836247459066,980.6330847493856,490.78836247459066,757.2948648839946,757.2948648839946,757.2948648839946,1379.9387847644127,(undefined),(undefined),387.89753303595126,775.0552407156821,387.89753303595126,359.17413165102994,359.17413165102994,598.5358063662928,1090.6537817006797,(undefined),(undefined),312.4475764035551,499.4710456886,312.4475764035551,385.7169764969673,385.7169764969673,385.7169764969673,702.8515877930889,(undefined)
"Channels predict, no-smear1",,3578.169498413163,3578.169498413163,1325.6842841487744,1325.6842841487744,2576.0131800688873,,,3578.169498413163,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,,,3578.169498413163,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,,,2192.6272644305495,,577.3907426384637,,331.46660562125743,,2192.6272644305495,,945.5973858340815,,391.7711462657152,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,,483.27271301923463,536.9572860809892,745.7306245903046,745.7306245903046,418.90275499589205,,386.88655543856316,1074.522829922399,596.9976404288616,596.9976404288616,38.494609457539404,,577.3907426384637,,869.2210952001216,869.2210952001216,1341.280466795748,1341.280466795748,,1467.0462818524363,1811.1060218133737,1811.1060218133737,1811.1060218133737,,3051.5849180597625,3767.259952131288,3767.259952131288,,838.4258482659727,978.1192792840136,724.6015700009231,543.5174871479519,,838.4258482659727,838.4258482659727,724.6015700009231,543.5174871479519,,1173.6900811103947,1173.6900811103947,1811.1060218133737,724.6015700009231,,980.28100389151,816.9384956364858,1512.656581147074,1512.656581147074,,980.28100389151,980.28100389151,1512.656581147074,1512.656581147074,,5024.424813405256,3617.208237988821,5024.424813405256,1861.5105341316757,1861.5105341316757,1861.5105341316757,3617.208237988821,,,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1130.5624189861267,1373.4278293411337,,,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,612.9956417281602,1116.8599258645493,,,937.1445813732993,1872.6026181108641,937.1445813732993,1446.0929017246065,867.7425371530907,867.7425371530907,2635.15799966488,,,736.0954842024919,1470.8625590408603,736.0954842024919,1135.855231776643,1135.855231776643,1135.855231776643,2069.8211065762466,,,581.7804893085284,1162.5170446296113,581.7804893085284,538.6953882234403,538.6953882234403,897.7378949369104,1635.9148543099343,,,468.627086529404,749.1622878457075,468.627086529404,578.531185344861,578.531185344861,578.531185344861,1054.2330997398833,
"Channels predict, no-smear2",,7155.645916780303,7155.645916780303,2650.675602311196,2650.675602311196,5151.333306208186,,,7155.645916780303,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,,,7155.645916780303,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,,,4384.8309208572955,,769.7910873708475,,441.9196290505016,,4384.8309208572955,,1260.6937661381571,,522.3307944011752,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,,644.3264317751682,715.9058620235973,994.2703121075014,994.2703121075014,558.5246559695574,,515.818357835032,1432.6667211420954,795.9664696855765,795.9664696855765,51.32497229224026,,769.7910873708475,,1158.8938919419184,1158.8938919419184,1788.3063841681017,1788.3063841681017,,1955.9732804231985,2414.7195985996987,2414.7195985996987,2414.7195985996987,,4068.596807922735,5022.83018303477,5022.83018303477,,1117.8127093029952,1304.070614995905,966.0470075132783,724.6015700009231,,1117.8127093029952,1117.8127093029952,966.0470075132783,724.6015700009231,,1564.8316817669963,1564.8316817669963,2414.7195985996987,966.0470075132783,,1306.96601779828,1089.1760088165274,2016.800117240791,2016.800117240791,,1306.96601779828,1306.96601779828,2016.800117240791,2016.800117240791,,10047.876765942678,7233.443651746777,10047.876765942678,3722.048367432926,3722.048367432926,3722.048367432926,7233.443651746777,,,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,1507.2335084877068,1831.0540464535015,,,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,817.2247845994948,1489.0438165150779,,,1249.4537785218913,2496.731155957967,1249.4537785218913,1928.0515355533043,1156.917720343117,1156.917720343117,3513.4716632831455,,,981.402602498862,1961.092031615367,981.402602498862,1514.4155964449083,1514.4155964449083,1514.4155964449083,2759.7034271684297,,,775.663443099977,1549.9788473015467,775.663443099977,718.2166421163894,718.2166421163894,1196.9399818997936,2181.175926036535,,,624.8065952610568,998.8535291309122,624.8065952610568,771.345393063828,771.345393063828,771.345393063828,1405.6146110676311,
"Channels predict, no-smear3",,14310.598719951107,14310.598719951107,5300.658148066288,5300.658148066288,10301.97351186012,,,14310.598719951107,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,,,14310.598719951107,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,,,8769.238213259972,,1154.5917716421645,,662.8256730018257,,8769.238213259972,,1890.8865183728738,,783.4500888644667,783.4500888644667,1208.9778263156445,1208.9778263156445,2203.1459242849523,,966.4338671409787,1073.8030119774014,1491.3496857510963,1491.3496857510963,837.7684576434344,,773.6819608386259,2148.954502933313,1193.9041270392163,1193.9041270392163,76.98569793480485,,1154.5917716421645,,1738.239481487407,1738.239481487407,2682.3582163564483,2682.3582163564483,,2933.827273569541,3621.9467489340564,3621.9467489340564,3621.9467489340564,,6102.620579416902,7533.970638170312,7533.970638170312,,1676.58642438262,1955.9732804231985,1448.937874446404,1086.7697249209346,,1676.58642438262,1676.58642438262,1448.937874446404,1086.7697249209346,,2347.114878082577,2347.114878082577,3621.9467489340564,1448.937874446404,,1960.336041270146,1633.6510299688712,3025.0871866158723,3025.0871866158723,,1960.336041270146,1960.336041270146,3025.0871866158723,3025.0871866158723,,20094.780623893577,14465.914413852615,20094.780623893577,7443.123906952532,7443.123906952532,7443.123906952532,14465.914413852615,,,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,2260.575665262745,2746.3064623796045,,,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,1225.683057428352,2233.411590727344,,,1874.0721686334662,3744.9882295565817,1874.0721686334662,2891.968800495013,1735.2680822026339,1735.2680822026339,5270.098989032808,,,1472.016835659259,2941.5509750472097,1472.016835659259,2271.5363235567147,2271.5363235567147,2271.5363235567147,4139.468067131828,,,1163.4293482011838,2324.902451403282,1163.4293482011838,1077.2591472221711,1077.2591472221711,1795.3441542175892,3271.698068607013,,,937.1656113299033,1498.2360108293155,937.1656113299033,1156.9738073711717,1156.9738073711717,1156.9738073711717,2108.377633104028,
"Channels predict, no-smear4",,28620.504309573727,28620.504309573727,10600.623194271158,10600.623194271158,20603.253899857915,,,28620.504309573727,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,,,28620.504309573727,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,,,17538.052787823082,,1924.1931339488854,,1104.637757415336,,17538.052787823082,,3151.2720127948655,,1305.6886756205524,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,,1610.6487352975146,1789.5973095663412,2485.5084313703824,2485.5084313703824,1396.2560606678828,,,,,,,,1924.1931339488854,,2896.9306558489093,2896.9306558489093,4470.461877672626,4470.461877672626,,4889.535255060916,6036.401045713372,6036.401045713372,6036.401045713372,,8136.644346788232,10045.11108995104,10045.11108995104,,2794.133846147517,3259.7786040836563,2414.7195985996987,1811.1060218133737,,2794.133846147517,2794.133846147517,2414.7195985996987,1811.1060218133737,,3911.681264714464,3911.681264714464,6036.401045713372,2414.7195985996987,,3267.07608300433,2722.601066020032,5041.661321982965,5041.661321982965,,3267.07608300433,3267.07608300433,5041.661321982965,5041.661321982965,,40188.588316266854,28930.855905350065,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,28930.855905350065,,,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,3767.259952131288,4576.81127226378,,,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,2042.59958758406,3722.1471306426047,,,3123.308943830835,6241.502374238896,3123.308943830835,4819.803327119454,2891.968800495013,2891.968800495013,8783.353638730738,,,2453.245297858902,4902.4688598435,2453.245297858902,3785.777775112199,3785.777775112199,3785.777775112199,6898.997345611584,,,1938.961155425732,3874.749658121138,1938.961155425732,1795.3441542175892,1795.3441542175892,2992.1524969186466,5452.742352698669,,,1561.8836417927025,2497.000973176252,1561.8836417927025,1928.2306346300104,1928.2306346300104,1928.2306346300104,3513.9036764271746,
