,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
"Channels backward, no-smear9",,,,,,,,,,,,,,,,,,,,,,,,,8465.804683062097,,4860.040457849356,,,,13864.548666143593,,,,,,,,,,,,,,,,,,,,8465.804683062097,,12745.80561478502,12745.80561478502,19669.342983940514,19669.342983940514,,,,,,,,,,,12293.286890062791,14342.123819976441,10623.864206351685,7967.9644820068215,,12293.286890062791,12293.286890062791,10623.864206351685,7967.9644820068215,,14863.645947578823,14863.645947578823,22937.581107860868,9175.19162948914,,14374.366412224357,11978.676341888648,22182.5414561377,22182.5414561377,,14374.366412224357,14374.366412224357,22182.5414561377,22182.5414561377,,,,,,,,,,,19888.781652859445,71542.03610356698,19888.781652859445,22098.585247986757,22098.585247986757,16574.07625990824,20136.102048760997,,,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,8986.39001802265,16376.399178261838,,,13741.821508373107,27461.872591764837,13741.821508373107,21206.396787594203,12723.924879435377,12723.924879435377,38646.01815217868,,,10793.687206394625,21570.270870563025,10793.687206394625,16656.83010023241,16656.83010023241,16656.83010023241,30354.996205185125,,,8530.981502249522,17048.45090799035,8530.981502249522,13165.023400438648,7899.0666979190055,13165.023400438648,23991.618762418533,,,6871.986892542499,10986.503148049804,6871.986892542499,8483.913659718617,8483.913659718617,8483.913659718617,15460.87504118423,
"Channels backward, no-smear10",,,,,,,,,,,,,,,,,,,,,,,,,10005.007399588114,,5743.6646221473065,,,,16385.319641927366,,,,,,,,,,,,,,,,,,,,10005.007399588114,,15063.187957426973,15063.187957426973,23245.550302517167,23245.550302517167,,,,,,,,,,,14528.381722726019,16949.734457906787,12555.427642058461,9416.637058985098,,14528.381722726019,14528.381722726019,12555.427642058461,9416.637058985098,,,,,,,16987.846488913263,14156.576405879654,26215.689722525978,26215.689722525978,,16987.846488913263,16987.846488913263,26215.689722525978,26215.689722525978,,,,,,,,,,,23504.823899465737,84549.57915900485,23504.823899465737,26116.409966266117,26116.409966266117,19587.444798963337,23797.11164003949,,,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,10620.22305818207,19353.87024708186,,,16240.295052214517,32454.900877828833,16240.295052214517,25062.065836560167,15037.326308886926,15037.326308886926,45672.52744954128,,,12756.144125484823,25492.106637455006,12756.144125484823,19685.312999888833,19685.312999888833,19685.312999888833,35874.05476068143,,,10082.04511280974,20148.145319474246,10082.04511280974,15558.640083399476,9335.236707718514,15558.640083399476,28353.707329037818,,,8121.422951328106,12984.033071312198,8121.422951328106,10026.427312422024,10026.427312422024,10026.427312422024,18271.927126731895,
"Channels backward, no-smear11",,,,,,,,,,,,,,,,,,,,,,,,,11544.210115994983,,6627.288786413514,,,,18906.090617660288,,,,,,,,,,,,,,,,,,,,11544.210115994983,,17380.570299965282,17380.570299965282,26821.757621142282,26821.757621142282,,,,,,,,,,,16763.476555282203,19557.345095862493,14486.991077609053,10865.309635809857,,16763.476555282203,16763.476555282203,14486.991077609053,10865.309635809857,,,,,,,19601.326565676056,16334.476469786141,30248.837988860792,30248.837988860792,,19601.326565676056,19601.326565676056,30248.837988860792,30248.837988860792,,,,,,,,,,,27120.86614583087,97557.12221209386,27120.86614583087,30134.234684264968,30134.234684264968,22600.813337856664,27458.1212310528,,,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,12254.056098219922,22331.341315751484,,,18738.76859601465,37447.92916390444,18738.76859601465,28917.734885444417,17350.727738383684,17350.727738383684,52699.03674708295,,,14718.601044502839,29413.942404538575,14718.601044502839,22713.79589957005,22713.79589957005,22713.79589957005,41393.113314935865,,,11633.108723404564,23247.839731027292,11633.108723404564,17952.256766271028,10771.406717543246,17952.256766271028,32715.795896124608,,,9370.859010063861,14981.56299476489,9370.859010063861,11568.940965195548,11568.940965195548,11568.940965195548,21082.97921259454,
Frequencies predict ifft,32768.0,200.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,200.0,200,200.0,200.0,32768.0,65536.0,200.0,65536.0,200.0,65536.0,200.0,65536.0,200.0,65536.0,200.0,41000.0,200.0,200.0,200,200.0,200.0,65536.0,200.0,200.0,200,100.0,200.0,65536.0,200.0,200.0,200,200.0,200.0,65536.0,200.0,65536.0,200.0,200.0,200,200.0,65536.0,200.0,200.0,200,200.0,65536.0,200.0,200.0,200.0,65536.0,200.0,200.0,200,200.0,65536.0,200.0,200.0,200,200.0,65536.0,200.0,200.0,200,200.0,65536.0,200.0,200.0,200,200.0,65536.0,200.0,200.0,200,200.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),273.89387457745846,273.8938745774943,205.5296473067149,223.3663493324655,426.6520128955375,(undefined),(undefined),273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,(undefined),(undefined),273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,(undefined),(undefined),157.12325532073336,(undefined),83.3806031871035,(undefined),45.26965379945632,(undefined),157.12325532073336,(undefined),130.5212706969548,(undefined),44.214337830785716,44.214337830785716,52.775884914289946,58.67851098670986,106.85900096534097,(undefined),49.98733731145918,51.619512886976175,53.910434562176725,54.556799946961846,40.0,(undefined),40.320159971936874,47.0131156883649,41.40438753663452,43.96773753338506,40.0,(undefined),83.3806031871035,(undefined),82.80205330677371,82.80205330677371,83.97922437468992,83.97922437468992,(undefined),131.64462593106882,143.10037418809657,133.3384323336042,149.66365218641158,(undefined),245.36031136893004,252.56212112750842,282.2241379377215,(undefined),112.59321385149897,115.3372085335266,110.90810275829841,109.10978996971649,(undefined),112.59321385149897,112.59321385149897,110.90810275829841,109.10978996971649,(undefined),120.5604141984599,120.5604141984599,148.12135257094116,110.90810275829841,(undefined),92.41593210662438,92.16013813132204,94.0272040242694,94.0272040242694,(undefined),92.41593210662438,92.41593210662438,94.0272040242694,94.0272040242694,(undefined),362.34942859225,511.6591552951528,362.34942859162413,283.1372444401752,285.706680637478,303.40958648780713,742.9675296364201,(undefined),(undefined),240.55111728046495,288.96629213239663,240.55111728046495,246.72844731713064,246.72844731713064,233.36436975478242,411.8059337931923,(undefined),(undefined),130.5212706969548,162.1223555377206,130.5212706969548,128.67231012004186,128.67231012004186,126.70077328326667,230.6442270502567,(undefined),(undefined),89.25308069276149,114.10702820215855,89.25308069276149,92.11650820922553,89.02908134657224,89.02908134657224,167.6933876695436,(undefined),(undefined),71.32970109768817,91.56805341145231,71.32970109768817,72.86578627656844,72.86578627656844,72.86578627656844,132.64639335183415,(undefined),(undefined),53.80600686093694,69.21759889713977,53.80600686093694,54.6706599684255,53.738911862089374,54.6706599684255,99.52280345842738,(undefined),(undefined),40.0,46.56898301296599,40.0,40.0,40.0,40.0,66.20293531148351,(undefined)
Frequencies predict kernels1,,273.89387457745846,273.8938745774943,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,157.12325532073336,,88.32923993228476,,46.552061974689806,,157.12325532073336,,134.7932222286426,,48.762908597988094,48.762908435789875,52.775884914289946,70.14390889213801,130.90394095628784,,52.050429888764754,53.10496471679839,53.910434562176725,54.556799946961846,40.25679463639328,,40.9976717066149,47.0131156883649,41.40438753663452,43.96773753338506,40.0,,88.32923993228476,,83.1718642963872,83.1718642963872,85.3156505461264,85.3156505461264,,137.62433744281324,143.10037418809657,133.3384323336042,171.67339580493623,,245.36031136893004,252.56212112750842,282.2241379377215,,116.4817028845609,121.32483381576144,113.46655987791394,110.21137048140578,,116.4817028845609,116.4817028845609,113.46655987791394,110.21137048140578,,130.34413218749336,130.34413218749336,148.12135257094116,113.46655987791394,,92.92263585216023,92.45422915223457,95.85069509695458,95.85069509695458,,92.92263585216023,92.92263585216023,95.85069509695458,95.85069509695458,,362.34942859225,512.317136997464,362.34942859162413,283.1372444401752,285.706680637478,303.40958648780713,742.9675296364201,,,254.25991648989043,289.3210998084684,254.25991648989043,264.9400543923313,264.9400543923313,241.61099320620596,416.43735320207855,,,134.7932222286426,162.1721661191935,134.7932222286426,131.48010139262894,131.48010139262894,127.90826184547238,232.8447317924302,,,90.15779249332888,114.11073213443272,90.15779249332888,95.31162669913276,89.74942435110191,89.74942435110191,173.5161129757457,,,71.81339441948799,91.57002388157284,71.81339441948799,74.59725257538823,74.59725257538823,74.59725257538823,135.80178560456517,,,54.077799764037714,69.21870343964841,54.077799764037714,55.65050501174252,53.95495814365939,55.65050501174252,101.30845494752103,,,40.0,46.56933995449551,40.0,40.0,40.0,40.0,66.78816884961081,
Frequencies predict kernels2,,273.89387457745846,273.8938745774943,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,157.12325532073336,,93.86539342218843,,48.029100380318425,,157.12325532073336,,139.69250559424847,,48.762908597988094,48.762908435789875,52.775884914289946,70.14390889213801,144.93556193004372,,52.050429888764754,53.10496471679839,53.910434562176725,54.556799946961846,45.7540659647135,,40.9976717066149,47.0131156883649,41.40438753663452,43.96773753338506,40.0,,93.86539342218843,,83.60811415338816,83.60811415338816,86.87400600652175,86.87400600652175,,137.62433744281324,143.10037418809657,133.3384323336042,171.67339580493623,,245.36031136893004,252.56212112750842,282.2241379377215,,120.93345154691704,128.0687309547066,116.42861730507013,111.50346726450282,,120.93345154691704,120.93345154691704,116.42861730507013,111.50346726450282,,141.08295872113933,141.08295872113933,148.12135257094116,116.42861730507013,,93.5197606310994,92.80159684254527,97.96958452361316,97.96958452361316,,93.5197606310994,93.5197606310994,97.96958452361316,97.96958452361316,,362.34942859225,517.5643890331957,362.34942859162413,283.1372444401752,285.706680637478,303.40958648780713,742.9675296364201,,,269.6289649781559,290.011566687786,269.6289649781559,285.0555805580128,285.0555805580128,251.04488797423124,421.86349479267636,,,139.69250559424847,162.26919038128628,139.69250559424847,134.73485323671414,134.73485323671414,129.3253974436776,235.42729347304606,,,91.2189289546226,114.11794712801736,91.2189289546226,98.96904050243096,90.59607169205731,90.59607169205731,180.18131735402588,,,72.38265431195293,91.57386211302006,72.38265431195293,76.60048231198618,76.60048231198618,76.60048231198618,139.45243476570508,,,54.39823338639586,69.22085490954366,54.39823338639586,56.79075948193634,54.20993234547962,56.79075948193634,103.38643371288914,,,40.0,46.57003518742353,40.0,40.0,40.0,40.0,67.47550054522527,
Frequencies predict kernels3,,273.89387457745846,273.8938745774943,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,157.12325532073336,,105.9582499594555,,51.39300162423354,,157.12325532073336,,150.77739859544076,,48.762908597988094,48.762908435789875,52.775884914289946,70.14390889213801,144.93556193004372,,52.050429888764754,53.10496471679839,53.910434562176725,54.556799946961846,48.22762578154874,,40.9976717066149,47.0131156883649,41.40438753663452,43.96773753338506,40.0,,105.9582499594555,,84.6422967338824,84.6422967338824,90.4943719109433,90.4943719109433,,137.62433744281324,143.10037418809657,133.3384323336042,171.67339580493623,,245.36031136893004,252.56212112750842,282.2241379377215,,130.97935085917197,142.93457343009695,123.22993990489024,114.53559244084491,,130.97935085917197,130.97935085917197,123.22993990489024,114.53559244084491,,146.47905493884417,146.47905710699953,148.12135257094116,123.22993990489024,,94.93268868777362,93.62699941647928,102.86379115111605,102.86379115111605,,94.93268868777362,94.93268868777362,102.86379115111605,102.86379115111605,,362.34942859225,557.966411514353,362.34942859162413,283.1372444401752,285.706680637478,303.40958648780713,742.9675296364201,,,295.89161004590994,292.83604652987657,295.8916095870931,286.2573928464548,306.4819640090484,272.3090254431536,434.57136225458396,,,150.77739859544076,162.66762243126047,150.77739859544076,142.22313677098973,142.22313677098973,132.65428502799682,241.49379687354653,,,93.70888846235526,114.14759834058799,93.70888846235526,107.22064389955365,92.58998657178937,92.58998657178937,195.21889120937453,,,73.72647292473965,91.58963573102685,73.72647292473965,81.19514212332018,81.19514212332018,81.19514212332018,147.82565944520468,,,55.1570470996182,69.22969645259715,55.1570470996182,59.43090839666146,54.814873121204336,59.43090839666146,108.19779290581141,,,40.0,46.572892126000085,40.0,40.0,40.0,40.0,69.09207452232738,
Frequencies predict kernels4,,273.89387457745846,273.8938745774943,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,273.89387457745846,235.4090909387186,205.5296473067149,223.3663493324655,426.6520128955375,,,157.12325532073336,,121.76996186835134,,59.0733971203256,,157.12325532073336,,173.00949210663478,,48.762908597988094,48.762908435789875,52.775884914289946,70.14390889213801,144.93556193004372,,52.050429888764754,53.10496471679839,53.910434562176725,54.556799946961846,48.22762578154874,,,,,,,,121.76996186835134,,87.20659145964555,87.20659145964555,99.08157760335978,99.08157760335978,,137.62433744281324,143.10037418809657,133.3384323336042,171.67339580493623,,245.36031136893004,252.56212112750842,282.2241379377215,,153.54857294656603,165.12840346775113,136.61452599696324,121.88201391060164,,153.54857294656603,153.54857294656603,136.61452599897038,121.88201391060164,,146.47905493884417,146.47905710699953,148.12135257094116,138.99486738512581,,98.42080680019032,95.68511926987189,114.33868681002009,114.33868681002009,,98.42080680019032,98.42080680019032,114.33868681002009,114.33868681002009,,362.34942859225,691.9319663357112,362.34942859162413,283.1372444401752,285.706680637478,303.40958648780713,742.9675296364201,,,295.89161004590994,307.04166785720145,295.8916095870931,286.2573928464548,306.4819640090484,319.9873171675346,465.2269024230534,,,173.00949210663478,164.7120249435197,173.00949295529387,154.3639749378033,159.64637048793557,140.73752124785545,256.22453917057146,,,99.74077357957368,114.30058033306945,99.74077357957368,117.2685493745464,97.45942655119609,97.45942655119609,228.9899806152021,,,77.02592310533215,91.67102851887265,77.02592310533215,91.8231239256571,91.8231239256571,91.8231239256571,167.193904302071,,,57.03380370862098,69.27532148682322,57.03380370862098,65.65077217613234,56.31776764677163,65.65077217613234,119.53276095712262,,,40.0,46.58763506408917,40.0,40.11288205604275,40.11288205604275,40.11288205604275,73.02831583262218,
Frequencies predict kernels5,,,,,,,,,,,,,,,,,,,,,,,,,121.76996186835134,,67.33780278556873,,,,173.00949210663478,,48.762908597988094,48.762908435789875,52.775884914289946,70.14390889213801,144.93556193004372,,,,,,,,,,,,,,121.76996186835134,,90.25881993193103,90.25881993193103,103.53372815967488,108.72129916507762,,137.62433744281324,143.10037418809657,133.3384323336042,171.67339580493623,,,,,,157.53721577520355,165.12840346775113,136.61452599696324,130.35122914708788,,157.53721577520355,157.53721577764625,136.61452599897038,130.35122914708788,,146.47905493884417,146.47905710699953,148.12135257094116,148.96872418914506,,102.5464914955144,98.15529109581264,116.2757802747651,127.04671818475212,,102.5464914955144,102.5464914955144,116.2757802747651,127.04671818475212,,,,,,,,,,,295.89161004590994,336.6190863137124,295.8916095870931,286.2573928464548,306.4819640090484,322.07794870671927,500.3684104723854,,,173.00949210663478,169.18334728164174,173.00949295529387,154.3639749378033,165.8425617613126,150.0832512520255,273.2560294626617,,,106.69312005061053,114.64060382978398,106.69312005061053,117.2685493745464,103.13277540688607,103.13277540688607,264.73401137141593,,,80.89853018542787,91.85203595871239,80.89853018542787,95.43226146869581,103.4176912626271,103.4176912626271,188.32364173001884,,,59.25948839199258,69.3768123188115,59.25948839199258,72.57729565084031,58.1117485368755,72.57729565084031,132.15553530957308,,,40.0,46.62044074748364,40.0,42.619383283717696,42.619383283717696,42.619383283717696,77.59611850047582,
Frequencies predict kernels6,,,,,,,,,,,,,,,,,,,,,,,,,121.76996186835134,,72.60475060663423,,,,173.00949210663478,,48.762908597988094,48.762908435789875,52.775884914289946,70.14390889213801,144.93556193004372,,,,,,,,,,,,,,121.76996186835134,,97.34328625163494,97.34328625163494,103.53372815967488,129.39067690344586,,137.62433744281324,143.10037418809657,133.3384323336042,171.67339580493623,,,,,,157.53721577520355,165.12840346775113,136.61452599696324,149.1209636888041,,157.53721577520355,157.53721577764625,136.61452599897038,149.1209636888041,,146.47905493884417,146.47905710699953,148.12135257094116,148.96872418914506,,112.02916402989544,103.96640140758355,116.2757802747651,153.88204001395277,,112.02916402989544,112.02916402989544,116.2757802747651,153.88204001395277,,,,,,,,,,,295.89161004590994,447.42449934897166,295.8916095870931,286.2573928464548,306.4819640090484,322.07794870671927,577.6764759986258,,,173.00949210663478,188.20008361879826,173.00949295529387,154.3639749378033,165.8425617613126,170.8760303626645,311.1484231882792,,,122.09693954975197,116.17241865198501,122.09693954975197,117.2685493745464,115.88881801958296,115.88881801958296,336.90349414736556,,,89.69800427036992,92.66947660807993,89.69800427036992,95.43226146869581,112.37912715906258,127.51608980852937,232.24015235586157,,,64.3959491369555,69.83570898616674,64.3959491369555,72.98980822903673,62.29470503998523,87.29383162554981,158.9746968301093,,,42.906552523990676,46.76902944149389,42.906552523990676,48.2239045828091,48.2239045828091,48.2239045828091,87.809698951512,
Frequencies predict kernels7,,,,,,,,,,,,,,,,,,,,,,,,,121.76996186835134,,72.60475060663423,,,,173.00949210663478,,,,,,,,,,,,,,,,,,,,121.76996186835134,,105.25820800943713,105.25820800943713,103.53372815967488,150.62840488183804,,,,,,,,,,,157.53721577520355,165.12840346775113,136.61452599696324,169.03128576504568,,157.53721577520355,157.53721577764625,136.61452599897038,169.03128576504568,,146.47905493884417,146.47905710699953,148.12135257094116,148.96872418914506,,122.49907644778988,110.5701780415659,116.2757802747651,181.0854368798406,,122.49907644778988,122.49907644778988,116.2757802747651,181.0854368798406,,,,,,,,,,,295.89161004590994,617.6031736903359,295.8916095870931,286.2573928464548,306.4819640090484,322.07794870671927,659.0722990961776,,,173.00949210663478,222.60927011180002,173.00949295529387,154.3639749378033,165.8425617613126,193.02075112524395,351.504579266077,,,127.26761810853829,119.2870826254953,127.26761885924238,117.2685493745464,129.62691612397677,129.62691612397677,407.49217994813307,,,99.28586891026892,94.34193206023325,99.28586891026892,95.43226146869581,112.37912715906258,151.6224353300706,276.171152891722,,,70.09468305853132,70.77758579120814,70.09468305853132,72.98980822903673,66.99446214327027,102.29195903115794,186.30703077621374,,,46.54415920764141,47.07544425393293,46.54415920764141,50.248427855178136,54.22421842159944,54.22421842159944,98.74456680254931,
Frequencies predict kernels8,,,,,,,,,,,,,,,,,,,,,,,,,121.76996186835134,,72.60475060663423,,,,173.00949210663478,,,,,,,,,,,,,,,,,,,,121.76996186835134,,111.52561585276182,111.52561585276182,103.53372815967488,166.53346828943933,,,,,,,,,,,157.53721577520355,165.12840346775113,136.61452599696324,184.23411427613212,,157.53721577520355,157.53721577764625,136.61452599897038,184.23411427613212,,146.47905493884417,146.47905710699953,148.12135257094116,148.96872418914506,,130.71651639432721,115.87013445509865,116.2757802747651,201.30374558522487,,130.71651639432721,130.71651639432721,116.2757802747651,201.30374558522487,,,,,,,,,,,295.89161004590994,775.1714649613641,295.8916095870931,286.2573928464548,306.4819640090484,322.07794870671927,720.9300728384762,,,173.00949210663478,258.11745921681444,173.00949295529387,154.3639749378033,165.8425617613126,209.9734251356629,382.3988430086494,,,127.26761810853829,122.93472226699336,127.26761885924238,117.2685493745464,140.2221255791968,140.2221255791968,458.99074441125634,,,106.73980142696797,96.3177280683699,106.73980142696797,95.43226146869581,112.37912715906258,169.4110371138345,308.58880592724176,,,74.58348358447986,71.89542375889535,74.58348358447986,72.98980822903673,70.7322483308186,113.47206523042472,206.68146951635137,,,49.41723166661796,47.44166624398829,49.41723166661796,50.248427855178136,58.83352715505925,58.83352715505925,107.14449213735205,
Frequencies predict kernels9,,,,,,,,,,,,,,,,,,,,,,,,,121.76996186835134,,72.60475060663423,,,,173.00949210663478,,,,,,,,,,,,,,,,,,,,121.76996186835134,,120.15018118695338,120.15018118695338,103.53372815967488,187.5092587894614,,,,,,,,,,,157.53721577520355,165.12840346775113,136.61452599696324,204.5610417967664,,157.53721577520355,157.53721577764625,136.61452599897038,204.5610417967664,,146.47905493884417,146.47905710699953,148.12135257094116,148.96872418914506,,141.9411103704235,123.24965257429922,116.2757802747651,227.83194540750623,,141.9411103704235,141.9411103704235,116.2757802747651,227.83194540750623,,,,,,,,,,,295.89161004590994,1017.0273949533794,295.8916095870931,286.2573928464548,306.4819640090484,322.07794870671927,803.3522919361717,,,173.00949210663478,316.6126818088863,173.00949295529387,154.3639749378033,165.8425617613126,232.68332612548946,423.78498277643376,,,127.26761810853829,129.8029255479679,127.26761885924238,117.2685493745464,154.49500035943908,154.49500035943908,525.7674919370401,,,116.84381521844713,100.08493163227122,116.84381521844713,95.43226146869581,112.37912715906258,192.64249677340916,350.925435415683,,,80.73316643559622,74.04148023043199,80.73316643559622,72.98980822903673,75.8951347273864,128.17030526296924,233.4672984530435,,,53.36231387302756,48.15245595460622,53.36231387302756,50.248427855178136,65.02409884088878,65.02409884088878,118.4260850813041,
