Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support pred1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
W kernel support pred2 [uv-pixels],445.32610945220534,6.560950293748319,6.560950293748319,5.842695255920037,5.842695255920037,5.842695255920037,17.65832862891944,445.32610945220534,10.767336770701792,952.9151270818414,15.91976773174763,15.919767732317554,12.15747220194383,12.18496160974651,12.15747220194383,33.25142593416739,952.9151270818414,41.54727978628811,453.6779515075712,15.56183139110368,15.561830965943473,10.141510906467802,14.79075214476134,24.18810613186736,26.0985295665569,453.6779515075712,20.619586676665016,140.32371531681747,12.990529709168092,12.990529663757004,11.88914325543257,14.142880409602647,11.643926170088504,50.591890221795325,140.32371531681747,6.6506664409638026,74.82635479855996,12.728667809278111,12.72866744670292,11.647313277447058,13.854302591317337,11.407379637788624,39.81571402939766,74.82635479855996,3.5949317551364106,131.93061952868786,10.652624173697708,10.652624173667427,10.04015482929161,11.97339680323979,9.849056300607018,49.41280159950809,131.93061952868786,6.262633157716523
AW kernel support pred0 [uv-pixels],52.61603121024387,9.031976278085367,9.031976278076973,9.026996103304793,9.020333547767606,9.014447558270165,9.261640782004875,52.61603121024387,9.001544768554412,66.69519352052542,9.08361148220763,9.083611482213549,9.043752668108198,9.049232461384053,9.03557505239501,9.355025993349583,66.69519352052542,9.003398660950033,33.92157035101767,9.079933601008138,9.079933596687471,9.034197347372821,9.072285275508078,9.120117248805617,9.221339823920088,33.92157035101767,9.000850718847445,13.8456232097532,9.055896727994027,9.055896727606653,9.046889593674184,9.066149997178803,9.044990071777638,9.79475278177656,13.8456232097532,9.000089808851069,10.643908279184288,9.053684862189112,9.053684859156899,9.045016046142985,9.063502968589518,9.043194337687417,9.502985506560258,10.643908279184288,9.00002635717098,13.384396726081963,9.037705534076373,9.03770553407616,9.033521729759602,9.047551159095347,9.032265999759272,9.760017786346431,13.384396726081963,9.000079675951254
AW kernel support pred1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AW kernel support pred2 [uv-pixels],445.41704475675107,11.137597081823177,11.137597081823177,10.730195145175625,10.730195145175625,10.730195145175625,19.819600651045313,445.41704475675107,14.033372407718215,952.9576272958844,18.287673570817944,18.287673571314073,15.126272850277326,15.148375801748392,15.126272850277326,34.44789292040109,952.9576272958844,42.510898104369716,453.7672130995211,17.976946243595986,17.976945875553977,13.559138743519272,17.31376183871553,25.808225011543886,27.606760866433508,453.7672130995211,22.498163363183703,140.6120374659127,15.8036028210272,15.803602783699377,14.911462951306882,16.763682956925734,14.716691770043697,51.38617864965432,140.6120374659127,11.190682021617901,75.3656644131794,15.589066174692853,15.589065878645668,14.719371813463864,16.52094731823155,14.530254994343167,40.82022885372856,75.3656644131794,9.691415496411665,132.23724274660069,13.945551325998151,13.945551325975021,13.483497654397677,14.978725947417317,13.341810597236298,50.225740033496265,132.23724274660069,10.964514310635488
W kernel support bw0 [uv-pixels],51.84058969878098,0.7593388491950014,0.7593388490951771,0.6976092380981773,0.6053241387733853,0.5101615242282903,2.1858613805307674,51.84058969878098,0.16675796919282154,66.08516352964814,1.2296330996253648,1.2296330996690998,0.8885169226942874,0.9426601403299492,0.8010096924901046,2.552745842469703,66.08516352964814,0.24736096700338506,32.70585475230759,1.2021623013206666,1.202162268686663,0.7853163128817005,1.1429611192865115,1.475309673242102,2.0082599802352656,32.70585475230759,0.12374838575339467,10.52146767644403,1.004622092178402,1.0046220886865351,0.9198974508771346,1.093195211911034,0.901024638151502,3.8648650760563013,10.52146767644403,0.040206558978108056,5.682673970560674,0.9844844253883651,0.9844843975030141,0.9012853460386892,1.071021036969392,0.8828158523620735,3.050693943661722,5.682673970560674,0.02178140887010416,9.906668245235307,0.824694683306912,0.8246946833045794,0.7775055254073298,0.9263811183565612,0.762777222003486,3.775969701917468,9.906668245235307,0.037870482843733844
W kernel support bw1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
W kernel support bw2 [uv-pixels],445.32610945220534,6.560950293748319,6.560950293748319,5.842695255920037,5.842695255920037,5.842695255920037,17.65832862891944,445.32610945220534,10.767336770701792,952.9151270818414,15.91976773174763,15.919767732317554,12.15747220194383,12.18496160974651,12.15747220194383,33.25142593416739,952.9151270818414,41.54727978628811,453.6779515075712,15.56183139110368,15.561830965943473,10.141510906467802,14.79075214476134,24.18810613186736,26.0985295665569,453.6779515075712,20.619586676665016,140.32371531681747,12.990529709168092,12.990529663757004,11.88914325543257,14.142880409602647,11.643926170088504,50.591890221795325,140.32371531681747,6.6506664409638026,74.82635479855996,12.728667809278111,12.72866744670292,11.647313277447058,13.854302591317337,11.407379637788624,39.81571402939766,74.82635479855996,3.5949317551364106,131.93061952868786,10.652624173697708,10.652624173667427,10.04015482929161,11.97339680323979,9.849056300607018,49.41280159950809,131.93061952868786,6.262633157716523
AW kernel support bw0 [uv-pixels],52.61603121024387,9.031976278085367,9.031976278076973,9.026996103304793,9.020333547767606,9.014447558270165,9.261640782004875,52.61603121024387,9.001544768554412,66.69519352052542,9.08361148220763,9.083611482213549,9.043752668108198,9.049232461384053,9.03557505239501,9.355025993349583,66.69519352052542,9.003398660950033,33.92157035101767,9.079933601008138,9.079933596687471,9.034197347372821,9.072285275508078,9.120117248805617,9.221339823920088,33.92157035101767,9.000850718847445,13.8456232097532,9.055896727994027,9.055896727606653,9.046889593674184,9.066149997178803,9.044990071777638,9.79475278177656,13.8456232097532,9.000089808851069,10.643908279184288,9.053684862189112,9.053684859156899,9.045016046142985,9.063502968589518,9.043194337687417,9.502985506560258,10.643908279184288,9.00002635717098,13.384396726081963,9.037705534076373,9.03770553407616,9.033521729759602,9.047551159095347,9.032265999759272,9.760017786346431,13.384396726081963,9.000079675951254
AW kernel support bw1 [uv-pixels],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
