Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Baseline fraction [per bin]6,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.014338635302681322,0.057354541210725286,0.057354541210725286,0.057354541210725286,,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.057354541210725286
Baseline fraction [per bin]7,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,,0.054815812710250551,0.054815812710250551,0.054815812710250551,,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,0.054815812710250551
Baseline fraction [per bin]8,,,,,0.017356613603245682,,0.017356613603245682,0.017356613603245682,0.017356613603245682,,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,,,0.017356613603245682,0.017356613603245682
Baseline fraction [per bin]9,,,,,0.015180560602838761,,0.015180560602838761,0.015180560602838761,0.015180560602838761,,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,,,0.015180560602838761,0.015180560602838761
Baseline fraction [per bin]10,,,,,0.0010880265302034607,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,,0.0010880265302034607,0.0010880265302034607
Baseline fraction [per bin]11,,,,,0.00046629708308719751,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,,0.00046629708308719751,0.00046629708308719751
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],12.370939884765392,6.872744380425218,18.556409827148087,18.556409827148087,1.216917083595248,1.5774851083642105,0.8027132741902536,0.9552194948818562,0.739439905872622,2.192475334391248,0.22429677144802865,0.8828476058954237,0.8828476058954237,0.868043026276568,0.868043026276568,0.8828476058954237,0.17538710363181245,0.17538710363181245,0.14422512108330882,0.2003126681712622,11.314693058646656,15.714851470342577,1.6269737985071497,2.0337172481339376
PSF size [arcs],12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,0.6536814113146615,2.4513052924299807,0.414812746432146,0.44199349217371975,0.398036867634397,5.007045878775813,0.05174479279247161,0.4656308809464686,0.4656308809464686,0.43004950575276385,0.43004950575276385,0.4656308809464686,0.06455411908949733,0.06455411908949733,0.052802819899117066,0.052802819899117066,11.531210745827075,11.531210745827075,1.026706652111203,1.026706652111203
Pixel size [arcs],2.523371058752778,2.523371058752778,2.523371058752778,2.523371058752778,0.1307362822629323,0.4902610584859961,0.0829625492864292,0.08839869843474395,0.07960737352687941,1.0014091757551624,0.01034895855849432,0.09312617618929371,0.09312617618929371,0.08600990115055276,0.08600990115055276,0.09312617618929371,0.012910823817899467,0.012910823817899467,0.010560563979823412,0.010560563979823412,2.3062421491654153,2.3062421491654153,0.20534133042224062,0.20534133042224062
