Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Oversampling used pred5 [1],,,56.389148552764404,63.99999321436706,63.99972802218239,64.0,,,,,,,,,,,,,63.27500719609388,63.98226695843599,63.99176858759076,63.59893240443982,,,,,,,,,63.57430933692396,63.99949422472882,63.99951344673046,63.999564705713524,63.99977898341663,63.99989776517631,,,61.86695882240589,55.12173622744096,63.998999614316624,58.88543270284818,55.12173622744096,63.998999614316624,62.102062681930036,63.99912003268208,63.99936927720342,63.905584331055245,63.999604579873576,63.999704551102845,63.661541478753854,63.999604579873576,63.999704551102845
Oversampling used pred6 [1],,,63.5278589050635,63.99999833444713,63.99999999999999,64.0,,,,,,,,,,,,,63.51305668231897,63.999884486534405,63.99997040943999,63.976052250727065,,,,,,,,,63.99889727357119,63.999999999999936,63.99999999999995,63.999999985985035,63.999999997434394,63.9999999996706,,,63.966820822512645,63.51099515783051,63.999999999996646,63.82457605082137,63.51099515783051,63.999999999996646,63.978420264557656,63.99999999999806,63.99999999999955,63.99998703103403,63.99999999999997,63.99999999999999,63.999449923605,63.99999999999997,63.99999999999999
Oversampling used pred7 [1],,,63.99488053109676,63.9999999999466,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894093,64.0,64.0,,,,,,63.9998599471448,63.97895424624899,64.0,63.99645072068855,63.97895424624899,64.0,63.99994795612568,64.0,64.0,63.99999999999964,64.0,64.0,63.99999998839521,64.0,64.0
Oversampling used pred8 [1],,,63.99984867578554,63.99999999817551,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.999999178416026,63.99983029442192,64.0,63.9998835051339,63.99983029442192,64.0,63.999999833574215,64.0,64.0,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used pred9 [1],,,63.99999946156613,63.99999994552436,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.999999999883386,63.999999355629015,64.0,63.999999455558175,63.999999355629015,64.0,63.999999915730086,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred10 [1],,,63.99999993324813,63.99999935123504,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99999999998875,63.999999917307456,64.0,63.99999999989037,63.999999917307456,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred11 [1],,,63.99999999998338,63.99999568174576,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,64.0,63.999999999991815,64.0,63.999999999984944,63.999999999991815,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw0 [1],1.8912059888035557,53.15078038174531,3.9436750640481506,63.78544273780377,14.889208237803643,63.99999306179746,2.0366413702794404,1.8907049667090448,3.1099970846638243,3.610144192115122,1.704678135078467,1.8907049667090448,3.1099970846638243,3.610144192115122,1.704678135078467,1.8907049667090448,3.1099970846638243,3.610144192115122,6.259067394006934,13.981489109158723,16.999212209542904,48.6959441582921,36.07207971490402,14.714246639320692,3.1744585148314073,63.77755984816039,35.77992323928246,13.803780980702761,13.907890944480442,59.707651089820196,6.363345606597427,14.255225078993469,17.36801183837639,14.027453082782522,14.087146426292293,14.145118564407149,15.856974872157828,16.041445765611897,5.219384461737839,3.925557389904391,14.999638806667505,4.507992830789242,3.925557389904391,14.999638806667505,5.230698548891631,15.010781430767011,15.03811950761343,8.09329556086741,14.530233233767312,14.548826136619525,6.598446775680372,14.530233233767312,14.548826136619525
Oversampling used bw1 [1],3.707713631774986,58.011943208759305,5.9988467271379875,63.96988618479191,28.677091458372416,63.99999999659141,3.980078100463338,3.70736013081401,6.01491079462842,3.5792367653394805,3.3477826127487162,3.70736013081401,6.01491079462842,3.5792367653394805,3.3477826127487162,3.70736013081401,6.01491079462842,3.5792367653394805,13.02157352518735,26.695398043637695,27.035279787888648,53.406757355632,55.827143621665705,29.722923619675164,4.872057003582455,63.94136916691544,50.121396393788714,27.766427260291685,28.07686938516303,63.151593391234094,13.293965012027137,27.380646553392246,27.388242266735382,26.979836767676346,27.154682202230674,27.325781840990388,28.737443351557665,29.239659073596513,10.224136532404088,5.890100919399693,28.708324385801923,7.7843232021381255,5.890100919399693,28.708324385801923,10.262658369736755,28.740647281193986,28.820133481931705,16.85747940007152,28.556219418217204,28.61208097419962,13.85769037359686,28.556219418217204,28.61208097419962
Oversampling used bw2 [1],7.116004511202654,63.12784695792816,10.19132490442093,63.99387347728162,41.68511778940481,63.99999999999761,7.58010566772996,7.118494163276644,16.857904043982778,3.495764910114758,6.449142360110216,7.118494163276644,16.857904043982778,3.495764910114758,6.449142360110216,7.118494163276644,16.857904043982778,3.495764910114758,21.47079664597932,39.91904122389695,40.49812800417863,56.648640555935245,61.96439767614552,42.38676555421737,6.1336449190277165,63.993105135542145,60.2869475287544,38.55341057266953,39.07158177264875,63.712120950519974,21.997444168102504,41.00162441362196,41.014984496379824,40.25410088821131,40.55625576532455,40.85325441988802,42.34957085258242,43.17406367031392,16.915528493414534,10.145580938569616,41.530337676845285,13.101100409994771,10.145580938569616,41.530337676845285,17.005974695190105,41.584947173476834,41.71942573621122,26.924042112492486,41.51087925944079,41.60676265923947,22.457149123697768,41.51087925944079,41.60676265923947
