Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AW kernel support bw1 [uv-pixels],10.041297836304405,10.676800394703648,10.050908916358054,10.203607189591136,10.034746283048001,10.94177207245938,10.107183395040792,10.024585669075114,10.030145396558222,10.20366414752119,10.062114475843106,10.024585669075114,10.030145396558222,10.20366414752119,10.062114475843106,10.024585669075114,10.030145396558222,10.20366414752119,10.46873368227035,10.43564982847476,10.305050955358322,11.433211465288906,10.357625753680793,10.285333041265355,10.102794522119098,10.997425882523585,10.446771446030723,10.269556590910788,10.189728285587588,18.463165804904165,10.110123777145548,10.05471089414676,10.052562247254428,10.258616013440099,10.19954022645756,10.137310205918173,10.300036701918893,10.158464481719257,10.12039158438861,10.20999126269203,10.161454275794016,10.145545127180242,10.20999126269203,10.161454275794016,10.12039158438861,10.20999126269203,10.161454275794016,10.056753183227219,10.056715127468458,10.037879067610094,10.079265277130549,10.056715127468458,10.037879067610094
AW kernel support bw2 [uv-pixels],10.116548141314892,11.820942676631033,10.07832011036298,10.3121009180373,10.053474136464963,11.419886833816369,10.300895405297435,10.069472151059614,10.085147161140194,10.567328939451968,10.175007805221647,10.069472151059614,10.085147161140194,10.567328939451968,10.175007805221647,10.069472151059614,10.085147161140194,10.567328939451968,10.714028830927298,10.664138069065887,10.46646834015181,12.140125268520988,10.546184836531951,10.436521076086049,10.157951012250525,11.502076241499871,10.680917711100008,10.41254019517702,10.2909235220456,21.730905385960977,10.16918336958089,10.084161925473419,10.08086061682264,10.395899628636016,10.305896720941613,10.210812671062852,10.458855373354853,10.243167272850341,10.184912440519506,10.321837459535283,10.247737371370208,10.223411586320303,10.321837459535283,10.247737371370208,10.184912440519506,10.321837459535283,10.247737371370208,10.087299505003866,10.087241042547259,10.05829147956148,10.121864521431618,10.087241042547259,10.05829147956148
AW kernel support bw3 [uv-pixels],10.326937311248754,14.594540591073955,10.1435637609955,10.56717284560658,10.098108323035333,12.491015419922478,10.831817510705138,10.195622909087758,10.239459175054263,11.537932233866673,10.488619928882605,10.195622909087758,10.239459175054263,11.537932233866673,10.488619928882605,10.195622909087758,10.239459175054263,11.537932233866673,11.279625266968475,11.192185366869644,10.84303549755209,13.686518438216048,10.984374924951357,10.789745183751082,10.288676982968527,12.629295101663176,11.221623582143224,10.74699429705096,10.529096156497399,28.0718013016517,10.309076417347548,10.154238992455518,10.148206814942547,10.717288048262427,10.556023705653145,10.384532822066802,10.829498565487192,10.443019012918185,10.337613886503453,10.584659862921248,10.45126911144786,10.407323826537695,10.584659862921248,10.45126911144786,10.337613886503453,10.584659862921248,10.45126911144786,10.159970613801672,10.159863828992888,10.106928206993826,10.223023261218602,10.159863828992888,10.106928206993826
AW kernel support bw4 [uv-pixels],11.581756682539593,20.544337735361246,10.306911299814086,11.187662298893585,10.210223831405488,14.868264295783007,12.215386021003106,10.5599869449785,11.791015130343055,13.934513379258439,11.331996128555707,10.5599869449785,11.791015130343055,13.934513379258439,11.331996128555707,10.5599869449785,11.791015130343055,13.934513379258439,12.601117719224549,12.431471935839042,11.743878472655043,16.994616304875965,12.024280458062453,11.63738116868761,10.612622067213282,15.118940130220814,,,,,10.655248611206588,10.329553060479235,10.316762075582469,11.491868420175635,11.164915491966473,10.812204752204835,11.253558316958825,10.67525718528498,10.71474073590466,11.223296162430108,10.950108062399497,10.859394704708738,11.223296162430108,10.950108062399497,10.71474073590466,11.223296162430108,10.950108062399497,10.341699439583744,10.341473207397083,10.229019879267064,10.474856193838315,10.341473207397083,10.229019879267064
AW kernel support bw5 [uv-pixels],,,10.504169755390665,11.906745298101686,10.346307536896859,17.35632316388984,,,,,,,,,,,,,14.058812740071058,13.805443246565169,12.765651301575607,20.34776253350682,,,,,,,,,11.066059466013646,10.541012527909878,10.52020470939258,12.378696473626691,11.871226383264109,11.316017232411667,,,11.161025068946264,11.962320940406036,11.534121686610254,11.390806383496868,11.962320940406036,11.534121686610254,11.161025068946264,11.962320940406036,11.534121686610254,10.560758023363801,10.560390375580877,10.377064335226656,10.776364496555976,10.560390375580877,10.377064335226656
AW kernel support bw6 [uv-pixels],,,10.973042006564361,13.511593605322473,10.672688558786986,22.330986656052406,,,,,,,,,,,,,14.813892078062002,14.519366124627972,13.304362385134121,22.00810977420306,,,,,,,,,12.01506693906016,11.042619542312082,11.003347532719145,13.825691882937777,13.040766669957039,12.165869397313763,,,12.187511831482777,13.608385237455884,12.856207263105732,12.600928651607754,13.608385237455884,12.856207263105732,12.187511831482777,13.608385237455884,12.856207263105732,11.079830597411798,11.079138247341461,10.731498798495718,11.482744660942227,11.079138247341461,10.731498798495718
AW kernel support bw7 [uv-pixels],,,11.513235761083855,15.226347215326603,11.05345404216605,27.162654227471165,,,,,,,,,,,,,,,,,,,,,,,,,13.069166186252822,11.618934383112029,11.559310260978531,,,,,,13.32177288952356,15.363505084805436,14.290719106032375,13.922684896621915,15.363505084805436,14.290719106032375,13.32177288952356,15.363505084805436,14.290719106032375,11.67534481251745,11.674295983321292,11.143946900634932,12.2811752325834,11.674295983321292,11.143946900634932
AW kernel support bw8 [uv-pixels],,,11.9517610685928,16.54185490106493,11.365965036299217,30.675985723937274,,,,,,,,,,,,,,,,,,,,,,,,,13.900165798988429,12.085684613369551,12.01017134559844,,,,,,14.212527012413846,16.708140052236114,15.402699130687726,14.95202310094418,16.708140052236114,15.402699130687726,14.212527012413846,16.708140052236114,15.402699130687726,12.157051847766374,12.155725594905157,11.481697355610768,12.919184817832054,12.155725594905157,11.481697355610768
AW kernel support bw9 [uv-pixels],,,12.568808974362158,18.306937036530666,11.81038154049156,35.22272564673125,,,,,,,,,,,,,,,,,,,,,,,,,15.039442534647005,12.741001056320732,12.643961192678661,,,,,,15.42983004323944,18.510461177884608,18.510460790643602,16.34921984310531,18.510461177884608,18.510460790643602,15.42983004323944,18.510461177884608,18.510460790643602,12.832593650521193,12.830892581843786,11.960939553703353,13.804088929945278,12.830892581843786,11.960939553703353
AW kernel support bw10 [uv-pixels],,,13.998405615583549,20.068018811524272,12.279557099728736,39.62876568246821,,,,,,,,,,,,,,,,,,,,,,,,,16.198464798768764,13.423502786063851,13.304887354434316,,,,,,16.664537597560326,22.41063610470691,22.41063610470691,17.757617288135044,22.41063610470691,22.41063610470691,16.664537597560326,22.41063610470691,22.41063610470691,13.53533011246118,13.533254370542119,12.465663767615832,14.714438718638826,13.533254370542119,12.465663767615832
