Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
AW kernel support pred10 [uv-pixels],,,,,62.259126074979164,105.7986282023812,46.49088501129841,41.84536926702605,43.917677725562434,37.31840167463097,22.430170781630757,49.46024019156287,49.46024019156287,49.98318808671045,49.98318808671045,49.46024019156287,22.663703495506347,22.663703495506347,21.569248042826473,27.36999917217426,,,96.86186555800266,81.85936202689892
AW kernel support pred11 [uv-pixels],,,,,77.14611161385194,118.02390971876508,57.354803193114776,46.40031930391756,53.17519068604005,41.315662851830574,24.508500303369825,61.085915586517004,61.085915586517004,61.742752875548454,61.742752875548454,61.085915586517004,24.774075619335694,24.774075619335694,23.528495835841248,30.107796445824338,,,120.51049818148522,91.22626149395094
"W kernel support pred, ff0 [pixels]",10.374759622952629,10.59354051080251,10.375562657354074,10.375562657354074,10.969620289173935,13.356097427948363,10.636416975454747,10.583720583027409,10.643903781202834,10.461004039588339,10.147524506318556,10.538015231439859,10.538015231439859,10.493816516182987,10.493816516182987,10.540282334124193,10.151320963800266,10.151320963800266,10.133848587666494,10.23562250706686,10.32552909940191,10.292609356536618,11.346106074580096,12.128423767699726
"W kernel support pred, ff1 [pixels]",10.646069446553906,11.016273511855442,10.647437196989898,10.647437196989898,11.723573826309696,15.637647195306547,11.143484605850306,11.050673857746036,11.156645775078637,10.833319894795954,10.269725791392698,10.969923827230472,10.969923827230472,10.891607968718528,10.891607968718528,10.973934838434431,10.276627930691385,10.276627930691385,10.24484607371841,10.429392953806953,10.562088214875008,10.50578624906854,12.366432338573693,13.667366732514902
"W kernel support pred, ff2 [pixels]",11.121734950287557,11.745205982069642,11.124061895737087,11.124061895737087,12.560308845070422,17.978305831561798,11.716989266755018,11.580556202254208,11.736300371278814,11.259231200623104,10.41279748117587,11.461482384368678,11.461482384368678,11.34565844234653,11.34565844234653,11.467405315620107,10.423291124464578,10.423291124464578,10.374943428233216,10.654694423356394,10.978502065867207,10.882076394075922,13.478560699774501,15.296552557521409
"W kernel support pred, ff3 [pixels]",11.897293486305255,12.906211536034668,11.90111043614483,11.90111043614483,14.369059269011004,22.632104681246414,12.988494591151568,12.760855235761635,13.020608728237713,11.821341617230518,10.74745333182197,12.561063008257147,12.561063008257147,12.365675157322913,12.365675157322913,12.571026421074821,10.766168644459503,10.766168644459503,10.679829425340648,11.175604044463137,11.661524752225105,11.501863276914387,15.83044797947842,18.63410470184213
"W kernel support pred, ff4 [pixels]",13.182092765959537,14.773493439362523,13.188214692013453,13.188214692013453,18.17414539245272,31.53114499956872,15.763867432702986,15.356162809709721,15.821114776128221,14.371199842423302,11.552549415914296,14.995423140328203,14.995423140328203,14.639803753281251,14.639803753281251,15.013480479340823,11.590124547589797,11.590124547589797,11.416311152775272,12.399192443915766,12.80222668678436,12.542961051735652,20.638954749372953,25.212190982490256
"W kernel support pred, ff5 [pixels]",15.171348603646928,17.57240797873824,15.180744363025594,15.180744363025594,21.98010172762676,39.888092813841155,18.62534287488297,18.04949120736147,18.70597161009723,16.645055075852653,12.472188533284706,17.537432043021322,17.537432043021322,17.03008522222802,17.03008522222802,17.56312408825524,12.529978059354013,12.529978059354013,12.26199093704486,13.757101114011563,14.585441171828306,14.182040023951494,25.348563879008374,31.500727067400238
"W kernel support pred, ff6 [pixels]",22.460718640303792,21.67774326821539,22.460718640303792,22.460718640303792,29.325447844474482,43.89830696448433,24.275905681597447,23.396328273739744,24.398699489362976,21.2292828260478,14.486082565356888,22.610080393248133,22.610080393248133,21.826819816593073,21.826819816593073,22.64962846320015,14.584476739185757,14.584476739185757,14.126396614864843,16.631116406167166,21.29706851448629,16.703360957485845,34.308940991304276,43.28738608414085
"W kernel support pred, ff7 [pixels]",46.19449772013973,30.468025270349724,46.19449772013973,46.19449772013973,36.29242342693393,69.77977848226438,29.716605070047525,28.563464272901143,29.877367419765196,25.708511685185346,16.59690582240413,27.53010562245251,27.53010562245251,26.49795497906918,26.49795497906918,27.582145968835544,16.734120390257647,16.734120390257647,16.09358028042434,19.550371107378787,43.3178709452446,22.363293766544942,42.733785903428966,54.27516426716656
"W kernel support pred, ff8 [pixels]",,,,,41.30433666288853,80.0358555047303,33.65679852545832,32.31187748374704,33.844185018203966,28.97494663598059,18.196582810464626,31.105345570725003,31.105345570725003,29.898820779762733,29.898820779762733,31.166139181198968,18.361480703614674,18.361480703614674,17.59058725514952,21.722507037112393,,,55.76137048593685,62.12432260898856
"W kernel support pred, ff9 [pixels]",,,,,48.65976417097235,93.16687056531458,38.74369786205025,37.15601976205577,38.964795143359424,33.209525641021074,20.32383963333465,38.868581109334535,38.868581109334535,39.267796549406384,39.267796549406384,38.868581109334535,20.523907587842345,20.523907587842345,19.5872545906495,24.57477502234682,,,75.22570590714359,72.18139129506855
