,01c [bldta],01s [bldta],02A [bldta],02B [bldta],13c [bldta],13s [Bmax=40000] [bldta],14c [bldta],14s [bldta],15c [bldta],15s [Bmax=13000] [bldta],22 [bldta],27 [bldta],33 [bldta],37a [bldta],37b [bldta],37c [bldta],38a [bldta],38b [bldta],max_Band5_MID_continuum [bldta],max_Band5_MID_spectral [bldta],max_LOW_continuum [bldta],max_LOW_spectral [bldta],max_MID_continuum [bldta],max_MID_spectral [bldta]
Delta W earth5 [lambda],5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,69.08170810613544,69.08170810613544,106.77519174299415,107.96158276236076,113.56997667209377,113.71416932259497,873.6152051699522,96.09767256869475,96.09767256869475,100.84323664616115,100.84323664616115,96.09767256869475,685.1408136842125,685.1408136842125,835.3945399437669,835.3945399437669,5.93082802536461,5.93082802536461,42.04273174880395,42.04273174880395
Delta W earth6 [lambda],11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,170.58952409882426,90.22916977127895,263.6693510388223,266.59901049480925,280.4483097412928,280.80437730681615,2157.294690317637,237.3024159349401,237.3024159349401,249.02105375888772,249.02105375888772,237.3024159349401,1691.8783358324433,1691.8783358324433,2062.9130476162404,2062.9130476162404,12.635699922871826,12.635699922871826,103.81980697153628,103.81980697153628
Delta W earth7 [lambda],33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,317.21192497715253,317.21192497715253,490.29424779946294,495.74196166390146,521.4947908412469,522.1568999506912,4011.4983910865153,441.2648230195167,441.2648230195167,463.0556784772706,463.0556784772706,441.2648230195167,3146.0547567132207,3146.0547567132207,3835.99533647648,3835.99533647648,36.608637169026565,36.608637169026565,193.05336007103855,193.05336007103855
Delta W earth8 [lambda],,,,,456.78517196709964,456.78517196709964,706.0237168312267,713.8684247960181,750.9524988113956,751.9059359289954,5776.557683164582,635.421345148104,635.421345148104,666.8001770072697,666.8001770072697,635.421345148104,4530.318849667038,4530.318849667038,5523.833284526131,5523.833284526131,,,277.99683850229553,277.99683850229553
Delta W earth9 [lambda],,,,,682.358096395297,682.358096395297,1054.6774041552892,1066.396041979237,1121.7932389651712,1123.2175092272646,8629.178761270548,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,949.2096637397603,6767.513343329773,6767.513343329773,8251.652190464962,8251.652190464962,,,415.2792278861451,415.2792278861451
Delta W earth10 [lambda],,,,,953.0456057091338,953.0456057091338,1473.0618289441643,1489.4291825990995,1566.8021271497018,1568.7913971851879,12052.324054997707,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1325.7556460497478,9452.146735725055,9452.146735725055,11525.034877591559,11525.034877591559,,,580.0180951467647,580.0180951467647
Delta W earth11 [lambda],,,,,1268.8476999086101,1268.8476999086101,1961.1769911978517,1982.9678466556059,2085.9791633649875,2088.627599802765,16045.993564346061,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1765.0592920780668,12584.219026852883,12584.219026852883,15343.98134590592,15343.98134590592,,,772.2134402841542,772.2134402841542
Delta W snapshot0 [lambda],2.050083685031217,4.371551981443327,2.0500835203983474,2.0500835203983474,112.73556159689798,279.7540995507904,230.6742270983938,328.1257928650368,252.48071443014868,144.03019829463085,6811.877589072842,161.55918482182116,161.55918482182116,210.47312235202733,210.47312235202733,192.71120236431236,4700.148785396616,4700.148785396616,6479.538389561039,10773.111019473241,2.297396541352986,4.3590762654326625,44.33932663898352,79.33047839811896
Delta W snapshot1 [lambda],2.9705294211676816,6.334289605764821,2.9705291826180136,2.9705291826180136,169.10334239534697,419.63114932618555,346.01134064759066,492.18868929755513,378.72107164522305,216.0452974419463,10217.816383609263,242.33877723273173,242.33877723273173,315.709683528041,315.709683528041,289.0668035464685,7050.223178094925,7050.223178094925,9719.307584341559,16159.66652920986,3.3288807027767757,6.316212547871817,66.50898995847528,118.99571759717844
Delta W snapshot2 [lambda],4.351198025372379,9.27839604224706,4.351197675947513,4.351197675947513,225.47112319379596,559.5081991015808,461.3484541967876,656.2515857300735,504.96142886029736,288.0603965892617,13623.755178145684,323.1183696436423,323.1183696436423,420.94624470405466,420.94624470405466,385.4224047286247,9400.297570793233,9400.297570793233,12959.076779122079,21546.222038946482,4.87610694491246,9.25191697153055,88.67865327796704,158.6609567962379
Delta W snapshot3 [lambda],6.317604825300281,13.47151733057025,6.317604317962254,6.317604317962254,338.20668479069394,839.2622986523711,692.0226812951813,984.3773785951103,757.4421432904461,374.47851556604024,20435.632767218525,484.67755446546346,484.67755446546346,631.419367056082,631.419367056082,578.133607092937,14100.44635618985,14100.44635618985,19438.615168683118,32319.33305841972,7.079732198863283,13.43307175674147,133.01797991695057,237.99143519435688
Delta W snapshot4 [lambda],9.246295803916304,19.716591589775003,9.246295061388466,9.246295061388466,563.67780798449,1398.7704977539518,1153.371135491969,1640.628964325184,1262.4035721507435,720.1509914731544,34059.387945364215,807.7959241091057,807.7959241091057,1052.3656117601367,1052.3656117601367,963.5560118215617,23500.743926983083,23500.743926983083,32397.691947805197,53865.5550973662,10.361727257938977,19.660323564502416,221.69663319491758,396.65239199059477
Delta W snapshot5 [lambda],13.47197850163371,28.727341592341862,13.471977419760568,13.471977419760568,789.1489311782859,1958.2786968555326,1614.7195896887565,2296.8805500552576,1767.3650010110407,1008.2113880624161,47683.14312350989,1130.914293752748,1130.914293752748,1473.3118564641914,1473.3118564641914,1348.9784165501865,32901.041497776314,32901.041497776314,45356.76872692727,75411.77713631268,15.097177271748194,28.645358315700353,310.3752864728846,555.3133487868326
Delta W snapshot6 [lambda],19.66406799927902,41.93121288323191,19.664066420147414,19.664066420147414,1240.0911775658778,2238.032796406323,2537.4164980823316,3609.3837215154044,2777.2878587316354,1584.3321812409395,74930.65347980126,1777.1510330400326,1777.1510330400326,2315.2043458723006,2315.2043458723006,2119.823226007436,51701.63663936278,51701.63663936278,71274.92228517143,118504.22121420564,22.036252539508233,41.811547852109214,487.7325930288187,872.6352623793085
