,01c [bldta],01s [bldta],02A [bldta],02B [bldta],13c [bldta],13s [Bmax=40000] [bldta],14c [bldta],14s [bldta],15c [bldta],15s [Bmax=13000] [bldta],22 [bldta],27 [bldta],33 [bldta],37a [bldta],37b [bldta],37c [bldta],38a [bldta],38b [bldta],max_Band5_MID_continuum [bldta],max_Band5_MID_spectral [bldta],max_LOW_continuum [bldta],max_LOW_spectral [bldta],max_MID_continuum [bldta],max_MID_spectral [bldta]
Combined Samples4,3.0,2.0,3.0,3.0,4.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
Combined Samples5,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
Combined Samples6,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
Combined Samples7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples8,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples9,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples11,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Channels predict (no-smear),23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,8377.351095988965,21488.724594920375,66.72140768035355,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,56572.54569243951,32975.4265816828,35606.9827446091,135602.13352237805,137288.40894903094
Channels backward (no-smear)0,1439.0220074055394,1553.8091629762937,1439.0220074055394,1439.0220074055394,725.4235790959281,734.4434476774929,894.8544371933378,279.28085374879674,716.3789380602059,25.664246596024633,716.3789380602059,1609.4960173883849,1609.4960173883849,2173.274168099727,2173.274168099727,1609.4960173883849,1815.142702990266,1815.142702990266,1862.8129543000314,1885.9751150023908,2020.6580841292684,2181.8409106014506,4520.602091119545,4576.81127226378
Channels backward (no-smear)1,2084.8023964370545,2251.1266360271425,2084.8023964370545,2084.8023964370545,1088.0892646396737,1101.6190674725092,1342.225873765601,418.90275499589205,1074.522829922399,38.494609457539404,1074.522829922399,2414.1426668997783,2414.1426668997783,3259.7786040836563,3259.7786040836563,2414.1426668997783,2722.601066020032,2722.601066020032,2794.103783547841,2828.8470245059593,2927.4556074956,3161.0062248568347,6780.628502141226,6864.942273636082
Channels backward (no-smear)2,3053.4729526440356,3297.102820280685,3053.4729526440356,3053.4729526440356,1450.7549495332357,1468.7946866230889,1789.5973095663412,558.5246559695574,1432.6667211420954,51.32497229224026,1432.6667211420954,3218.789314993408,3218.789314993408,4346.283038268417,4346.283038268417,3218.789314993408,3630.0594274868595,3630.0594274868595,3725.394611200172,3771.7189324319356,4287.651854180768,4629.754160708587,9040.654909467647,9153.073271346264
Channels backward (no-smear)3,4433.094635524015,4786.8264596173585,4433.094635524015,4433.094635524015,2176.0863186701217,2203.1459242849523,2684.3401803962356,837.7684576434344,2148.954502933313,66.72140768035355,2148.954502933313,4828.082609751441,4828.082609751441,6519.291904838624,6519.291904838624,4828.082609751441,5444.976148857445,5444.976148857445,5587.976264909225,5657.462746707873,6224.9010282119,6721.607257574179,13560.707720387763,13729.335263104213
Channels backward (no-smear)4,6487.850320557811,7005.563782880562,6487.850320557811,6487.850320557811,3626.749056159887,3671.8483988277135,4473.825921121464,1396.2560606678828,3581.5300657480143,128.3071491877274,3581.5300657480143,8046.669197569351,8046.669197569351,10865.309635809857,10865.309635809857,8046.669197569351,9074.809589730918,9074.809589730918,9313.139570420815,9428.950373368421,9110.165737425465,9837.133129807215,22600.813337856664,22881.859242246133
Channels backward (no-smear)5,9452.569228770244,10206.884769757768,9452.569228770244,9452.569228770244,5077.411793360802,5140.550873089399,6263.311661512502,1954.7436635588253,5014.1056282530935,179.6286004280895,5014.1056282530935,11265.255784762805,11265.255784762805,15211.32736593673,15211.32736593673,11265.255784762805,12704.643029896244,12704.643029896244,13038.302875221221,13200.437999296486,13273.19051986579,14332.391876912034,31640.918953477543,32034.383219760202
Channels backward (no-smear)6,13796.909801136626,14897.929378619174,13796.909801136626,13796.909801136626,7978.737267513338,5874.902110160061,9842.283141929025,3071.718869253034,7879.256753068427,282.2715028998748,7879.256753068427,17702.428958559485,17702.428958559485,23903.362825622116,23903.362825622116,17702.428958559485,19964.30990966161,19964.30990966161,20488.629484136913,20743.413250674002,19373.464450029325,20919.503696560292,49721.13018345202,50339.43117338024
Channels backward (no-smear)7,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,10880.062741524669,11015.360769551247,13421.254622226623,4188.694074905575,10744.407877796613,384.9144053664507,10744.407877796613,24139.6021320338,24139.6021320338,32595.398284789022,32595.398284789022,24139.6021320338,27223.97678919299,27223.97678919299,27938.956092972145,28286.38850162736,32975.42658168279,35606.98274460911,67801.34141314862,68644.47912648872
Channels backward (no-smear)8,,,,,13056.056846918604,13218.414480651934,16105.483232473196,5026.425479104304,12893.271221261048,461.89658221317296,12893.271221261048,28967.482012137847,28967.482012137847,39114.42487939907,39114.42487939907,28967.482012137847,32668.72694857374,32668.72694857374,33526.70104926861,33943.619939647484,,,81361.49983509339,82373.26509018058
Channels backward (no-smear)9,,,,,15957.382321039995,16155.819428625153,19684.45471290756,6143.40068474348,15758.422345734596,564.5394846753744,15758.422345734596,35404.655186069,35404.655186069,47806.46033859111,47806.46033859111,35404.655186069,39928.39382804045,39928.39382804045,40977.02765781857,41486.595190876724,,,99441.71106479329,100678.31304361316
Channels backward (no-smear)10,,,,,18858.707794847738,19093.224376601953,23263.42619301842,7260.375890433637,18623.573470428568,667.1823871407294,18623.573470428568,41841.828358901505,41841.828358901505,56498.49579826335,56498.49579826335,41841.828358901505,47188.060706940756,47188.060706940756,48427.354265992435,49029.57044203559,,,117521.9222944075,118983.36099533516
Channels backward (no-smear)11,,,,,21760.033268635525,22030.62932496891,26842.397673499825,8377.351095988965,21488.72459492037,769.825289607694,21488.72459492037,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,56572.54569243952,,,135602.13352237805,137288.40894903094
Channels predict fft,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,601.5397173479173,500.0,598.0817738674373
Channels predict gcf1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,625.2285116214101,520.9269673055067,698.32538376579
Channels predict gcf2,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,666.0981071810888,621.2170987287931,801.3806202366064
Channels predict gcf3,500.0,552.4354355702534,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,731.2410178463507,813.3131493074534,1006.6613139591084
Channels predict gcf4,500.0,644.1345803250591,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,556.239097370421,836.1049566931399,1168.81373962431,1399.8983350111612
Channels predict gcf5,514.4881264598317,779.1974405586404,514.4881003229241,514.4881003229241,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,623.0160870364388,623.0160870364388,500.0,500.0,500.0,500.0,500.0,693.4947664170222,993.4312621692948,1497.0367087868306,1769.548001330282
Channels predict gcf6,660.2068452520987,974.3775574721682,660.2068090470026,660.2068090470026,500.0,500.0,500.0,500.0,500.0,500.0,500.0,560.6628244645946,560.6628244645946,871.7911286896511,871.7911286896511,639.5425455476206,500.0,500.0,500.0,500.0,886.9284930707629,1224.3760082956128,2101.202019100651,2455.9032887393173
Channels predict gcf7,961.2805573547828,1386.9331489938331,961.2805561418319,961.2805561418319,500.0,592.9430839397461,500.0,500.0,500.0,500.0,500.0,707.1997770161333,707.1997770161333,1101.8632004526555,1101.8632004526555,807.9700248883947,529.3944794775961,529.3944794775961,514.7052229023438,584.7178129401852,1287.708186218495,1719.2268308171942,2659.5925026645286,3092.593977930822
Channels predict gcf8,,,,,500.0,680.5777590661949,506.64694890194335,500.0,500.0,500.0,500.0,811.6518915561437,811.6518915561437,1265.812225416236,1265.812225416236,927.9952326721208,605.657195546254,605.657195546254,588.5162819318682,662.8820935608431,,,3057.5138207078453,3546.6387907570424
Channels predict gcf9,,,,,533.5098224917842,792.7661394325003,590.5134846767872,500.0,500.0,500.0,500.0,945.3702874684552,945.3702874684552,1475.707411233085,1475.707411233085,1081.6522196188826,703.3938345944916,703.3938345944916,683.1404518287977,763.7112843786211,,,3567.0611235327706,4127.974999315854
Channels predict gcf10,,,,,606.6130296289141,900.6926449078114,671.2040030518443,500.0,518.1812350105449,500.0,500.0,1074.0079111363618,1074.0079111363618,1677.6695095490625,1677.6695095490625,1229.4919442973653,797.4584430813743,797.4584430813743,774.2266959911923,861.1884767644302,,,4057.507915079169,4687.210241465729
Channels predict gcf11,,,,,677.3968545571398,1005.1582174720171,749.3207777023989,500.0,578.3860265929378,500.0,500.0,1198.5186332506983,1198.5186332506983,1873.2080179582972,1873.2080179582972,1372.6181719608212,888.5046608817061,888.5046608817061,862.3980346771622,955.7904685994705,,,4532.522074590065,5228.444087405094
Channels predict,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels backward gcf0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,601.5397173479173,500.0,598.0817738674373
Channels backward gcf1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,625.2285116214101,520.9269673055067,698.32538376579
Channels backward gcf2,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,666.0981071810888,621.2170987287931,801.3806202366064
Channels backward gcf3,500.0,552.4354355702534,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,731.2410178463507,813.3131493074534,1006.6613139591084
Channels backward gcf4,500.0,644.1345803250591,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,556.239097370421,836.1049566931399,1168.81373962431,1399.8983350111612
Channels backward gcf5,514.4881264598317,779.1974405586404,514.4881003229241,514.4881003229241,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,623.0160870364388,623.0160870364388,500.0,500.0,500.0,500.0,500.0,693.4947664170222,993.4312621692948,1497.0367087868306,1769.548001330282
Channels backward gcf6,660.2068452520987,974.3775574721682,660.2068090470026,660.2068090470026,500.0,500.0,500.0,500.0,500.0,500.0,500.0,560.6628244645946,560.6628244645946,871.7911286896511,871.7911286896511,639.5425455476206,500.0,500.0,500.0,500.0,886.9284930707629,1224.3760082956128,2101.202019100651,2455.9032887393173
Channels backward gcf7,961.2805573547828,1386.9331489938331,961.2805561418319,961.2805561418319,500.0,592.9430839397461,500.0,500.0,500.0,500.0,500.0,707.1997770161333,707.1997770161333,1101.8632004526555,1101.8632004526555,807.9700248883947,529.3944794775961,529.3944794775961,514.7052229023438,584.7178129401852,1287.708186218495,1719.2268308171942,2659.5925026645286,3092.593977930822
Channels backward gcf8,,,,,500.0,680.5777590661949,506.64694890194335,500.0,500.0,500.0,500.0,811.6518915561437,811.6518915561437,1265.812225416236,1265.812225416236,927.9952326721208,605.657195546254,605.657195546254,588.5162819318682,662.8820935608431,,,3057.5138207078453,3546.6387907570424
Channels backward gcf9,,,,,533.5098224917842,792.7661394325003,590.5134846767872,500.0,500.0,500.0,500.0,945.3702874684552,945.3702874684552,1475.707411233085,1475.707411233085,1081.6522196188826,703.3938345944916,703.3938345944916,683.1404518287977,763.7112843786211,,,3567.0611235327706,4127.974999315854
Channels backward gcf10,,,,,606.6130296289141,900.6926449078114,671.2040030518443,500.0,518.1812350105449,500.0,500.0,1074.0079111363618,1074.0079111363618,1677.6695095490625,1677.6695095490625,1229.4919442973653,797.4584430813743,797.4584430813743,774.2266959911923,861.1884767644302,,,4057.507915079169,4687.210241465729
Channels backward gcf11,,,,,677.3968545571398,1005.1582174720171,749.3207777023989,500.0,578.3860265929378,500.0,500.0,1198.5186332506983,1198.5186332506983,1873.2080179582972,1873.2080179582972,1372.6181719608212,888.5046608817061,888.5046608817061,862.3980346771622,955.7904685994705,,,4532.522074590065,5228.444087405094
Channels backward0,1439.0220074055394,1553.8091629762937,1500.0,1500.0,725.4235790959281,3200.0,894.8544371933378,5000.0,716.3789380602059,2500.0,5000.0,1609.4960173883849,1609.4960173883849,2173.274168099727,2173.274168099727,1609.4960173883849,1815.142702990266,1815.142702990266,1862.8129543000314,65536.0,2020.6580841292684,65536.0,4520.602091119545,65536.0
Channels backward1,2084.8023964370545,2251.1266360271425,2084.8023964370545,2084.8023964370545,1088.0892646396737,3200.0,1342.225873765601,5000.0,1074.522829922399,2500.0,5000.0,2414.1426668997783,2414.1426668997783,3259.7786040836563,3259.7786040836563,2414.1426668997783,2722.601066020032,2722.601066020032,2794.103783547841,65536.0,2927.4556074956,65536.0,6780.628502141226,65536.0
Channels backward2,3053.4729526440356,3297.102820280685,3053.4729526440356,3053.4729526440356,1450.7549495332357,3200.0,1789.5973095663412,5000.0,1432.6667211420954,2500.0,5000.0,3218.789314993408,3218.789314993408,4346.283038268417,4346.283038268417,3218.789314993408,3630.0594274868595,3630.0594274868595,3725.394611200172,65536.0,4287.651854180768,65536.0,9040.654909467647,65536.0
Channels backward3,4433.094635524015,4786.8264596173585,4433.094635524015,4433.094635524015,2176.0863186701217,3200.0,2684.3401803962356,5000.0,2148.954502933313,2500.0,5000.0,4828.082609751441,4828.082609751441,6519.291904838624,6519.291904838624,4828.082609751441,5444.976148857445,5444.976148857445,5587.976264909225,65536.0,6224.9010282119,65536.0,13560.707720387763,65536.0
Channels backward4,6487.850320557811,7005.563782880562,6487.850320557811,6487.850320557811,3626.749056159887,3671.8483988277135,4473.825921121464,5000.0,3581.5300657480143,2500.0,5000.0,8046.669197569351,8046.669197569351,10865.309635809857,10865.309635809857,8046.669197569351,9074.809589730918,9074.809589730918,9313.139570420815,65536.0,9110.165737425465,65536.0,22600.813337856664,65536.0
Channels backward5,9452.569228770244,10206.884769757768,9452.569228770244,9452.569228770244,5077.411793360802,5140.550873089399,6263.311661512502,5000.0,5014.1056282530935,2500.0,5014.1056282530935,11265.255784762805,11265.255784762805,15211.32736593673,15211.32736593673,11265.255784762805,12704.643029896244,12704.643029896244,13038.302875221221,65536.0,13273.19051986579,65536.0,31640.918953477543,65536.0
Channels backward6,13796.909801136626,14897.929378619174,13796.909801136626,13796.909801136626,7978.737267513338,5874.902110160061,9842.283141929025,5000.0,7879.256753068427,2500.0,7879.256753068427,17702.428958559485,17702.428958559485,23903.362825622116,23903.362825622116,17702.428958559485,19964.30990966161,19964.30990966161,20488.629484136913,65536.0,19373.464450029325,65536.0,49721.13018345202,65536.0
Channels backward7,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,10880.062741524669,11015.360769551247,13421.254622226623,5000.0,10744.407877796613,2500.0,10744.407877796613,24139.6021320338,24139.6021320338,32595.398284789022,32595.398284789022,24139.6021320338,27223.97678919299,27223.97678919299,27938.956092972145,65536.0,32975.42658168279,65536.0,65536.0,65536.0
Channels backward8,,,,,13056.056846918604,13218.414480651934,16105.483232473196,5000.0,12893.271221261048,2500.0,12893.271221261048,28967.482012137847,28967.482012137847,39114.42487939907,39114.42487939907,28967.482012137847,32668.72694857374,32668.72694857374,33526.70104926861,65536.0,,,65536.0,65536.0
Channels backward9,,,,,15957.382321039995,16155.819428625153,19684.45471290756,5000.0,15758.422345734596,2500.0,15758.422345734596,35404.655186069,35404.655186069,47806.46033859111,47806.46033859111,35404.655186069,39928.39382804045,39928.39382804045,40977.02765781857,65536.0,,,65536.0,65536.0
Channels backward10,,,,,18858.707794847738,19093.224376601953,23263.42619301842,5000.0,18623.573470428568,2500.0,18623.573470428568,41841.828358901505,41841.828358901505,56498.49579826335,56498.49579826335,41841.828358901505,47188.060706940756,47188.060706940756,48427.354265992435,65536.0,,,65536.0,65536.0
Channels backward11,,,,,21760.033268635525,22030.62932496891,26842.397673499825,5000.0,21488.72459492037,2500.0,21488.72459492037,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Channels backward fft,500,65536,500,500,500,65536,500,5000,500,2500,500,500,500,500,500,500,500,500,500,65536,500,65536,500,65536
Channels out,500,65536,1500,1500,500,65536,500,5000,500,2500,5000,500,500,700,700,700,1000,1000,500,65536,500,65536,500,65536
Visibilities pred0,1342068434.7032068,1449170261.379078,1342068434.7032068,1342068434.7032068,215262479.15212432,60730198.10454093,265540084.34873638,49462810.211416215,212578541.26478764,25245176.692619033,212578541.26478764,477603017.998407,477603017.998407,644901375.0246507,644901375.0246507,477603017.998407,538627523.213381,538627523.213381,552773424.8362346,648318946.0030745,1884517307.1455562,3745326112.3146496,648318946.0030745,648318946.0030745
Visibilities pred1,202539517.36525932,218702890.0539745,202539517.36525932,202539517.36525932,17720883.230152998,4999444.1827184,21859846.853958793,4071887.899108942,17499935.529068198,2078238.7625403649,17499935.529068198,39317336.4241397,39317336.4241397,53089707.07199143,53089707.07199143,39317336.4241397,44341008.61890336,44341008.61890336,45505530.51715144,53371049.07120073,284403698.0425281,565229405.2586584,53371049.07120073,53371049.07120073
Visibilities pred2,151434456.9710891,163519464.37002924,151434456.9710891,151434456.9710891,9939656.108639443,2804191.8263985896,12261203.772629244,2283924.8419179274,9815726.384694278,1165685.611885682,9815726.384694278,22053122.18855235,22053122.18855235,29778054.758924242,29778054.758924242,22053122.18855235,24870903.524277207,24870903.524277207,25524084.691899285,29935859.687986653,212642550.61875242,422609914.16837627,29935859.687986653,29935859.687986653
Visibilities pred3,234249610.49715713,252943561.21801224,234249610.49715713,234249610.49715713,19083828.761555877,5742891.281241906,26904145.880749,4385064.242770006,18845887.568783544,1253324.7472326572,18845887.568783544,42341304.65924229,42341304.65924229,65340495.44690289,65340495.44690289,42341304.65924229,54572979.04932402,54572979.04932402,56006221.79988423,65686758.906097166,328930651.93923765,653723133.8643019,65686758.906097166,65686758.906097166
Visibilities pred4,189338280.84555808,204448147.98337874,189338280.84555808,189338280.84555808,53559095.8373816,16117523.813424826,66068582.32943479,9845406.97639109,52891309.76014397,2931231.3360139374,52891309.76014397,118831604.62498526,118831604.62498526,160456827.80692613,160456827.80692613,118831604.62498526,134015009.25783736,134015009.25783736,137534627.27816668,161307147.90119162,265866671.12660885,528388559.75958896,161307147.90119162,161307147.90119162
Visibilities pred5,270562052.6222723,292153865.16752964,270562052.6222723,270562052.6222723,37571692.79180548,8479829.296240013,46347094.5440999,8633188.269514406,37103241.01993846,1542193.5555934503,37103241.01993846,83360341.93861605,83360341.93861605,112560425.94546138,112560425.94546138,83360341.93861605,94011496.62075014,94011496.62075014,96480507.81178708,113156925.28617923,379920172.2051206,755060691.7535795,113156925.28617923,113156925.28617923
Visibilities pred6,207928515.08921194,224521948.93223414,207928515.08921194,207928515.08921194,86052132.1785943,3236955.5252472498,106150828.17542218,19772978.082397547,84979216.08680753,2354770.020190098,84979216.08680753,190923927.82789752,190923927.82789752,257802189.14305305,257802189.14305305,190923927.82789752,215318744.84187993,215318744.84187993,220973631.84787288,259168378.32160112,291970867.6564998,580268544.376171,259168378.32160112,259168378.32160112
Visibilities pred7,18517898.798805382,19995692.878650185,18517898.798805382,18517898.798805382,164486279.9438615,12374702.618329613,202904383.6275627,37795502.863717765,162435430.39299104,2250539.010123154,162435430.39299104,364945828.13478595,364945828.13478595,492781782.1587097,492781782.1587097,364945828.13478595,411575848.78567845,411575848.78567845,422385009.5068586,495393215.13532144,26002623.916891437,51678117.2427348,495393215.13532144,495393215.13532144
Visibilities pred8,,,,,52082139.49342821,3918265.937909834,64246661.88283607,11967385.079437898,51432768.418680064,712599.7785386126,51432768.418680064,115554680.5177165,115554680.5177165,156032038.21601093,156032038.21601093,115554680.5177165,130319384.54622325,130319384.54622325,133741944.8757506,156858909.71320844,,,156858909.71320844,156858909.71320844
Visibilities pred9,,,,,45552438.567719236,3427020.667058929,56191856.691451795,10466996.535657328,44984481.17814519,623258.912766946,44984481.17814519,101067228.35685153,101067228.35685153,136469812.96395686,136469812.96395686,101067228.35685153,113980835.2050106,113980835.2050106,116974298.428133,137193016.9921677,,,137193016.9921677,137193016.9921677
Visibilities pred10,,,,,3264850.552875744,245622.64219797074,4027402.7067391425,750194.2925752864,3224143.70916629,44670.43411752481,3224143.70916629,7243726.280162723,7243726.280162723,9781112.895720268,9781112.895720268,7243726.280162723,8169274.895856583,8169274.895856583,8383823.454974779,9832946.631642792,,,9832946.631642792,9832946.631642792
Visibilities pred11,,,,,1399221.661660122,105266.84636602242,1726029.7267004752,321511.8387886227,1381775.8715470303,19144.471711866714,1381775.8715470303,3104454.1115098707,3104454.1115098707,4191905.515178976,4191905.515178976,3104454.1115098707,3501117.8028563815,3501117.8028563815,3593067.185082078,4214119.973370235,,,4214119.973370235,4214119.973370235
Visibilities bw0,9868664.61278945,10655863.095060209,10286845.401254835,10286845.401254835,2562963.4868362974,12601572.250131302,3299032.1883531227,16958677.78677127,2531008.246623418,9376779.914401352,17665289.361220077,5686442.574579423,5686442.574579423,8012142.686764489,8012142.686764489,5686442.574579423,6691830.48630891,6691830.48630891,6867574.92804298,241609545.09431347,13857464.880155714,449439133.47775793,16665963.970761038,241609545.09431347
Visibilities bw1,2663826.539487355,2876344.9653762165,2663826.539487355,2663826.539487355,474704.73319678224,1556083.9346491566,624616.3763722373,2181368.51737979,468786.05447971204,1543834.5093156993,2181368.51737979,1053226.9620076923,1053226.9620076923,1516966.0630562834,1516966.0630562834,1053226.9620076923,1266985.866837494,1266985.866837494,1300260.2725809102,30497742.326400414,3740514.6663996098,83737689.6679494,3155423.902425377,30497742.326400414
Visibilities bw2,4375637.283095819,4724759.724538613,4375637.283095819,4375637.283095819,473345.03839633503,1163744.7927556564,636982.7146516447,1631374.8870842336,467443.302086505,865937.8831150777,1631374.8870842336,1050210.4110590615,1050210.4110590615,1547000.0728999109,1547000.0728999109,1050210.4110590615,1292070.0629728218,1292070.0629728218,1326003.3192416495,23326643.912716873,6144219.90993657,93913314.25963916,3217897.610640066,23326643.912716873
Visibilities bw3,14740074.248513713,15916235.323311467,14740074.248513713,14740074.248513713,1908455.6610362737,3128095.0312674087,2690515.232111159,4385064.242770006,1884660.7100304929,931041.2408014024,4385064.242770006,4234290.482632148,4234290.482632148,6534288.873162928,6534288.873162928,4234290.482632148,5457501.762992072,5457501.762992072,5600830.8362745,65686758.906097166,20697844.483224478,217907711.28810063,13591902.750017723,65686758.906097166
Visibilities bw4,23248330.93814649,37655230.28096718,23248330.93814649,23248330.93814649,8926705.114784088,10073547.251969296,11011659.233742138,9845406.97639109,8815405.273867484,2177486.1353246393,12306758.720488863,19805683.263615146,19805683.263615146,26743348.822262928,26743348.822262928,19805683.263615146,22336298.411039386,22336298.411039386,22922912.324681252,161307147.90119162,32645042.271385323,352259039.839726,55628551.3271617,161307147.90119162
Visibilities bw5,72603998.42044942,78397801.46181615,72603998.42044942,72603998.42044942,8766850.386787316,7419867.271839196,10814469.752896504,8633188.269514406,8657543.578388155,1145629.4984408487,8657543.578388155,19451014.81881871,19451014.81881871,26264450.59586969,26264450.59586969,19451014.81881871,21936315.034813646,21936315.034813646,22512424.687347163,113156925.28617923,101949711.26003943,503373794.50238633,54632402.06916367,113156925.28617923
Visibilities bw6,122160534.1674023,131909176.55563876,122160534.1674023,122160534.1674023,31552679.423149947,3236955.52524725,38922249.76922269,19772978.082397547,31159274.216800973,1749257.7292840728,31159274.216800973,70005947.96055926,70005947.96055926,94528133.84932448,94528133.84932448,70005947.96055926,78950772.45478623,78950772.45478623,81024244.34564066,259168378.32160112,171536438.23153704,580268544.376171,196626963.4698864,259168378.32160112
Visibilities bw7,18517898.798805382,19995692.878650185,18517898.798805382,18517898.798805382,82243488.50094491,23202397.4528994,101452613.50181031,37795502.863717765,81218059.74284272,1671828.9789486285,81218059.74284272,182473680.3020582,182473680.3020582,246391893.84335288,246391893.84335288,182473680.3020582,205788778.53954592,205788778.53954592,211193379.0042427,495393215.13532144,26002623.91689143,51678117.2427348,495393215.13532144,495393215.13532144
Visibilities bw8,,,,,31249371.981221344,8816021.482833097,38548103.9466874,11967385.0794379,30859748.327693105,529359.8354858264,30859748.327693105,69333002.40418884,69333002.40418884,93619476.938503,93619476.938503,69333002.40418884,78191847.08971845,78191847.08971845,80245388.37995842,156858909.71320844,,,156858909.71320844,156858909.71320844
Visibilities bw9,,,,,33405173.09449702,9424212.699547794,41207423.8572614,10466996.535657326,32988670.420045804,462992.3351983027,32988670.420045804,74116080.63574529,74116080.63574529,100078010.9492145,100078010.9492145,74116080.63574529,83586071.97449215,83586071.97449215,85781281.3071843,137193016.9921677,,,137193016.9921677,137193016.9921677
Visibilities bw10,,,,,2829538.990607967,798264.9125930549,3490417.9111497677,750194.2925752862,2794259.704974406,33183.75105873271,2794259.704974406,6277900.165152533,6277900.165152533,8476969.817389192,8476969.817389192,6277900.165152533,7080042.764008617,7080042.764008617,7265984.954973794,9832946.631642792,,,9832946.631642792,9832946.631642792
Visibilities bw11,,,,,1399221.6616601222,394746.13006532413,1726029.7267004754,321511.8387886227,1381775.87154703,14221.6075573867,1381775.87154703,3104454.111509871,3104454.111509871,4191905.515178976,4191905.515178976,3104454.111509871,3501117.8028563815,3501117.8028563815,3593067.185082078,4214119.973370235,,,4214119.973370235,4214119.973370235
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,
