Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Combined Samples10,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples11,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Channels total, no-smear",14885.274922420835,40188.588316266854,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,28930.85590535007,28930.85590535007,26037.867607994198,75334.76275845506,203402.925631113,203402.925631113,75334.76275845506,75334.76275845506,75334.76275845506,137288.40894903094,137288.40894903094,87801.4649224931,41089.773967896894,110941.86276421191,110941.86276421191,41089.773967896894,41089.773967896894,41089.773967896894,74881.08867071281,74881.08867071281,47889.47474523953,28917.73488544442,78077.51525821665,78077.51525821665,28917.73488544442,28917.73488544442,28917.73488544442,52699.03674708295,52699.03674708295,33703.15794909126,13202.3088507373,35646.06401075511,35646.06401075511,13202.3088507373,13202.3088507373,13202.3088507373,24059.593246900746,24059.593246900746,15387.079872106855,49712.75860750633,134223.822889994,134223.822889994,49712.75860750633,49712.75860750633,49712.75860750633,90595.4296673419,90595.4296673419,57939.42669078791
"Channels predict, no-smear0",931.2414905129898,754.4903250191439,754.4903250191439,559.1337152950158,559.1337152950158,559.1337152950158,1809.0904657256951,1809.0904657256951,1628.2786778496668,2511.6897145573553,1017.5610889260679,1017.5610889260679,1005.0053854489457,1005.0053854489457,1005.0053854489457,686.9884579530388,4576.81127226378,2927.246459022404,1369.9587468457216,739.9202789596652,739.9202789596652,1369.9587468457216,1369.9587468457216,1369.9587468457216,499.5150974925527,2496.3359141432534,1596.6154427183094,964.1342651844309,780.9899815429653,780.9899815429653,964.1342651844309,964.1342651844309,964.1342651844309,527.205186738708,1756.8443345598678,1123.6483696216517,440.17355597011345,356.5595643828025,356.5595643828025,440.17355597011345,440.17355597011345,440.17355597011345,802.0830392517163,802.0830392517163,512.9992577598294,1657.447518022577,1342.6023701914512,1342.6023701914512,1657.447518022577,1657.447518022577,1657.447518022577,906.3184217645625,3020.203232244655,1931.6697913193286
"Channels predict, no-smear1",1861.5105341316757,1508.0083221671596,1508.0083221671596,1117.2953217949262,1117.2953217949262,1117.2953217949262,3617.208237988821,3617.208237988821,3255.584691283069,3767.259952131288,1526.0670626744802,1526.0670626744802,1507.2335084877068,1507.2335084877068,1507.2335084877068,1030.2081558361895,6864.942273636082,4390.595064095621,2054.7831546141115,1109.7254693717287,1109.7254693717287,2054.7831546141115,2054.7831546141115,2054.7831546141115,749.1177145263865,3744.3488967734665,2394.7681956579695,1446.0929017246065,1171.3764794443684,1171.3764794443684,1446.0929017246065,1446.0929017246065,1446.0929017246065,790.6992953004143,2635.15799966488,1685.3640564542193,660.2103737905189,534.7893878870661,534.7893878870661,660.2103737905189,660.2103737905189,660.2103737905189,1203.0745958683376,1203.0745958683376,769.4489255803708,2485.9873730119093,2013.7196565822142,2013.7196565822142,2485.9873730119093,2485.9873730119093,2485.9873730119093,1359.2937474166845,4530.120934113291,2897.3207797379746
"Channels predict, no-smear2",3722.048367432926,3015.044003098017,3015.044003098017,2233.6181120846836,2233.6181120846836,2233.6181120846836,7233.443651746777,7233.443651746777,6510.1965728741225,5022.83018303477,2034.5730199598029,2034.5730199598029,2009.4616148571042,2009.4616148571042,2009.4616148571042,1373.4278293411337,9153.073271346264,5853.943663441757,2739.607558487833,1479.5306525735034,1479.5306525735034,2739.607558487833,2739.607558487833,2739.607558487833,998.7203208819067,4992.361877262363,3192.9209452546934,1928.0515355533043,1561.7629739965976,1561.7629739965976,1928.0515355533043,1928.0515355533043,1928.0515355533043,1054.1933989013614,3513.4716632831455,2247.0797409596876,880.2471903509299,713.0192098358275,713.0192098358275,880.2471903509299,880.2471903509299,880.2471903509299,1604.0661517954907,1604.0661517954907,1025.8985923202388,3314.5272234667896,2684.8369373752475,2684.8369373752475,3314.5272234667896,3314.5272234667896,3314.5272234667896,1812.2690647776237,6040.038633493189,3862.9717642657424
"Channels predict, no-smear3",7443.123906952532,6029.115208099424,6029.115208099424,4466.26348098825,4466.26348098825,4466.26348098825,14465.914413852615,14465.914413852615,13019.420263376436,7533.970638170312,3051.5849180597625,3051.5849180597625,3013.917810920462,3013.917810920462,3013.917810920462,2059.86715195982,13729.335263104213,8780.640856407961,4109.256362339347,2219.14101176475,2219.14101176475,4109.256362339347,4109.256362339347,4109.256362339347,1497.9255229095015,7488.387836098659,4789.226441112072,2891.968800495013,2342.535959751262,2342.535959751262,2891.968800495013,2891.968800495013,2891.968800495013,1581.1816011412773,5270.098989032808,3370.5111076432245,1320.3208222098451,1069.4788521775574,1069.4788521775574,1320.3208222098451,1320.3208222098451,1320.3208222098451,2406.0492629538408,2406.0492629538408,1538.7979247168228,4971.606919841428,4027.071493366913,4027.071493366913,4971.606919841428,4971.606919841428,4971.606919841428,2718.2196912080567,9059.874029764045,5794.273729429907
"Channels predict, no-smear4",14885.274922420835,12057.257539628055,12057.257539628055,8931.554112875032,8931.554112875032,8931.554112875032,28930.855905350065,28930.855905350065,26037.867607994198,12556.251540408359,5085.608694493264,5085.608694493264,5022.83018303477,5022.83018303477,5022.83018303477,3432.745767915875,22881.859242246133,14634.035235477146,6848.5539653768465,3698.3617214896512,3698.3617214896512,6848.5539653768465,6848.5539653768465,6848.5539653768465,2496.3359141432534,12480.43975123657,7981.837428793979,4819.803327119454,3904.0819272403155,3904.0819272403155,4819.803327119454,4819.803327119454,4819.803327119454,2635.15799966488,8783.353638730738,5617.3738382134225,2200.4680844190366,1782.3981349931155,1782.3981349931155,2200.4680844190366,2200.4680844190366,2200.4680844190366,4010.0154844540652,4010.0154844540652,2564.5965882148244,8285.76630714385,6711.540598618702,6711.540598618702,8285.76630714385,8285.76630714385,8285.76630714385,4530.120934113291,15099.544819346385,9656.87765508817
"Channels predict, no-smear5",,,,,,,,,,17578.532439633425,7119.632463393907,7119.632463393907,7031.742547520076,7031.742547520076,7031.742547520076,4805.624372714222,32034.383219760202,20487.429611910986,9587.851566631676,5177.5824279175995,5177.5824279175995,9587.851566631676,9587.851566631676,9587.851566631676,3494.7463004891683,17472.491665383553,11174.448414962055,6747.637852514593,5465.62789320205,5465.62789320205,6747.637852514593,6747.637852514593,6747.637852514593,3689.1343959178184,12296.60828776359,7864.236567728094,3080.6153460537075,2495.317417100678,2495.317417100678,3080.6153460537075,3080.6153460537075,3080.6153460537075,5613.981705611628,5613.981705611628,3590.395251217516,11599.925692369377,9396.009701315503,9396.009701315503,11599.925692369377,11599.925692369377,11599.925692369377,6342.022173233882,21139.215607677965,13519.481578975125
"Channels predict, no-smear6",,,,,,,,,,27623.094235464625,11187.679995031649,11187.679995031649,11049.567270263373,11049.567270263373,11049.567270263373,7551.381573183239,50339.43117338024,32194.218362539585,15066.446767662303,8136.023838057545,8136.023838057545,15066.446767662303,15066.446767662303,15066.446767662303,5491.567069189412,27456.595492975874,17559.670386028447,10603.30690224929,8588.719823841986,8588.719823841986,10603.30690224929,10603.30690224929,10603.30690224929,5797.087186568248,19323.11758529115,12357.962025880577,4840.909868830683,3921.1559807232757,3921.1559807232757,4840.909868830683,4840.909868830683,4840.909868830683,8821.91414772804,8821.91414772804,5641.992576805486,18228.244461150298,14764.947904614515,14764.947904614515,18228.244461150298,18228.244461150298,18228.244461150298,9965.824648362042,33218.55718360824,21244.689425282002
