,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
"Channels backward, no-smear3",4466.26348098825,14465.914413852615,3013.917810920462,2059.86715195982,3104.5340595364714,5657.462746707873,3435.07044070933,2120.6790841007632,3180.6721154882,2060.949145519562,2862.67420802834,2120.6790841007632,3180.6721154882,2060.949145519562,2862.67420802834,2120.6790841007632,3180.6721154882,2060.949145519562,783.4500888644667,1208.9778263156445,1208.9778263156445,528.8250998120863,1073.8030119774014,1491.3496857510963,596.6068115237296,251.35647342651336,859.6364949340269,1193.9041270392163,1193.9041270392163,76.98569793480485,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
"Channels backward, no-smear4",8931.554112875032,28930.855905350065,5022.83018303477,3432.745767915875,5174.069230853,9428.950373368421,6869.447804173029,4240.66513429434,6360.65115931682,4121.205260413133,5724.655352792174,4240.66513429434,6360.65115931682,4121.205260413133,5724.655352792174,4240.66513429434,6360.65115931682,4121.205260413133,1305.6886756205524,2014.9015700148148,2014.9015700148148,881.3136957236542,1789.5973095663412,2485.5084313703824,994.2703121075014,418.90275499589205,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
"Channels backward, no-smear5",,,7031.742547520076,4805.624372714222,7243.604400849842,13200.437999296486,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,1233.802290410372,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
"Channels backward, no-smear6",,,11049.567270263373,7551.381573183239,11382.674739763022,20743.413250674002,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,1410.0465875824484,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
"Channels backward, no-smear7",,,15067.391990198219,10297.138769598103,15521.745078190484,28286.38850162736,,,,,,,,,,,,,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
"Channels backward, no-smear8",,,18080.76052947859,12356.456665854836,18626.047831869946,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
"Channels backward, no-smear9",,,22098.585247986757,15102.21386022389,22765.118170239723,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,15971.493125857936,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
"Channels backward, no-smear10",,,26116.409966266117,17847.97105410027,26904.188508167405,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,18875.359877643317,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
"Channels backward, no-smear11",,,30134.234684264968,20593.728247660394,31043.258846574812,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,21779.22662946886,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies predict ifft,100,100,100,100,100,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,100,20,100,100,20,100,20,100,100,20,100,100,20,100,100,20,100,100,20,100,100,20
Frequencies predict kernels0,293.2846936457032,582.1254774672461,248.57191567763044,456.3054012490108,104.5814283301111,199.9485387093033,209.42609504962317,208.8172664400643,208.85816232102292,407.787495482301,209.09354834086383,208.8172664400643,208.85816232102292,407.787495482301,209.09354834086383,208.8172664400643,208.85816232102292,407.787495482301,42.68262382626356,42.60651314703552,42.30705759730755,81.82933985602664,51.33358939913024,51.133428622534794,50.63066326377246,32.12552723479041,42.14492792818404,41.74342757802182,41.563516647764025,20.0,41.38469864997212,41.26056566085735,41.25575789974026,92.77834107720355,92.4822567575279,92.17114278202443,251.94761608350942,250.0250650047197,120.51296674121413,121.09911214136432,120.78132291443791,120.67729846654701,121.09911214136432,120.78132291443791,120.51296674121413,121.09911214136432,120.78132291443791,102.29853147699299,102.298320353294,102.19386091269533,102.42347866752165,102.298320353294,102.19386091269533
Frequencies predict kernels1,294.0638323094376,606.6944655822299,249.14538278348053,460.4700934466945,104.74630219687253,207.91398133984265,210.86535794040535,209.14778047468195,209.26339193976966,413.09505543530094,209.92817267841275,209.14778047468195,209.26339193976966,413.09505543530094,209.92817267841275,209.14778047468195,209.26339193976966,413.09505543530094,43.5600476244708,43.422677834891246,42.88040957659016,86.60542665267576,52.14579514441026,51.78261281205767,50.865580179408134,33.475097415430724,42.9721351525484,42.24471756035983,41.917044353163305,20.0,41.59028979091472,41.36283522904686,41.354015627618054,93.84820180970347,93.30892857191914,92.7408619069668,255.30725224226236,251.8056375115592,121.16694948069559,122.23734108126607,121.65749967004518,121.4674432068875,122.23734108126607,121.65749967004518,121.16694948069559,122.23734108126607,121.65749967004518,102.56151567560997,102.56112842651287,102.36945580055807,102.79059501374789,102.56112842651287,102.36945580055807
Frequencies predict kernels2,296.2602947965132,671.6046163457507,249.82336498003454,465.36038045922504,104.94135923993647,216.9889494387364,214.89350026647753,210.08117246829724,210.40712564120616,427.7933363525166,212.2757319040233,210.08117246829724,210.40712564120616,427.7933363525166,212.2757319040233,210.08117246829724,210.40712564120616,427.7933363525166,44.57855477466909,44.37139985698362,43.550642289782324,91.95452991281701,53.093073543728636,52.54214749597271,51.14267393613136,35.00950503859825,43.93324061283254,42.831625763725654,42.332422834930746,20.0,41.832713082244815,41.48372356930575,41.470172610176796,95.10139505959368,94.27980367420172,93.41182906727856,259.235436554778,253.90065688265926,121.9377400018286,123.57349795403763,122.68826998330343,122.39766533389687,123.57349795403763,122.68826998330343,121.9377400018286,123.57349795403763,122.68826998330343,102.87234998521188,102.87175508094231,102.57716912431958,103.22407786213846,102.87175508094231,102.57716912431958
Frequencies predict kernels3,302.4012914936291,828.9579667429508,251.4370864731155,476.8575880172961,105.4062396599055,237.31975293030342,225.93375170163077,212.7044143604154,213.61596519592558,467.0223152137208,218.7971351699883,212.7044143604154,213.61596519592558,467.0223152137208,218.7971351699883,212.7044143604154,213.61596519592558,467.0223152137208,46.92700706594321,46.56394179751612,45.114213690222236,103.65583808275083,55.29444175072374,54.31666584457131,51.79941168849066,38.43685447778481,46.152687989625754,44.20446737783929,43.3100556331855,20.0,42.40693533193022,41.77137054811615,41.74661012798798,98.0351885140428,96.56308736363384,94.997633186918,268.4028389247409,258.8437436840229,123.76196910023856,126.71327338891274,125.11973660236968,124.59475032259941,126.71327338891274,125.11973660236968,123.76196910023856,126.71327338891274,125.11973660236968,103.61183913637349,103.61075251187923,103.0720884030568,104.25345240609511,103.61075251187923,103.0720884030568
Frequencies predict kernels4,339.0278924205873,1166.5051954825826,255.4772868966433,504.82576095331626,106.57396124967788,282.4416704920672,254.70432980595342,220.28117548097615,245.87976264831133,563.8851777539776,236.33470453479393,220.28117548097615,245.87976264831133,563.8851777539776,236.33470453479393,220.28117548097615,245.87976264831133,563.8851777539776,52.41406665651729,51.70966882063196,48.85466751797458,128.68767996282398,60.51869177911281,58.57499745422395,53.42683852712773,46.00670901115244,,,,,43.82787629347229,42.49098628362797,42.438482831495776,105.10594268076777,102.12135419867215,98.90163538024838,278.89143296103697,264.58786867011827,128.2672684132468,134.34266227785668,131.07905352633858,129.9953590573403,134.34266227785668,131.07905352633858,128.2672684132468,134.34266227785668,131.07905352633858,105.46108145664947,105.4587793555898,104.31447299492596,106.81606238843045,105.4587793555898,104.31447299492596
Frequencies predict kernels5,,,260.356231868127,537.2379746246627,107.99131980292684,329.66683891209703,,,,,,,,,,,,,58.466660911853644,57.414628356757156,53.09724182606155,154.06039375293324,,,,,,,,,45.51414088087275,43.3589688317817,43.27355850200855,113.20134796665474,108.56891004920492,103.50068585217846,,,133.5987484800586,143.1713282035098,138.05589809442296,136.3438020438637,143.1713282035098,138.05589809442296,133.5987484800586,143.1713282035098,138.05589809442296,107.69018505703605,107.68644393464731,105.8209487438911,109.88416042365502,107.68644393464731,105.8209487438911
Frequencies predict kernels6,,,271.95320851698364,609.5754975728016,111.39069006260385,424.0895669358611,,,,,,,,,,,,,61.601876555457764,60.37895558917256,55.334061411088946,166.6239716844251,,,,,,,,,49.40955266273662,45.41792650171272,45.256725804205566,126.41023549159091,119.24505149450464,111.25855722819291,,,145.86154240814412,162.8358226856452,153.85002255688704,150.80037334129767,162.8358226856452,153.85002255688704,145.86154240814412,162.8358226856452,153.85002255688704,112.97218044105088,112.96513520340805,109.42761460364713,117.07216586018171,112.96513520340805,109.42761460364713
Frequencies predict kernels7,,,285.3142329003052,686.8669274401967,115.35649275300564,515.7981241371111,,,,,,,,,,,,,,,,,,,,,,,,,53.73633613860863,47.783538770146684,47.53879833176812,,,,,,159.41184564742997,183.80313054638944,170.98722936999323,166.59056243063804,183.80313054638944,170.98722936999323,159.41184564742997,183.80313054638944,170.98722936999323,119.03203232528908,119.0213596175556,113.62461713265559,125.19685940350521,119.0213596175556,113.62461713265559
Frequencies predict kernels8,,,296.16061284852293,746.1625982616923,118.61140132066681,582.4837043048234,,,,,,,,,,,,,,,,,,,,,,,,,57.14735734414257,49.699418548719336,49.38945761486042,,,,,,170.0531232074122,199.8666325744165,184.27135040874927,178.88741562192158,199.8666325744165,184.27135040874927,170.0531232074122,199.8666325744165,184.27135040874927,123.93380105608003,123.92030533351246,117.06150865859888,131.68913546816685,123.92030533351246,117.06150865859888
Frequencies predict kernels9,,,311.4225264747106,825.7225483763596,123.24015035924279,668.78412477546,,,,,,,,,,,,,,,,,,,,,,,,,61.823769446123606,52.38930986848369,51.99098829811758,,,,,,184.59547284479507,221.39781882069389,221.39781419456438,195.57884040390917,221.39781882069389,221.39781419456438,184.59547284479507,221.39781882069389,221.39781419456438,130.80799864664925,130.7906888643194,121.93819581476501,140.69376684990695,130.7906888643194,121.93819581476501
Frequencies predict kernels10,,,346.7818190774072,905.1021825407877,128.12677292347033,752.4139584848382,,,,,,,,,,,,,,,,,,,,,,,,,66.58123088691096,55.19078891569722,54.70390570583354,,,,,,199.3457416998005,267.9907262821344,267.9907262821344,212.40407111028406,267.9907262821344,267.9907262821344,199.3457416998005,267.9907262821344,267.9907262821344,137.95892366424331,137.93780127356362,127.07418315036368,149.95732800398557,137.93780127356362,127.07418315036368
Frequencies predict kernels11,,,389.9023918392926,983.8697700125551,133.21099583088852,833.7022653997371,,,,,,,,,,,,,,,,,,,,,,,,,71.37420996163137,58.06981238711528,57.49508019006338,,,,,,214.17045229623432,320.9461603322812,320.9461603322812,229.23133637978586,320.9461603322812,320.9461603322812,214.17045229623432,320.9461603322812,320.9461603322812,145.30012926473805,145.275233058464,132.40590544388354,159.3766078917865,145.275233058464,132.40590544388354
Frequencies predict de-grid0,559.1337152950158,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,429.9899422466631,265.6907959636134,500.0,1500.0,358.44033998018244,265.6907959636134,500.0,1500.0,358.44033998018244,265.6907959636134,500.0,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,322.42065370364355,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,1207.4924417886202,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,816.9384956364858,1008.5130422414231,1008.5130422414231
Frequencies predict de-grid1,1117.2953217949262,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,859.2872958419088,530.6893485112236,795.6877005716108,1500.0,716.1882027630096,530.6893485112236,795.6877005716108,1500.0,716.1882027630096,530.6893485112236,795.6877005716108,1500.0,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,536.9572860809892,745.7306245903046,100.0,5000.0,500.0,596.9976404288616,596.9976404288616,2500.0,483.585407325264,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,1811.1060218133737,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,1225.2947645381312,1512.656581147074,1512.656581147074
Frequencies predict de-grid2,2233.6181120846836,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,1717.881724030251,1060.6860024120756,1590.6825558293533,1500.0,1431.683593715042,1060.6860024120756,1590.6825558293533,1500.0,1431.683593715042,1060.6860024120756,1590.6825558293533,1500.0,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,715.9058620235973,994.2703121075014,100.0,5000.0,573.1213808637368,795.9664696855765,795.9664696855765,2500.0,644.7501595153672,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,2414.7195985996987,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1633.6510299688712,2016.800117240791,2016.800117240791
Frequencies predict de-grid3,4466.26348098825,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,3435.07044070933,2120.6790841007632,3180.6721154882,2060.949145519562,2862.67420802834,2120.6790841007632,3180.6721154882,2060.949145519562,2862.67420802834,2120.6790841007632,3180.6721154882,2060.949145519562,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,1073.8030119774014,1491.3496857510963,100.0,5000.0,859.6364949340269,1193.9041270392163,1193.9041270392163,2500.0,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
Frequencies predict de-grid4,8931.554112875032,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,6869.447804173029,4240.66513429434,6360.65115931682,4121.205260413133,5724.655352792174,4240.66513429434,6360.65115931682,4121.205260413133,5724.655352792174,4240.66513429434,6360.65115931682,4121.205260413133,1305.6886756205524,2014.9015700148148,2014.9015700148148,3200.0,1789.5973095663412,2485.5084313703824,100.0,5000.0,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
Frequencies predict de-grid5,,,7031.742547520076,65536.0,7243.604400849842,65536.0,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,3200.0,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
Frequencies predict de-grid6,,,11049.567270263373,65536.0,11382.674739763022,65536.0,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,3200.0,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
Frequencies predict de-grid7,,,15067.391990198219,65536.0,15521.745078190484,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
Frequencies predict de-grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
Frequencies predict de-grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,15971.493125857936,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,18875.359877643317,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,21779.22662946886,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies total,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,65190.5312565323,36217.0797262356,36217.0797262356,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,293.2846936457032,582.1254774672461,248.57191567763044,456.3054012490108,104.5814283301111,199.9485387093033,209.42609504962317,208.8172664400643,208.85816232102292,407.787495482301,209.09354834086383,208.8172664400643,208.85816232102292,407.787495482301,209.09354834086383,208.8172664400643,208.85816232102292,407.787495482301,42.68262382626356,42.60651314703552,42.30705759730755,81.82933985602664,51.33358939913024,51.133428622534794,50.63066326377246,32.12552723479041,42.14492792818404,41.74342757802182,41.563516647764025,20.0,41.38469864997212,41.26056566085735,41.25575789974026,92.77834107720355,92.4822567575279,92.17114278202443,251.94761608350942,250.0250650047197,120.51296674121413,121.09911214136432,120.78132291443791,120.67729846654701,121.09911214136432,120.78132291443791,120.51296674121413,121.09911214136432,120.78132291443791,102.29853147699299,102.298320353294,102.19386091269533,102.42347866752165,102.298320353294,102.19386091269533
Frequencies backward kernels1,294.0638323094376,606.6944655822299,249.14538278348053,460.4700934466945,104.74630219687253,207.91398133984265,210.86535794040535,209.14778047468195,209.26339193976966,413.09505543530094,209.92817267841275,209.14778047468195,209.26339193976966,413.09505543530094,209.92817267841275,209.14778047468195,209.26339193976966,413.09505543530094,43.5600476244708,43.422677834891246,42.88040957659016,86.60542665267576,52.14579514441026,51.78261281205767,50.865580179408134,33.475097415430724,42.9721351525484,42.24471756035983,41.917044353163305,20.0,41.59028979091472,41.36283522904686,41.354015627618054,93.84820180970347,93.30892857191914,92.7408619069668,255.30725224226236,251.8056375115592,121.16694948069559,122.23734108126607,121.65749967004518,121.4674432068875,122.23734108126607,121.65749967004518,121.16694948069559,122.23734108126607,121.65749967004518,102.56151567560997,102.56112842651287,102.36945580055807,102.79059501374789,102.56112842651287,102.36945580055807
Frequencies backward kernels2,296.2602947965132,671.6046163457507,249.82336498003454,465.36038045922504,104.94135923993647,216.9889494387364,214.89350026647753,210.08117246829724,210.40712564120616,427.7933363525166,212.2757319040233,210.08117246829724,210.40712564120616,427.7933363525166,212.2757319040233,210.08117246829724,210.40712564120616,427.7933363525166,44.57855477466909,44.37139985698362,43.550642289782324,91.95452991281701,53.093073543728636,52.54214749597271,51.14267393613136,35.00950503859825,43.93324061283254,42.831625763725654,42.332422834930746,20.0,41.832713082244815,41.48372356930575,41.470172610176796,95.10139505959368,94.27980367420172,93.41182906727856,259.235436554778,253.90065688265926,121.9377400018286,123.57349795403763,122.68826998330343,122.39766533389687,123.57349795403763,122.68826998330343,121.9377400018286,123.57349795403763,122.68826998330343,102.87234998521188,102.87175508094231,102.57716912431958,103.22407786213846,102.87175508094231,102.57716912431958
Frequencies backward kernels3,302.4012914936291,828.9579667429508,251.4370864731155,476.8575880172961,105.4062396599055,237.31975293030342,225.93375170163077,212.7044143604154,213.61596519592558,467.0223152137208,218.7971351699883,212.7044143604154,213.61596519592558,467.0223152137208,218.7971351699883,212.7044143604154,213.61596519592558,467.0223152137208,46.92700706594321,46.56394179751612,45.114213690222236,103.65583808275083,55.29444175072374,54.31666584457131,51.79941168849066,38.43685447778481,46.152687989625754,44.20446737783929,43.3100556331855,20.0,42.40693533193022,41.77137054811615,41.74661012798798,98.0351885140428,96.56308736363384,94.997633186918,268.4028389247409,258.8437436840229,123.76196910023856,126.71327338891274,125.11973660236968,124.59475032259941,126.71327338891274,125.11973660236968,123.76196910023856,126.71327338891274,125.11973660236968,103.61183913637349,103.61075251187923,103.0720884030568,104.25345240609511,103.61075251187923,103.0720884030568
Frequencies backward kernels4,339.0278924205873,1166.5051954825826,255.4772868966433,504.82576095331626,106.57396124967788,282.4416704920672,254.70432980595342,220.28117548097615,245.87976264831133,563.8851777539776,236.33470453479393,220.28117548097615,245.87976264831133,563.8851777539776,236.33470453479393,220.28117548097615,245.87976264831133,563.8851777539776,52.41406665651729,51.70966882063196,48.85466751797458,128.68767996282398,60.51869177911281,58.57499745422395,53.42683852712773,46.00670901115244,,,,,43.82787629347229,42.49098628362797,42.438482831495776,105.10594268076777,102.12135419867215,98.90163538024838,278.89143296103697,264.58786867011827,128.2672684132468,134.34266227785668,131.07905352633858,129.9953590573403,134.34266227785668,131.07905352633858,128.2672684132468,134.34266227785668,131.07905352633858,105.46108145664947,105.4587793555898,104.31447299492596,106.81606238843045,105.4587793555898,104.31447299492596
Frequencies backward kernels5,,,260.356231868127,537.2379746246627,107.99131980292684,329.66683891209703,,,,,,,,,,,,,58.466660911853644,57.414628356757156,53.09724182606155,154.06039375293324,,,,,,,,,45.51414088087275,43.3589688317817,43.27355850200855,113.20134796665474,108.56891004920492,103.50068585217846,,,133.5987484800586,143.1713282035098,138.05589809442296,136.3438020438637,143.1713282035098,138.05589809442296,133.5987484800586,143.1713282035098,138.05589809442296,107.69018505703605,107.68644393464731,105.8209487438911,109.88416042365502,107.68644393464731,105.8209487438911
