,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
W kernel support bw6 [uv-pixels],,,4.517482783646845,9.086427298747132,3.729112785438454,19.966796839617505,,,,,,,,,,,,,10.92938234762002,10.526727538081067,8.775311339357419,19.605022209458784,,,,,,,,,6.660467967800497,4.683956271812609,4.5906052896972644,9.547238136860917,8.37028048157661,6.928807847854892,,,6.966738450848622,9.229742616725936,8.079731252457496,7.667033512572462,9.229742616725936,8.079731252457496,6.966738450848622,9.229742616725936,8.079731252457496,4.771021490974722,4.76941341295808,3.8942350291315284,5.643883853198721,4.76941341295808,3.8942350291315284
W kernel support bw7 [uv-pixels],,,5.705663625498334,11.482231856346758,4.7094424306310785,25.25489660062869,,,,,,,,,,,,,,,,,,,,,,,,,8.414458081415233,5.91604903622873,5.798073275629031,,,,,,8.801683527601119,11.663502410975955,10.209046951437216,9.687164431897708,11.663502410975955,10.209046951437216,8.801683527601119,11.663502410975955,10.209046951437216,6.026083013963393,6.024050689211673,4.918084233130914,7.129324308335254,6.024050689211673,4.918084233130914
W kernel support bw8 [uv-pixels],,,6.545578069825498,13.176986077763946,5.402329451598248,29.00027798834729,,,,,,,,,,,,,,,,,,,,,,,,,9.654771319889848,6.787029731321173,6.651632562809962,,,,,,10.09930314816786,13.385138923639753,11.71508102831212,11.115889294661422,13.385138923639753,11.71508102831212,10.09930314816786,13.385138923639753,11.71508102831212,6.9133139397310615,6.910981459867499,5.641752756532253,8.179568225603491,6.910981459867499,5.641752756532253
W kernel support bw9 [uv-pixels],,,7.61412887529869,15.334403857387514,6.283718265583415,33.77336870342318,,,,,,,,,,,,,,,,,,,,,,,,,11.233202203866426,7.895131912588033,7.73755482319602,,,,,,11.750729984271375,15.57681523989972,15.57681477972805,12.934333746977014,15.57681523989972,15.57681477972805,11.750729984271375,15.57681523989972,15.57681477972805,8.042105433243016,8.039390800727,6.56232237910828,9.515927237313123,8.039390800727,6.56232237910828
W kernel support bw10 [uv-pixels],,,9.795680669478822,17.399005041832453,7.126536786283086,38.34630504085756,,,,,,,,,,,,,,,,,,,,,,,,,12.743243772170052,8.954910778308403,8.776105486728502,,,,,,13.330671901314714,20.055837320281416,20.055837320281416,14.674228148419687,20.055837320281416,20.055837320281416,13.330671901314714,20.055837320281416,20.055837320281416,9.121686316317746,9.118605916355712,7.442632139723829,10.794197830528095,9.118605916355712,7.442632139723829
W kernel support bw11 [uv-pixels],,,12.15747220194383,19.388579060750455,7.9381540423553245,42.75762878978178,,,,,,,,,,,,,,,,,,,,,,,,,14.197986479162166,9.975604740656625,9.776340460094016,,,,,,14.85281427629912,24.91120763520158,24.91120763520158,16.350616303800972,24.91120763520158,24.91120763520158,14.85281427629912,24.91120763520158,24.91120763520158,10.161465169013239,10.15803224426688,8.290374765431777,12.025492054530286,10.15803224426688,8.290374765431777
AW kernel support bw0 [uv-pixels],10.014604720907055,10.243733848997842,10.02772332504188,10.111211184286168,10.018916383990758,10.522112697087598,10.037969733623218,10.008691373652082,10.010658042585467,10.072344527139327,10.021977675857737,10.008691373652082,10.010658042585467,10.072344527139327,10.021977675857737,10.008691373652082,10.010658042585467,10.072344527139327,10.257416769060729,10.23908643281872,10.166966187725674,10.802025008588572,10.195953363958955,10.156110663663544,10.056033468674356,10.553566609431797,10.245245705995984,10.14743147647033,10.103601256567249,15.183960794948895,10.060037299412501,10.029795801229287,10.028624525975285,10.141415937968091,10.108980778183263,10.074899164501664,10.164204753787486,10.086474952866164,10.065648402814746,10.114713098414734,10.088111794820195,10.079404180874954,10.114713098414734,10.088111794820195,10.065648402814746,10.114713098414734,10.088111794820195,10.030909189716045,10.030888442159572,10.020622999964035,10.043188004911759,10.030888442159572,10.020622999964035
AW kernel support bw1 [uv-pixels],10.041297827761523,10.676800395004005,10.050908915917907,10.203607187888116,10.034746285770565,10.941772097187105,10.107183397118108,10.02458568065724,10.030145396558208,10.20366413467082,10.062114475843122,10.02458568065724,10.030145396558208,10.20366413467082,10.062114475843122,10.02458568065724,10.030145396558208,10.20366413467082,10.46873368227035,10.43564982847476,10.305051074525478,11.433211465288906,10.357625753680793,10.285333041265355,10.102794498176543,10.997425882523585,10.44677141056722,10.269556634154,10.1897283037108,18.463165804904165,10.110123777145548,10.05471089414676,10.052562247254428,10.258616013440099,10.19954022645756,10.137310205918173,10.300036701918893,10.158464481719257,10.12039158438861,10.20999126269203,10.161454256033448,10.145545127180242,10.20999126269203,10.161454256033448,10.12039158438861,10.20999126269203,10.161454256033448,10.056753183227219,10.056715127468458,10.037879067610094,10.079265277130549,10.056715127468458,10.037879067610094
AW kernel support bw2 [uv-pixels],10.116548117283081,11.820942677402297,10.078320109686624,10.312100915439576,10.053474140651806,11.419886870371867,10.300895411078525,10.069472183728452,10.085147161140151,10.56732890423554,10.175007805221693,10.069472183728452,10.085147161140151,10.56732890423554,10.175007805221693,10.069472183728452,10.085147161140151,10.56732890423554,10.714028830927298,10.664138069065887,10.46646852105811,12.140125268520988,10.546184836531951,10.436521076086049,10.15795097555113,11.502076241499871,10.680917657607939,10.412540260932841,10.290923549708454,21.730905385960977,10.16918336958089,10.084161925473419,10.08086061682264,10.395899628636016,10.305896720941613,10.210812671062852,10.458855373354853,10.243167272850341,10.184912440519506,10.321837459535283,10.24773734116705,10.223411586320303,10.321837459535283,10.24773734116705,10.184912440519506,10.321837459535283,10.24773734116705,10.087299505003866,10.087241042547259,10.05829147956148,10.121864521431618,10.087241042547259,10.05829147956148
AW kernel support bw3 [uv-pixels],10.326937244470782,14.594540592853656,10.143563759759264,10.56717284093941,10.098108330702237,12.4910154815418,10.831817526316089,10.19562300056579,10.239459175054145,11.53793214219582,10.488619928882729,10.19562300056579,10.239459175054145,11.53793214219582,10.488619928882729,10.19562300056579,10.239459175054145,11.53793214219582,11.279625266968475,11.192185366869644,10.84303581914742,13.686518438216048,10.984374924951357,10.789745183751082,10.288676916289733,12.629295101663176,11.221623488345019,10.746994414369716,10.529096206272325,28.0718013016517,10.309076417347548,10.154238992455518,10.148206814942547,10.717288048262427,10.556023705653145,10.384532822066802,10.829498565487192,10.443019012918185,10.337613886503453,10.584659862921244,10.451269056933114,10.407323826537695,10.584659862921244,10.451269056933114,10.337613886503453,10.584659862921244,10.451269056933114,10.159970613801672,10.159863828992888,10.106928206993826,10.223023261218602,10.159863828992888,10.106928206993826
